Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.325181,0.397842,2.695225,0.249398,0.303277,2.657948,0.242993,0.225518,2.649217,0.230784,-0.010958,2.615833,0.332649,0.161120,2.813728,0.195018,0.169356,2.516229,0.194413,-0.327415,2.544081,0.221994,-0.340305,2.543070,0.161640,-0.305505,2.476310,0.361509,-0.096152,2.828557,0.348903,-0.305834,2.846914,0.368990,-0.361046,2.865914,0.375506,-0.398086,2.855487,0.383434,-0.374886,2.850269,0.251713,-0.035456,2.384870,0.360060,-0.170429,2.293101,0.340219,-0.183683,2.293395,0.358710,-0.233045,2.276199,0.364710,-0.171521,2.288765,0.205540,-0.561723,2.613400,0.234173,-0.823343,2.567017,0.311417,-0.853298,2.494640,0.264527,-0.531043,2.446378,0.054434,-0.761753,2.438411,0.040619,-0.833984,2.414063
0.337033,0.398600,2.696793,0.259362,0.305390,2.659473,0.255386,0.229190,2.649129,0.245197,-0.002525,2.608305,0.342582,0.163230,2.815253,0.202600,0.172312,2.519171,0.232917,-0.311374,2.533500,0.264175,-0.316539,2.520223,0.196006,-0.296368,2.475806,0.371383,-0.094051,2.830091,0.358738,-0.303741,2.848455,0.378824,-0.358953,2.867455,0.385308,-0.396001,2.857032,0.393194,-0.372811,2.851817,0.249966,-0.035445,2.387419,0.321193,-0.196973,2.302942,0.326555,-0.219163,2.286113,0.333411,-0.256536,2.293765,0.349692,-0.200330,2.268778,0.210186,-0.532767,2.591530,0.215360,-0.842482,2.559451,0.293190,-0.870316,2.486079,0.286573,-0.527558,2.448947,0.109524,-0.784150,2.440449,0.131836,-0.860352,2.410156
0.344304,0.402657,2.694274,0.269826,0.307781,2.663108,0.261642,0.231159,2.652427,0.244195,-0.001307,2.611718,0.353011,0.165620,2.818891,0.212798,0.172355,2.521963,0.204355,-0.314202,2.557651,0.226391,-0.323050,2.540368,0.173491,-0.297159,2.508132,0.381752,-0.091668,2.833738,0.460120,-0.268198,2.848316,0.475869,-0.303225,2.865528,0.491104,-0.336705,2.858484,0.493487,-0.310726,2.831909,0.245566,-0.036189,2.390615,0.300960,-0.201284,2.300466,0.300977,-0.230097,2.286273,0.306514,-0.272054,2.296353,0.289964,-0.272631,2.334250,0.215899,-0.557299,2.581595,0.151212,-0.776943,2.561115,0.216749,-0.855434,2.508163,0.314126,-0.532325,2.451299,0.180598,-0.813596,2.434616,0.208168,-0.880589,2.396353
0.359629,0.400672,2.695341,0.283005,0.307116,2.663178,0.272734,0.230864,2.655912,0.248120,-0.001358,2.628446,0.366149,0.164959,2.818958,0.221991,0.171884,2.525125,0.203788,-0.316912,2.602000,0.226396,-0.322390,2.575068,0.175704,-0.303496,2.558382,0.394810,-0.092324,2.833813,0.531705,-0.308144,2.855833,0.546572,-0.320573,2.838764,0.551716,-0.319220,2.834441,0.553868,-0.312249,2.806500,0.237498,-0.051104,2.394422,0.298392,-0.207157,2.291327,0.279816,-0.239437,2.285550,0.285705,-0.273490,2.293829,0.299524,-0.285449,2.326000,0.224128,-0.581020,2.591504,0.165660,-0.853024,2.557587,0.241823,-0.885116,2.484138,0.368923,-0.528524,2.442248,0.249908,-0.816256,2.430520,0.282959,-0.883789,2.382813
0.372472,0.394134,2.698210,0.290755,0.304641,2.664780,0.278956,0.229422,2.658106,0.248718,-0.000977,2.630179,0.373873,0.162493,2.820556,0.230627,0.171398,2.529453,0.202255,-0.314499,2.600258,0.224484,-0.319252,2.574560,0.174452,-0.301502,2.555645,0.449834,-0.086131,2.818264,0.544041,-0.251080,2.817100,0.575565,-0.269925,2.829470,0.598615,-0.300370,2.814021,0.595115,-0.262666,2.789700,0.231140,-0.058817,2.397422,0.285631,-0.215131,2.290836,0.259039,-0.243414,2.285441,0.265000,-0.269574,2.284626,0.285176,-0.251862,2.287572,0.241179,-0.557206,2.601947,0.170842,-0.859065,2.569347,0.251015,-0.884311,2.468589,0.388012,-0.516239,2.442242,0.330419,-0.821665,2.421161,0.361328,-0.891113,2.388672
0.383235,0.389629,2.697256,0.303421,0.298804,2.666016,0.291827,0.223945,2.660407,0.256781,-0.004219,2.634242,0.386498,0.156677,2.821782,0.239061,0.167968,2.531852,0.206758,-0.315576,2.600029,0.229430,-0.320618,2.576990,0.179538,-0.302484,2.553142,0.466715,-0.090899,2.809923,0.580548,-0.242777,2.807279,0.610223,-0.245465,2.806747,0.644688,-0.282809,2.790764,0.614148,-0.215469,2.761067,0.224969,-0.061466,2.399499,0.259983,-0.224404,2.294681,0.235704,-0.248910,2.288665,0.239762,-0.271045,2.277538,0.271986,-0.274641,2.332500,0.198420,-0.644181,2.596591,0.139524,-0.864088,2.563154,0.187126,-0.920412,2.536529,0.408611,-0.516758,2.445950,0.401135,-0.826478,2.412061,0.461914,-0.887695,2.373047
0.393484,0.383591,2.694811,0.313487,0.293337,2.665617,0.304729,0.217190,2.658964,0.279208,-0.015870,2.628664,0.396531,0.151227,2.821376,0.244137,0.164954,2.532943,0.250139,-0.336542,2.574889,0.275746,-0.343387,2.553753,0.216576,-0.320100,2.528066,0.487779,-0.092379,2.804209,0.614944,-0.233313,2.795212,0.642314,-0.228592,2.786359,0.680173,-0.267067,2.765682,0.661616,-0.218106,2.738500,0.218993,-0.060911,2.402169,0.233622,-0.226098,2.295723,0.216622,-0.228429,2.301495,0.217784,-0.272201,2.281640,0.263750,-0.250769,2.349889,0.215717,-0.568822,2.600686,0.131116,-0.855787,2.566536,0.170185,-0.917908,2.537727,0.417614,-0.529619,2.445960,0.462855,-0.833188,2.412485,0.546387,-0.881836,2.367188
0.395689,0.383443,2.693769,0.321083,0.288547,2.663771,0.314963,0.211299,2.656143,0.297100,-0.024745,2.623130,0.404103,0.146450,2.819523,0.252018,0.160528,2.532170,0.271333,-0.345467,2.568803,0.300103,-0.354511,2.548313,0.236109,-0.327582,2.520661,0.501949,-0.094444,2.799744,0.643835,-0.219828,2.776974,0.670933,-0.215423,2.771310,0.716597,-0.246012,2.750294,0.693305,-0.201333,2.735529,0.212033,-0.058747,2.404793,0.217087,-0.224382,2.298035,0.196615,-0.227619,2.305219,0.198265,-0.276452,2.279507,0.226451,-0.252867,2.277750,0.212597,-0.569694,2.599780,0.105564,-0.844124,2.568680,0.131092,-0.912574,2.533675,0.422769,-0.521817,2.447691,0.514493,-0.817349,2.417761,0.599482,-0.868863,2.363905
0.404827,0.376911,2.690952,0.329449,0.282987,2.662650,0.325431,0.206609,2.653293,0.315552,-0.025579,2.613592,0.412442,0.140906,2.818395,0.257303,0.155999,2.530302,0.308068,-0.336638,2.544063,0.336430,-0.341056,2.525882,0.271512,-0.323151,2.493567,0.520474,-0.095230,2.791563,0.662582,-0.220082,2.766865,0.688815,-0.206742,2.754864,0.738221,-0.238384,2.731967,0.686955,-0.175843,2.718823,0.206740,-0.058239,2.406818,0.197510,-0.223091,2.298908,0.178757,-0.227755,2.309338,0.169879,-0.275770,2.281978,0.208111,-0.265746,2.299778,0.214931,-0.560013,2.595209,0.089999,-0.844312,2.568231,0.119530,-0.911058,2.543290,0.423315,-0.520304,2.450117,0.526022,-0.812242,2.421728,0.609371,-0.866281,2.368710
0.412552,0.372322,2.688109,0.336613,0.278749,2.659619,0.330701,0.203686,2.650905,0.316012,-0.025948,2.613330,0.419583,0.136677,2.815359,0.263265,0.153237,2.529176,0.301197,-0.337305,2.548163,0.313742,-0.350878,2.565773,0.266165,-0.319839,2.483628,0.527831,-0.099268,2.787485,0.677453,-0.213070,2.751811,0.698249,-0.199488,2.744708,0.750896,-0.227626,2.722071,0.693839,-0.165266,2.709000,0.193872,-0.073826,2.403399,0.194810,-0.239028,2.295835,0.162506,-0.261036,2.299708,0.153821,-0.286113,2.287375,0.190580,-0.279879,2.313429,0.216630,-0.569035,2.599963,0.075315,-0.845782,2.575891,0.104224,-0.913175,2.541617,0.438970,-0.541572,2.457052,0.534272,-0.835588,2.423495,0.615910,-0.871871,2.372412
