Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.507660,0.602828,2.641834,0.506447,0.472565,2.573039,0.489663,0.398061,2.575880,0.437080,0.170067,2.575655,0.623579,0.322297,2.636060,0.418284,0.322944,2.431392,0.364232,-0.140533,2.565882,0.411990,-0.154947,2.543801,0.305850,-0.122138,2.519178,0.459024,0.180196,2.388577,0.356642,-0.052239,2.421357,0.361462,-0.112570,2.416168,0.302031,-0.185197,2.447045,0.296731,-0.074182,2.441800,0.452076,0.071060,2.346471,0.541637,-0.144139,2.328691,0.577411,-0.191255,2.308968,0.615739,-0.247826,2.310961,0.556615,-0.218976,2.294913,0.598859,-0.553947,2.515800,0.732828,-0.843935,2.431617,0.788696,-0.863720,2.364901,0.303434,-0.531356,2.469890,0.223407,-0.861934,2.493240,0.260752,-0.919981,2.468228
0.539519,0.598050,2.633854,0.532614,0.471076,2.569783,0.516553,0.396949,2.571566,0.466067,0.169988,2.568183,0.649674,0.320812,2.632797,0.440300,0.319391,2.428512,0.395951,-0.139478,2.554209,0.444134,-0.153595,2.533514,0.337632,-0.121513,2.505398,0.484999,0.178723,2.385357,0.382496,-0.053703,2.418170,0.386514,-0.113670,2.414932,0.329037,-0.194522,2.446440,0.322882,-0.079460,2.443218,0.469093,0.068964,2.342771,0.561247,-0.144950,2.321916,0.596457,-0.194846,2.304254,0.635935,-0.250730,2.300379,0.574002,-0.218842,2.297154,0.623406,-0.547560,2.508891,0.743451,-0.848036,2.426669,0.799075,-0.866665,2.358905,0.353288,-0.481326,2.462323,0.229051,-0.832700,2.491344,0.243278,-0.901896,2.466709
0.555626,0.594726,2.628736,0.548733,0.467847,2.564459,0.532908,0.393829,2.566561,0.482946,0.167147,2.564300,0.665748,0.317585,2.627466,0.460091,0.313282,2.425033,0.413322,-0.142056,2.552127,0.459793,-0.155231,2.533314,0.355761,-0.125047,2.501485,0.500993,0.175510,2.380052,0.398411,-0.056903,2.412884,0.404167,-0.122020,2.412942,0.355094,-0.200397,2.437793,0.343761,-0.088481,2.446037,0.484912,0.066400,2.339043,0.580581,-0.154155,2.311768,0.611531,-0.205375,2.295174,0.645046,-0.258898,2.296231,0.587985,-0.225525,2.296800,0.652868,-0.544363,2.493980,0.745782,-0.847283,2.423645,0.799382,-0.871368,2.357234,0.350316,-0.530913,2.462158,0.214028,-0.856414,2.494694,0.247449,-0.916873,2.468010
0.573866,0.592227,2.625505,0.567895,0.465325,2.562046,0.554886,0.391179,2.561619,0.515611,0.164013,2.549339,0.684855,0.315070,2.625047,0.478655,0.313772,2.423806,0.460526,-0.145696,2.520447,0.508890,-0.158826,2.499071,0.399522,-0.128568,2.472832,0.515055,0.178856,2.377710,0.412483,-0.050317,2.412932,0.419934,-0.117745,2.418033,0.380296,-0.196031,2.445986,0.358399,-0.087651,2.450370,0.494863,0.065757,2.337775,0.584927,-0.157057,2.309540,0.616528,-0.208870,2.293334,0.650059,-0.264602,2.290435,0.593789,-0.231373,2.284913,0.672013,-0.537724,2.486529,0.746646,-0.846035,2.421988,0.801924,-0.874853,2.360229,0.361477,-0.532629,2.459319,0.205250,-0.852909,2.496636,0.227795,-0.917866,2.457306
0.589667,0.593387,2.624857,0.582110,0.465287,2.560179,0.567714,0.390546,2.560854,0.523778,0.161994,2.552251,0.699031,0.315033,2.623178,0.496838,0.312618,2.422113,0.466434,-0.150950,2.532007,0.514631,-0.165177,2.512417,0.405466,-0.132721,2.482808,0.528262,0.180951,2.375307,0.426434,-0.046698,2.411895,0.439188,-0.113649,2.418928,0.405645,-0.188758,2.449010,0.383396,-0.085805,2.450360,0.505139,0.065591,2.337048,0.585857,-0.157068,2.309196,0.608865,-0.212529,2.304826,0.646572,-0.270950,2.291590,0.561168,-0.209096,2.372417,0.687485,-0.531913,2.481914,0.745355,-0.845415,2.421941,0.791992,-0.883618,2.360941,0.415680,-0.521091,2.448334,0.207279,-0.820637,2.482460,0.213208,-0.889490,2.457375
0.597419,0.593268,2.623491,0.591160,0.466024,2.557770,0.576840,0.391132,2.558645,0.531585,0.161960,2.551624,0.708056,0.315767,2.620770,0.509043,0.313718,2.419585,0.470312,-0.151223,2.532824,0.520033,-0.166883,2.515343,0.408611,-0.131967,2.482185,0.534611,0.182322,2.374436,0.432507,-0.044700,2.412267,0.451206,-0.114881,2.414641,0.425953,-0.191238,2.441949,0.401737,-0.091995,2.441083,0.510277,0.066004,2.336132,0.585953,-0.157001,2.308467,0.592414,-0.218108,2.308834,0.626762,-0.271164,2.285076,0.561934,-0.245089,2.354667,0.689186,-0.533387,2.480199,0.734503,-0.843295,2.422777,0.784373,-0.872479,2.329843,0.506539,-0.469195,2.426353,0.268217,-0.755948,2.467218,0.323974,-0.785977,2.372809
0.607104,0.601481,2.621841,0.597279,0.468434,2.557305,0.586586,0.394485,2.556028,0.558147,0.168988,2.537802,0.714158,0.318172,2.620307,0.516079,0.316142,2.419333,0.520283,-0.139417,2.499167,0.567692,-0.159101,2.487784,0.458532,-0.115883,2.441887,0.539976,0.185078,2.374300,0.556112,-0.127373,2.313026,0.562025,-0.192041,2.323524,0.571079,-0.270159,2.321331,0.525567,-0.188618,2.342964,0.516093,0.067785,2.336132,0.583157,-0.156205,2.308615,0.581328,-0.214288,2.297662,0.605152,-0.275803,2.292154,0.552046,-0.220384,2.297941,0.682349,-0.556489,2.480398,0.715148,-0.844887,2.428347,0.766299,-0.870296,2.334039,0.556452,-0.454262,2.418751,0.296831,-0.723060,2.457398,0.353218,-0.749709,2.361616
0.608483,0.601853,2.621736,0.601323,0.471265,2.556424,0.590906,0.397840,2.554501,0.560174,0.172440,2.536679,0.718192,0.320997,2.619430,0.520888,0.318459,2.419193,0.519195,-0.134626,2.499890,0.563903,-0.147906,2.487748,0.458695,-0.114639,2.442693,0.543861,0.188225,2.373342,0.554282,-0.124717,2.313265,0.555413,-0.185384,2.319214,0.566498,-0.268534,2.312841,0.524100,-0.187488,2.342050,0.518059,0.071213,2.336682,0.576390,-0.157789,2.308069,0.564902,-0.214469,2.302279,0.590665,-0.280346,2.303273,0.532705,-0.226736,2.294555,0.638246,-0.523919,2.443628,0.673519,-0.822049,2.439397,0.725121,-0.848042,2.344965,0.545539,-0.519679,2.400968,0.302138,-0.723054,2.436904,0.358368,-0.749954,2.341265
0.609655,0.604748,2.621933,0.601809,0.477730,2.557842,0.591802,0.403640,2.554976,0.561285,0.177000,2.535897,0.718678,0.327450,2.620858,0.522280,0.320278,2.419132,0.519743,-0.131910,2.499004,0.564121,-0.144086,2.485467,0.459584,-0.113511,2.442843,0.541518,0.193929,2.377257,0.539394,-0.119912,2.321234,0.548539,-0.178527,2.328877,0.587392,-0.262453,2.322378,0.507424,-0.199810,2.338583,0.516695,0.079223,2.338048,0.552419,-0.170528,2.310290,0.545550,-0.217800,2.308006,0.565543,-0.278431,2.308391,0.512354,-0.217657,2.296086,0.617303,-0.529530,2.426266,0.644528,-0.822098,2.445630,0.696833,-0.848058,2.351406,0.548973,-0.513264,2.397024,0.305937,-0.733184,2.435040,0.284424,-0.816895,2.398438
0.609211,0.609762,2.620920,0.601143,0.479967,2.557966,0.591407,0.406055,2.554735,0.561365,0.180122,2.534864,0.718014,0.329682,2.620985,0.521915,0.324161,2.419615,0.520121,-0.128052,2.497441,0.563956,-0.138517,2.483156,0.460444,-0.111992,2.442225,0.539523,0.196060,2.378435,0.535427,-0.117790,2.322439,0.551643,-0.182642,2.337770,0.580244,-0.264661,2.339509,0.509848,-0.187066,2.284389,0.511093,0.087445,2.340734,0.530732,-0.174061,2.312144,0.522881,-0.218703,2.312484,0.531000,-0.274608,2.304160,0.487216,-0.216157,2.306435,0.591092,-0.524097,2.424838,0.596596,-0.822612,2.453357,0.649537,-0.848416,2.358938,0.555008,-0.514759,2.393322,0.327985,-0.745921,2.423211,0.326739,-0.812556,2.366668
