HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.874968,0.757099,2.605682,0.846644,0.592603,2.589540,0.771079,0.423202,2.483386,0.967610,0.466559,2.746705,0.749342,0.202608,2.564026,0.757517,0.122903,2.540752,0.702135,0.087167,2.519803,0.797775,0.061649,2.552337,0.797247,0.161541,2.386707,0.924001,-0.010001,2.313988,0.956695,-0.065577,2.291133,1.035628,0.183558,2.728837,0.925011,-0.035037,2.772651,0.928854,-0.124770,2.778064,0.850366,-0.372960,2.550490,0.782206,-0.724530,2.586062,0.845341,-0.779039,2.541320,1.024292,-0.390065,2.557232,0.990526,-0.714045,2.553559,1.085160,-0.770743,2.542573
0.871670,0.754940,2.609559,0.877273,0.546505,2.564371,0.791797,0.421875,2.473427,1.004961,0.424775,2.719153,0.809983,0.174454,2.549862,0.824116,0.099365,2.527591,0.770252,0.066421,2.509474,0.868645,0.035930,2.536437,0.815867,0.164579,2.381478,0.941617,-0.003960,2.304337,0.977407,-0.056979,2.280665,1.073037,0.141619,2.701264,0.962362,-0.076823,2.745094,0.966205,-0.166556,2.750507,0.840891,-0.377612,2.544174,0.778382,-0.724161,2.587019,0.818872,-0.785104,2.560167,1.090873,-0.372514,2.544745,1.115162,-0.727372,2.484524,1.207642,-0.771076,2.474139
0.880598,0.715835,2.606416,0.906361,0.478417,2.549106,0.810302,0.419476,2.464385,1.039569,0.357526,2.701185,0.870470,0.144927,2.558248,0.890552,0.078141,2.539787,0.847641,0.040251,2.525121,0.930345,0.013885,2.548958,0.850537,0.163323,2.369144,0.965338,-0.004203,2.290636,1.009872,-0.052004,2.265710,1.107644,0.074343,2.683306,0.996969,-0.144072,2.727122,1.000813,-0.233805,2.732535,0.829329,-0.376075,2.540059,0.773153,-0.721358,2.586780,0.814668,-0.774991,2.551361,1.112201,-0.372331,2.534097,1.191429,-0.727014,2.448917,1.261631,-0.750235,2.421050
0.900223,0.684940,2.594865,0.926285,0.433092,2.540438,0.834809,0.412681,2.453383,1.057204,0.326527,2.692688,0.903073,0.127650,2.562211,0.926729,0.065179,2.546366,0.895420,0.022742,2.537177,0.961096,0.001665,2.553500,0.866702,0.163330,2.363646,0.979530,-0.003469,2.282780,1.028947,-0.050245,2.257934,1.125264,0.043368,2.674815,1.014604,-0.175071,2.718621,1.018447,-0.264804,2.724034,0.823091,-0.374912,2.537565,0.766517,-0.715819,2.586300,0.813047,-0.757485,2.539313,1.127292,-0.380205,2.525615,1.254046,-0.723512,2.411695,1.315088,-0.760409,2.385204
0.912835,0.669572,2.588526,0.937390,0.415204,2.535209,0.849710,0.408193,2.446983,1.069203,0.309057,2.686921,0.920344,0.119650,2.562542,0.945057,0.059273,2.547638,0.916229,0.016030,2.539545,0.978076,-0.004612,2.554549,0.879623,0.162386,2.358790,0.990106,-0.005000,2.276839,1.041511,-0.050430,2.252769,1.137254,0.025911,2.669051,1.026604,-0.192541,2.712852,1.030447,-0.282274,2.718265,0.827560,-0.369252,2.535282,0.753381,-0.706790,2.587692,0.808547,-0.749942,2.536035,1.158376,-0.422723,2.508192,1.272093,-0.729429,2.394996,1.319604,-0.751338,2.337361
0.925678,0.655365,2.583513,0.947598,0.401986,2.530352,0.865977,0.401167,2.440504,1.079721,0.295055,2.681833,0.932577,0.113896,2.561881,0.957903,0.054941,2.547718,0.931337,0.010552,2.538821,0.989817,-0.009163,2.554982,0.895857,0.154934,2.352230,1.008415,-0.018416,2.267634,1.056053,-0.064275,2.248093,1.147759,0.011926,2.663967,1.037121,-0.206543,2.707760,1.040964,-0.296276,2.713174,0.828899,-0.367710,2.533294,0.732967,-0.700945,2.591543,0.801026,-0.744503,2.534612,1.147729,-0.397717,2.502796,1.260609,-0.708159,2.395373,1.300791,-0.752157,2.346812
0.933768,0.648082,2.579933,0.954496,0.394358,2.527114,0.883242,0.387602,2.432883,1.086456,0.286435,2.678525,0.941312,0.109522,2.560622,0.967080,0.051265,2.546820,0.941456,0.006791,2.537857,0.998113,-0.012974,2.554073,0.910124,0.143084,2.345367,1.019806,-0.032290,2.262663,1.070058,-0.095993,2.246145,1.154489,0.003311,2.660661,1.043857,-0.215163,2.704451,1.047700,-0.304896,2.709865,0.830172,-0.369439,2.531585,0.707414,-0.697866,2.597229,0.788079,-0.740321,2.536308,1.146402,-0.388317,2.497730,1.256261,-0.703837,2.392392,1.289518,-0.753902,2.341817
0.939477,0.644223,2.577378,0.959924,0.393594,2.524581,0.893828,0.379860,2.428566,1.091393,0.280586,2.676075,0.946500,0.106241,2.557106,0.971999,0.047810,2.542775,0.945639,0.004821,2.534057,1.002088,-0.016196,2.548481,0.917406,0.136371,2.341866,1.024370,-0.042762,2.261373,1.071850,-0.112387,2.246995,1.159425,-0.002533,2.658211,1.048794,-0.221012,2.702000,1.052637,-0.310745,2.707413,0.834049,-0.378815,2.530064,0.661541,-0.712702,2.612088,0.681260,-0.786974,2.597983,1.147072,-0.385537,2.493723,1.244441,-0.700525,2.392213,1.293260,-0.749110,2.333200
0.943772,0.641298,2.575537,0.964589,0.393793,2.522728,0.901085,0.376590,2.426310,1.095379,0.276447,2.674218,0.952273,0.103456,2.552587,0.978252,0.045054,2.537708,0.957966,0.003726,2.524225,1.006434,-0.019299,2.544094,0.921588,0.131970,2.339861,1.019504,-0.056021,2.265951,1.051543,-0.129720,2.254235,1.163411,-0.006666,2.656353,1.052780,-0.225151,2.700140,1.056623,-0.314884,2.705553,0.869977,-0.396725,2.514895,0.642461,-0.710528,2.615263,0.637539,-0.785720,2.620798,1.146825,-0.383505,2.491030,1.200771,-0.697923,2.412515,1.244709,-0.755194,2.363157
0.944694,0.693888,2.576453,0.964975,0.519757,2.524970,0.906251,0.374948,2.425082,1.099988,0.370201,2.674357,0.928194,0.131565,2.528430,0.948546,0.059118,2.509854,0.902984,0.029395,2.479018,0.989242,-0.010883,2.529552,0.923658,0.128318,2.338830,0.995467,-0.076204,2.284610,1.003212,-0.140569,2.272724,1.168012,0.087127,2.656476,1.057388,-0.131396,2.700261,1.026107,-0.176279,2.718479,0.936526,-0.362105,2.486698,0.674827,-0.653718,2.591904,0.709557,-0.708643,2.565016,1.142949,-0.384597,2.489397,1.156936,-0.702812,2.428870,1.217657,-0.754603,2.376500
