HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.664616,0.780823,2.404658,0.528261,0.594510,2.386140,0.457834,0.512939,2.295213,0.661622,0.465005,2.451445,0.480555,0.292575,2.386995,0.510025,0.237811,2.342945,0.468030,0.162436,2.239797,0.540495,0.096623,2.410840,0.346584,0.232404,2.225203,0.381063,0.010837,2.211307,0.384337,-0.051974,2.222207,0.735970,0.236608,2.565465,0.814351,0.037230,2.631318,0.842679,-0.008081,2.663992,0.601778,-0.269292,2.344880,0.775703,-0.672755,2.272898,0.856581,-0.689338,2.215452,0.368768,-0.343262,2.509650,0.158713,-0.656465,2.540681,0.200230,-0.724861,2.554685
0.648773,0.779625,2.405883,0.519472,0.586939,2.385911,0.444933,0.506527,2.294430,0.651125,0.457497,2.451487,0.468244,0.289575,2.386749,0.496781,0.234812,2.342493,0.457352,0.162684,2.235716,0.526150,0.089949,2.413994,0.335487,0.225791,2.225594,0.369227,0.003431,2.213348,0.374774,-0.056718,2.224655,0.733800,0.234433,2.585706,0.798395,0.038061,2.648805,0.822618,-0.008456,2.671652,0.570901,-0.260860,2.349676,0.748275,-0.670945,2.312854,0.825670,-0.699877,2.261414,0.339032,-0.320905,2.523000,0.106513,-0.658032,2.548912,0.150121,-0.720418,2.558128
0.634889,0.778301,2.406785,0.510865,0.582649,2.385285,0.432566,0.501033,2.292927,0.641438,0.452405,2.451169,0.460267,0.284631,2.385564,0.489053,0.229019,2.340965,0.450393,0.161171,2.233942,0.518448,0.084812,2.412934,0.325823,0.219889,2.224537,0.360848,-0.002116,2.213859,0.366836,-0.061314,2.225778,0.721762,0.231429,2.592707,0.767246,0.032765,2.664390,0.789904,-0.022219,2.687129,0.549954,-0.252119,2.354659,0.703435,-0.663955,2.345046,0.783221,-0.702628,2.302900,0.320261,-0.311956,2.533714,0.080551,-0.656217,2.553065,0.103056,-0.722143,2.586008
0.618719,0.777430,2.407117,0.485708,0.624584,2.388928,0.420906,0.497333,2.290917,0.616742,0.479457,2.453567,0.455868,0.285300,2.385413,0.486858,0.228890,2.340487,0.449004,0.159046,2.234056,0.535582,0.103913,2.409832,0.317815,0.215478,2.222583,0.353649,-0.006424,2.213086,0.361250,-0.064734,2.225952,0.687427,0.259547,2.576633,0.725843,0.039237,2.652780,0.746634,-0.029921,2.672228,0.546777,-0.282780,2.365098,0.633044,-0.676835,2.385297,0.715097,-0.716773,2.346886,0.303652,-0.313116,2.544815,0.062398,-0.653754,2.556612,0.082474,-0.722045,2.594347
0.606295,0.777206,2.407377,0.468934,0.653975,2.390222,0.406983,0.495389,2.287955,0.601375,0.496593,2.454360,0.454927,0.285952,2.384705,0.488857,0.228072,2.339329,0.451479,0.156384,2.235935,0.546142,0.114567,2.405784,0.311542,0.212009,2.220086,0.343185,-0.020388,2.209594,0.360720,-0.076233,2.225702,0.655510,0.276162,2.562407,0.682708,0.040000,2.637569,0.692356,-0.037675,2.662603,0.536200,-0.290219,2.369832,0.562405,-0.686673,2.412166,0.647762,-0.731316,2.386016,0.294909,-0.312454,2.549815,0.063305,-0.579891,2.547657,0.059334,-0.673275,2.575244
0.594490,0.778004,2.408021,0.459016,0.666177,2.390820,0.395813,0.495156,2.285722,0.589641,0.508285,2.454854,0.454195,0.247970,2.375329,0.493761,0.177340,2.328660,0.452418,0.126566,2.279821,0.553360,0.107438,2.354317,0.306267,0.210000,2.216583,0.336752,-0.021654,2.201869,0.358416,-0.087896,2.219563,0.632518,0.285126,2.551462,0.665859,0.039955,2.633456,0.658061,-0.043402,2.654974,0.518495,-0.298860,2.375852,0.489735,-0.692377,2.430333,0.567078,-0.734123,2.415181,0.289852,-0.313215,2.552367,0.061161,-0.547165,2.538834,0.050621,-0.650189,2.567448
0.583319,0.779201,2.410111,0.450256,0.674124,2.391106,0.384491,0.497035,2.283864,0.579012,0.517512,2.455108,0.452156,0.230033,2.371481,0.494433,0.148334,2.323667,0.451231,0.109832,2.306880,0.552897,0.101221,2.327101,0.298458,0.211281,2.207571,0.334340,-0.017734,2.193813,0.359354,-0.075075,2.206144,0.610453,0.290878,2.542430,0.651603,0.039327,2.630702,0.623454,-0.043754,2.649436,0.489122,-0.307894,2.378282,0.428489,-0.689456,2.441644,0.498161,-0.736558,2.434731,0.287828,-0.316188,2.553376,0.062494,-0.534081,2.536427,0.084837,-0.637234,2.565011
0.566646,0.786093,2.416958,0.441505,0.680093,2.391663,0.372945,0.500949,2.282956,0.569045,0.525451,2.455632,0.446151,0.221862,2.370301,0.488754,0.136835,2.322506,0.444801,0.104005,2.318331,0.542799,0.098611,2.316814,0.292111,0.216451,2.197756,0.341257,-0.004070,2.181929,0.365720,-0.060549,2.191882,0.566071,0.258905,2.359511,0.630351,0.055517,2.570518,0.619901,-0.026791,2.632397,0.444989,-0.316450,2.381778,0.368033,-0.684861,2.448264,0.438578,-0.737590,2.440894,0.284302,-0.318695,2.554231,0.125315,-0.588059,2.545207,0.159670,-0.671930,2.590218
0.553023,0.792361,2.424412,0.429755,0.686151,2.393800,0.361230,0.507558,2.283546,0.557669,0.533895,2.457289,0.429629,0.219762,2.373698,0.470736,0.133406,2.327219,0.424588,0.104872,2.328271,0.519854,0.098815,2.320144,0.286517,0.228924,2.187372,0.350474,0.017542,2.170214,0.378039,-0.044323,2.178577,0.537776,0.260086,2.312775,0.619687,0.068347,2.551856,0.622304,-0.000327,2.627023,0.396335,-0.326334,2.389881,0.304374,-0.683002,2.463933,0.383048,-0.734083,2.448000,0.305811,-0.350794,2.540159,0.185448,-0.625573,2.564007,0.237518,-0.703203,2.603262
0.542006,0.797707,2.432323,0.417370,0.691556,2.396955,0.349438,0.515438,2.284906,0.546248,0.541681,2.459700,0.412279,0.222374,2.378498,0.452396,0.136284,2.333155,0.407471,0.108094,2.332935,0.499544,0.100897,2.328236,0.282782,0.239770,2.180357,0.361247,0.036090,2.162039,0.400576,-0.019831,2.164031,0.525836,0.258025,2.284060,0.612837,0.077319,2.541753,0.624811,0.018075,2.625356,0.349379,-0.329883,2.396140,0.247058,-0.680913,2.468023,0.319064,-0.722142,2.454878,0.479163,-0.291667,2.514233,0.245065,-0.621191,2.566201,0.270306,-0.708208,2.604545
