Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.615231,0.488144,2.650679,0.601625,0.381606,2.578060,0.606550,0.308501,2.572110,0.624109,0.085931,2.542706,0.717606,0.250368,2.718977,0.547435,0.204263,2.464556,0.653627,-0.215911,2.489505,0.684700,-0.224063,2.495454,0.600414,-0.202998,2.414994,0.795389,-0.040018,2.742267,0.863128,-0.246188,2.775979,0.914065,-0.287109,2.778421,0.925436,-0.311745,2.764500,0.889755,-0.293647,2.785103,0.510461,-0.073773,2.367142,0.550420,-0.290294,2.322815,0.527490,-0.286908,2.361345,0.536594,-0.298018,2.363805,0.501881,-0.277690,2.335667,0.678674,-0.538464,2.474053,0.412974,-0.723548,2.581571,0.477891,-0.746459,2.492571,0.708178,-0.476323,2.432473,0.737380,-0.815900,2.440557,0.797950,-0.837469,2.352967
0.654846,0.510163,2.642310,0.645002,0.404874,2.564033,0.642688,0.327037,2.562408,0.637573,0.091802,2.543591,0.760842,0.273560,2.704996,0.564793,0.213287,2.484037,0.652308,-0.217647,2.499908,0.685121,-0.224793,2.496568,0.597232,-0.204364,2.443046,0.838350,-0.016976,2.728391,0.907543,-0.222973,2.760812,0.958384,-0.264035,2.762861,0.969599,-0.288750,2.748984,0.933715,-0.270754,2.769646,0.575266,-0.041528,2.354576,0.642709,-0.245863,2.287072,0.656436,-0.286030,2.347046,0.669019,-0.326965,2.361390,0.619658,-0.323442,2.349875,0.719832,-0.591326,2.473678,0.463673,-0.773392,2.603928,0.413574,-0.846680,2.591797,0.684956,-0.506263,2.454878,0.684304,-0.834227,2.452211,0.729366,-0.883284,2.423796
0.661627,0.513059,2.639587,0.652048,0.407157,2.563243,0.650122,0.330429,2.561058,0.643021,0.096650,2.542778,0.767866,0.275838,2.704211,0.625718,0.273222,2.468970,0.646927,-0.214972,2.502988,0.675700,-0.223557,2.494896,0.596007,-0.200509,2.446761,0.845331,-0.014710,2.727621,0.914494,-0.220716,2.760050,0.965335,-0.261779,2.762099,0.976527,-0.286502,2.748229,0.938744,-0.269123,2.769103,0.600051,-0.013894,2.352041,0.679863,-0.215361,2.291092,0.680218,-0.238944,2.300506,0.709745,-0.259951,2.297280,0.658670,-0.269223,2.333913,0.624094,-0.600665,2.580033,0.501551,-0.818547,2.608696,0.536621,-0.883789,2.568359,0.684557,-0.506446,2.451946,0.663633,-0.831598,2.460070,0.708064,-0.881611,2.428854
0.680768,0.521961,2.636546,0.670698,0.415681,2.561107,0.674079,0.340929,2.557634,0.684615,0.112682,2.537027,0.786456,0.284340,2.702093,0.641996,0.275220,2.465523,0.685666,-0.203204,2.501113,0.715414,-0.208324,2.487234,0.640702,-0.191277,2.445760,0.863808,-0.006256,2.725546,0.932896,-0.212297,2.758001,0.983734,-0.253359,2.760049,0.994867,-0.278112,2.746197,0.958876,-0.260167,2.766892,0.643652,0.034561,2.334786,0.759054,-0.134745,2.238350,0.769760,-0.159911,2.230196,0.801712,-0.191579,2.236797,0.770843,-0.199973,2.239334,0.822291,-0.516230,2.545874,0.674511,-0.776875,2.605076,0.701995,-0.849464,2.509775,0.673308,-0.530441,2.459612,0.615494,-0.840615,2.479789,0.667969,-0.882324,2.474609
0.691515,0.522416,2.636852,0.678358,0.415926,2.562140,0.682815,0.340815,2.560085,0.696022,0.110725,2.545914,0.794090,0.284589,2.703129,0.651562,0.275104,2.465237,0.714402,-0.206370,2.527275,0.739505,-0.211000,2.512601,0.668521,-0.195729,2.470960,0.871397,-0.006002,2.726593,0.940456,-0.212042,2.759057,0.991293,-0.253104,2.761104,1.002404,-0.277859,2.747260,0.966384,-0.259916,2.767965,0.650338,0.036220,2.331747,0.776734,-0.119878,2.226634,0.805522,-0.134231,2.216753,0.847724,-0.159052,2.218552,0.803883,-0.173220,2.220333,0.820299,-0.546886,2.550379,0.745726,-0.841167,2.563557,0.783331,-0.894397,2.515002,0.635303,-0.546239,2.458673,0.591177,-0.846184,2.481208,0.677936,-0.874972,2.486841
0.706210,0.518195,2.636016,0.686651,0.411846,2.561994,0.692512,0.335064,2.561863,0.709981,0.097882,2.555705,0.802355,0.280523,2.702979,0.659414,0.270709,2.463415,0.729744,-0.226966,2.542980,0.752108,-0.226085,2.517464,0.689143,-0.224910,2.505708,0.879609,-0.010038,2.726447,0.948633,-0.216060,2.758919,0.999454,-0.257108,2.760964,1.010539,-0.281850,2.747130,0.974488,-0.263891,2.767849,0.673603,0.041589,2.314586,0.823278,-0.082137,2.197294,0.841126,-0.085478,2.199480,0.896573,-0.118478,2.199529,0.817258,-0.110544,2.195731,0.854357,-0.561466,2.544539,0.896528,-0.821859,2.527883,0.968791,-0.873503,2.461960,0.610545,-0.536694,2.462991,0.520509,-0.844096,2.495674,0.548850,-0.905878,2.462891
0.713185,0.512205,2.637525,0.693208,0.405985,2.563549,0.698236,0.328718,2.564062,0.712200,0.091558,2.558264,0.808889,0.274683,2.704527,0.664137,0.265402,2.463955,0.728568,-0.233131,2.544325,0.751768,-0.235428,2.517039,0.687376,-0.227169,2.506232,0.886102,-0.015835,2.727994,0.955101,-0.221829,2.760469,1.005898,-0.262859,2.762513,1.016966,-0.287582,2.748687,0.980892,-0.269598,2.769416,0.679978,0.040740,2.311856,0.829689,-0.084031,2.195894,0.853904,-0.080101,2.195224,0.912379,-0.111398,2.193938,0.840489,-0.111962,2.188355,0.862437,-0.573729,2.546073,0.968651,-0.847013,2.511866,1.028320,-0.857422,2.445313,0.587849,-0.541714,2.468152,0.496458,-0.853045,2.502789,0.542475,-0.902792,2.461268
0.725461,0.489912,2.642355,0.710186,0.384379,2.566570,0.713159,0.305695,2.568031,0.720176,0.064281,2.563997,0.825804,0.253150,2.707522,0.674643,0.244126,2.463241,0.726518,-0.267112,2.550189,0.751788,-0.269128,2.517735,0.682135,-0.256622,2.513769,0.902908,-0.037218,2.730975,0.971839,-0.243113,2.763460,1.022633,-0.284141,2.765501,1.033655,-0.308794,2.751697,0.997523,-0.290720,2.772458,0.688690,0.035130,2.310630,0.845020,-0.085657,2.200083,0.863557,-0.091344,2.191977,0.923212,-0.125174,2.189225,0.850415,-0.121542,2.161920,0.869177,-0.572211,2.542781,1.010249,-0.826793,2.486311,1.101788,-0.834655,2.427003,0.576375,-0.542830,2.470259,0.430226,-0.838681,2.507631,0.437739,-0.907422,2.477459
0.728468,0.485938,2.642555,0.713368,0.380435,2.566909,0.715352,0.303533,2.568704,0.720998,0.064937,2.565295,0.828974,0.249220,2.707857,0.679813,0.240125,2.466026,0.726099,-0.255748,2.556122,0.748804,-0.247176,2.559432,0.682626,-0.244544,2.502557,0.906057,-0.041122,2.731308,0.974976,-0.246999,2.763794,1.025769,-0.288026,2.765835,1.036783,-0.312666,2.752036,1.000639,-0.294576,2.772802,0.694731,0.027861,2.311678,0.844031,-0.101374,2.200805,0.860084,-0.108556,2.195816,0.916929,-0.141892,2.191992,0.841236,-0.137843,2.181031,0.881927,-0.574060,2.537999,0.992699,-0.824471,2.487549,1.076172,-0.853027,2.427734,0.571029,-0.542901,2.471009,0.415069,-0.835958,2.508751,0.421498,-0.904930,2.478454
0.743005,0.480883,2.649549,0.723140,0.376294,2.571936,0.724071,0.301396,2.572935,0.727144,0.068831,2.567961,0.838716,0.245102,2.712880,0.692818,0.237652,2.473962,0.731634,-0.242024,2.555296,0.751972,-0.244593,2.558165,0.689987,-0.224320,2.490275,0.915745,-0.045200,2.736337,0.984630,-0.251055,2.768832,1.035422,-0.292081,2.770871,1.046412,-0.316710,2.757082,1.010239,-0.298605,2.777861,0.703849,0.000971,2.321779,0.819321,-0.164209,2.218442,0.828371,-0.158863,2.215545,0.876774,-0.200064,2.207840,0.802064,-0.182587,2.200087,0.886561,-0.569613,2.539968,0.956343,-0.815543,2.502404,1.016970,-0.842263,2.421737,0.572477,-0.542581,2.470587,0.368492,-0.814167,2.511088,0.348504,-0.882838,2.480945
