HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.604995,0.663850,2.598057,0.542569,0.505308,2.546647,0.500740,0.392217,2.469011,0.710330,0.378155,2.667654,0.536040,0.141088,2.519728,0.565727,0.070540,2.482718,0.514299,0.035136,2.456296,0.605205,-0.008349,2.518643,0.375640,0.157021,2.379020,0.351627,-0.038775,2.315513,0.340073,-0.102216,2.317066,0.554294,0.291276,2.433373,0.671080,0.148596,2.616666,0.762167,0.119960,2.626361,0.673339,-0.365755,2.471356,0.760070,-0.739719,2.466702,0.858148,-0.754944,2.433446,0.474623,-0.404743,2.624676,0.346990,-0.727621,2.635298,0.414942,-0.771238,2.622902
0.602978,0.662610,2.598172,0.540046,0.505903,2.547381,0.494783,0.387841,2.469160,0.706662,0.377043,2.667967,0.533046,0.138020,2.526448,0.563465,0.066906,2.492018,0.514144,0.031418,2.456450,0.604789,-0.014693,2.533218,0.363383,0.195466,2.385350,0.346071,-0.038897,2.315787,0.333847,-0.103442,2.313311,0.550616,0.290136,2.433628,0.682625,0.155392,2.613214,0.780760,0.129116,2.615352,0.678917,-0.365323,2.471229,0.780376,-0.726903,2.446759,0.873414,-0.742624,2.418701,0.463230,-0.404776,2.629544,0.309075,-0.732922,2.639054,0.390769,-0.777639,2.636746
0.601719,0.661844,2.598203,0.539193,0.507164,2.547845,0.490476,0.380994,2.468369,0.704210,0.376157,2.668140,0.531426,0.135881,2.531033,0.562478,0.064518,2.497727,0.514714,0.027885,2.456502,0.605131,-0.018302,2.540612,0.357308,0.210607,2.387324,0.342177,-0.038840,2.315918,0.329763,-0.105041,2.308987,0.548157,0.289229,2.433759,0.698040,0.160908,2.606618,0.793822,0.133165,2.607491,0.674652,-0.358352,2.470322,0.795070,-0.732304,2.443219,0.887936,-0.729262,2.414194,0.454209,-0.405920,2.633340,0.286743,-0.736214,2.640149,0.370912,-0.781967,2.643014
0.601581,0.661210,2.597975,0.540314,0.508073,2.547957,0.488758,0.372891,2.467132,0.702572,0.375368,2.668228,0.532076,0.132507,2.536670,0.563902,0.060531,2.504431,0.518497,0.020866,2.458544,0.608686,-0.023342,2.548757,0.376379,0.150177,2.376041,0.337918,-0.056630,2.308771,0.328144,-0.108723,2.303267,0.546508,0.288437,2.433821,0.711913,0.162099,2.600038,0.799001,0.129841,2.616531,0.681768,-0.366805,2.474588,0.795719,-0.715255,2.438299,0.887267,-0.733151,2.415334,0.447884,-0.406709,2.635589,0.266971,-0.737000,2.640129,0.333988,-0.779236,2.650112
0.603088,0.659639,2.596772,0.543743,0.507600,2.546785,0.490319,0.361844,2.464531,0.702177,0.373644,2.667705,0.535580,0.124895,2.540978,0.568234,0.051530,2.509143,0.524094,0.011616,2.462466,0.613571,-0.028841,2.550719,0.383484,0.119118,2.369904,0.336755,-0.071397,2.303107,0.328781,-0.112783,2.298757,0.546102,0.286773,2.433305,0.721436,0.160085,2.595066,0.801132,0.122565,2.624084,0.688581,-0.370827,2.476832,0.822140,-0.716313,2.429514,0.912776,-0.733851,2.407086,0.442216,-0.408152,2.637516,0.246278,-0.736473,2.640614,0.269575,-0.795431,2.647462
0.606026,0.657469,2.594603,0.549460,0.506127,2.544472,0.492719,0.353675,2.462143,0.703402,0.371035,2.666424,0.538647,0.119774,2.543023,0.571488,0.045952,2.511071,0.528049,0.005993,2.463834,0.617990,-0.032774,2.550299,0.389915,0.099902,2.365847,0.337202,-0.080813,2.299685,0.332007,-0.118101,2.295145,0.547321,0.284253,2.432051,0.727050,0.155414,2.591529,0.798618,0.109719,2.630542,0.690408,-0.370474,2.477423,0.800372,-0.709903,2.439964,0.887264,-0.744401,2.420545,0.430581,-0.422371,2.642919,0.226013,-0.735708,2.642817,0.220316,-0.806173,2.648754
0.609935,0.655439,2.591902,0.555251,0.504756,2.541846,0.495540,0.348075,2.459772,0.705634,0.368392,2.664684,0.542291,0.114811,2.542035,0.575322,0.040477,2.509017,0.530892,0.002201,2.464260,0.626046,-0.036629,2.533998,0.394805,0.089574,2.363453,0.339398,-0.087714,2.297658,0.336947,-0.123052,2.293489,0.549559,0.281694,2.430342,0.726814,0.146087,2.589463,0.775874,0.088504,2.607275,0.690631,-0.377603,2.478967,0.764775,-0.716166,2.461632,0.850410,-0.758057,2.443149,0.427009,-0.426196,2.644591,0.209213,-0.725921,2.648092,0.202000,-0.803282,2.650583
0.613317,0.654199,2.589363,0.560005,0.503935,2.539381,0.498658,0.344587,2.457269,0.708206,0.366200,2.662749,0.545445,0.110559,2.538963,0.578570,0.035683,2.504263,0.532798,-0.000273,2.464460,0.630563,-0.038735,2.514657,0.400875,0.083398,2.361068,0.343511,-0.092871,2.296812,0.345186,-0.128111,2.295031,0.552148,0.279574,2.428435,0.719323,0.132947,2.588552,0.752159,0.069423,2.594462,0.689809,-0.387192,2.481360,0.714459,-0.725958,2.487416,0.783915,-0.769136,2.475016,0.431040,-0.433571,2.647275,0.200725,-0.713896,2.653356,0.184922,-0.791613,2.660083
0.616214,0.654406,2.585836,0.563658,0.504420,2.536041,0.501841,0.344010,2.454118,0.710615,0.365060,2.660129,0.547704,0.108422,2.533454,0.580704,0.033448,2.496970,0.534433,-0.001612,2.463017,0.632196,-0.037917,2.502416,0.408133,0.082703,2.358634,0.353120,-0.095470,2.296896,0.359803,-0.131976,2.299568,0.554583,0.278492,2.425838,0.695860,0.115640,2.586932,0.705543,0.046670,2.593195,0.676406,-0.398664,2.487233,0.652972,-0.728395,2.509021,0.728698,-0.774315,2.501085,0.544960,-0.421583,2.562402,0.235968,-0.667978,2.647503,0.185431,-0.739553,2.652623
0.617906,0.655252,2.582973,0.565719,0.505396,2.533335,0.503973,0.345761,2.450909,0.712289,0.364601,2.657840,0.548277,0.108932,2.529624,0.580997,0.034494,2.492339,0.534845,-0.001454,2.461576,0.631848,-0.031089,2.496801,0.422572,0.092374,2.353804,0.376416,-0.090835,2.293551,0.372512,-0.133861,2.304317,0.556282,0.278080,2.423567,0.668694,0.100474,2.584554,0.670687,0.031527,2.594522,0.670624,-0.403070,2.488918,0.595524,-0.727940,2.525404,0.671401,-0.778254,2.521977,0.568760,-0.400511,2.523162,0.275069,-0.639776,2.648956,0.214254,-0.711967,2.657962
