Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.395102,0.541631,2.785180,0.355940,0.432717,2.735882,0.354908,0.351368,2.738947,0.349028,0.102053,2.737109,0.471874,0.276803,2.778798,0.291189,0.280471,2.584123,0.337210,-0.237711,2.721170,0.374016,-0.244309,2.734726,0.291396,-0.224514,2.631758,0.434938,0.080867,2.601478,0.298305,-0.117417,2.505848,0.239783,-0.176069,2.537786,0.238443,-0.182027,2.524402,0.241696,-0.181378,2.504866,0.296953,0.040019,2.477144,0.387583,-0.150273,2.435128,0.408693,-0.212021,2.441956,0.446422,-0.267254,2.464488,0.424892,-0.189126,2.416739,0.491197,-0.587791,2.715698,0.642461,-0.859708,2.668113,0.713621,-0.904489,2.630411,0.183937,-0.538952,2.661620,0.052195,-0.834636,2.674676,0.069369,-0.918332,2.626394
0.394339,0.535484,2.783763,0.351944,0.427801,2.734969,0.351763,0.346919,2.738351,0.348256,0.098904,2.737537,0.467889,0.271895,2.777879,0.290710,0.278982,2.584303,0.339944,-0.241429,2.724269,0.374777,-0.246088,2.735740,0.296865,-0.230604,2.637780,0.430973,0.075984,2.600548,0.294355,-0.122279,2.504909,0.276472,-0.166109,2.487499,0.308518,-0.148569,2.427988,0.306744,-0.144433,2.414000,0.290236,0.038177,2.477971,0.361710,-0.150047,2.430671,0.377995,-0.220104,2.436485,0.411174,-0.280906,2.463096,0.400659,-0.214098,2.409000,0.483443,-0.588185,2.708902,0.620799,-0.875360,2.655912,0.702525,-0.899995,2.630810,0.169454,-0.549124,2.659730,0.020108,-0.838084,2.669920,0.030106,-0.922298,2.617901
0.394364,0.533961,2.783811,0.351724,0.426412,2.735344,0.351849,0.345485,2.738952,0.350316,0.096788,2.739778,0.467670,0.270510,2.778253,0.290308,0.276584,2.585391,0.349936,-0.244062,2.732708,0.384534,-0.246713,2.742944,0.305645,-0.234821,2.646405,0.430765,0.074665,2.600966,0.294204,-0.123538,2.505333,0.302306,-0.165406,2.444160,0.308895,-0.198327,2.431468,0.301190,-0.161281,2.401200,0.281053,0.033623,2.485560,0.339440,-0.191512,2.444365,0.353648,-0.239140,2.446882,0.378010,-0.297660,2.469865,0.362113,-0.237423,2.414500,0.460927,-0.543978,2.708703,0.575462,-0.853049,2.664046,0.647689,-0.897362,2.623920,0.169250,-0.548673,2.658614,0.007267,-0.837266,2.667338,0.007659,-0.922012,2.615220
0.396245,0.530443,2.784529,0.351705,0.423640,2.735780,0.352300,0.343039,2.739287,0.352438,0.094973,2.739937,0.467650,0.267744,2.778685,0.290562,0.274920,2.585705,0.354746,-0.244568,2.731877,0.391654,-0.247015,2.744173,0.309115,-0.235474,2.643807,0.430756,0.071982,2.601449,0.294262,-0.126144,2.505823,0.291752,-0.173948,2.441087,0.303094,-0.229307,2.418455,0.300922,-0.166782,2.399133,0.280291,0.032488,2.484755,0.332192,-0.196899,2.441045,0.326981,-0.245860,2.443012,0.346606,-0.309892,2.466757,0.335530,-0.227828,2.400000,0.461271,-0.542483,2.709049,0.565221,-0.848761,2.667853,0.633469,-0.882159,2.559140,0.174845,-0.550585,2.651966,-0.015712,-0.838505,2.655785,-0.015749,-0.924164,2.611253
0.397701,0.529836,2.785099,0.351772,0.423561,2.736023,0.352822,0.342795,2.739649,0.357486,0.093700,2.740749,0.467717,0.267667,2.778928,0.291411,0.274753,2.586968,0.369642,-0.247394,2.731965,0.413226,-0.252023,2.725876,0.326018,-0.237876,2.660544,0.430825,0.071916,2.601701,0.339826,-0.147882,2.499624,0.304492,-0.216511,2.422399,0.293645,-0.264441,2.426242,0.322940,-0.249956,2.411727,0.278696,0.032653,2.485416,0.321581,-0.191924,2.434853,0.306812,-0.233417,2.426522,0.314068,-0.296780,2.440910,0.328630,-0.239419,2.412400,0.473316,-0.564974,2.710077,0.542767,-0.845651,2.671975,0.611449,-0.878439,2.562946,0.249550,-0.513749,2.628066,0.020983,-0.798680,2.645708,0.096541,-0.831741,2.535877
0.399591,0.529143,2.784416,0.352491,0.423400,2.736421,0.354789,0.342471,2.740024,0.365360,0.093317,2.740066,0.468434,0.267506,2.779325,0.292202,0.275327,2.587959,0.383934,-0.246699,2.728317,0.424686,-0.251585,2.717968,0.334596,-0.236320,2.661706,0.431544,0.071787,2.602122,0.339554,-0.146854,2.498368,0.297130,-0.212619,2.418476,0.286446,-0.252772,2.415253,0.313631,-0.242435,2.417600,0.277620,0.034211,2.484059,0.313750,-0.193684,2.432041,0.294077,-0.231603,2.424240,0.294904,-0.297355,2.437122,0.314573,-0.253776,2.425167,0.469780,-0.568517,2.710840,0.514517,-0.845282,2.673505,0.583676,-0.877326,2.564093,0.269635,-0.515160,2.616425,0.031296,-0.792531,2.631140,0.106826,-0.824881,2.520989
0.402567,0.529931,2.783954,0.355432,0.424242,2.737082,0.358319,0.343313,2.740056,0.368974,0.094394,2.738210,0.471367,0.268347,2.779985,0.293696,0.275022,2.589939,0.385926,-0.245179,2.723857,0.427693,-0.247214,2.705206,0.335101,-0.236031,2.661369,0.434472,0.072687,2.602837,0.336206,-0.124640,2.464591,0.288266,-0.180519,2.416532,0.275704,-0.231206,2.401670,0.300868,-0.217433,2.387000,0.276698,0.034739,2.484433,0.309331,-0.198470,2.433050,0.284727,-0.239730,2.425396,0.278885,-0.298470,2.443024,0.310283,-0.238449,2.414909,0.419543,-0.631886,2.699212,0.538883,-0.871145,2.666127,0.474465,-0.938352,2.628561,0.310445,-0.520407,2.611576,0.053140,-0.780457,2.628221,0.127856,-0.812732,2.517384
0.423768,0.524384,2.786282,0.359370,0.427639,2.739030,0.363582,0.347804,2.741636,0.377726,0.103558,2.738364,0.475293,0.271740,2.781936,0.295717,0.276735,2.591121,0.397816,-0.227772,2.721665,0.439041,-0.229568,2.720585,0.350832,-0.212226,2.642110,0.438386,0.076111,2.604833,0.338714,-0.120734,2.467010,0.292644,-0.180816,2.415774,0.275263,-0.234535,2.405685,0.316120,-0.209834,2.402211,0.277308,0.037777,2.482567,0.308051,-0.197848,2.432328,0.289241,-0.239199,2.425653,0.277982,-0.298368,2.445135,0.316518,-0.241859,2.419969,0.421000,-0.615721,2.699435,0.501788,-0.871191,2.673538,0.431892,-0.931874,2.621837,0.356028,-0.497513,2.593434,0.094535,-0.752394,2.619913,0.168516,-0.784420,2.508503
0.425416,0.529333,2.785167,0.364289,0.430525,2.739035,0.368274,0.351090,2.740236,0.381319,0.108871,2.731956,0.480200,0.274621,2.781943,0.300540,0.281382,2.592485,0.397229,-0.218623,2.704052,0.438721,-0.221101,2.700281,0.347569,-0.208140,2.632180,0.443266,0.078977,2.604847,0.341669,-0.117544,2.467993,0.305367,-0.162804,2.401854,0.293995,-0.194911,2.376198,0.329679,-0.193260,2.383167,0.279077,0.042913,2.483222,0.303399,-0.138379,2.415351,0.302990,-0.206346,2.411655,0.300876,-0.274131,2.420933,0.327212,-0.195830,2.396700,0.411948,-0.606942,2.682342,0.461761,-0.870086,2.685060,0.439462,-0.947071,2.612273,0.393552,-0.489083,2.583304,0.143063,-0.754739,2.609887,0.216272,-0.786223,2.498134
0.429421,0.531394,2.783471,0.367768,0.432978,2.739035,0.371897,0.354245,2.738789,0.384874,0.115033,2.724659,0.483669,0.277068,2.781944,0.302398,0.284911,2.593150,0.399304,-0.209320,2.688934,0.441546,-0.208512,2.685938,0.347052,-0.203034,2.615582,0.446716,0.081411,2.604854,0.345424,-0.124535,2.483628,0.314612,-0.169045,2.408980,0.309026,-0.210667,2.395880,0.337203,-0.205802,2.398385,0.280078,0.046693,2.483392,0.308317,-0.136341,2.418035,0.317458,-0.205288,2.414014,0.323921,-0.272126,2.423828,0.345769,-0.187295,2.407000,0.406393,-0.594922,2.651789,0.421175,-0.856922,2.694810,0.425501,-0.933593,2.618642,0.401149,-0.497325,2.583832,0.160030,-0.771746,2.607215,0.127926,-0.851947,2.552821
