Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
-0.248637,0.565788,2.896296,-0.228308,0.465281,2.802694,-0.227062,0.383629,2.801522,-0.223214,0.133747,2.788136,-0.111458,0.295824,2.848018,-0.260017,0.330116,2.654561,-0.219786,-0.206857,2.759507,-0.172471,-0.206343,2.737175,-0.261537,-0.201984,2.703975,-0.087811,0.081589,2.982909,-0.079791,-0.160222,3.072702,-0.071553,-0.219333,3.084088,-0.065089,-0.228901,3.085073,-0.064798,-0.219411,3.070399,-0.222583,0.089553,2.528896,-0.107910,-0.064811,2.480888,-0.084101,-0.110383,2.481224,-0.051785,-0.172335,2.503958,-0.117230,-0.116809,2.450957,-0.142750,-0.511074,2.798273,-0.065972,-0.851676,2.786296,0.014381,-0.906488,2.755778,-0.411409,-0.531257,2.651304,-0.567643,-0.849352,2.639225,-0.554700,-0.914211,2.605069
-0.256561,0.563971,2.897439,-0.236517,0.462485,2.804943,-0.235224,0.380487,2.802973,-0.231171,0.129349,2.787269,-0.119651,0.293038,2.850270,-0.272058,0.328331,2.656095,-0.226649,-0.213513,2.755399,-0.177460,-0.211683,2.733094,-0.269825,-0.209500,2.700324,-0.095959,0.078950,2.985071,-0.087898,-0.162695,3.074833,-0.079660,-0.221806,3.086219,-0.073167,-0.231365,3.087206,-0.072839,-0.221866,3.072533,-0.240506,0.088160,2.528237,-0.128265,-0.067471,2.478508,-0.116119,-0.114289,2.472134,-0.082141,-0.181111,2.494672,-0.148333,-0.122113,2.447819,-0.151579,-0.513650,2.795449,-0.087725,-0.853196,2.778301,-0.013419,-0.914763,2.749617,-0.416470,-0.529424,2.649047,-0.599844,-0.847266,2.627588,-0.587393,-0.912183,2.594109
-0.269267,0.564608,2.899235,-0.246532,0.460859,2.806330,-0.248062,0.378724,2.802768,-0.255357,0.127119,2.779608,-0.129644,0.291420,2.851664,-0.287997,0.329387,2.659178,-0.270579,-0.216190,2.731323,-0.218668,-0.209279,2.703522,-0.315574,-0.216987,2.681518,-0.105881,0.077346,2.986465,-0.097775,-0.164291,3.076228,-0.089536,-0.223401,3.087614,-0.083009,-0.232955,3.088603,-0.082636,-0.223449,3.073931,-0.262174,0.089393,2.529582,-0.163831,-0.072656,2.469629,-0.147460,-0.116567,2.467507,-0.117732,-0.181996,2.487788,-0.179704,-0.125758,2.442364,-0.161563,-0.516735,2.795547,-0.118934,-0.852599,2.773747,-0.054099,-0.874402,2.682797,-0.421061,-0.529862,2.647038,-0.624044,-0.839172,2.619956,-0.623307,-0.903791,2.579924
-0.279692,0.573417,2.901160,-0.273721,0.469407,2.815043,-0.273716,0.387742,2.808405,-0.273857,0.136956,2.779080,-0.156785,0.299971,2.860413,-0.297358,0.331265,2.657647,-0.277843,-0.206746,2.728837,-0.232246,-0.206395,2.699461,-0.317720,-0.195549,2.680130,-0.132832,0.085855,2.995240,-0.124605,-0.155813,3.085015,-0.116366,-0.214922,3.096403,-0.109745,-0.224509,3.097393,-0.109251,-0.215044,3.082722,-0.280756,0.090367,2.528333,-0.185324,-0.072183,2.464303,-0.181930,-0.121070,2.459174,-0.152969,-0.190246,2.477434,-0.217490,-0.136007,2.458875,-0.178389,-0.520962,2.793308,-0.146489,-0.870538,2.767917,-0.095026,-0.936278,2.730361,-0.423296,-0.531203,2.640105,-0.638056,-0.832288,2.609904,-0.562131,-0.853923,2.524988
-0.290230,0.573251,2.900362,-0.278576,0.468903,2.815877,-0.279917,0.387633,2.809102,-0.284507,0.138904,2.778904,-0.161631,0.299471,2.861250,-0.331878,0.343502,2.662523,-0.292101,-0.200328,2.727289,-0.244647,-0.205300,2.701110,-0.331534,-0.186833,2.675550,-0.137643,0.085360,2.996078,-0.129395,-0.156305,3.085854,-0.121156,-0.215414,3.097242,-0.114518,-0.224999,3.098233,-0.114002,-0.215532,3.083563,-0.309548,0.102544,2.534125,-0.219111,-0.059746,2.461043,-0.211394,-0.122185,2.456328,-0.186648,-0.186047,2.476137,-0.245800,-0.131319,2.443667,-0.221700,-0.569661,2.785670,-0.191388,-0.874918,2.766611,-0.126146,-0.895539,2.674660,-0.356929,-0.501204,2.638199,-0.582063,-0.795187,2.610285,-0.511407,-0.816410,2.518934
-0.309055,0.570137,2.898425,-0.291904,0.466395,2.813783,-0.291352,0.385357,2.808685,-0.291146,0.137048,2.782279,-0.174928,0.296968,2.859166,-0.340367,0.340712,2.660391,-0.294701,-0.202750,2.737922,-0.246362,-0.207574,2.711422,-0.335120,-0.190991,2.687631,-0.150844,0.082872,2.993998,-0.142535,-0.158783,3.083775,-0.134295,-0.217892,3.095164,-0.127611,-0.227468,3.096157,-0.127034,-0.217989,3.081490,-0.333536,0.100091,2.529602,-0.244734,-0.063317,2.457010,-0.243660,-0.124586,2.449965,-0.220534,-0.189547,2.469119,-0.274875,-0.161162,2.475286,-0.239713,-0.558258,2.776424,-0.242419,-0.872708,2.762587,-0.188423,-0.930541,2.726563,-0.361974,-0.504421,2.620668,-0.596922,-0.790746,2.596812,-0.525319,-0.812117,2.506395
-0.330086,0.578267,2.898092,-0.329324,0.474981,2.810292,-0.327644,0.393939,2.806604,-0.320653,0.145232,2.785122,-0.212268,0.305541,2.855728,-0.360142,0.340824,2.662203,-0.311590,-0.195265,2.744462,-0.262327,-0.196751,2.716646,-0.352489,-0.187667,2.695415,-0.187932,0.091530,2.990493,-0.179449,-0.149982,3.080251,-0.171212,-0.209064,3.091636,-0.164397,-0.218671,3.092634,-0.163652,-0.209232,3.077973,-0.363804,0.102922,2.526437,-0.273717,-0.058830,2.451576,-0.269105,-0.122039,2.442939,-0.248391,-0.182302,2.459231,-0.300305,-0.122084,2.411789,-0.276516,-0.592918,2.775733,-0.282854,-0.867343,2.753683,-0.213689,-0.888144,2.665093,-0.335839,-0.505028,2.630940,-0.601468,-0.762632,2.594545,-0.527769,-0.784332,2.506438
-0.346772,0.578922,2.894578,-0.333930,0.475160,2.808278,-0.333594,0.394542,2.804296,-0.332502,0.147970,2.782092,-0.216861,0.305718,2.853721,-0.375573,0.343651,2.659507,-0.332965,-0.187489,2.741822,-0.281691,-0.188951,2.714780,-0.374793,-0.180686,2.691919,-0.192506,0.091841,2.988389,-0.183998,-0.149503,3.078116,-0.175760,-0.208585,3.089501,-0.168929,-0.218193,3.090500,-0.165900,-0.209003,3.076845,-0.390786,0.107827,2.521196,-0.300140,-0.053357,2.445859,-0.298850,-0.106453,2.431618,-0.276170,-0.172812,2.443492,-0.332943,-0.105671,2.405174,-0.297977,-0.595158,2.761772,-0.332098,-0.866060,2.742901,-0.302979,-0.927246,2.710938,-0.333576,-0.501276,2.621146,-0.597854,-0.760685,2.590060,-0.525903,-0.782522,2.499955
-0.361428,0.586246,2.888702,-0.360126,0.480108,2.809287,-0.359231,0.401019,2.805572,-0.355496,0.158607,2.784540,-0.243005,0.310665,2.854762,-0.410724,0.349295,2.654364,-0.349926,-0.172714,2.745933,-0.303284,-0.171003,2.725666,-0.388079,-0.168569,2.690836,-0.218479,0.096888,2.989357,-0.209849,-0.144315,3.079061,-0.201611,-0.203397,3.090448,-0.194688,-0.213024,3.091448,-0.193804,-0.203611,3.076789,-0.421903,0.113716,2.515431,-0.330701,-0.046354,2.438241,-0.325773,-0.099259,2.422956,-0.301651,-0.164762,2.436445,-0.358810,-0.118213,2.414001,-0.313020,-0.589656,2.768798,-0.389629,-0.863369,2.733096,-0.355225,-0.930176,2.703125,-0.348109,-0.502833,2.610894,-0.595788,-0.778205,2.583738,-0.605747,-0.864060,2.537335
-0.380954,0.587789,2.871879,-0.377181,0.479771,2.799829,-0.377382,0.401682,2.796663,-0.377326,0.162607,2.777409,-0.260015,0.310318,2.845327,-0.428039,0.350860,2.647834,-0.377411,-0.162992,2.741765,-0.325148,-0.164137,2.725441,-0.419546,-0.156813,2.680687,-0.235369,0.096615,2.979872,-0.226657,-0.144487,3.069560,-0.218418,-0.203571,3.080947,-0.211434,-0.213195,3.081950,-0.210470,-0.203778,3.067295,-0.457599,0.118047,2.507327,-0.361691,-0.038671,2.428662,-0.354773,-0.095740,2.416778,-0.326132,-0.158943,2.429844,-0.390963,-0.109804,2.412462,-0.444488,-0.484761,2.742503,-0.434545,-0.855853,2.729355,-0.366086,-0.876825,2.637804,-0.364554,-0.520211,2.600153,-0.572283,-0.823771,2.584185,-0.503748,-0.883097,2.593824
