Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.374704,0.778023,2.484442,0.276978,0.670403,2.423947,0.255572,0.588234,2.424764,0.190442,0.336831,2.416664,0.338888,0.498111,2.505157,0.195319,0.514672,2.252207,0.103416,-0.007535,2.393156,0.132803,-0.010925,2.399434,0.071519,0.000562,2.313817,0.325008,0.215895,2.621274,0.276206,-0.007713,2.601986,0.260419,-0.081933,2.599437,0.254506,-0.081445,2.577871,0.258095,-0.081202,2.576239,0.166814,0.230452,2.137861,0.225234,0.009730,2.106181,0.215664,-0.042283,2.150899,0.260351,-0.106457,2.132936,0.258527,-0.014631,2.078360,0.253229,-0.352081,2.366460,0.022519,-0.681146,2.413790,0.132562,-0.728127,2.316273,0.212311,-0.384346,2.276949,0.180683,-0.736112,2.283974,0.248331,-0.800650,2.250302
0.374747,0.783137,2.487212,0.277652,0.675024,2.425535,0.256985,0.592684,2.425458,0.194181,0.341088,2.415325,0.339560,0.502727,2.506752,0.196658,0.518432,2.252261,0.110651,-0.003520,2.389495,0.140406,-0.008614,2.396230,0.077154,0.003911,2.310505,0.325679,0.220484,2.622881,0.276875,-0.003142,2.603599,0.261088,-0.077361,2.601051,0.255174,-0.076891,2.579485,0.258760,-0.076671,2.577852,0.174154,0.234227,2.136485,0.246470,0.018374,2.098906,0.238327,-0.015526,2.144311,0.287981,-0.094047,2.134072,0.271061,0.022201,2.077143,0.333859,-0.354756,2.469857,0.062983,-0.655803,2.417744,0.153015,-0.705398,2.329344,0.198064,-0.389460,2.278869,0.146651,-0.740401,2.290008,0.219170,-0.800522,2.254169
0.375378,0.786617,2.489334,0.278071,0.678754,2.427075,0.258298,0.595726,2.426188,0.198912,0.342940,2.414214,0.339978,0.506454,2.508298,0.197611,0.521255,2.252292,0.123734,-0.004933,2.384954,0.164814,-0.018447,2.394172,0.084290,0.006640,2.304062,0.326097,0.224191,2.624437,0.277293,0.000551,2.605159,0.261507,-0.073668,2.602612,0.255591,-0.073212,2.581046,0.259175,-0.073011,2.579412,0.182707,0.239769,2.135570,0.260379,0.026042,2.096165,0.260840,-0.010510,2.136466,0.306579,-0.083094,2.129366,0.288930,0.027124,2.069191,0.326941,-0.383441,2.462237,0.222922,-0.663788,2.469015,0.234812,-0.790511,2.407747,0.184799,-0.394880,2.279712,0.129679,-0.739781,2.288478,0.197404,-0.804862,2.257100
0.377585,0.786307,2.492983,0.279373,0.679559,2.429375,0.260450,0.596416,2.428002,0.204957,0.342456,2.414834,0.341276,0.507263,2.510598,0.199236,0.522783,2.254205,0.133914,-0.007658,2.384166,0.174690,-0.024292,2.398742,0.093018,0.007586,2.298032,0.327389,0.225002,2.626739,0.278581,0.001361,2.607463,0.262795,-0.072857,2.604915,0.256875,-0.072405,2.583349,0.260454,-0.072208,2.581716,0.189183,0.242890,2.135877,0.273725,0.031583,2.098408,0.288248,-0.005834,2.118219,0.325938,-0.078219,2.130293,0.312996,0.026058,2.064100,0.311904,-0.452393,2.459064,0.237395,-0.764913,2.431879,0.326279,-0.811350,2.344084,0.166417,-0.422252,2.286608,0.111237,-0.747319,2.292708,0.170404,-0.818898,2.248544
0.381912,0.783261,2.500336,0.282273,0.678357,2.434787,0.263631,0.595033,2.432471,0.208013,0.340043,2.417213,0.344167,0.506074,2.516003,0.200743,0.522635,2.255901,0.135434,-0.010740,2.385420,0.176429,-0.030150,2.405641,0.093711,0.005968,2.296486,0.330264,0.223837,2.632138,0.281448,0.000208,2.612862,0.265661,-0.074009,2.610315,0.259654,-0.073897,2.589019,0.263301,-0.073351,2.587118,0.197730,0.241639,2.136897,0.289613,0.034229,2.094236,0.313480,-0.005089,2.099734,0.346388,-0.074042,2.122079,0.339553,-0.015141,2.057400,0.316865,-0.458344,2.460588,0.294468,-0.756047,2.438356,0.355345,-0.823318,2.424301,0.164261,-0.424535,2.290954,0.078387,-0.751282,2.288353,0.146385,-0.816559,2.250543
0.386965,0.779643,2.510263,0.286330,0.676391,2.442139,0.267545,0.592951,2.439263,0.210643,0.337291,2.422273,0.348211,0.504127,2.523344,0.203313,0.521862,2.259547,0.135470,-0.014042,2.389677,0.175687,-0.035299,2.417158,0.093482,0.005085,2.296464,0.334286,0.221925,2.639473,0.285457,-0.001687,2.620195,0.269671,-0.075902,2.617647,0.261957,-0.076877,2.596105,0.267282,-0.075229,2.594454,0.205761,0.241526,2.137465,0.304489,0.037637,2.093094,0.329179,-0.001391,2.099055,0.364318,-0.069512,2.118220,0.352508,0.000896,2.060667,0.332279,-0.459487,2.463905,0.364267,-0.756110,2.448212,0.434299,-0.813738,2.434410,0.148166,-0.425802,2.291622,0.056255,-0.748600,2.290298,0.126738,-0.812038,2.256636
0.392933,0.775890,2.519532,0.290894,0.674174,2.451389,0.282492,0.589016,2.455066,0.270474,0.327053,2.457196,0.352761,0.501934,2.532582,0.207224,0.520113,2.262998,0.242584,-0.029000,2.439938,0.272289,-0.037111,2.455833,0.205690,-0.020021,2.352216,0.338813,0.219774,2.648701,0.289970,-0.003819,2.629422,0.274185,-0.078031,2.626874,0.268226,-0.077563,2.605309,0.271765,-0.077342,2.603684,0.213732,0.241305,2.139377,0.315641,0.039677,2.091364,0.341293,0.000481,2.097531,0.377237,-0.066696,2.121193,0.379677,-0.005732,2.099667,0.343286,-0.437109,2.469941,0.439286,-0.739981,2.459014,0.528351,-0.781959,2.371318,0.166227,-0.416624,2.319541,0.029104,-0.744324,2.291039,0.089744,-0.816395,2.255042
0.398717,0.770546,2.530225,0.295756,0.670443,2.459983,0.287095,0.586389,2.459725,0.270919,0.326539,2.456305,0.357607,0.498227,2.541162,0.211703,0.515567,2.270394,0.242863,-0.029560,2.432068,0.274642,-0.039243,2.448233,0.203758,-0.018946,2.343282,0.343632,0.216117,2.657269,0.294775,-0.007450,2.637988,0.278990,-0.081660,2.635439,0.273022,-0.081178,2.613879,0.276536,-0.080942,2.612254,0.221134,0.240644,2.141237,0.327408,0.041378,2.093076,0.348948,0.001331,2.099969,0.388243,-0.065958,2.121335,0.367859,0.032163,2.091300,0.344720,-0.441121,2.469826,0.485111,-0.752905,2.456966,0.560724,-0.804683,2.429778,0.108260,-0.422075,2.288275,0.002615,-0.744295,2.289814,0.071360,-0.810119,2.257150
0.404770,0.762785,2.542613,0.300154,0.665948,2.468125,0.290799,0.583058,2.463930,0.271189,0.324876,2.452596,0.361991,0.493758,2.549288,0.215791,0.511410,2.279183,0.237885,-0.030412,2.406269,0.274915,-0.042512,2.435584,0.190272,-0.015049,2.299647,0.347992,0.211701,2.665380,0.299121,-0.011838,2.646096,0.283336,-0.086046,2.643547,0.277355,-0.085548,2.621989,0.280852,-0.085291,2.620366,0.227186,0.238889,2.142989,0.333718,0.039753,2.095043,0.357993,-0.008911,2.102777,0.393625,-0.068938,2.131310,0.379878,-0.012290,2.068320,0.345316,-0.436900,2.469198,0.473397,-0.745339,2.456990,0.547846,-0.799145,2.425869,0.151188,-0.425418,2.325352,-0.020525,-0.742586,2.293492,0.017925,-0.827397,2.256749
0.409799,0.754824,2.560491,0.304432,0.660263,2.482598,0.295824,0.577564,2.475008,0.272645,0.322846,2.452537,0.366254,0.488112,2.563738,0.220121,0.507901,2.287225,0.239772,-0.031814,2.404507,0.278426,-0.045940,2.429172,0.192933,-0.016437,2.301412,0.352239,0.206133,2.679809,0.303359,-0.017367,2.660519,0.287575,-0.091571,2.657968,0.281584,-0.091054,2.636412,0.285068,-0.090772,2.634791,0.231160,0.238225,2.146566,0.335696,0.038486,2.096271,0.357783,-0.009244,2.105750,0.391467,-0.066499,2.127812,0.363043,0.040502,2.083833,0.348414,-0.494589,2.466717,0.456292,-0.772173,2.450874,0.546064,-0.812660,2.363950,0.104393,-0.416328,2.294162,-0.034709,-0.741642,2.293371,0.003248,-0.826787,2.258379
