HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
-0.028149,0.491532,2.274298,-0.017326,0.355570,2.295357,-0.196918,0.374255,2.214759,-0.109797,0.341098,2.075135,-0.080461,0.056882,2.263489,-0.101557,0.006439,2.253972,-0.129930,-0.036646,2.229305,-0.082543,0.001872,2.271385,-0.063549,0.254412,2.095643,0.069112,0.338188,2.229159,0.104881,0.356801,2.263441,0.079858,0.367850,2.116691,0.083373,0.266268,2.307720,0.091011,0.183258,2.401585,0.213866,-0.157980,2.240056,0.155665,-0.483741,2.273161,0.096208,-0.514187,2.232609,-0.046908,-0.455305,2.304046,-0.009768,-0.218353,2.280063,-0.010913,-0.306527,2.282481
0.062529,0.659390,2.351143,0.010261,0.450285,2.304821,-0.069940,0.518999,2.180219,-0.061818,0.418471,2.096004,-0.051201,0.112647,2.259173,-0.074176,0.055130,2.245725,-0.072964,0.052069,2.231829,-0.076958,0.022261,2.261833,-0.042057,0.300121,2.094488,0.072980,0.339594,2.232398,0.107296,0.360465,2.266410,0.128212,0.485871,2.152064,0.151482,0.366653,2.339037,0.166258,0.275315,2.422477,0.153306,-0.198339,2.241969,0.076717,-0.519718,2.279399,0.017583,-0.550091,2.241341,-0.048181,-0.435265,2.300371,-0.169062,-0.619910,2.410104,-0.142781,-0.668123,2.401362
0.074122,0.708386,2.365009,0.022018,0.525431,2.315169,-0.040091,0.555753,2.165494,-0.029627,0.510406,2.118683,-0.034681,0.158277,2.254693,-0.061012,0.089943,2.239757,-0.061434,0.100526,2.227831,-0.071447,0.058722,2.249290,-0.028075,0.326732,2.093601,0.087394,0.348885,2.247935,0.112042,0.369738,2.274157,0.038756,0.376976,2.082611,0.086870,0.295368,2.288013,0.106165,0.201093,2.368737,-0.024127,-0.338727,2.274492,-0.046367,-0.584018,2.301462,-0.110202,-0.614638,2.273859,0.083720,-0.308074,2.452166,-0.051214,-0.605497,2.440950,-0.017876,-0.689224,2.440469
0.097438,0.759534,2.385528,0.037304,0.579077,2.325624,-0.015009,0.583407,2.161983,-0.016125,0.548746,2.128190,-0.016113,0.185534,2.252237,-0.042761,0.112225,2.236283,-0.043939,0.121566,2.223251,-0.046599,0.087229,2.246570,-0.020016,0.339799,2.092842,0.096582,0.356145,2.256611,0.116782,0.379081,2.280649,0.042038,0.386866,2.080045,0.081105,0.285042,2.274455,0.101610,0.187194,2.351489,-0.088546,-0.387639,2.289759,-0.116106,-0.696081,2.319180,-0.183927,-0.727061,2.299316,0.080158,-0.294366,2.459627,-0.002040,-0.737589,2.472629,-0.055545,-0.782774,2.457985
0.102290,0.772001,2.390481,0.041223,0.588271,2.328562,-0.011456,0.586260,2.165725,-0.008789,0.567514,2.132663,0.023855,0.186531,2.260840,0.001880,0.106607,2.245557,0.007337,0.102566,2.255081,-0.002251,0.088223,2.237741,-0.014706,0.347618,2.092445,0.102029,0.360661,2.261873,0.120484,0.386305,2.285692,0.032311,0.384124,2.070235,0.070942,0.275727,2.264649,0.092377,0.177417,2.341302,-0.092101,-0.406210,2.295237,-0.136804,-0.735795,2.319681,-0.205113,-0.768049,2.303705,0.119493,-0.294420,2.482563,0.064193,-0.689061,2.464218,-0.002802,-0.722670,2.446193
0.103472,0.777715,2.394081,0.043907,0.592156,2.332816,-0.009433,0.586613,2.172309,-0.003964,0.580186,2.136258,0.039262,0.236166,2.285434,0.019375,0.164256,2.273229,0.006703,0.076198,2.191424,0.003558,0.076985,2.337254,-0.010568,0.352790,2.092525,0.105866,0.363646,2.265859,0.123581,0.391763,2.290020,0.026604,0.380156,2.065190,0.065169,0.271911,2.259884,0.086540,0.173235,2.336276,-0.097875,-0.407745,2.300082,-0.165950,-0.741532,2.316879,-0.234637,-0.772738,2.300852,0.132909,-0.332735,2.496862,0.152834,-0.726100,2.492552,0.076948,-0.755910,2.472713
0.105365,0.772429,2.400231,0.046458,0.593052,2.338308,-0.006518,0.583732,2.178709,-0.002161,0.585440,2.140188,0.044485,0.256684,2.296951,0.024670,0.193092,2.289317,0.013411,0.064563,2.170304,0.011716,0.075987,2.371771,-0.006688,0.354675,2.093469,0.108517,0.365557,2.268612,0.126025,0.395641,2.293342,0.025009,0.369082,2.062354,0.060964,0.266290,2.256624,0.082309,0.167754,2.333241,-0.101346,-0.409648,2.303169,-0.181763,-0.732196,2.312488,-0.251123,-0.763736,2.297989,0.153086,-0.338520,2.510577,0.236526,-0.710621,2.506337,0.154896,-0.742648,2.488531
0.105332,0.763373,2.405702,0.047701,0.589940,2.345104,-0.011909,0.568435,2.187628,-0.002283,0.585971,2.145329,0.046721,0.266739,2.303041,0.027232,0.205210,2.296238,0.011098,0.054308,2.156739,0.010926,0.071812,2.394633,-0.002506,0.352026,2.095292,0.096717,0.158230,2.077510,0.124745,0.098113,2.087269,0.026715,0.360291,2.062405,0.058396,0.261773,2.254940,0.079522,0.163437,2.331971,-0.115652,-0.406363,2.302166,-0.212613,-0.722396,2.308955,-0.282795,-0.754075,2.296954,0.158596,-0.349773,2.512211,0.300806,-0.683492,2.512856,0.226166,-0.719179,2.499927
0.106157,0.759976,2.410674,0.049326,0.596570,2.357084,-0.014595,0.556836,2.194891,-0.002310,0.591699,2.153728,-0.000217,0.226960,2.285637,-0.032360,0.149909,2.270035,-0.038654,0.083596,2.214659,-0.042739,0.107899,2.296745,0.001794,0.346645,2.098003,0.100738,0.121886,2.053844,0.124597,0.066964,2.064427,0.029972,0.360052,2.065671,0.057720,0.260875,2.256108,0.078575,0.163355,2.334859,-0.114503,-0.379457,2.297288,-0.228130,-0.693845,2.303050,-0.299986,-0.725913,2.299923,0.108600,-0.304722,2.497567,0.252957,-0.575365,2.495060,0.181754,-0.606973,2.492833
0.106169,0.755866,2.415557,0.049628,0.599679,2.364237,-0.015750,0.548821,2.202162,-0.003208,0.594793,2.160517,-0.022212,0.207599,2.279092,-0.053869,0.130879,2.264570,-0.057137,0.092154,2.232576,-0.061761,0.099944,2.284730,0.006490,0.341651,2.101616,0.100751,0.094217,2.034232,0.123824,0.043764,2.048934,0.033564,0.360918,2.069928,0.057772,0.260934,2.258939,0.078178,0.164432,2.339427,-0.112696,-0.366039,2.294044,-0.247340,-0.663728,2.297862,-0.319254,-0.695400,2.304530,0.029136,-0.304627,2.474128,0.257928,-0.550713,2.451748,0.186169,-0.579379,2.460253
