HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.693201,0.979471,2.361819,0.693997,0.755149,2.359088,0.608786,0.605887,2.254363,0.811032,0.778657,2.348242,0.638081,0.398263,2.344555,0.634424,0.340223,2.288044,0.569643,0.295864,2.277276,0.674011,0.267699,2.273618,0.655282,0.337723,2.161335,0.798065,0.121795,2.125994,0.870152,0.043826,2.152535,0.776613,0.532765,2.264882,0.849759,0.269663,2.208081,0.863726,0.176808,2.200531,0.505991,-0.293565,2.359831,0.303484,-0.665962,2.433802,0.342446,-0.738209,2.434645,0.884976,-0.310165,2.414349,1.077677,-0.679195,2.339101,1.141664,-0.711157,2.322036
0.692886,0.974353,2.368024,0.694974,0.748857,2.362561,0.608612,0.597617,2.258170,0.811674,0.773036,2.350392,0.632695,0.393126,2.342317,0.628483,0.335731,2.284353,0.562819,0.293810,2.272028,0.676433,0.262286,2.263605,0.662522,0.332221,2.163220,0.804135,0.123446,2.130781,0.877956,0.047906,2.156801,0.763049,0.523558,2.262882,0.858684,0.264683,2.210397,0.875140,0.191079,2.207752,0.509005,-0.289222,2.361746,0.281096,-0.647335,2.433464,0.296685,-0.721432,2.436803,0.881808,-0.311258,2.414511,1.024788,-0.682151,2.351503,1.109512,-0.710163,2.330735
0.692496,0.970489,2.373562,0.696548,0.743967,2.366312,0.608950,0.592827,2.261618,0.812196,0.782619,2.352653,0.631318,0.390499,2.341355,0.628103,0.335145,2.282526,0.563116,0.294148,2.269076,0.679169,0.261640,2.259364,0.666905,0.329044,2.165135,0.809327,0.123546,2.137993,0.881218,0.052045,2.163993,0.747993,0.531733,2.257929,0.793002,0.284032,2.197722,0.886749,0.216034,2.213193,0.515248,-0.289792,2.363824,0.269419,-0.640991,2.433692,0.280680,-0.686502,2.375266,0.879354,-0.310928,2.415351,0.977822,-0.677383,2.372503,1.063490,-0.716784,2.347851
0.693325,0.968047,2.384524,0.698325,0.740724,2.370779,0.610379,0.590575,2.265693,0.812775,0.797000,2.355489,0.641149,0.393478,2.345463,0.640586,0.340781,2.286415,0.577852,0.297626,2.271742,0.691454,0.265478,2.261982,0.669466,0.327371,2.168082,0.812613,0.122321,2.146503,0.882186,0.054341,2.169785,0.737601,0.540866,2.255859,0.771052,0.290378,2.202878,0.877543,0.238916,2.213827,0.631700,-0.208644,2.344623,0.353666,-0.527195,2.406229,0.363059,-0.561157,2.319964,0.877216,-0.309608,2.418782,0.910193,-0.687685,2.396490,0.985981,-0.733823,2.381947
0.693458,0.966951,2.391289,0.700675,0.738839,2.376392,0.612850,0.590046,2.270825,0.813422,0.803616,2.357552,0.649803,0.396762,2.350690,0.649703,0.345043,2.291454,0.588407,0.300074,2.276607,0.699530,0.268013,2.267115,0.669794,0.326934,2.173799,0.813049,0.110259,2.166125,0.877113,0.052133,2.178634,0.730861,0.549268,2.255254,0.748004,0.298140,2.207370,0.869250,0.252779,2.216010,0.691360,-0.255132,2.352628,0.353442,-0.523995,2.406070,0.331637,-0.627889,2.387155,0.863513,-0.310623,2.427851,0.841995,-0.697991,2.415515,0.931482,-0.744275,2.410904
0.693473,0.966546,2.396232,0.702840,0.738193,2.382645,0.615183,0.590738,2.275942,0.813947,0.809600,2.359837,0.656509,0.399609,2.356617,0.656599,0.348067,2.297348,0.596676,0.301726,2.283173,0.705543,0.269604,2.273592,0.661104,0.326742,2.189408,0.789584,0.095374,2.184764,0.849680,0.040456,2.191857,0.718616,0.566418,2.258245,0.732501,0.302818,2.211589,0.850987,0.263479,2.219747,0.724963,-0.262994,2.353583,0.367422,-0.519418,2.405849,0.359493,-0.624622,2.393366,0.819154,-0.321812,2.431030,0.779256,-0.668929,2.437112,0.862656,-0.736866,2.432389
0.694255,0.969887,2.405092,0.703736,0.740645,2.390440,0.616704,0.594543,2.283174,0.819818,0.810952,2.370777,0.659402,0.401526,2.360639,0.660444,0.349908,2.301650,0.600150,0.302115,2.286519,0.710016,0.272592,2.283259,0.653157,0.329912,2.201077,0.771051,0.085936,2.194662,0.811305,0.025461,2.202354,0.713742,0.571088,2.259863,0.722850,0.304488,2.214972,0.837414,0.266487,2.223203,0.744833,-0.290552,2.357119,0.410399,-0.534734,2.415390,0.412348,-0.636554,2.410057,0.798593,-0.309220,2.432331,0.723318,-0.657636,2.463837,0.809307,-0.728927,2.454785
0.695351,0.976932,2.412374,0.702789,0.749045,2.401506,0.609939,0.609079,2.300001,0.822335,0.811572,2.377692,0.685546,0.406106,2.404116,0.695132,0.345762,2.350051,0.636234,0.299047,2.334598,0.753014,0.265372,2.343580,0.630412,0.344021,2.219935,0.733765,0.086592,2.202366,0.776587,0.011071,2.207472,0.709708,0.574469,2.261534,0.716001,0.305517,2.217826,0.762986,0.247872,2.211077,0.755400,-0.305799,2.361955,0.471701,-0.557341,2.429087,0.526544,-0.646028,2.436100,0.847668,-0.323912,2.484764,0.667431,-0.666983,2.490078,0.730538,-0.734517,2.468449
0.694959,0.983971,2.418612,0.700775,0.756571,2.409920,0.604588,0.617644,2.309340,0.823098,0.812228,2.381495,0.695441,0.410215,2.427130,0.709722,0.345944,2.378464,0.655549,0.296940,2.363612,0.764204,0.272572,2.383927,0.614444,0.351672,2.230177,0.691179,0.085620,2.203537,0.713819,-0.002486,2.213153,0.705985,0.576955,2.263483,0.710832,0.306110,2.220505,0.732071,0.241154,2.206693,0.754841,-0.319382,2.371669,0.494095,-0.566787,2.433368,0.595837,-0.650447,2.452868,0.732009,-0.295874,2.509771,0.621254,-0.669892,2.498615,0.656839,-0.739565,2.468629
0.693185,0.991788,2.423760,0.694742,0.765892,2.418635,0.593836,0.628271,2.319585,0.821340,0.813008,2.385959,0.695294,0.414311,2.439974,0.710779,0.348124,2.392354,0.661006,0.296812,2.375277,0.761707,0.277680,2.401612,0.598341,0.360460,2.237487,0.648366,0.088817,2.219890,0.613906,0.029430,2.197356,0.700320,0.579392,2.266979,0.705570,0.306741,2.224118,0.713544,0.238247,2.205223,0.752294,-0.321703,2.392848,0.511023,-0.580663,2.434019,0.619729,-0.658970,2.451661,0.668117,-0.309048,2.536187,0.585874,-0.687000,2.507986,0.632979,-0.723874,2.439011
