Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.259789,0.560966,2.662499,0.185434,0.474140,2.625078,0.187121,0.400524,2.613050,0.192715,0.174795,2.567636,0.276591,0.332452,2.727234,0.116397,0.333305,2.444837,0.201099,-0.133938,2.497398,0.238071,-0.134597,2.473978,0.158720,-0.128699,2.449374,0.187682,0.149782,2.521735,0.080550,-0.059866,2.365618,0.020443,-0.109510,2.292682,0.004527,-0.156913,2.260080,0.012087,-0.097963,2.291200,0.067982,0.071037,2.351440,0.046690,-0.117150,2.263042,0.040484,-0.159321,2.248563,0.034095,-0.222068,2.245046,0.001435,-0.158534,2.231800,0.104277,-0.514739,2.649216,-0.141702,-0.764647,2.625321,-0.055743,-0.794626,2.538178,0.224837,-0.499162,2.506501,0.227580,-0.888166,2.509123,0.300837,-0.926767,2.476039
0.268986,0.555740,2.659992,0.192010,0.481065,2.622617,0.192716,0.406682,2.610757,0.195371,0.178767,2.566034,0.283150,0.339357,2.724783,0.121888,0.339298,2.442276,0.201128,-0.131965,2.496527,0.237807,-0.130995,2.471339,0.158818,-0.127952,2.449426,0.200206,0.156016,2.517570,0.103706,-0.054210,2.355421,0.045350,-0.106142,2.285134,0.029095,-0.162841,2.257076,0.029263,-0.148338,2.270000,0.081645,0.074095,2.347492,0.078849,-0.116139,2.261656,0.065726,-0.165323,2.247284,0.065738,-0.220477,2.250544,0.031478,-0.167600,2.222265,0.184347,-0.512640,2.531875,-0.077285,-0.742928,2.621516,0.007662,-0.773391,2.534131,0.201041,-0.502940,2.503308,0.202160,-0.869770,2.501448,0.242455,-0.938534,2.460987
0.276054,0.573718,2.652713,0.199270,0.490283,2.618127,0.198997,0.414633,2.606920,0.198566,0.183178,2.564031,0.290392,0.348547,2.720305,0.127871,0.345540,2.439025,0.201284,-0.131055,2.496197,0.239201,-0.125645,2.460518,0.158557,-0.127592,2.456002,0.214223,0.172011,2.504520,0.123242,-0.037410,2.338104,0.103460,-0.076909,2.280837,0.075369,-0.135030,2.241414,0.166268,-0.120430,2.328625,0.101992,0.079391,2.341898,0.109604,-0.114809,2.267626,0.097418,-0.169103,2.252549,0.105435,-0.218477,2.258195,0.055069,-0.149117,2.287111,0.251624,-0.514431,2.582594,-0.014197,-0.771090,2.623388,-0.041596,-0.848162,2.594776,0.181185,-0.506743,2.500484,0.171060,-0.864370,2.503225,0.231658,-0.919187,2.467310
0.279603,0.579741,2.651368,0.204233,0.493460,2.617901,0.205251,0.418680,2.607458,0.209087,0.190254,2.568105,0.295340,0.351716,2.720082,0.133414,0.350542,2.437317,0.215804,-0.120581,2.507811,0.252498,-0.114026,2.473760,0.173482,-0.121662,2.469091,0.216204,0.175281,2.505288,0.123451,-0.033757,2.339352,0.114814,-0.071034,2.295552,0.099174,-0.138455,2.259824,0.077146,-0.119770,2.329714,0.112940,0.083830,2.340378,0.140406,-0.108592,2.266260,0.138221,-0.166859,2.256407,0.155684,-0.219698,2.262707,0.094827,-0.157952,2.295111,0.316027,-0.496400,2.621630,0.066402,-0.798102,2.624412,0.149467,-0.828213,2.537102,0.142233,-0.537602,2.502511,0.118419,-0.864244,2.548705,0.174808,-0.913863,2.479574
0.283844,0.581513,2.649449,0.209801,0.496406,2.614834,0.208939,0.420759,2.605852,0.209380,0.190566,2.568334,0.300893,0.354650,2.717019,0.139378,0.353195,2.434870,0.211919,-0.121665,2.511400,0.244314,-0.117339,2.486409,0.171730,-0.122160,2.469212,0.219115,0.178107,2.503360,0.124768,-0.030741,2.338133,0.122144,-0.069336,2.316494,0.131669,-0.136459,2.268066,0.088500,-0.109006,2.360462,0.124364,0.086221,2.337661,0.164541,-0.105704,2.266610,0.174457,-0.163489,2.258052,0.194948,-0.219593,2.262885,0.131018,-0.166549,2.290214,0.322636,-0.489812,2.618175,0.187964,-0.761253,2.603791,0.269314,-0.792272,2.516708,0.140092,-0.538448,2.502510,0.113199,-0.872825,2.527157,0.181366,-0.920108,2.486773
0.288978,0.581988,2.647059,0.214376,0.496255,2.612571,0.212225,0.420652,2.604692,0.209786,0.190314,2.569022,0.305456,0.354496,2.714754,0.143952,0.352566,2.432266,0.206812,-0.124308,2.517954,0.238872,-0.132091,2.509675,0.166645,-0.119911,2.468001,0.221891,0.178276,2.501662,0.126443,-0.030238,2.336817,0.130590,-0.072074,2.335653,0.142483,-0.115854,2.320616,0.101131,-0.124224,2.353389,0.135535,0.084875,2.336824,0.191426,-0.104687,2.272818,0.213075,-0.163770,2.259696,0.237010,-0.218286,2.261168,0.173862,-0.178700,2.304143,0.362526,-0.478652,2.610602,0.245706,-0.793875,2.595799,0.326194,-0.825147,2.509195,0.122334,-0.530833,2.498908,0.104444,-0.852958,2.524671,0.151143,-0.919172,2.484636
0.296200,0.580873,2.643603,0.221795,0.493952,2.610638,0.219725,0.418568,2.603561,0.215088,0.188521,2.571141,0.312854,0.352196,2.712816,0.149697,0.351148,2.430359,0.209928,-0.126035,2.522008,0.246970,-0.135661,2.509772,0.167028,-0.118631,2.470908,0.227547,0.176688,2.500007,0.131013,-0.031259,2.335300,0.141330,-0.079936,2.348758,0.137343,-0.129843,2.347165,0.087037,-0.066688,2.370292,0.148611,0.083968,2.333376,0.225328,-0.104541,2.277812,0.250778,-0.164622,2.264765,0.283720,-0.217340,2.263951,0.220862,-0.184944,2.304600,0.379513,-0.487784,2.605159,0.327670,-0.858618,2.579811,0.406868,-0.889421,2.493343,0.108144,-0.507931,2.498811,0.060599,-0.838027,2.510014,0.099330,-0.909228,2.481607
0.305650,0.577229,2.640323,0.230824,0.489835,2.606599,0.227629,0.415279,2.601238,0.219782,0.186669,2.573215,0.321858,0.348083,2.708769,0.154508,0.349305,2.428557,0.212417,-0.126982,2.529498,0.246754,-0.137487,2.511601,0.174060,-0.113764,2.482345,0.235877,0.173010,2.496012,0.138930,-0.034574,2.331264,0.152369,-0.082987,2.359932,0.140624,-0.140442,2.355665,0.092498,-0.064916,2.370424,0.170021,0.083331,2.329755,0.260134,-0.108727,2.277041,0.288911,-0.156401,2.265590,0.326643,-0.211096,2.263672,0.241250,-0.170638,2.290000,0.394265,-0.494053,2.596124,0.427604,-0.850262,2.554248,0.476747,-0.912629,2.524101,0.103532,-0.506737,2.497580,0.038195,-0.859536,2.506629,0.077530,-0.930211,2.480384
0.320060,0.566331,2.635020,0.239465,0.487045,2.602778,0.236395,0.412200,2.597962,0.226977,0.183112,2.572913,0.330475,0.345294,2.704942,0.172054,0.347652,2.425184,0.216183,-0.130314,2.531112,0.249083,-0.143929,2.516755,0.179646,-0.115210,2.479248,0.244365,0.170510,2.492284,0.147374,-0.036773,2.327537,0.158670,-0.093204,2.368034,0.135001,-0.138060,2.356280,0.108711,-0.069488,2.365786,0.193155,0.081674,2.328447,0.288091,-0.108524,2.275444,0.323983,-0.152985,2.266002,0.361672,-0.207751,2.266972,0.276067,-0.158996,2.263334,0.404764,-0.509440,2.585885,0.496642,-0.833012,2.530695,0.573797,-0.865217,2.445669,0.089961,-0.491283,2.490610,0.008499,-0.872400,2.506487,0.075802,-0.921812,2.483749
0.327653,0.560064,2.630758,0.249105,0.480365,2.597383,0.245963,0.405700,2.593990,0.236420,0.176654,2.573533,0.340088,0.338623,2.699535,0.180109,0.345610,2.421747,0.225199,-0.137261,2.537581,0.253875,-0.148222,2.515342,0.192676,-0.123923,2.495727,0.253907,0.163991,2.486872,0.156879,-0.043146,2.322077,0.165373,-0.101756,2.367804,0.153742,-0.147707,2.352058,0.115691,-0.070247,2.362750,0.209438,0.080586,2.324850,0.305690,-0.102844,2.276282,0.354863,-0.152062,2.266209,0.396362,-0.203353,2.266532,0.307021,-0.158558,2.254727,0.410604,-0.524508,2.573663,0.571847,-0.859750,2.499111,0.648929,-0.881367,2.454125,0.083829,-0.497445,2.486065,-0.019197,-0.872990,2.505901,0.053558,-0.916713,2.480751
