HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.650741,0.770785,2.443087,0.555101,0.568251,2.412739,0.494118,0.472355,2.275456,0.660117,0.453542,2.551019,0.491492,0.182147,2.331518,0.511078,0.106435,2.297930,0.462640,0.071032,2.255541,0.554124,0.046237,2.314226,0.441812,0.218391,2.184511,0.399704,-0.011200,2.126893,0.391132,-0.074743,2.125336,0.554437,0.297024,2.356251,0.449741,0.094131,2.207326,0.391126,0.015057,2.177520,0.655526,-0.243763,2.351800,0.727114,-0.659508,2.349046,0.789981,-0.722721,2.335516,0.520352,-0.333024,2.531957,0.204727,-0.605515,2.590211,0.281783,-0.634739,2.540328
0.665185,0.779706,2.435495,0.574105,0.569611,2.399492,0.513427,0.478283,2.265957,0.677608,0.451653,2.537858,0.537060,0.180033,2.317551,0.559363,0.105209,2.285156,0.512775,0.071575,2.253297,0.604083,0.052995,2.295217,0.487935,0.222430,2.173418,0.467470,-0.007799,2.129692,0.437582,-0.068581,2.130191,0.585464,0.283246,2.366445,0.489515,0.081513,2.215158,0.463403,0.033302,2.191014,0.661838,-0.248859,2.348915,0.707477,-0.660822,2.357699,0.765512,-0.725939,2.352814,0.542332,-0.339418,2.526975,0.240219,-0.579221,2.586594,0.262177,-0.644790,2.577447
0.680412,0.792351,2.427843,0.603840,0.597755,2.387448,0.530887,0.486878,2.257848,0.704913,0.469338,2.523970,0.576972,0.185849,2.311722,0.602720,0.109442,2.279284,0.557042,0.079753,2.256686,0.652402,0.060685,2.283120,0.514509,0.227624,2.168698,0.527142,-0.012784,2.126378,0.498960,-0.070130,2.126599,0.601783,0.322801,2.332983,0.536243,0.098749,2.199221,0.516856,-0.020344,2.158195,0.660145,-0.256328,2.345690,0.686791,-0.661798,2.365078,0.739658,-0.709129,2.341879,0.558658,-0.353318,2.525888,0.285414,-0.547112,2.577157,0.270009,-0.636686,2.583533
0.704706,0.827927,2.418227,0.628371,0.656934,2.386247,0.544639,0.495567,2.251740,0.737255,0.530688,2.517613,0.607672,0.206086,2.315753,0.629735,0.119892,2.281299,0.585738,0.093987,2.262067,0.677014,0.067388,2.282234,0.550991,0.255121,2.160524,0.584362,-0.001948,2.123101,0.564737,-0.059354,2.124495,0.662525,0.356543,2.358812,0.596690,0.130958,2.219964,0.591368,0.042605,2.183398,0.655199,-0.259473,2.342377,0.657769,-0.655750,2.370705,0.703935,-0.709602,2.361233,0.575977,-0.360900,2.528458,0.339721,-0.550077,2.568112,0.327892,-0.655010,2.587992
0.713873,0.837688,2.411905,0.640950,0.689897,2.386639,0.556787,0.503071,2.247267,0.751274,0.555512,2.514564,0.626416,0.214142,2.319136,0.653943,0.125422,2.287375,0.607645,0.100619,2.268000,0.707986,0.070372,2.292711,0.573072,0.259241,2.155990,0.647008,0.011380,2.125453,0.657501,-0.058387,2.127919,0.652253,0.414866,2.330119,0.610364,0.156728,2.216026,0.629800,0.101300,2.189046,0.644816,-0.271037,2.343079,0.641609,-0.655480,2.375490,0.691005,-0.711222,2.366778,0.655379,-0.359378,2.574186,0.427143,-0.529792,2.522610,0.420960,-0.635891,2.565479
0.731659,0.838004,2.400389,0.648667,0.703015,2.385439,0.566685,0.508746,2.244517,0.760713,0.569115,2.512274,0.636411,0.219576,2.321210,0.665308,0.129396,2.290266,0.618305,0.103853,2.270013,0.720847,0.074465,2.298791,0.590259,0.261745,2.152597,0.710019,0.017867,2.125590,0.738849,-0.049274,2.124771,0.650564,0.438608,2.316862,0.618235,0.172552,2.211982,0.646531,0.125993,2.191030,0.631522,-0.294444,2.350097,0.626478,-0.658377,2.379321,0.675753,-0.717675,2.374784,0.777382,-0.303938,2.475392,0.537868,-0.571992,2.513189,0.564906,-0.666976,2.550469
0.740356,0.833973,2.393672,0.661620,0.669633,2.375646,0.577886,0.513678,2.241979,0.772341,0.561651,2.506258,0.590754,0.229415,2.324380,0.600655,0.143411,2.295660,0.558349,0.123350,2.269398,0.626896,0.082307,2.309583,0.612294,0.262811,2.149221,0.756312,0.024266,2.124464,0.812587,-0.036085,2.117168,0.650592,0.432122,2.299118,0.623227,0.167313,2.201419,0.655432,0.124939,2.184932,0.624612,-0.306904,2.354098,0.613316,-0.662070,2.386755,0.666398,-0.721215,2.379150,0.830953,-0.286944,2.450840,0.606515,-0.609639,2.482413,0.679014,-0.670771,2.498872
0.749574,0.829726,2.387898,0.674515,0.633166,2.365186,0.589500,0.518148,2.239449,0.785149,0.533315,2.497297,0.603579,0.223737,2.321280,0.619414,0.141583,2.293749,0.573873,0.122580,2.267072,0.658139,0.078132,2.307802,0.654981,0.266326,2.147769,0.814593,0.036157,2.117436,0.867298,-0.015756,2.111893,0.735995,0.336767,2.273638,0.740569,0.105175,2.167343,0.769473,0.060228,2.154646,0.620178,-0.314081,2.356053,0.603602,-0.664367,2.391647,0.657384,-0.723303,2.383904,0.877484,-0.275749,2.416300,0.731617,-0.648340,2.458976,0.781153,-0.708720,2.461754
0.761949,0.830958,2.379579,0.693597,0.656720,2.366496,0.605982,0.520360,2.236001,0.797449,0.539657,2.495733,0.614087,0.229320,2.320502,0.628129,0.144696,2.292698,0.580227,0.124544,2.264606,0.668014,0.081331,2.307491,0.689096,0.267449,2.144563,0.860746,0.064331,2.111391,0.924189,0.016877,2.104149,0.777042,0.341528,2.292068,0.811361,0.089494,2.181797,0.831905,0.041645,2.168458,0.616392,-0.318067,2.356786,0.592861,-0.666889,2.396249,0.623542,-0.734054,2.393484,0.915905,-0.270398,2.395263,0.841257,-0.671746,2.429164,0.890099,-0.732438,2.426221
0.773366,0.830422,2.371839,0.703138,0.669437,2.366723,0.616989,0.522051,2.233568,0.806456,0.545394,2.494735,0.629444,0.240253,2.319556,0.648724,0.158786,2.291296,0.599232,0.128152,2.249368,0.691378,0.093713,2.318060,0.715673,0.271237,2.141959,0.894388,0.086918,2.106923,0.970965,0.045649,2.098247,0.802935,0.333317,2.303656,0.839599,0.082693,2.186995,0.858471,0.033661,2.173726,0.611886,-0.315417,2.355161,0.578650,-0.670117,2.401032,0.609674,-0.736922,2.398024,0.926818,-0.272672,2.388441,0.929509,-0.687392,2.382927,1.017779,-0.728310,2.385550
