Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.532134,0.612901,2.284969,0.485630,0.502370,2.229362,0.475986,0.427304,2.240443,0.447527,0.194909,2.267858,0.617579,0.369116,2.278656,0.436654,0.350691,2.121738,0.407652,-0.125623,2.304280,0.444285,-0.126855,2.289399,0.359080,-0.120796,2.249539,0.645415,0.143659,2.383184,0.745751,-0.013262,2.390649,0.806940,-0.058180,2.371202,0.841222,-0.110593,2.357532,0.823413,-0.037114,2.340714,0.385770,0.107838,2.030156,0.448003,-0.069627,2.004769,0.425825,-0.122040,1.979557,0.414458,-0.182187,1.960471,0.483049,-0.122778,2.026527,0.595316,-0.448833,2.116624,0.369791,-0.656688,2.199115,0.335911,-0.742615,2.186606,0.605609,-0.370714,2.102349,0.694212,-0.674139,2.061824,0.760344,-0.728498,2.012640
0.537493,0.605613,2.281197,0.495143,0.493916,2.223904,0.484998,0.419163,2.236985,0.453669,0.188605,2.268224,0.627060,0.360673,2.273179,0.445765,0.341905,2.117045,0.410310,-0.128742,2.304916,0.447172,-0.129828,2.290471,0.361291,-0.123855,2.249749,0.651768,0.135425,2.378756,0.795416,-0.021548,2.354707,0.825720,-0.057274,2.350473,0.861929,-0.108197,2.351912,0.837744,-0.047880,2.305174,0.386673,0.100304,2.027214,0.431383,-0.103804,1.986447,0.416692,-0.138142,1.968383,0.414732,-0.190030,1.959897,0.466205,-0.132572,2.017210,0.599290,-0.415830,2.120748,0.376457,-0.629855,2.195920,0.421924,-0.662092,2.103991,0.608693,-0.379603,2.102256,0.739476,-0.666511,2.058082,0.810485,-0.714402,2.011006
0.545372,0.599114,2.275040,0.499876,0.488198,2.221161,0.490063,0.413202,2.235020,0.459021,0.182300,2.268447,0.631777,0.354965,2.270424,0.455634,0.336371,2.113963,0.415163,-0.134337,2.306286,0.451913,-0.135208,2.293066,0.366078,-0.129538,2.249940,0.662189,0.126759,2.368915,0.782088,-0.016328,2.351805,0.827574,-0.050987,2.331885,0.867544,-0.102940,2.322510,0.845106,-0.032716,2.296905,0.392788,0.095245,2.025564,0.430262,-0.130548,1.973513,0.420891,-0.160950,1.971203,0.419309,-0.203092,1.975314,0.453253,-0.164888,2.008846,0.600674,-0.413992,2.121375,0.369909,-0.620123,2.195578,0.416273,-0.652804,2.104501,0.610494,-0.383548,2.103377,0.744745,-0.668828,2.059614,0.817399,-0.715008,2.015513
0.551646,0.594439,2.272296,0.510841,0.482261,2.215940,0.501127,0.407264,2.230640,0.469732,0.176650,2.266351,0.642706,0.349035,2.265188,0.467054,0.330402,2.109159,0.425195,-0.139232,2.305774,0.461053,-0.139165,2.293650,0.376631,-0.135232,2.248247,0.672893,0.119564,2.361202,0.788821,-0.026875,2.348139,0.826383,-0.050482,2.319136,0.865181,-0.098101,2.298215,0.846078,-0.030261,2.287611,0.409563,0.086621,2.025368,0.429640,-0.130489,1.972662,0.429092,-0.166529,1.974714,0.425944,-0.209962,1.974076,0.458208,-0.144608,2.021250,0.601855,-0.412981,2.123127,0.362656,-0.610561,2.195013,0.409046,-0.643687,2.104049,0.598714,-0.350092,2.099262,0.729712,-0.638022,2.065214,0.770479,-0.670629,1.975847
0.561030,0.594064,2.265978,0.520538,0.481533,2.211890,0.512108,0.406122,2.226099,0.484757,0.174073,2.260164,0.652371,0.348304,2.261134,0.481110,0.327170,2.102247,0.446340,-0.143980,2.296260,0.481498,-0.144091,2.284743,0.397591,-0.139529,2.238344,0.696017,0.110213,2.332133,0.797242,-0.045292,2.343171,0.819568,-0.054622,2.310764,0.851943,-0.104395,2.288139,0.837811,-0.038085,2.278955,0.417811,0.083596,2.022580,0.432655,-0.130769,1.971893,0.441008,-0.167482,1.976610,0.435186,-0.213941,1.978950,0.480200,-0.160696,2.004611,0.601103,-0.409552,2.131801,0.355051,-0.600904,2.198672,0.402994,-0.633464,2.108446,0.623151,-0.339505,2.091326,0.727804,-0.638977,2.076095,0.770085,-0.670900,1.987490
0.569624,0.598126,2.262311,0.533355,0.484518,2.206144,0.527034,0.409118,2.219635,0.506434,0.177087,2.251452,0.665148,0.351274,2.255390,0.493182,0.330475,2.097406,0.477462,-0.140737,2.284344,0.507772,-0.138583,2.277065,0.433496,-0.139071,2.221559,0.701871,0.112936,2.329171,0.792632,-0.049479,2.337562,0.808967,-0.061811,2.309281,0.842415,-0.114496,2.287041,0.827342,-0.045463,2.281087,0.437232,0.085359,2.017118,0.450589,-0.097220,1.959127,0.457937,-0.159475,1.973825,0.454009,-0.213007,1.978467,0.493675,-0.149370,1.996348,0.597008,-0.407858,2.143010,0.352382,-0.603631,2.202877,0.400330,-0.635018,2.111810,0.668054,-0.337954,2.066751,0.725385,-0.649322,2.079531,0.776487,-0.719387,2.060490
0.581879,0.606678,2.255096,0.552216,0.491769,2.196173,0.544246,0.415838,2.208453,0.518851,0.182622,2.236675,0.683950,0.358495,2.245428,0.502973,0.337250,2.090966,0.483657,-0.135996,2.263009,0.518246,-0.133243,2.251022,0.435374,-0.134802,2.205168,0.718630,0.120172,2.320314,0.818222,-0.086135,2.298909,0.818064,-0.114151,2.303982,0.829148,-0.140586,2.309182,0.819424,-0.114773,2.257857,0.457521,0.089568,2.012410,0.484474,-0.131489,1.965551,0.484084,-0.160456,1.982507,0.476527,-0.203690,1.984721,0.531182,-0.140613,2.010600,0.599659,-0.413381,2.144469,0.353538,-0.606936,2.205310,0.399441,-0.638102,2.112331,0.652468,-0.350937,2.099179,0.686202,-0.666894,2.095940,0.746995,-0.729211,2.073852
0.592143,0.609890,2.252393,0.557487,0.495864,2.193521,0.550052,0.419865,2.205398,0.525681,0.186136,2.232531,0.689205,0.362576,2.242782,0.515639,0.346242,2.087517,0.490497,-0.133787,2.258611,0.524817,-0.132062,2.246807,0.441527,-0.131624,2.201061,0.724088,0.124269,2.317707,0.763487,-0.071407,2.326441,0.780938,-0.101532,2.322745,0.785223,-0.153058,2.298944,0.791001,-0.107799,2.276000,0.479311,0.096770,2.010255,0.538188,-0.086159,1.994751,0.523836,-0.134942,1.996574,0.505571,-0.194474,1.981506,0.578683,-0.132623,2.015999,0.594473,-0.458437,2.164619,0.321968,-0.603078,2.244409,0.257259,-0.676397,2.216169,0.623823,-0.382573,2.118916,0.669806,-0.696805,2.103012,0.736649,-0.751382,2.087346
0.600695,0.613862,2.248281,0.562450,0.500374,2.191118,0.553421,0.423194,2.202965,0.525971,0.187325,2.229990,0.658352,0.297683,2.113524,0.521712,0.351846,2.086390,0.486146,-0.134612,2.253420,0.525098,-0.134961,2.244032,0.426143,-0.127814,2.189778,0.693069,0.059574,2.188472,0.764255,-0.139706,2.316328,0.778400,-0.153248,2.330283,0.775446,-0.163636,2.325272,0.762632,-0.160361,2.300750,0.493276,0.102145,2.006455,0.598785,-0.118165,2.019972,0.619680,-0.172604,2.047653,0.642411,-0.232272,2.055303,0.640406,-0.151401,2.038148,0.597724,-0.457918,2.158972,0.333724,-0.615185,2.242145,0.344132,-0.643159,2.130146,0.626816,-0.358857,2.116842,0.639612,-0.676608,2.112139,0.691042,-0.745893,2.099137
0.605801,0.621443,2.250096,0.569173,0.507534,2.191885,0.558782,0.429208,2.202630,0.527590,0.190220,2.227628,0.657981,0.299402,2.113339,0.526395,0.357931,2.088023,0.484593,-0.133761,2.248575,0.526343,-0.136303,2.239340,0.423840,-0.125609,2.186257,0.692701,0.061279,2.188291,0.763889,-0.138011,2.316149,0.788775,-0.204280,2.362447,0.785826,-0.214473,2.357448,0.773020,-0.210947,2.332944,0.509246,0.109262,2.001211,0.583899,-0.102852,1.996233,0.566012,-0.129781,1.991965,0.581812,-0.173378,1.972130,0.581217,-0.105372,1.933340,0.587700,-0.468897,2.163157,0.327267,-0.625947,2.255500,0.296438,-0.715111,2.228136,0.623940,-0.357527,2.118128,0.625065,-0.675593,2.116329,0.674963,-0.746277,2.102943
