HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.495909,0.699919,2.231962,0.428158,0.560829,2.173958,0.368755,0.399467,2.084817,0.540950,0.410362,2.269759,0.426241,0.165977,2.169863,0.428902,0.086138,2.171361,0.392271,0.056714,2.148100,0.472421,0.032596,2.189859,0.329616,0.176266,1.976195,0.367161,-0.023496,1.935102,0.361800,-0.072715,1.918479,0.626081,0.185621,2.395654,0.783189,0.035764,2.332336,0.828264,0.003326,2.331438,0.585711,-0.320855,2.106418,0.725858,-0.654167,2.037346,0.793273,-0.695051,2.017179,0.352861,-0.320370,2.261420,0.227102,-0.657016,2.247268,0.271936,-0.695677,2.225199
0.500276,0.695034,2.229659,0.434626,0.549263,2.171921,0.378775,0.390826,2.082147,0.546136,0.399963,2.267214,0.435181,0.152787,2.165079,0.437645,0.072827,2.165568,0.397981,0.041786,2.143845,0.480108,0.022023,2.184285,0.331649,0.163561,1.976119,0.365556,-0.036968,1.935365,0.358937,-0.080533,1.918785,0.636253,0.171100,2.383367,0.791442,0.032726,2.311596,0.851831,-0.012151,2.293539,0.539567,-0.338652,2.147027,0.748701,-0.623850,2.045428,0.799367,-0.656879,2.007034,0.350518,-0.321671,2.255385,0.208752,-0.653181,2.249268,0.248707,-0.682958,2.209510
0.504858,0.689683,2.226533,0.441958,0.538375,2.169113,0.389882,0.381108,2.078718,0.552515,0.388116,2.263875,0.446309,0.134852,2.153142,0.449098,0.053131,2.150292,0.406847,0.022152,2.131303,0.491172,0.003701,2.165147,0.335911,0.149402,1.975422,0.367093,-0.051336,1.936617,0.358603,-0.090076,1.920267,0.642937,0.160434,2.373036,0.796389,0.029444,2.295599,0.835361,-0.001687,2.284975,0.517815,-0.346476,2.166304,0.729952,-0.627404,2.060108,0.779121,-0.659421,2.015312,0.348098,-0.323319,2.250863,0.186891,-0.646724,2.252075,0.193199,-0.703296,2.230504
0.510833,0.680607,2.221365,0.447670,0.530688,2.166303,0.402140,0.371663,2.074208,0.558124,0.378165,2.260472,0.452483,0.126106,2.146542,0.455038,0.044376,2.142804,0.411746,0.013543,2.125548,0.497115,-0.003814,2.154995,0.342025,0.137863,1.974131,0.369759,-0.062676,1.937315,0.360892,-0.099078,1.922760,0.647800,0.148757,2.362924,0.800161,0.024690,2.283215,0.855403,-0.022678,2.256573,0.528688,-0.344236,2.163781,0.746181,-0.634176,2.058456,0.802324,-0.675917,2.026595,0.340335,-0.331601,2.247345,0.164928,-0.648252,2.254676,0.149513,-0.721384,2.271979
0.516533,0.673674,2.216495,0.457982,0.523511,2.161401,0.415247,0.365075,2.069201,0.566694,0.368694,2.255855,0.465094,0.116987,2.138686,0.467818,0.035231,2.134642,0.424040,0.005328,2.120204,0.509993,-0.011298,2.143541,0.353825,0.125947,1.971980,0.377690,-0.074342,1.937809,0.369739,-0.108576,1.927225,0.651967,0.139355,2.355648,0.801860,0.017117,2.272352,0.828853,-0.014295,2.255563,0.552862,-0.341756,2.150543,0.726376,-0.651138,2.071855,0.787865,-0.696930,2.051811,0.337255,-0.340001,2.245887,0.152816,-0.649578,2.256004,0.175734,-0.699552,2.234176
0.519591,0.670123,2.213170,0.470736,0.520066,2.155486,0.429751,0.362763,2.064088,0.596132,0.350235,2.162395,0.485351,0.116986,2.130761,0.492041,0.037560,2.123585,0.456971,0.009947,2.110418,0.531891,-0.006500,2.129657,0.372437,0.119605,1.968609,0.419407,-0.078897,1.949820,0.384603,-0.115227,1.931372,0.659558,0.138080,2.301462,0.792995,-0.000504,2.280033,0.804880,-0.012539,2.257560,0.583230,-0.356315,2.139513,0.680289,-0.671314,2.090767,0.750639,-0.715192,2.078877,0.351576,-0.356984,2.248323,0.146198,-0.649455,2.256803,0.159054,-0.688974,2.214232
0.522043,0.668700,2.209940,0.482936,0.521156,2.149558,0.442572,0.364151,2.059683,0.608441,0.343724,2.127784,0.492839,0.117933,2.127340,0.499500,0.039773,2.118389,0.463687,0.010843,2.107495,0.538927,0.001382,2.120448,0.399915,0.114851,1.966694,0.457030,-0.082574,1.953708,0.418979,-0.118813,1.936457,0.662865,0.138112,2.282054,0.774009,-0.018400,2.290791,0.794196,-0.048115,2.275285,0.596836,-0.361703,2.135255,0.640686,-0.684865,2.103408,0.717333,-0.725921,2.101542,0.337792,-0.300016,2.249722,0.161532,-0.605042,2.258257,0.183024,-0.634507,2.194127
0.528297,0.670880,2.204120,0.492766,0.525376,2.144991,0.455985,0.370220,2.055739,0.615481,0.341758,2.108253,0.497393,0.119585,2.125461,0.503962,0.042046,2.114825,0.467631,0.012587,2.104961,0.542674,0.006391,2.115328,0.421515,0.117109,1.965284,0.495697,-0.074582,1.956279,0.473696,-0.127440,1.940802,0.665300,0.139571,2.270138,0.735434,-0.041373,2.300516,0.752515,-0.094527,2.304646,0.585859,-0.344809,2.138208,0.593522,-0.688915,2.119616,0.669342,-0.732399,2.134246,0.461365,-0.316222,2.231739,0.212810,-0.572292,2.256421,0.240562,-0.597239,2.182603
0.535045,0.674855,2.198622,0.499480,0.530178,2.141809,0.465037,0.376201,2.053456,0.621793,0.340432,2.093071,0.501351,0.128754,2.128474,0.507566,0.051747,2.116413,0.469427,0.022972,2.110416,0.546520,0.015582,2.115202,0.442416,0.132393,1.963343,0.527033,-0.052923,1.959392,0.522398,-0.116362,1.946045,0.667921,0.140123,2.260912,0.718033,-0.050326,2.305466,0.726096,-0.117525,2.326097,0.578374,-0.335066,2.139800,0.563471,-0.689870,2.129845,0.632543,-0.732940,2.158560,0.514507,-0.297665,2.261195,0.275208,-0.554224,2.268582,0.303005,-0.578749,2.192049
0.539322,0.676707,2.195102,0.504271,0.508728,2.133978,0.471343,0.381844,2.052281,0.625987,0.313965,2.078819,0.472477,0.137670,2.117610,0.472383,0.066767,2.099506,0.430507,0.042594,2.094212,0.507333,0.015923,2.095788,0.456220,0.142581,1.962089,0.547075,-0.039010,1.954555,0.571842,-0.092884,1.947024,0.671460,0.115109,2.246797,0.702287,-0.081806,2.309249,0.708330,-0.154287,2.338520,0.572222,-0.328851,2.140722,0.538851,-0.688790,2.138532,0.606152,-0.735356,2.167349,0.531997,-0.373806,2.238733,0.310009,-0.576583,2.265170,0.324597,-0.659858,2.251175
0.541270,0.677919,2.193120,0.506533,0.498073,2.130516,0.475346,0.386286,2.051795,0.628189,0.298588,2.072167,0.463916,0.140391,2.113554,0.460840,0.072326,2.091013,0.416993,0.049038,2.084502,0.494799,0.015513,2.086233,0.472321,0.155797,1.958355,0.573423,-0.018937,1.942843,0.613209,-0.074681,1.936490,0.673657,0.100389,2.239623,0.695008,-0.097524,2.311126,0.700232,-0.170956,2.344385,0.561120,-0.325814,2.144154,0.493257,-0.684998,2.159951,0.563231,-0.730009,2.170872,0.638948,-0.345713,2.243423,0.397402,-0.575110,2.262295,0.414878,-0.653407,2.278105
0.542199,0.679413,2.192117,0.508158,0.492549,2.128881,0.477859,0.390285,2.051946,0.629683,0.288997,2.069181,0.460028,0.142031,2.111705,0.456102,0.075274,2.087010,0.411287,0.052162,2.079524,0.489840,0.015950,2.082074,0.490278,0.166672,1.955788,0.596505,-0.005368,1.931893,0.646057,-0.053874,1.927083,0.675353,0.091595,2.235822,0.691033,-0.106631,2.312381,0.695602,-0.181096,2.348088,0.528467,-0.336815,2.154966,0.442834,-0.675899,2.183826,0.511528,-0.722512,2.173665,0.697528,-0.329767,2.251994,0.470675,-0.587932,2.257355,0.507549,-0.661306,2.254655
0.541894,0.699291,2.195606,0.525786,0.535318,2.143139,0.479745,0.394820,2.052933,0.644162,0.318669,2.087026,0.454783,0.159826,2.119683,0.450908,0.084771,2.087981,0.406286,0.056294,2.076817,0.481835,0.040869,2.096404,0.508713,0.175643,1.954829,0.633142,0.013415,1.923988,0.674162,-0.038812,1.924113,0.691702,0.118273,2.247554,0.712584,-0.071373,2.324636,0.723248,-0.135944,2.358611,0.517273,-0.340041,2.158753,0.424473,-0.674206,2.190947,0.492309,-0.722258,2.176884,0.704699,-0.322911,2.259053,0.572160,-0.633279,2.257177,0.619282,-0.709425,2.272015
0.542126,0.703384,2.196678,0.531148,0.536150,2.146763,0.481370,0.398865,2.054436,0.648871,0.318414,2.091830,0.468772,0.157598,2.131281,0.470809,0.082008,2.099400,0.412625,0.057800,2.076976,0.510202,0.024041,2.116679,0.530248,0.179331,1.954726,0.661659,0.020872,1.923259,0.710172,-0.023284,1.928218,0.697118,0.117946,2.250348,0.718282,-0.070759,2.327917,0.729839,-0.134153,2.361478,0.482861,-0.352272,2.167027,0.412446,-0.673351,2.195146,0.477567,-0.722622,2.179258,0.709315,-0.342708,2.270475,0.635604,-0.680252,2.268279,0.710512,-0.734406,2.279655
0.542286,0.706058,2.198526,0.535360,0.532933,2.151097,0.482684,0.401991,2.056098,0.652697,0.316912,2.097408,0.513016,0.158436,2.175364,0.520129,0.084703,2.149844,0.478421,0.051766,2.142945,0.562288,0.025412,2.164667,0.550734,0.180440,1.955812,0.682546,0.023671,1.925122,0.744686,-0.033782,1.932755,0.701763,0.116430,2.254165,0.710562,-0.089042,2.269681,0.715545,-0.153692,2.280475,0.452434,-0.342244,2.163287,0.386729,-0.672686,2.189534,0.427404,-0.724201,2.182209,0.727633,-0.343448,2.273698,0.698163,-0.697115,2.266702,0.747638,-0.737746,2.271895
0.543461,0.688838,2.205651,0.546706,0.492086,2.165926,0.484333,0.404490,2.058392,0.662704,0.290090,2.114919,0.541793,0.154962,2.201856,0.552555,0.084600,2.183131,0.510855,0.046004,2.174219,0.595131,0.024425,2.194301,0.563584,0.182138,1.957577,0.699996,0.028079,1.930109,0.758056,-0.030036,1.935143,0.713751,0.089312,2.269645,0.710438,-0.116798,2.245136,0.708942,-0.189478,2.231355,0.438594,-0.338223,2.162095,0.361940,-0.670958,2.185181,0.398397,-0.724223,2.184395,0.726901,-0.346104,2.276172,0.771645,-0.701185,2.256544,0.850651,-0.726148,2.266413
0.552050,0.676110,2.213546,0.551756,0.470520,2.173145,0.486087,0.406139,2.061105,0.667884,0.275325,2.124355,0.552740,0.152797,2.211793,0.564244,0.083828,2.195320,0.527465,0.040962,2.191116,0.606552,0.023215,2.205075,0.572775,0.183480,1.960021,0.717970,0.033337,1.940640,0.768618,-0.026555,1.940294,0.719989,0.074391,2.278071,0.710228,-0.130605,2.232571,0.706509,-0.202976,2.212406,0.429948,-0.339033,2.165077,0.329057,-0.670704,2.181829,0.360026,-0.727446,2.192154,0.721124,-0.347764,2.276981,0.844396,-0.700347,2.250124,0.929766,-0.715212,2.256904
0.556816,0.665196,2.219970,0.554227,0.456785,2.177110,0.488405,0.405828,2.065727,0.671226,0.263076,2.130966,0.559464,0.149607,2.217328,0.571219,0.082698,2.202858,0.536342,0.037432,2.200202,0.612835,0.020717,2.211607,0.581055,0.183317,1.965277,0.728020,0.035323,1.949778,0.775040,-0.023326,1.948490,0.724010,0.062064,2.284107,0.710438,-0.141914,2.225654,0.705362,-0.213289,2.201878,0.386214,-0.377084,2.172800,0.291241,-0.672183,2.180722,0.327823,-0.729924,2.196709,0.714130,-0.353081,2.276032,0.902111,-0.686761,2.244887,0.957536,-0.709924,2.251937
0.560450,0.657616,2.224970,0.555268,0.448577,2.180018,0.490767,0.403544,2.072766,0.672981,0.254313,2.135906,0.562137,0.144698,2.219367,0.573064,0.079417,2.206905,0.539737,0.032757,2.204845,0.612556,0.016017,2.214345,0.586853,0.182223,1.971971,0.733404,0.035237,1.958436,0.777287,-0.021395,1.958558,0.726180,0.053274,2.288731,0.502112,-0.039849,2.193112,0.451651,-0.082450,2.162524,0.363237,-0.398312,2.177143,0.245098,-0.674257,2.182885,0.296770,-0.732210,2.200140,0.708640,-0.401769,2.277721,0.909122,-0.680511,2.243481,0.927846,-0.705002,2.193903
0.562984,0.651710,2.229992,0.555440,0.442729,2.182842,0.492741,0.399697,2.080829,0.673804,0.247476,2.140270,0.560953,0.137491,2.219088,0.569896,0.073026,2.208278,0.537041,0.026035,2.204945,0.607170,0.008053,2.215397,0.589899,0.177197,1.983086,0.735004,0.031050,1.970914,0.775515,-0.021945,1.972015,0.727245,0.046410,2.292970,0.460287,-0.027502,2.181139,0.371830,-0.046832,2.144101,0.353127,-0.388560,2.177316,0.213881,-0.675777,2.184883,0.261296,-0.736088,2.217800,0.708072,-0.462424,2.281646,0.864967,-0.705711,2.251113,0.930100,-0.697264,2.222651
0.564850,0.651556,2.238070,0.551255,0.444236,2.190029,0.494479,0.394760,2.091621,0.648764,0.306699,2.153308,0.556887,0.130647,2.216963,0.563418,0.065257,2.206422,0.531999,0.021166,2.202068,0.599940,0.002945,2.213951,0.588453,0.163291,2.000093,0.732700,0.019467,1.986879,0.767139,-0.026100,1.990304,0.704176,0.100610,2.306425,0.392922,0.063461,2.182242,0.289564,0.054765,2.144230,0.361949,-0.361477,2.177356,0.194811,-0.664686,2.186009,0.242356,-0.729868,2.222501,0.675862,-0.413856,2.288380,0.826610,-0.686048,2.257844,0.904216,-0.694879,2.227526
0.562943,0.670133,2.258277,0.538103,0.502464,2.211570,0.494993,0.390061,2.103058,0.639391,0.357375,2.180793,0.543074,0.127983,2.212642,0.548014,0.058904,2.199428,0.504733,0.023567,2.181308,0.584631,0.001897,2.209249,0.578684,0.150580,2.017235,0.716304,0.002579,2.007631,0.763345,-0.051767,2.013891,0.693354,0.152064,2.332226,0.373625,0.129154,2.206592,0.287429,0.117391,2.177560,0.377444,-0.345928,2.180401,0.179653,-0.648618,2.186258,0.218321,-0.683587,2.158593,0.662414,-0.405061,2.293392,0.766648,-0.688337,2.281120,0.842350,-0.707956,2.254151
0.553985,0.674090,2.274227,0.529262,0.499545,2.225251,0.491984,0.388037,2.116691,0.630010,0.395940,2.202474,0.534299,0.126659,2.215858,0.540818,0.056989,2.201258,0.498709,0.024629,2.181441,0.574012,0.005369,2.213858,0.557836,0.144883,2.034785,0.680144,-0.012922,2.024074,0.730449,-0.078922,2.031021,0.686445,0.179334,2.347347,0.368518,0.160819,2.223474,0.285826,0.144966,2.196123,0.389688,-0.338182,2.182024,0.169937,-0.633299,2.186448,0.198020,-0.654828,2.128736,0.648619,-0.400491,2.306111,0.698978,-0.689299,2.305682,0.781045,-0.717046,2.281309
0.546438,0.672470,2.285914,0.519561,0.486618,2.238684,0.484899,0.388992,2.130896,0.625219,0.408745,2.211851,0.520401,0.120671,2.238782,0.529161,0.052079,2.223744,0.492659,0.024491,2.202068,0.560231,0.003312,2.239296,0.525247,0.146304,2.051125,0.633855,-0.022247,2.033359,0.671130,-0.077673,2.037875,0.680833,0.192614,2.358292,0.372217,0.171718,2.242541,0.286831,0.154269,2.216629,0.445971,-0.333884,2.191232,0.187408,-0.598066,2.185938,0.203537,-0.629048,2.112901,0.628984,-0.403983,2.319085,0.631785,-0.687774,2.331249,0.713216,-0.725426,2.308091
0.532112,0.658575,2.298831,0.499908,0.459629,2.247315,0.466478,0.396093,2.149300,0.615348,0.409504,2.220349,0.483553,0.113699,2.235046,0.491884,0.049298,2.214373,0.454303,0.036007,2.189938,0.525616,-0.006992,2.229469,0.489932,0.153424,2.061261,0.578990,-0.027533,2.038692,0.600461,-0.072954,2.038377,0.671213,0.196596,2.367680,0.374661,0.164034,2.258156,0.287151,0.147353,2.232094,0.481703,-0.329969,2.197097,0.199007,-0.571677,2.188044,0.219332,-0.597305,2.107676,0.591040,-0.440721,2.349432,0.576741,-0.711169,2.360550,0.651326,-0.736262,2.342850
0.521023,0.670361,2.311411,0.468546,0.474793,2.255742,0.444063,0.404050,2.163969,0.603735,0.400585,2.227874,0.429921,0.131222,2.234976,0.434334,0.066451,2.208418,0.391432,0.053694,2.184382,0.470759,0.006777,2.220449,0.443825,0.165977,2.067328,0.523562,-0.021251,2.041534,0.532747,-0.067814,2.040419,0.664004,0.198458,2.374628,0.378969,0.155266,2.269302,0.294654,0.135268,2.243014,0.494408,-0.327751,2.199352,0.206607,-0.561081,2.192375,0.199685,-0.632460,2.176597,0.471171,-0.359142,2.330015,0.507543,-0.690188,2.382293,0.582021,-0.724736,2.380948
0.486956,0.702284,2.330642,0.448725,0.535066,2.270267,0.416383,0.414205,2.176677,0.575877,0.388416,2.234016,0.382860,0.160653,2.240793,0.382963,0.089636,2.208586,0.338007,0.073373,2.186404,0.414806,0.035399,2.218177,0.398127,0.184725,2.071137,0.465882,-0.007978,2.038020,0.465369,-0.057026,2.038876,0.645486,0.195392,2.381918,0.374487,0.148107,2.277143,0.291635,0.127192,2.250139,0.505892,-0.319609,2.206523,0.226548,-0.551908,2.199521,0.221040,-0.631994,2.198554,0.405963,-0.316485,2.363229,0.441901,-0.661862,2.392897,0.506221,-0.713550,2.411968
0.466570,0.719472,2.339491,0.428321,0.576218,2.278162,0.387218,0.419960,2.184769,0.555041,0.384529,2.237327,0.381165,0.172297,2.279100,0.391138,0.091195,2.256043,0.351596,0.068563,2.243155,0.430974,0.041667,2.267217,0.364775,0.190117,2.073395,0.411135,-0.006895,2.030833,0.412024,-0.078890,2.031749,0.616113,0.190840,2.387875,0.361438,0.139868,2.283104,0.279619,0.118563,2.255042,0.510655,-0.314270,2.213458,0.246327,-0.555188,2.217996,0.261521,-0.646333,2.233715,0.367264,-0.296268,2.372757,0.378374,-0.658404,2.392928,0.440095,-0.718418,2.422943
0.453621,0.727314,2.343935,0.405366,0.596245,2.282426,0.369360,0.423218,2.188621,0.529054,0.382225,2.239571,0.368985,0.176363,2.292076,0.374230,0.091819,2.271727,0.332130,0.070119,2.260973,0.413051,0.044369,2.282257,0.322509,0.195822,2.078356,0.370925,-0.002237,2.031929,0.372852,-0.086999,2.029004,0.583332,0.187360,2.392289,0.552661,0.044495,2.520984,0.596122,-0.005163,2.544800,0.509890,-0.313318,2.220750,0.299071,-0.597703,2.243917,0.331514,-0.688604,2.255232,0.355971,-0.302286,2.373999,0.299135,-0.624849,2.385973,0.359969,-0.685770,2.416388
0.442541,0.730505,2.346012,0.388316,0.603687,2.284840,0.342777,0.422758,2.192294,0.506162,0.379826,2.241277,0.359585,0.176235,2.300226,0.364783,0.089254,2.281604,0.323158,0.067497,2.271090,0.404117,0.042190,2.293149,0.291432,0.201684,2.080048,0.335378,0.002822,2.041083,0.341939,-0.089137,2.030862,0.557187,0.183666,2.395418,0.576539,0.028582,2.562752,0.631367,-0.026243,2.576357,0.495482,-0.315162,2.239442,0.343180,-0.638298,2.267130,0.405568,-0.707994,2.271205,0.339391,-0.304522,2.373024,0.239717,-0.645949,2.382803,0.272628,-0.712203,2.399167
