Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.107921,0.774531,2.399035,0.008273,0.698179,2.323632,-0.012501,0.609171,2.323301,-0.076868,0.334206,2.313153,0.142728,0.551431,2.423795,-0.089278,0.555733,2.123441,-0.165883,-0.044514,2.289560,-0.109567,-0.057679,2.261489,-0.216806,-0.029858,2.235538,0.107418,0.369646,2.203814,0.056869,0.152603,2.033928,0.054558,0.011016,1.954440,0.053365,-0.043106,1.942570,0.010430,0.044610,1.930125,-0.051511,0.307575,1.987908,0.036168,0.091463,1.935719,0.051842,0.028848,1.944180,0.065560,-0.051583,1.961143,0.082640,0.051683,1.936706,0.016125,-0.490845,2.179482,-0.263538,-0.798753,2.214789,-0.228027,-0.851074,2.212891,0.096170,-0.414986,2.109349,0.242298,-0.803101,2.058723,0.323730,-0.813477,2.007813
0.095921,0.771850,2.393750,-0.003157,0.694834,2.318832,-0.025202,0.606793,2.318501,-0.093658,0.335152,2.307958,0.131346,0.548086,2.419007,-0.103896,0.554963,2.122016,-0.189164,-0.037757,2.282953,-0.129113,-0.054650,2.257813,-0.243007,-0.018794,2.225353,0.096105,0.366307,2.199016,0.045609,0.149268,2.029120,0.037898,0.004701,1.946285,0.034226,-0.054524,1.942804,-0.002840,0.033965,1.922091,-0.064691,0.306674,1.987171,0.018749,0.068362,1.933569,0.035631,0.007870,1.942703,0.047060,-0.067182,1.961781,0.065815,0.032059,1.931286,0.006085,-0.480736,2.177321,-0.277561,-0.786449,2.203801,-0.269789,-0.843956,2.192010,0.082894,-0.411512,2.107246,0.258790,-0.790511,2.058529,0.336087,-0.807233,2.004691
0.085060,0.765111,2.384913,-0.015719,0.690422,2.313184,-0.038185,0.602837,2.312948,-0.107060,0.332396,2.302680,0.118836,0.543674,2.413371,-0.117387,0.547198,2.113209,-0.201490,-0.039650,2.278120,-0.144807,-0.057612,2.249493,-0.251665,-0.020064,2.223490,0.083671,0.361904,2.193368,0.033234,0.144873,2.023460,0.022620,-0.002470,1.938164,0.016606,-0.061311,1.936954,-0.016975,0.023326,1.906000,-0.078135,0.298008,1.980202,0.007712,0.062025,1.929185,0.019995,0.000482,1.934600,0.030017,-0.080350,1.959287,0.054371,0.029821,1.933600,0.005623,-0.481564,2.174433,-0.299846,-0.767255,2.189925,-0.303860,-0.842576,2.193125,0.067907,-0.413820,2.104016,0.257888,-0.786220,2.057478,0.346646,-0.795505,1.998468
0.069284,0.756116,2.380919,-0.030173,0.681089,2.305452,-0.052266,0.594221,2.305431,-0.119907,0.325625,2.295634,0.104445,0.534348,2.405643,-0.123617,0.541582,2.109856,-0.212665,-0.044663,2.271414,-0.155877,-0.062015,2.242636,-0.261754,-0.025394,2.217757,0.069368,0.352611,2.185617,0.018998,0.135607,2.015688,0.004598,-0.015791,1.928205,-0.003485,-0.078635,1.928800,-0.034639,0.009297,1.907200,-0.089754,0.292219,1.975624,-0.005900,0.047320,1.922090,0.001618,-0.012284,1.924854,0.008817,-0.088656,1.945602,0.035126,0.009090,1.917692,-0.002658,-0.479150,2.171536,-0.318839,-0.753422,2.183856,-0.349588,-0.829650,2.168136,0.053189,-0.427789,2.101052,0.259564,-0.791510,2.056282,0.348447,-0.800262,1.997499
0.059858,0.750699,2.374705,-0.039633,0.676173,2.299143,-0.062803,0.588606,2.298883,-0.133878,0.317661,2.288346,0.095029,0.529431,2.399342,-0.135153,0.533741,2.102999,-0.231604,-0.056388,2.263050,-0.173645,-0.073040,2.236358,-0.281302,-0.037670,2.207416,0.060008,0.347706,2.179306,0.009683,0.130712,2.009365,-0.010709,-0.027414,1.918143,-0.020156,-0.089209,1.915329,-0.042179,-0.008799,1.887867,-0.102005,0.284831,1.967678,-0.025323,0.041959,1.908585,-0.015413,-0.019448,1.912497,-0.012388,-0.102773,1.935330,0.021448,0.014505,1.899417,-0.016259,-0.472638,2.163605,-0.334383,-0.744367,2.178278,-0.269961,-0.771836,2.092555,0.037051,-0.435542,2.098860,0.236511,-0.803270,2.056724,0.318623,-0.817143,2.006453
0.043246,0.751237,2.364515,-0.052021,0.670180,2.289871,-0.075911,0.583133,2.291699,-0.150153,0.313387,2.286649,0.082699,0.523434,2.390081,-0.148342,0.529467,2.096755,-0.255512,-0.058923,2.269957,-0.201452,-0.074887,2.246148,-0.300859,-0.040677,2.212109,0.047752,0.341720,2.170032,-0.002516,0.124734,2.000078,-0.027616,-0.033432,1.904864,-0.035616,-0.096906,1.893986,-0.064518,-0.020975,1.887857,-0.115667,0.280565,1.961282,-0.040486,0.032308,1.899236,-0.034129,-0.030005,1.900856,-0.033616,-0.112487,1.921301,-0.017510,-0.037104,1.868647,-0.082779,-0.461934,2.169550,-0.392819,-0.743256,2.173158,-0.328113,-0.771713,2.087527,0.023809,-0.445789,2.096841,0.188454,-0.811000,2.070511,0.278095,-0.827011,2.020494
0.028984,0.743017,2.359878,-0.069070,0.669924,2.277886,-0.092948,0.582677,2.280414,-0.165471,0.312742,2.278208,0.065727,0.523155,2.378133,-0.157205,0.528042,2.089633,-0.265301,-0.059451,2.264615,-0.210256,-0.075265,2.240827,-0.310965,-0.041403,2.206713,0.030885,0.341412,2.158085,-0.019302,0.124402,1.988129,-0.045890,-0.036253,1.891148,-0.058022,-0.096855,1.882830,-0.074878,-0.023187,1.857308,-0.127816,0.279401,1.952802,-0.051447,0.029303,1.892463,-0.053550,-0.031743,1.886101,-0.056659,-0.116715,1.905178,-0.014478,-0.002114,1.880111,-0.086315,-0.461771,2.167320,-0.413352,-0.723656,2.166724,-0.441831,-0.800074,2.153117,0.012432,-0.448768,2.091141,0.183921,-0.814098,2.070498,0.238978,-0.840742,1.985634
0.007356,0.764038,2.344638,-0.079041,0.671862,2.270654,-0.103276,0.584991,2.272817,-0.177103,0.316390,2.269349,0.055800,0.525074,2.370929,-0.173707,0.535848,2.078071,-0.278094,-0.053739,2.253515,-0.220643,-0.070130,2.232308,-0.325774,-0.035360,2.192596,0.021020,0.343303,2.150886,-0.029120,0.126269,1.980933,-0.080682,-0.088058,1.892356,-0.096248,-0.135959,1.896299,-0.080068,-0.047822,1.847783,-0.140780,0.285453,1.945501,-0.066665,0.025970,1.883436,-0.072116,-0.029097,1.873512,-0.077413,-0.114349,1.890611,-0.027712,0.006728,1.872167,-0.113300,-0.461023,2.162133,-0.440680,-0.721992,2.164851,-0.375045,-0.750689,2.079287,-0.004184,-0.448636,2.085603,0.045897,-0.800983,2.094191,0.134218,-0.826861,2.042883
-0.007193,0.762898,2.340445,-0.096499,0.677537,2.257956,-0.120163,0.590826,2.260998,-0.192218,0.322574,2.260090,0.038419,0.530712,2.358286,-0.187495,0.539764,2.068784,-0.290600,-0.047382,2.247186,-0.235990,-0.061297,2.222635,-0.335108,-0.031297,2.189154,0.003748,0.348875,2.138259,-0.044091,0.119478,1.985494,-0.099123,-0.100720,1.890593,-0.120332,-0.147445,1.901004,-0.091476,-0.084039,1.851822,-0.153970,0.290394,1.934174,-0.080518,0.030012,1.875464,-0.089308,-0.021047,1.861608,-0.095391,-0.105164,1.876620,-0.045381,0.011804,1.855429,-0.124121,-0.451692,2.160942,-0.457069,-0.705397,2.165723,-0.391031,-0.734398,2.080285,-0.016598,-0.440890,2.072146,0.010692,-0.789565,2.094266,0.094416,-0.827374,2.053521
-0.025205,0.770973,2.333539,-0.112192,0.683188,2.250517,-0.134172,0.596360,2.252975,-0.201876,0.327916,2.250468,0.022789,0.536337,2.350893,-0.199917,0.542497,2.059571,-0.295475,-0.041809,2.234877,-0.240594,-0.053918,2.210182,-0.339659,-0.027930,2.177717,-0.011783,0.354449,2.130881,-0.078808,0.113708,2.007206,-0.075536,0.012617,2.028665,-0.152630,-0.043227,1.983931,-0.069406,0.078243,1.875000,-0.164386,0.293303,1.925063,-0.098808,0.030607,1.867353,-0.105751,-0.023908,1.851710,-0.123089,-0.106719,1.861837,-0.067232,-0.003601,1.847273,-0.136160,-0.446735,2.159082,-0.468563,-0.700531,2.169249,-0.401621,-0.729124,2.084257,-0.062112,-0.427315,2.089478,-0.061343,-0.793044,2.094232,0.027778,-0.821787,2.043973
