HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
-0.176507,0.923450,2.333800,-0.331970,0.747061,2.255421,-0.414214,0.653405,2.090865,-0.273839,0.557402,2.166478,-0.365575,0.324977,2.279855,-0.341875,0.245583,2.240132,-0.382386,0.218458,2.206026,-0.316469,0.177655,2.258902,-0.373983,0.367706,1.962057,-0.251325,0.155660,1.995883,-0.228596,0.072395,2.029720,-0.417376,0.307508,1.964448,-0.389967,0.044941,1.906617,-0.380617,-0.042329,1.892526,-0.545820,-0.366254,2.366207,-0.249327,-0.733080,2.279968,-0.138762,-0.714358,2.251458,-0.291297,-0.322340,2.257663,-0.613889,-0.635323,2.308534,-0.590450,-0.710889,2.387723
-0.169609,0.921586,2.326298,-0.334150,0.748446,2.249619,-0.413883,0.644093,2.086281,-0.277727,0.555151,2.161392,-0.370776,0.321930,2.274584,-0.348978,0.242528,2.234191,-0.391291,0.214766,2.198020,-0.321286,0.174918,2.255681,-0.378371,0.356649,1.963443,-0.252947,0.147436,2.001006,-0.221876,0.044053,2.037426,-0.421300,0.305160,1.959330,-0.393836,0.042624,1.901666,-0.384514,-0.044622,1.887587,-0.588497,-0.387139,2.370880,-0.298621,-0.745428,2.286520,-0.187513,-0.716199,2.256835,-0.286996,-0.321297,2.260615,-0.621301,-0.617694,2.300187,-0.630376,-0.702854,2.368120
-0.160587,0.921235,2.321916,-0.333395,0.751840,2.244841,-0.413154,0.638102,2.083093,-0.279211,0.555422,2.156843,-0.373788,0.320187,2.270263,-0.353412,0.240526,2.229543,-0.396150,0.212903,2.193796,-0.324038,0.174400,2.249951,-0.380644,0.348880,1.963840,-0.256889,0.136999,2.001596,-0.236443,0.054385,2.031327,-0.422822,0.305353,1.954753,-0.395104,0.043127,1.897133,-0.385751,-0.044048,1.883036,-0.598392,-0.389076,2.366534,-0.334742,-0.753581,2.285306,-0.222548,-0.723390,2.258180,-0.285773,-0.318323,2.265482,-0.627892,-0.601106,2.293343,-0.657516,-0.693126,2.351690
-0.150572,0.920138,2.317081,-0.330848,0.754842,2.240071,-0.410982,0.630770,2.078220,-0.278641,0.556883,2.152175,-0.374625,0.319298,2.265734,-0.355709,0.238970,2.225555,-0.398828,0.211128,2.189682,-0.324380,0.174484,2.245739,-0.376988,0.324621,1.959066,-0.257619,0.110925,1.998290,-0.248787,0.058910,2.020977,-0.422275,0.306777,1.950064,-0.394195,0.044909,1.892398,-0.384775,-0.042191,1.878260,-0.612599,-0.389390,2.357720,-0.358842,-0.757105,2.281428,-0.245052,-0.728038,2.257688,-0.285626,-0.314645,2.269369,-0.631302,-0.589705,2.290220,-0.670007,-0.686303,2.346117
-0.135892,0.917716,2.306778,-0.325914,0.757679,2.234977,-0.408346,0.625687,2.074116,-0.275666,0.559212,2.147137,-0.370941,0.319083,2.259144,-0.354508,0.237384,2.220022,-0.397790,0.209089,2.185004,-0.321042,0.175751,2.240572,-0.372935,0.309388,1.954312,-0.260016,0.087781,1.986352,-0.260728,0.057522,2.007222,-0.419306,0.309097,1.945011,-0.390820,0.047563,1.887265,-0.381312,-0.039473,1.873078,-0.630843,-0.388691,2.337054,-0.366366,-0.746350,2.267977,-0.252361,-0.726684,2.251439,-0.285372,-0.310718,2.271063,-0.633533,-0.578195,2.287919,-0.632800,-0.637643,2.256508
-0.143685,0.908880,2.298109,-0.310547,0.723891,2.215284,-0.402231,0.620356,2.066834,-0.264416,0.539990,2.131654,-0.361613,0.312714,2.241512,-0.349675,0.232260,2.204481,-0.389744,0.202394,2.171745,-0.317753,0.172294,2.223760,-0.368936,0.301533,1.949519,-0.263353,0.074572,1.973835,-0.274445,0.054886,1.988381,-0.408064,0.289933,1.929553,-0.379255,0.028724,1.871831,-0.369648,-0.058308,1.857582,-0.630049,-0.385002,2.334244,-0.375008,-0.745619,2.265118,-0.261004,-0.728708,2.250404,-0.285284,-0.307471,2.271886,-0.635972,-0.566827,2.287261,-0.612688,-0.604270,2.205218
-0.129576,0.913373,2.297201,-0.293385,0.736382,2.204857,-0.395813,0.617717,2.060228,-0.251968,0.545607,2.121884,-0.324608,0.315077,2.223978,-0.311001,0.232269,2.185941,-0.344270,0.199432,2.156568,-0.279940,0.178985,2.206644,-0.360157,0.295027,1.939560,-0.265256,0.064844,1.962251,-0.282433,0.052401,1.974236,-0.395573,0.295610,1.919784,-0.366479,0.034631,1.861992,-0.356804,-0.052372,1.847703,-0.575028,-0.370961,2.337003,-0.364893,-0.742985,2.263224,-0.236108,-0.735446,2.247844,-0.285228,-0.305343,2.272455,-0.641342,-0.551847,2.290486,-0.607516,-0.587603,2.185952
-0.142407,0.904479,2.289288,-0.279719,0.704252,2.193193,-0.380823,0.621599,2.047271,-0.238550,0.525975,2.110062,-0.312581,0.312726,2.212239,-0.297197,0.231094,2.173181,-0.327915,0.196265,2.146049,-0.267311,0.178001,2.188944,-0.351674,0.294675,1.930138,-0.264987,0.061810,1.943322,-0.287533,0.052129,1.950795,-0.382135,0.276124,1.908039,-0.352933,0.015140,1.850169,-0.343228,-0.071892,1.835843,-0.472758,-0.238207,2.386057,-0.554170,-0.530970,2.353253,-0.418435,-0.596152,2.315414,-0.285384,-0.303769,2.273045,-0.648044,-0.537546,2.295831,-0.604469,-0.574272,2.177236
-0.115664,0.913407,2.294285,-0.271051,0.737508,2.188201,-0.370972,0.626311,2.037996,-0.227584,0.541193,2.102188,-0.295109,0.326411,2.208733,-0.277685,0.244612,2.171335,-0.305650,0.210700,2.147321,-0.241002,0.201853,2.190957,-0.339071,0.302804,1.914642,-0.263992,0.065533,1.925349,-0.275201,0.023104,1.927154,-0.371085,0.291495,1.900213,-0.341925,0.030382,1.842298,-0.332233,-0.056697,1.827956,-0.436458,-0.193034,2.397530,-0.581014,-0.495578,2.367859,-0.477420,-0.549394,2.339787,-0.285477,-0.302862,2.273444,-0.652672,-0.528332,2.301923,-0.677652,-0.613649,2.325850
-0.127436,0.914675,2.284158,-0.267796,0.731437,2.182638,-0.364033,0.631437,2.030192,-0.222039,0.537858,2.096138,-0.292801,0.329662,2.202219,-0.277789,0.250083,2.163721,-0.304253,0.217001,2.147503,-0.253200,0.207074,2.161464,-0.326180,0.315996,1.899891,-0.253986,0.079612,1.902657,-0.254455,0.012014,1.899554,-0.365509,0.288250,1.894224,-0.336349,0.027069,1.836243,-0.326659,-0.060033,1.821880,-0.436819,-0.304423,2.417299,-0.688956,-0.477652,2.331801,-0.587722,-0.529788,2.316830,-0.286272,-0.302375,2.273666,-0.656074,-0.523281,2.311565,-0.681816,-0.616570,2.351706
