Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.446872,0.627833,2.476320,0.369293,0.536741,2.432986,0.372425,0.459982,2.431270,0.379185,0.227364,2.418269,0.483558,0.377262,2.536520,0.307883,0.381392,2.258313,0.386690,-0.079118,2.392005,0.414332,-0.073911,2.411839,0.345480,-0.088866,2.286340,0.532525,0.121379,2.568506,0.552419,-0.140403,2.551548,0.530602,-0.194002,2.596307,0.529543,-0.213632,2.591157,0.516538,-0.197704,2.557744,0.292455,0.132799,2.156110,0.359064,-0.047997,2.117817,0.363850,-0.130855,2.110506,0.379943,-0.190448,2.121520,0.334680,-0.113046,2.170733,0.396721,-0.476254,2.376755,0.408642,-0.777170,2.357480,0.482586,-0.804790,2.265512,0.328213,-0.441428,2.211218,0.058982,-0.718705,2.219195,0.046503,-0.811863,2.166659
0.434172,0.627748,2.483672,0.354147,0.539180,2.441974,0.358653,0.463953,2.440652,0.370556,0.233232,2.427129,0.468463,0.379713,2.545517,0.289512,0.388712,2.267763,0.384194,-0.077432,2.398190,0.411683,-0.072305,2.417372,0.342735,-0.082642,2.299195,0.517558,0.123832,2.577497,0.537536,-0.137953,2.560534,0.515721,-0.191552,2.605291,0.514732,-0.211194,2.600133,0.501818,-0.195283,2.566708,0.267968,0.137025,2.163226,0.327444,-0.045932,2.121850,0.333452,-0.128206,2.112960,0.340799,-0.187067,2.115188,0.360446,-0.107194,2.162938,0.301838,-0.395633,2.418698,0.343682,-0.800880,2.369544,0.432291,-0.863400,2.345194,0.355438,-0.416167,2.214545,0.068937,-0.711021,2.219928,0.059617,-0.794909,2.170096
0.419993,0.625989,2.490549,0.342264,0.540529,2.447098,0.345789,0.465326,2.444816,0.354403,0.234111,2.428045,0.456621,0.381070,2.550649,0.277603,0.389768,2.273271,0.362547,-0.081494,2.393867,0.390612,-0.093672,2.417098,0.312535,-0.067214,2.288411,0.505813,0.125190,2.582625,0.525855,-0.136597,2.565659,0.504042,-0.190195,2.610414,0.503106,-0.209844,2.605250,0.490261,-0.193942,2.571818,0.240829,0.137833,2.174297,0.301325,-0.072363,2.116484,0.299664,-0.130321,2.114233,0.303518,-0.187100,2.118118,0.337862,-0.112209,2.159421,0.296869,-0.397126,2.415262,0.296999,-0.805532,2.378489,0.392381,-0.854407,2.370472,0.349584,-0.421072,2.215503,0.068543,-0.718699,2.221924,0.085104,-0.793454,2.173200
0.392860,0.630286,2.491832,0.320573,0.539744,2.453077,0.323348,0.464407,2.449126,0.329889,0.232401,2.427278,0.435005,0.380299,2.556636,0.258178,0.388831,2.279135,0.336453,-0.085908,2.386634,0.370534,-0.101033,2.409358,0.293602,-0.067364,2.284641,0.484368,0.124433,2.588591,0.504521,-0.137347,2.571610,0.482712,-0.190944,2.616361,0.481869,-0.210591,2.611184,0.469145,-0.194686,2.577735,0.216019,0.138615,2.177624,0.274119,-0.105451,2.136538,0.258040,-0.138996,2.108793,0.264556,-0.185259,2.109618,0.285980,-0.146678,2.108769,0.262182,-0.439298,2.410778,0.260818,-0.829096,2.364943,0.315432,-0.882565,2.340122,0.343804,-0.436472,2.219718,0.100312,-0.738826,2.227866,0.147339,-0.808594,2.189453
0.367960,0.646661,2.493587,0.299335,0.536221,2.456378,0.302579,0.461349,2.452059,0.311312,0.230642,2.429205,0.413841,0.376792,2.559940,0.228555,0.387217,2.287936,0.321700,-0.086362,2.387864,0.355024,-0.104097,2.414068,0.276085,-0.065456,2.282005,0.463367,0.120953,2.591872,0.426783,-0.089723,2.427263,0.412001,-0.161992,2.388720,0.411288,-0.181705,2.383520,0.398732,-0.165862,2.350042,0.185685,0.137872,2.184452,0.251919,-0.097827,2.141055,0.224280,-0.136273,2.113916,0.230701,-0.187524,2.117372,0.255081,-0.160157,2.128834,0.241394,-0.463827,2.410708,0.255842,-0.819593,2.357023,0.301405,-0.877424,2.343443,0.343985,-0.438998,2.221422,0.146486,-0.772654,2.228580,0.183031,-0.839630,2.180897
0.341615,0.630217,2.501238,0.268909,0.532806,2.460840,0.273424,0.458166,2.456845,0.285872,0.228136,2.434852,0.383521,0.373394,2.564410,0.208060,0.382899,2.290843,0.301152,-0.087997,2.394562,0.333446,-0.106291,2.423486,0.258748,-0.066631,2.285794,0.433282,0.117583,2.596313,0.405733,-0.093456,2.430454,0.393644,-0.166017,2.391520,0.393018,-0.185712,2.386311,0.380575,-0.169845,2.352822,0.158002,0.133925,2.190189,0.201657,-0.097971,2.147058,0.186777,-0.137960,2.120843,0.194183,-0.193259,2.125370,0.213778,-0.157842,2.129917,0.215075,-0.478796,2.415220,0.100199,-0.762900,2.400805,0.140268,-0.824528,2.392702,0.344622,-0.444508,2.224665,0.168801,-0.786134,2.228471,0.226318,-0.845703,2.175781
0.318665,0.622032,2.502162,0.242621,0.528847,2.463227,0.244933,0.453912,2.458179,0.250434,0.222966,2.432621,0.357324,0.369450,2.566805,0.176265,0.378410,2.293723,0.255867,-0.094477,2.386760,0.289633,-0.113915,2.416215,0.213273,-0.071809,2.277048,0.407287,0.113667,2.598682,0.379374,-0.104815,2.443505,0.367488,-0.178874,2.407375,0.366994,-0.198512,2.402153,0.354721,-0.182574,2.368647,0.127769,0.128646,2.194687,0.152362,-0.073463,2.143203,0.149785,-0.142061,2.126651,0.156828,-0.200186,2.132785,0.172777,-0.142683,2.119889,0.177759,-0.484934,2.413012,0.098660,-0.824003,2.361381,0.122848,-0.891833,2.295618,0.345346,-0.445369,2.227615,0.200525,-0.812844,2.239078,0.260609,-0.857589,2.177470
0.282346,0.622093,2.500970,0.209075,0.525981,2.465608,0.213418,0.451059,2.461129,0.225459,0.220276,2.437314,0.323894,0.366596,2.569202,0.146949,0.374672,2.294327,0.239163,-0.096786,2.393681,0.271954,-0.115202,2.419896,0.197620,-0.075201,2.287569,0.374115,0.110832,2.601054,0.351378,-0.107657,2.445060,0.341011,-0.181824,2.408681,0.340639,-0.201448,2.403446,0.328525,-0.185491,2.369924,0.094495,0.124768,2.198276,0.124745,-0.067125,2.144680,0.115036,-0.142945,2.132589,0.116603,-0.205529,2.141121,0.139988,-0.156478,2.131667,0.112622,-0.457472,2.424552,0.036152,-0.826464,2.365294,0.103510,-0.871127,2.319681,0.341454,-0.443348,2.236905,0.241983,-0.810023,2.234553,0.315186,-0.851074,2.187500
0.256809,0.617796,2.501595,0.180186,0.520944,2.463113,0.181345,0.445892,2.459057,0.183469,0.214807,2.437215,0.295108,0.361568,2.566719,0.116426,0.372215,2.292984,0.185955,-0.102214,2.398121,0.218259,-0.120326,2.426041,0.148873,-0.080467,2.289742,0.345548,0.105828,2.598549,0.320576,-0.112531,2.442731,0.309474,-0.186729,2.406351,0.309246,-0.206329,2.401103,0.297319,-0.190340,2.367564,0.059300,0.122957,2.198255,0.088291,-0.067471,2.143450,0.079786,-0.143529,2.132412,0.082667,-0.209980,2.140770,0.101688,-0.159706,2.122478,0.075852,-0.469707,2.419384,-0.012083,-0.833332,2.357536,0.041168,-0.884753,2.352489,0.315563,-0.427420,2.254496,0.299621,-0.804284,2.226180,0.371338,-0.855957,2.189453
0.220170,0.612452,2.496983,0.147595,0.515227,2.459362,0.148464,0.440295,2.455569,0.150885,0.209571,2.434340,0.262635,0.355860,2.562984,0.078233,0.365274,2.292679,0.153290,-0.107327,2.395454,0.188649,-0.125178,2.421801,0.111465,-0.086008,2.288747,0.313324,0.100142,2.594792,0.324832,-0.162131,2.587869,0.341267,-0.193842,2.614188,0.351091,-0.239212,2.604991,0.314428,-0.170185,2.564182,0.029106,0.115435,2.194793,0.055420,-0.076031,2.141668,0.045326,-0.152501,2.129231,0.049142,-0.217196,2.138440,0.071330,-0.148677,2.124600,-0.013446,-0.472574,2.406888,-0.072492,-0.835918,2.353468,-0.013679,-0.885174,2.344148,0.289212,-0.427383,2.262949,0.304029,-0.804115,2.227958,0.401237,-0.855208,2.184888
