HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.198734,0.876777,2.258402,0.216431,0.698733,2.242952,0.169616,0.507234,2.082915,0.350233,0.523431,2.358245,0.245652,0.246455,2.248099,0.297367,0.169087,2.214608,0.254932,0.137052,2.193728,0.344763,0.126417,2.220113,0.179369,0.252452,1.964624,0.251892,0.042997,1.943092,0.243077,-0.014431,1.940108,0.294598,0.288845,2.244770,0.399497,0.118527,2.453051,0.419358,0.057695,2.437657,0.259437,-0.288909,2.151105,-0.029325,-0.550934,2.179660,-0.011815,-0.645028,2.176444,0.334634,-0.371693,2.314530,0.267449,-0.680386,2.331154,0.342246,-0.725139,2.340640
0.198950,0.881220,2.260978,0.218962,0.702614,2.244803,0.173576,0.510699,2.085860,0.353822,0.528580,2.360801,0.243324,0.252024,2.245245,0.290988,0.174759,2.208246,0.247282,0.143940,2.185605,0.334794,0.128337,2.211569,0.173789,0.254154,1.972129,0.236492,0.040640,1.949880,0.215770,-0.009400,1.942843,0.298188,0.293994,2.247322,0.403110,0.123698,2.455595,0.422968,0.062872,2.440094,0.313089,-0.267222,2.152371,0.054052,-0.568086,2.193389,0.092873,-0.658559,2.196968,0.317680,-0.383400,2.300269,0.217180,-0.687810,2.334116,0.290440,-0.724058,2.342335
0.199345,0.884370,2.263025,0.221155,0.705412,2.246075,0.176458,0.513809,2.088023,0.356792,0.532421,2.362612,0.242640,0.255219,2.244037,0.290372,0.177385,2.207003,0.247137,0.146873,2.184146,0.334041,0.129272,2.210688,0.167748,0.255785,1.978397,0.222560,0.039550,1.955502,0.200135,-0.007516,1.944702,0.301158,0.297835,2.249129,0.406100,0.127556,2.457400,0.425959,0.066719,2.441827,0.346239,-0.259173,2.152567,0.131316,-0.587013,2.203878,0.196467,-0.676653,2.214072,0.233958,-0.309215,2.315785,0.202957,-0.682729,2.332602,0.266307,-0.725786,2.342562
0.199605,0.886472,2.264369,0.223304,0.707150,2.246782,0.178711,0.516472,2.089711,0.359231,0.535221,2.363875,0.242604,0.257246,2.243700,0.290462,0.179090,2.206683,0.247275,0.148870,2.183364,0.333747,0.129293,2.211372,0.160849,0.257639,1.983458,0.207989,0.039669,1.958934,0.189317,-0.006738,1.946684,0.303597,0.300635,2.250387,0.408553,0.130366,2.458660,0.428420,0.069513,2.443040,0.384823,-0.258619,2.147616,0.217904,-0.628131,2.219194,0.315409,-0.695504,2.233129,0.200487,-0.294105,2.324543,0.121745,-0.683063,2.342264,0.165274,-0.744710,2.349229
0.200269,0.887830,2.265298,0.227338,0.707068,2.246624,0.180503,0.518335,2.090986,0.362204,0.537188,2.364659,0.242536,0.258557,2.243320,0.290402,0.180152,2.206414,0.247269,0.150079,2.182923,0.333767,0.128760,2.211756,0.154512,0.258260,1.987372,0.198188,0.039247,1.961207,0.181718,-0.006599,1.948381,0.306571,0.302602,2.251166,0.411535,0.132342,2.459451,0.431447,0.071447,2.443801,0.410852,-0.259209,2.144872,0.322338,-0.661661,2.209206,0.436214,-0.712264,2.216393,0.184848,-0.283799,2.328577,0.091151,-0.679628,2.340386,0.130462,-0.749917,2.347622
0.202062,0.887700,2.265872,0.232778,0.704617,2.245895,0.181955,0.519524,2.091942,0.365699,0.537939,2.365040,0.242016,0.258996,2.242495,0.289769,0.180174,2.205820,0.246879,0.150208,2.182631,0.333506,0.126679,2.211479,0.149430,0.257958,1.990322,0.189836,0.038274,1.962710,0.175833,-0.007453,1.950418,0.310067,0.303353,2.251540,0.415036,0.133100,2.459846,0.435026,0.072123,2.444180,0.426271,-0.260640,2.143949,0.414287,-0.682845,2.193411,0.519568,-0.711683,2.175503,0.213933,-0.301821,2.301204,0.074779,-0.677852,2.339209,0.160062,-0.732762,2.357671
0.208486,0.882500,2.265234,0.243514,0.696516,2.243642,0.183488,0.520048,2.092708,0.372394,0.535668,2.364469,0.241435,0.258375,2.241142,0.288750,0.178914,2.204629,0.245980,0.148902,2.182402,0.333315,0.122495,2.209656,0.144962,0.256621,1.992700,0.184020,0.036985,1.963688,0.171666,-0.009685,1.952917,0.316763,0.301083,2.250959,0.449216,0.115678,2.441242,0.473574,0.055200,2.430032,0.436235,-0.263099,2.144352,0.507625,-0.694873,2.172935,0.612805,-0.711937,2.136668,0.253099,-0.295604,2.263620,0.060490,-0.671729,2.331558,0.122140,-0.733137,2.355112
0.217594,0.875752,2.263359,0.252574,0.688950,2.241146,0.186090,0.519396,2.093294,0.379643,0.531919,2.363164,0.241514,0.259072,2.239542,0.288463,0.180576,2.202865,0.248683,0.154141,2.156148,0.333569,0.119503,2.212153,0.141731,0.255138,1.994342,0.179904,0.035765,1.964464,0.169333,-0.014406,1.956270,0.324012,0.297334,2.249643,0.486222,0.098759,2.415987,0.486125,0.037848,2.407549,0.434254,-0.233565,2.160095,0.566620,-0.650318,2.150589,0.663457,-0.687202,2.103880,0.295834,-0.298350,2.232938,0.051998,-0.661645,2.321731,0.113588,-0.731433,2.355692
0.243923,0.813891,2.255666,0.276349,0.625936,2.227749,0.189969,0.516610,2.093262,0.408435,0.467735,2.349044,0.256687,0.251612,2.225685,0.299619,0.181440,2.191275,0.267169,0.143138,2.125268,0.352191,0.105350,2.212914,0.139407,0.253096,1.995504,0.176665,0.034015,1.965016,0.168707,-0.020474,1.959615,0.352803,0.233152,2.235501,0.518531,0.076965,2.423707,0.519729,0.013679,2.415685,0.436093,-0.226656,2.164657,0.619772,-0.630524,2.134812,0.704657,-0.678462,2.080375,0.316161,-0.300341,2.219824,0.043571,-0.648046,2.311175,0.067167,-0.719976,2.343364
0.310009,0.813542,2.245969,0.287294,0.622540,2.223086,0.196561,0.511743,2.092386,0.418053,0.460931,2.345362,0.267374,0.250996,2.219571,0.309797,0.183550,2.184703,0.277043,0.139741,2.113957,0.364481,0.100029,2.215607,0.138027,0.250620,1.996212,0.174423,0.031855,1.965228,0.169362,-0.027352,1.962333,0.362422,0.226348,2.231809,0.528421,0.072435,2.421157,0.547839,-0.001130,2.421841,0.436295,-0.221820,2.168023,0.621505,-0.620880,2.131045,0.704585,-0.674514,2.075968,0.329598,-0.303283,2.213377,0.037178,-0.636214,2.303961,0.033298,-0.713262,2.335590
