Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.315883,0.504811,2.334355,0.261724,0.412689,2.258550,0.262456,0.342179,2.255864,0.260143,0.126073,2.236829,0.354114,0.122836,2.240531,0.232785,0.279139,2.153208,0.245399,-0.169675,2.197766,0.271824,-0.186183,2.208453,0.210353,-0.146952,2.115981,0.401023,-0.043836,2.136523,0.495240,-0.165976,2.332165,0.476150,-0.259693,2.459443,0.483894,-0.274083,2.464003,0.463680,-0.238537,2.433234,0.235671,0.039715,2.046728,0.339865,-0.173914,2.012769,0.318627,-0.216429,2.027844,0.336844,-0.279853,2.003984,0.278927,-0.223716,2.046175,0.316958,-0.516386,2.174353,0.113454,-0.787735,2.263129,0.122559,-0.873047,2.246094,0.305596,-0.508806,2.144509,0.282364,-0.850159,2.132066,0.333212,-0.893527,2.082022
0.317177,0.507378,2.333051,0.262561,0.415811,2.256000,0.262572,0.344092,2.254392,0.259880,0.126193,2.236993,0.354936,0.125935,2.237987,0.233004,0.281466,2.150490,0.246140,-0.173059,2.204597,0.272267,-0.187779,2.211562,0.211885,-0.153314,2.128888,0.402692,-0.041705,2.136238,0.496794,-0.163437,2.332173,0.477695,-0.256077,2.459574,0.486876,-0.270743,2.463844,0.464965,-0.234962,2.433211,0.244496,0.043383,2.042917,0.343162,-0.119098,1.999339,0.363362,-0.190721,2.001197,0.390385,-0.252930,2.001231,0.370050,-0.199204,2.031667,0.395010,-0.515556,2.243538,0.158280,-0.804592,2.251314,0.214214,-0.827303,2.152030,0.287709,-0.526044,2.145541,0.241480,-0.846543,2.138752,0.299491,-0.890203,2.083776
0.318340,0.509547,2.331397,0.262184,0.419702,2.251891,0.262647,0.347168,2.251803,0.261034,0.127376,2.237680,0.354551,0.129804,2.233884,0.233258,0.285385,2.148254,0.260155,-0.172475,2.216861,0.286453,-0.185392,2.226505,0.225254,-0.154078,2.137720,0.403171,-0.038822,2.134500,0.497204,-0.160295,2.330625,0.477919,-0.252413,2.458023,0.487865,-0.266317,2.461502,0.464299,-0.231946,2.431385,0.254512,0.048912,2.039712,0.352127,-0.115017,2.000526,0.393830,-0.183560,2.003275,0.422005,-0.246985,2.018888,0.410164,-0.158016,2.006500,0.395000,-0.517109,2.246613,0.282638,-0.839740,2.233362,0.337679,-0.913154,2.234818,0.271765,-0.539650,2.150919,0.222831,-0.851508,2.140393,0.276150,-0.892550,2.087859
0.317335,0.510725,2.330461,0.262893,0.420603,2.248796,0.263736,0.348290,2.249453,0.264187,0.128779,2.238045,0.355255,0.130691,2.230789,0.232713,0.285675,2.145716,0.268869,-0.170181,2.220706,0.296567,-0.181265,2.230224,0.232712,-0.153405,2.141389,0.404233,-0.038430,2.132594,0.498194,-0.159603,2.328921,0.478742,-0.251358,2.456415,0.488683,-0.265266,2.459893,0.465051,-0.231034,2.430080,0.264468,0.052587,2.036743,0.371804,-0.106416,2.007167,0.418177,-0.170503,2.013198,0.453102,-0.233923,2.029496,0.435105,-0.149200,2.014923,0.395398,-0.532137,2.255035,0.308150,-0.870493,2.231438,0.351416,-0.918599,2.175116,0.248733,-0.537192,2.150297,0.180929,-0.848002,2.143171,0.229833,-0.892900,2.087516
0.317384,0.512098,2.328885,0.262855,0.421794,2.247482,0.264022,0.349159,2.248963,0.267182,0.129581,2.241626,0.355215,0.131873,2.229478,0.232035,0.286586,2.143976,0.277564,-0.172235,2.234662,0.302273,-0.181171,2.238752,0.244664,-0.158689,2.161746,0.404512,-0.037344,2.131653,0.498404,-0.158398,2.328083,0.478918,-0.249965,2.455647,0.488857,-0.263878,2.459125,0.465324,-0.229808,2.429455,0.274114,0.050120,2.033875,0.386065,-0.106077,2.009589,0.437749,-0.167766,2.021798,0.469925,-0.228824,2.040369,0.460413,-0.157718,2.017923,0.400608,-0.532709,2.256355,0.388126,-0.850557,2.231165,0.438955,-0.873042,2.130911,0.222234,-0.534910,2.145858,0.146800,-0.846124,2.140216,0.206721,-0.889274,2.087482
0.316527,0.511837,2.327877,0.263243,0.420902,2.246074,0.264490,0.348579,2.248177,0.268169,0.128752,2.242349,0.355601,0.130976,2.228065,0.231603,0.286671,2.142967,0.277867,-0.172903,2.235296,0.303129,-0.182124,2.239341,0.244518,-0.159008,2.162190,0.405126,-0.038353,2.130616,0.498935,-0.159171,2.327212,0.479350,-0.250455,2.454864,0.489287,-0.264366,2.458341,0.465292,-0.230461,2.428880,0.279431,0.049043,2.033049,0.405949,-0.101239,2.017417,0.451746,-0.165757,2.030029,0.487401,-0.223274,2.049255,0.477864,-0.159956,2.029867,0.405276,-0.532774,2.255393,0.467371,-0.852512,2.221188,0.524414,-0.894531,2.199219,0.200572,-0.525469,2.142110,0.114890,-0.847773,2.139721,0.159852,-0.898330,2.089454
0.313137,0.511388,2.331216,0.262748,0.420225,2.246288,0.264163,0.347963,2.248485,0.268128,0.127263,2.244126,0.355104,0.130297,2.228277,0.229936,0.284854,2.142106,0.277324,-0.174734,2.236478,0.302818,-0.184667,2.240637,0.243760,-0.159989,2.162975,0.404774,-0.038739,2.131010,0.498430,-0.159475,2.327240,0.479017,-0.250947,2.455231,0.488955,-0.264855,2.458706,0.464551,-0.231140,2.429190,0.285685,0.044233,2.033246,0.408933,-0.103090,2.018666,0.458906,-0.165603,2.037619,0.496391,-0.227138,2.056057,0.486098,-0.162060,2.037250,0.405842,-0.531854,2.255370,0.487403,-0.839616,2.221199,0.566695,-0.893347,2.202317,0.187342,-0.516632,2.143382,0.079221,-0.841880,2.139663,0.126745,-0.891417,2.090960
0.312042,0.509886,2.331832,0.261523,0.418960,2.246559,0.263110,0.346717,2.248897,0.267164,0.125335,2.245661,0.353878,0.129031,2.228544,0.228644,0.280091,2.140554,0.275479,-0.177559,2.237759,0.301350,-0.187783,2.241128,0.241345,-0.162304,2.164856,0.403781,-0.039706,2.131489,0.497275,-0.160343,2.327377,0.478039,-0.251960,2.455703,0.487981,-0.265864,2.459177,0.463373,-0.232077,2.429474,0.290085,0.040258,2.034466,0.413151,-0.106800,2.024763,0.462320,-0.171790,2.044688,0.499126,-0.231961,2.061911,0.493733,-0.174896,2.042286,0.405259,-0.531971,2.255358,0.503235,-0.837951,2.221168,0.594579,-0.873028,2.192849,0.172892,-0.499186,2.141513,0.046271,-0.838180,2.142853,0.093140,-0.888462,2.093272
0.310469,0.505695,2.330551,0.259370,0.414054,2.247593,0.261250,0.342010,2.250485,0.265865,0.120266,2.249844,0.351726,0.124132,2.229562,0.227431,0.278017,2.141117,0.273715,-0.182687,2.243323,0.299504,-0.193640,2.248459,0.239673,-0.166251,2.168480,0.401889,-0.044324,2.132775,0.495225,-0.164799,2.328375,0.476146,-0.256484,2.457044,0.486096,-0.270371,2.460517,0.462308,-0.233825,2.429923,0.292221,0.038574,2.037443,0.413271,-0.109809,2.027817,0.455145,-0.174831,2.048343,0.495392,-0.235602,2.064505,0.472596,-0.160977,2.034000,0.404400,-0.534499,2.257318,0.506454,-0.840088,2.222257,0.607367,-0.843204,2.193821,0.170065,-0.495993,2.142392,0.017190,-0.836735,2.143321,0.061547,-0.888700,2.092079
0.293341,0.478452,2.323358,0.251796,0.381750,2.233872,0.254042,0.314370,2.239034,0.260071,0.105000,2.244256,0.344166,0.091827,2.215749,0.225192,0.275987,2.142621,0.268216,-0.188399,2.240526,0.293375,-0.200119,2.245459,0.234709,-0.171051,2.165631,0.394859,-0.076253,2.119506,0.487986,-0.196234,2.314936,0.469024,-0.287702,2.444035,0.478996,-0.301460,2.447520,0.456594,-0.266276,2.417833,0.291582,0.037385,2.038993,0.408010,-0.114305,2.032010,0.442953,-0.182430,2.047269,0.480393,-0.242478,2.056023,0.475729,-0.199947,2.038500,0.403514,-0.534756,2.257555,0.497441,-0.840727,2.223463,0.555176,-0.885742,2.195313,0.166200,-0.493516,2.141845,-0.008543,-0.823931,2.138709,0.013121,-0.886736,2.086603
