HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.273715,0.726125,2.214346,0.188096,0.561741,2.161937,0.143046,0.403820,2.111942,0.337157,0.422605,2.256944,0.210426,0.165665,2.173946,0.232898,0.091492,2.157542,0.191491,0.051307,2.160226,0.282819,0.051170,2.149735,0.152960,0.157633,2.001965,0.256457,-0.043841,1.978190,0.277248,-0.101545,1.970927,0.335492,0.129437,2.174919,0.373208,-0.023016,2.408487,0.381909,-0.083480,2.424240,0.251652,-0.313890,2.169633,0.170947,-0.671865,2.196633,0.224920,-0.738447,2.205867,0.308783,-0.329826,2.288187,0.046567,-0.614071,2.318703,0.070868,-0.711145,2.346622
0.274162,0.731521,2.212243,0.187024,0.567629,2.161127,0.144120,0.406131,2.108515,0.336987,0.428791,2.254095,0.209053,0.171664,2.171192,0.231135,0.096859,2.154437,0.189226,0.055475,2.155602,0.281765,0.057924,2.148192,0.165547,0.162311,1.997396,0.287019,-0.030491,1.975403,0.309118,-0.079835,1.974473,0.335321,0.135623,2.172067,0.370000,-0.024819,2.404213,0.376384,-0.084823,2.423213,0.238981,-0.318933,2.173774,0.154964,-0.672734,2.198771,0.188938,-0.740295,2.209712,0.373725,-0.315330,2.288943,0.108036,-0.622454,2.313322,0.112034,-0.710702,2.349226
0.261468,0.716332,2.209167,0.180411,0.548130,2.155656,0.143327,0.411012,2.104067,0.334994,0.424850,2.249539,0.173690,0.166915,2.155313,0.190498,0.093942,2.135396,0.145039,0.059842,2.125158,0.238475,0.043236,2.139121,0.176326,0.166311,1.993635,0.309158,-0.020143,1.973423,0.343101,-0.052989,1.979485,0.333328,0.131681,2.167507,0.361991,-0.054473,2.388903,0.364279,-0.111668,2.414926,0.219645,-0.336664,2.187864,0.124405,-0.673294,2.206493,0.162517,-0.737127,2.209481,0.366583,-0.322176,2.291055,0.217278,-0.652530,2.300469,0.239441,-0.727336,2.326923
0.254707,0.704269,2.206053,0.176885,0.533734,2.152478,0.142586,0.414761,2.100574,0.332869,0.418958,2.245736,0.157172,0.164224,2.148824,0.170609,0.092038,2.126676,0.121161,0.061565,2.109553,0.215456,0.034551,2.135069,0.184617,0.169788,1.990906,0.335431,-0.003402,1.972685,0.360165,-0.041193,1.982395,0.331201,0.125788,2.163701,0.357939,-0.073441,2.379933,0.357858,-0.129790,2.409472,0.185250,-0.349399,2.194712,0.106378,-0.674132,2.210836,0.147437,-0.735420,2.209474,0.352355,-0.353114,2.288926,0.281971,-0.680508,2.292679,0.348829,-0.720144,2.306547
0.250836,0.697105,2.204035,0.174998,0.525611,2.150780,0.141968,0.417239,2.098111,0.331015,0.413683,2.243011,0.148912,0.162854,2.145776,0.161665,0.091243,2.122671,0.111637,0.062402,2.103236,0.205515,0.030933,2.133209,0.191536,0.172836,1.988956,0.348683,0.004705,1.973088,0.397290,-0.041731,1.991048,0.329348,0.120512,2.160972,0.355686,-0.084550,2.374698,0.354278,-0.140723,2.406078,0.147328,-0.341112,2.184002,0.061104,-0.666953,2.210470,0.125124,-0.730967,2.210561,0.371350,-0.347680,2.288360,0.363451,-0.696864,2.281029,0.452007,-0.725268,2.293789
0.245395,0.670387,2.202360,0.180434,0.483106,2.156601,0.141305,0.418888,2.096317,0.332438,0.379229,2.244838,0.165444,0.152696,2.184448,0.183519,0.085606,2.172303,0.146087,0.049306,2.171229,0.225466,0.023536,2.181873,0.196611,0.175210,1.987662,0.357075,0.009940,1.973738,0.412549,-0.040871,1.994997,0.330770,0.086058,2.162795,0.359470,-0.119013,2.374508,0.357769,-0.175955,2.406604,0.131035,-0.337092,2.179497,0.030465,-0.662241,2.208581,0.072421,-0.728947,2.208603,0.367843,-0.349312,2.287813,0.426595,-0.693086,2.276745,0.521977,-0.724482,2.283587
0.257785,0.696576,2.203870,0.177699,0.527828,2.158450,0.140654,0.419936,2.094991,0.329739,0.393598,2.244925,0.168731,0.156469,2.185959,0.184148,0.087388,2.170901,0.142215,0.053624,2.157554,0.228212,0.025046,2.184144,0.200261,0.176948,1.986824,0.362646,0.013783,1.975009,0.422346,-0.039971,1.998202,0.328071,0.100428,2.162874,0.358882,-0.102038,2.374098,0.357354,-0.159489,2.406007,0.119457,-0.333277,2.176729,-0.011740,-0.661657,2.201651,0.024291,-0.728353,2.205437,0.358776,-0.350080,2.287234,0.472425,-0.688891,2.276293,0.539031,-0.720175,2.281715
0.257144,0.695890,2.203701,0.177715,0.521262,2.159136,0.140073,0.420500,2.094015,0.329099,0.391975,2.244870,0.170699,0.156807,2.188214,0.186786,0.087297,2.173718,0.145697,0.053292,2.160480,0.231855,0.025585,2.187416,0.202950,0.178195,1.986351,0.365495,0.016415,1.977594,0.428219,-0.040122,2.001266,0.327431,0.098805,2.162815,0.358665,-0.104342,2.373373,0.356863,-0.161864,2.405574,0.108734,-0.330726,2.175300,-0.042746,-0.664145,2.197542,-0.019176,-0.734054,2.199952,0.352314,-0.351375,2.286746,0.499417,-0.686499,2.275497,0.560115,-0.722944,2.280138
0.250114,0.658424,2.209695,0.178951,0.475376,2.168932,0.139122,0.420405,2.093351,0.328709,0.358477,2.252542,0.179911,0.143238,2.209665,0.197774,0.076473,2.202664,0.161807,0.036938,2.197829,0.239144,0.017527,2.210038,0.205064,0.179008,1.986305,0.365727,0.017323,1.982608,0.429389,-0.042593,2.005887,0.327041,0.065308,2.170479,0.360366,-0.132661,2.381000,0.359363,-0.190055,2.412012,0.101019,-0.328900,2.174539,-0.073632,-0.664267,2.194520,-0.055484,-0.735643,2.192488,0.347328,-0.352568,2.286480,0.504389,-0.683630,2.277593,0.564849,-0.723337,2.280374
0.249660,0.653474,2.211110,0.175784,0.475529,2.171148,0.137615,0.419444,2.093248,0.326944,0.354895,2.254330,0.180941,0.140922,2.211843,0.198336,0.074236,2.204742,0.159752,0.036559,2.193349,0.240387,0.015745,2.214122,0.207465,0.178639,1.987823,0.364031,0.014497,1.990276,0.423815,-0.051237,2.014757,0.325276,0.061725,2.172263,0.359221,-0.135027,2.382982,0.358569,-0.192682,2.413546,0.095287,-0.327944,2.174324,-0.097708,-0.663721,2.193139,-0.077989,-0.735548,2.189132,0.341090,-0.352661,2.286485,0.446722,-0.678204,2.286330,0.535956,-0.712470,2.281711
