Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.510503,0.694561,2.734161,0.411119,0.601577,2.692866,0.403801,0.512957,2.691906,0.379151,0.239342,2.677968,0.486850,0.502510,2.774667,0.297993,0.456846,2.523822,0.340460,-0.138127,2.644292,0.378598,-0.153911,2.617460,0.291915,-0.118204,2.585248,0.546799,0.263970,2.909836,0.603914,0.037560,3.008735,0.645430,0.021995,3.029205,0.695040,-0.008873,3.037048,0.672086,0.040982,2.983429,0.193447,0.197208,2.417304,0.165001,-0.030219,2.357059,0.134395,-0.125467,2.343046,0.109875,-0.196077,2.353085,0.161847,-0.148533,2.333959,0.429706,-0.537281,2.558367,0.100966,-0.775793,2.679104,0.177922,-0.810096,2.576411,0.495494,-0.444559,2.568308,0.483045,-0.870163,2.546779,0.528100,-0.935731,2.507537
0.490668,0.697204,2.729379,0.390792,0.602152,2.689881,0.384623,0.512912,2.688193,0.364050,0.238274,2.672985,0.466585,0.503076,2.771685,0.280181,0.456545,2.518208,0.333289,-0.138902,2.640814,0.370388,-0.153282,2.616640,0.285626,-0.120320,2.580380,0.526411,0.265561,2.908258,0.571026,0.002547,3.003653,0.595351,-0.018900,3.022243,0.640253,-0.049333,3.026362,0.650874,-0.038229,2.992800,0.193071,0.190689,2.411865,0.168753,-0.041509,2.349750,0.145635,-0.135189,2.342814,0.122609,-0.202961,2.355636,0.177570,-0.146844,2.333048,0.391694,-0.539273,2.542584,0.028509,-0.725132,2.659438,0.107270,-0.759529,2.557027,0.487365,-0.447592,2.566168,0.416455,-0.867894,2.553921,0.467377,-0.928287,2.499775
0.462691,0.700041,2.729585,0.357796,0.611463,2.686890,0.353779,0.521164,2.686588,0.339449,0.243848,2.674976,0.433692,0.512356,2.768712,0.254203,0.463272,2.518399,0.316361,-0.135684,2.646834,0.354391,-0.143918,2.622853,0.266194,-0.123115,2.588378,0.488654,0.225360,2.745376,0.496758,0.019473,2.932241,0.516625,-0.045864,2.997420,0.553560,-0.091309,3.009157,0.560227,-0.076609,2.966600,0.189582,0.191250,2.411735,0.174931,-0.047007,2.346138,0.164268,-0.138579,2.345069,0.146977,-0.208466,2.357195,0.196486,-0.147708,2.341556,0.325437,-0.531096,2.561698,-0.026028,-0.735835,2.680267,-0.076008,-0.834753,2.682696,0.452496,-0.460841,2.561784,0.328157,-0.868659,2.560050,0.381232,-0.929188,2.510150
0.419103,0.712918,2.732493,0.325274,0.619612,2.691164,0.314822,0.530388,2.691936,0.284301,0.255089,2.683983,0.401270,0.520488,2.773001,0.225211,0.470783,2.518476,0.248336,-0.123793,2.661445,0.283447,-0.129522,2.635142,0.205495,-0.114216,2.605126,0.465462,0.235521,2.754331,0.442777,-0.000048,2.905188,0.433143,-0.110663,2.977371,0.429666,-0.138113,2.978910,0.447057,-0.139450,2.929000,0.180788,0.195799,2.409212,0.186291,-0.036000,2.348858,0.187744,-0.130192,2.350632,0.179544,-0.201802,2.363210,0.219346,-0.138223,2.360765,0.300007,-0.530000,2.562286,-0.013099,-0.746655,2.695292,-0.041317,-0.839198,2.671433,0.408537,-0.443575,2.562029,0.286947,-0.852235,2.560392,0.307179,-0.930572,2.521333
0.388404,0.721475,2.739718,0.290136,0.628357,2.692030,0.286053,0.537919,2.694168,0.267642,0.260582,2.689224,0.366239,0.529210,2.773886,0.184437,0.479411,2.520292,0.236048,-0.118051,2.671487,0.265691,-0.119191,2.657586,0.197494,-0.111566,2.607638,0.437380,0.245966,2.754649,0.418068,0.009166,2.904015,0.412345,-0.069315,2.958244,0.408937,-0.096925,2.959770,0.426416,-0.098466,2.909839,0.162095,0.203157,2.407468,0.199943,-0.035409,2.356564,0.210044,-0.124469,2.364339,0.210813,-0.198423,2.381457,0.189346,-0.136553,2.396333,0.288941,-0.497130,2.693130,0.021949,-0.829637,2.699781,0.101753,-0.863943,2.599696,0.221618,-0.507552,2.554712,0.146350,-0.867440,2.567623,0.216273,-0.915154,2.533875
0.350709,0.725199,2.743013,0.258417,0.633639,2.695306,0.247574,0.544248,2.697798,0.215751,0.268911,2.694784,0.334616,0.534482,2.777176,0.154342,0.491067,2.520439,0.179117,-0.109648,2.679049,0.213541,-0.113999,2.671966,0.139118,-0.101904,2.603320,0.402048,0.250300,2.758072,0.381121,0.014157,2.908013,0.374803,-0.064098,2.962442,0.371542,-0.091728,2.963948,0.389210,-0.093295,2.913992,0.146781,0.213125,2.410427,0.205919,-0.031495,2.364898,0.233452,-0.112218,2.379646,0.242457,-0.179327,2.403360,0.196250,-0.118107,2.446000,0.333569,-0.469717,2.717471,0.068176,-0.804522,2.702146,-0.011356,-0.840418,2.632642,0.154814,-0.497848,2.556802,0.069089,-0.846667,2.567760,0.121319,-0.911412,2.537960
0.307100,0.727613,2.745601,0.209238,0.643917,2.698115,0.206598,0.551706,2.697217,0.190742,0.270548,2.687200,0.285585,0.544738,2.780013,0.118330,0.498941,2.520482,0.158410,-0.113112,2.662108,0.184806,-0.123482,2.641106,0.125131,-0.101406,2.595888,0.356397,0.261258,2.760598,0.337095,0.024570,2.909979,0.331245,-0.053848,2.964230,0.328154,-0.081519,2.965715,0.346041,-0.083137,2.915731,0.125169,0.220095,2.413069,0.215246,-0.021148,2.379601,0.252764,-0.086447,2.398056,0.274628,-0.148383,2.424318,0.229391,-0.116273,2.380062,0.249508,-0.489056,2.705249,0.121422,-0.875775,2.698656,0.184472,-0.929193,2.679292,0.085811,-0.528949,2.568471,-0.007498,-0.847652,2.569724,0.048750,-0.910372,2.539571
0.268550,0.739607,2.750161,0.177558,0.647943,2.699710,0.171385,0.556451,2.704616,0.152819,0.275196,2.712013,0.253999,0.548756,2.781624,0.080272,0.499275,2.525599,0.130272,-0.110554,2.712607,0.158634,-0.115787,2.679035,0.099032,-0.102267,2.661667,0.322646,0.264638,2.762351,0.302442,0.028283,2.912096,0.296236,-0.050019,2.966474,0.293282,-0.077704,2.967945,0.311345,-0.079342,2.917942,0.094352,0.222661,2.412542,0.221058,-0.004486,2.402238,0.262414,-0.057811,2.422755,0.292015,-0.116895,2.455169,0.231520,-0.074127,2.397143,0.226002,-0.493534,2.710698,0.170147,-0.864956,2.700608,0.215923,-0.931271,2.682042,0.020114,-0.502802,2.568602,-0.091396,-0.847167,2.565792,-0.042180,-0.915637,2.521841
0.237832,0.734166,2.753859,0.143410,0.647193,2.700100,0.141256,0.558527,2.706756,0.130533,0.284610,2.716797,0.219953,0.548009,2.782025,0.052475,0.497295,2.524762,0.109978,-0.087957,2.720980,0.131061,-0.085655,2.698198,0.083512,-0.085189,2.663457,0.290379,0.264282,2.762693,0.270975,0.027778,2.912277,0.264985,-0.050573,2.966607,0.262152,-0.078256,2.968066,0.280373,-0.079891,2.918049,0.073393,0.221293,2.416342,0.216140,0.025282,2.419679,0.265610,-0.030368,2.446263,0.300364,-0.082482,2.478892,0.239438,-0.052951,2.420870,0.215856,-0.490876,2.713636,0.231318,-0.862365,2.704487,0.296718,-0.912173,2.684333,-0.038079,-0.477143,2.568695,-0.166310,-0.842210,2.563807,-0.114976,-0.910209,2.530098
0.195846,0.737387,2.757527,0.114452,0.637374,2.703274,0.108071,0.550211,2.709147,0.088260,0.283366,2.716100,0.191081,0.538219,2.785196,0.023988,0.490140,2.524571,0.061575,-0.080197,2.713778,0.091087,-0.085045,2.688375,0.032080,-0.072495,2.656924,0.260762,0.254437,2.765878,0.241238,0.018070,2.915319,0.235159,-0.060251,2.969608,0.232444,-0.087896,2.971057,0.250817,-0.089482,2.921028,0.052103,0.220681,2.418227,0.226286,0.021138,2.441061,0.261268,-0.007087,2.468004,0.306243,-0.052218,2.509078,0.237294,-0.033811,2.448625,0.178688,-0.476836,2.725609,0.263640,-0.851382,2.706099,0.368597,-0.901602,2.691927,-0.114792,-0.514009,2.566554,-0.239187,-0.831329,2.555953,-0.198595,-0.905080,2.527363
