HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.406509,0.912960,2.644134,0.291415,0.678057,2.610439,0.181702,0.690479,2.461452,0.313681,0.705376,2.691010,0.216832,0.344449,2.601419,0.203249,0.277622,2.604181,0.180169,0.264393,2.590521,0.220187,0.229626,2.606328,0.200520,0.395561,2.346947,0.361262,0.192051,2.349823,0.421032,0.130210,2.370635,0.372700,0.362793,2.608912,0.329215,0.120490,2.568933,0.349912,0.097439,2.631911,0.064169,-0.256600,2.616237,-0.134045,-0.635886,2.611564,-0.080188,-0.704178,2.608858,0.406754,-0.333468,2.737521,0.599844,-0.649742,2.749411,0.705653,-0.645548,2.760175
0.421074,0.916557,2.650257,0.305446,0.685145,2.613829,0.194747,0.685543,2.463257,0.322412,0.701907,2.692382,0.226808,0.340962,2.601918,0.212604,0.273152,2.604045,0.188895,0.257093,2.588432,0.228610,0.225356,2.610554,0.211259,0.393109,2.345782,0.371515,0.192707,2.349698,0.431203,0.132399,2.370684,0.384788,0.356096,2.581832,0.340867,0.128205,2.529696,0.364088,0.118675,2.589060,0.066905,-0.242444,2.616075,-0.154306,-0.623020,2.609683,-0.096075,-0.700993,2.607967,0.414678,-0.342836,2.737383,0.554836,-0.633174,2.749609,0.673069,-0.654004,2.754505
0.435162,0.919807,2.656322,0.319449,0.692678,2.617948,0.206954,0.680204,2.466153,0.333413,0.702210,2.695166,0.259304,0.339570,2.611663,0.247756,0.268791,2.614263,0.226006,0.241241,2.598261,0.260845,0.224106,2.626240,0.219320,0.390801,2.345397,0.378799,0.192477,2.349735,0.438147,0.133393,2.370916,0.395377,0.355130,2.568195,0.350551,0.134041,2.510890,0.374069,0.130056,2.569729,0.067569,-0.238529,2.615886,-0.174096,-0.615383,2.606462,-0.128828,-0.696133,2.609490,0.418156,-0.331079,2.742510,0.541159,-0.627842,2.749217,0.647760,-0.674096,2.757934
0.452442,0.922556,2.664037,0.335068,0.699464,2.623318,0.218560,0.675816,2.470267,0.347839,0.705208,2.699841,0.277134,0.339450,2.616933,0.266136,0.267350,2.619518,0.242684,0.234917,2.602360,0.280024,0.223308,2.635202,0.226529,0.387520,2.346459,0.383910,0.189653,2.350266,0.441124,0.131206,2.371847,0.418549,0.375752,2.604515,0.377667,0.123796,2.527008,0.400175,0.104925,2.588293,0.071022,-0.242269,2.608523,-0.186983,-0.609582,2.602785,-0.175186,-0.694085,2.611423,0.418787,-0.310516,2.747727,0.518119,-0.622215,2.750462,0.608256,-0.687929,2.758691
0.465026,0.923004,2.670021,0.345763,0.702394,2.627172,0.227812,0.671878,2.473842,0.360037,0.707514,2.704130,0.287514,0.339324,2.619678,0.276390,0.266591,2.622041,0.251688,0.231882,2.604042,0.290452,0.222149,2.639384,0.231837,0.384572,2.348327,0.385799,0.184796,2.351321,0.436158,0.119750,2.374982,0.429367,0.374066,2.600072,0.393361,0.115588,2.546443,0.413435,0.087038,2.607505,0.086449,-0.263941,2.588694,-0.193790,-0.604727,2.599947,-0.208977,-0.689295,2.603984,0.418292,-0.286267,2.753069,0.467052,-0.620722,2.754444,0.525964,-0.703619,2.762539
0.473969,0.923883,2.674236,0.353682,0.704957,2.630078,0.235469,0.668858,2.477187,0.370090,0.710419,2.707807,0.293612,0.339333,2.620512,0.282401,0.266412,2.622134,0.254534,0.234251,2.596230,0.296333,0.221139,2.641069,0.236116,0.380622,2.351949,0.382268,0.174574,2.353973,0.420244,0.100744,2.378014,0.435543,0.378751,2.610386,0.402271,0.110781,2.562942,0.420337,0.076118,2.623125,0.111977,-0.307044,2.575426,-0.176501,-0.570253,2.590335,-0.215046,-0.656666,2.594835,0.417656,-0.274592,2.755499,0.420215,-0.618829,2.759614,0.477509,-0.695872,2.733664
0.503989,0.975293,2.688007,0.381758,0.781953,2.645165,0.240887,0.666898,2.479706,0.404799,0.789057,2.725424,0.321103,0.377815,2.631655,0.309376,0.297680,2.632395,0.265121,0.245594,2.596237,0.330957,0.240865,2.658979,0.238263,0.377444,2.356844,0.365811,0.159111,2.359619,0.392210,0.078860,2.382598,0.455084,0.457111,2.643218,0.424057,0.175997,2.601103,0.439469,0.134409,2.659536,0.156172,-0.332706,2.568291,-0.153081,-0.549998,2.586135,-0.143422,-0.652622,2.585656,0.417289,-0.268377,2.756699,0.367699,-0.627158,2.762359,0.429248,-0.694466,2.713005
0.511687,0.983356,2.692258,0.396144,0.827768,2.653761,0.244717,0.665851,2.481752,0.420192,0.827918,2.733809,0.333967,0.397694,2.637245,0.321351,0.312299,2.637208,0.271598,0.253199,2.596672,0.346863,0.250044,2.667499,0.236921,0.376179,2.363799,0.330955,0.144184,2.372239,0.351825,0.063846,2.389466,0.462999,0.495842,2.659182,0.432677,0.207621,2.618893,0.446884,0.162348,2.676110,0.230490,-0.304517,2.565646,-0.093276,-0.534868,2.582829,-0.074291,-0.647960,2.586332,0.417000,-0.264448,2.757412,0.312186,-0.621490,2.765950,0.393976,-0.686934,2.706353
0.515543,0.989759,2.695093,0.401656,0.845951,2.657249,0.247321,0.665559,2.483511,0.427352,0.846575,2.737889,0.340095,0.406832,2.639886,0.327487,0.319661,2.639664,0.275672,0.259102,2.597244,0.354851,0.254383,2.671718,0.231302,0.376545,2.372248,0.288782,0.133304,2.378370,0.301136,0.042416,2.391056,0.466675,0.514650,2.666801,0.436696,0.224004,2.627818,0.450288,0.177744,2.684778,0.281908,-0.279841,2.563049,-0.022147,-0.532478,2.585235,0.020271,-0.645609,2.589082,0.389449,-0.325080,2.772202,0.264165,-0.655820,2.771061,0.358755,-0.672494,2.713894
0.514357,0.994060,2.696307,0.403781,0.857149,2.659107,0.248510,0.667084,2.485916,0.431394,0.858441,2.740360,0.344119,0.412611,2.641677,0.331675,0.324465,2.641445,0.278973,0.264314,2.598650,0.360706,0.257552,2.674770,0.219872,0.380274,2.381459,0.252150,0.131452,2.385569,0.256496,0.052455,2.392213,0.468542,0.526618,2.671424,0.438385,0.234712,2.633161,0.451455,0.188053,2.689919,0.345744,-0.236793,2.559962,0.067958,-0.551664,2.592859,0.129392,-0.656857,2.592519,0.381841,-0.343395,2.778977,0.202057,-0.658440,2.766107,0.283965,-0.687554,2.750332
0.507567,0.997692,2.695841,0.399870,0.862921,2.659460,0.248262,0.670503,2.488773,0.431981,0.867120,2.741843,0.346077,0.416724,2.643031,0.334170,0.327922,2.642833,0.281242,0.268443,2.600083,0.364450,0.259791,2.677024,0.207082,0.386053,2.388425,0.227350,0.133818,2.388602,0.212966,0.065700,2.393040,0.467934,0.535303,2.674316,0.437225,0.242988,2.636307,0.443758,0.209466,2.708882,0.374759,-0.221815,2.559118,0.157944,-0.589939,2.604947,0.235265,-0.673585,2.590621,0.268832,-0.247593,2.771746,0.111834,-0.573489,2.718000,0.189532,-0.635716,2.739166
0.500946,0.999127,2.694631,0.391495,0.863796,2.657972,0.246418,0.675919,2.491810,0.428772,0.872708,2.741977,0.346017,0.419784,2.643612,0.335112,0.330775,2.643630,0.282859,0.272214,2.600644,0.366247,0.262153,2.678640,0.194433,0.391358,2.393381,0.202221,0.138008,2.387910,0.193527,0.063406,2.394507,0.464521,0.540939,2.675175,0.433252,0.249014,2.637076,0.442170,0.217787,2.715106,0.392596,-0.215402,2.558125,0.251109,-0.628493,2.608534,0.343222,-0.686438,2.576739,0.229120,-0.242039,2.776001,0.095050,-0.608240,2.736684,0.137627,-0.683836,2.763563
