HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.115383,0.785390,2.455165,0.035106,0.573622,2.467266,-0.026737,0.509050,2.321088,0.132511,0.492347,2.603208,0.038345,0.218833,2.478407,0.057043,0.135556,2.473420,0.015336,0.098406,2.454140,0.100290,0.088026,2.503953,-0.017887,0.229667,2.243370,0.030362,0.010505,2.228172,0.032268,-0.044959,2.236727,0.181203,0.280157,2.683257,0.191559,-0.021190,2.656928,0.214487,-0.081333,2.649376,-0.057621,-0.339612,2.382533,-0.335281,-0.666171,2.363694,-0.318810,-0.743223,2.373497,0.135316,-0.350140,2.528256,0.110995,-0.673977,2.499731,0.151892,-0.737570,2.490411
0.114446,0.774478,2.461590,0.033743,0.564032,2.478022,-0.029715,0.509516,2.325152,0.132405,0.473252,2.612574,0.041336,0.206824,2.500012,0.060803,0.125130,2.503922,0.023088,0.088077,2.489737,0.104054,0.073086,2.525555,-0.027011,0.227779,2.249596,0.016978,0.007906,2.229666,0.008422,-0.032268,2.236839,0.181096,0.261062,2.692620,0.191445,-0.040276,2.666312,0.214390,-0.100410,2.658723,-0.035589,-0.344174,2.378318,-0.332811,-0.645828,2.358537,-0.329570,-0.726393,2.361730,0.125139,-0.369676,2.528747,0.080612,-0.683145,2.502891,0.121291,-0.746966,2.503592
0.113406,0.796023,2.467315,0.031471,0.631455,2.478792,-0.032670,0.510555,2.329462,0.130408,0.511527,2.619020,0.031756,0.230387,2.487487,0.049436,0.147524,2.485903,0.004856,0.106235,2.465971,0.099914,0.099654,2.505710,-0.039652,0.223122,2.257544,0.007892,0.005195,2.231720,-0.001244,-0.037870,2.237140,0.179099,0.299336,2.699066,0.189438,-0.002015,2.672773,0.212410,-0.062166,2.665103,-0.015526,-0.345056,2.373844,-0.289692,-0.603466,2.357365,-0.317923,-0.699460,2.355357,0.103042,-0.347788,2.511778,0.058949,-0.686233,2.503711,0.104672,-0.748159,2.508682
0.113275,0.807296,2.469797,0.030080,0.658338,2.480695,-0.036162,0.512493,2.335021,0.129691,0.532847,2.621746,0.029623,0.248835,2.482489,0.047347,0.171195,2.477195,0.000662,0.123231,2.449615,0.099538,0.122698,2.500813,-0.049626,0.220635,2.263564,0.000585,0.003560,2.234947,-0.006747,-0.043040,2.239171,0.178383,0.320656,2.701790,0.123699,0.065098,2.593547,0.156863,-0.003799,2.602041,0.006537,-0.342662,2.373373,-0.258050,-0.580717,2.359096,-0.270198,-0.687428,2.356793,0.097004,-0.345054,2.509470,0.013215,-0.690048,2.506036,0.088211,-0.747564,2.515555
0.112373,0.814841,2.471666,0.028639,0.674604,2.481153,-0.040586,0.515203,2.340954,0.128704,0.546201,2.623529,0.028974,0.258289,2.481346,0.046860,0.181433,2.474931,0.000171,0.130733,2.446634,0.099590,0.133878,2.499125,-0.063433,0.220083,2.271393,-0.007834,0.003792,2.240348,-0.013378,-0.037575,2.243549,0.177395,0.334010,2.703573,0.097463,0.092928,2.567086,0.125280,0.028215,2.565484,0.048926,-0.322942,2.379057,-0.235271,-0.576798,2.363337,-0.214720,-0.676699,2.351987,0.003701,-0.297676,2.540327,-0.033336,-0.693983,2.511256,0.030568,-0.752932,2.530621
0.110470,0.820113,2.473606,0.026089,0.683462,2.482342,-0.047175,0.518533,2.347628,0.126513,0.554986,2.625310,0.028094,0.264598,2.480690,0.046147,0.188038,2.473524,-0.000152,0.136345,2.443832,0.099093,0.140437,2.498392,-0.078127,0.221446,2.277928,-0.018744,0.006013,2.248176,-0.019638,-0.032434,2.248165,0.175205,0.342795,2.705353,0.083896,0.105903,2.554077,0.110926,0.041511,2.551821,0.066508,-0.315356,2.381831,-0.169230,-0.597429,2.386872,-0.137903,-0.687518,2.366206,-0.055704,-0.289715,2.559107,-0.059304,-0.695429,2.509313,-0.006918,-0.752734,2.535340
0.106203,0.824201,2.475996,0.019297,0.688317,2.484822,-0.056992,0.521665,2.353958,0.122662,0.561408,2.627371,0.018019,0.262180,2.479354,0.030498,0.178279,2.469411,-0.007473,0.137321,2.438603,0.075683,0.116534,2.496300,-0.090752,0.223010,2.282492,-0.029485,0.008357,2.255581,-0.024825,-0.036169,2.253655,0.171354,0.349217,2.707412,0.099473,0.069112,2.668029,0.128466,0.012372,2.689810,0.078066,-0.316473,2.384844,-0.115751,-0.640669,2.410246,-0.060446,-0.715089,2.384253,-0.089007,-0.297205,2.569736,-0.168663,-0.635303,2.526139,-0.101052,-0.699059,2.532034
0.096349,0.827278,2.478249,0.007309,0.689213,2.487332,-0.073651,0.525744,2.361250,0.116071,0.566384,2.629156,0.008385,0.260209,2.479459,0.020427,0.174522,2.468640,-0.014760,0.137937,2.436870,0.062403,0.111589,2.496094,-0.107919,0.226355,2.287329,-0.046263,0.012349,2.264906,-0.029694,-0.037911,2.258974,0.164762,0.354193,2.709196,0.089494,0.070995,2.685591,0.110984,0.011225,2.698345,0.085226,-0.318470,2.387560,-0.083707,-0.678268,2.428033,0.001472,-0.733019,2.390944,-0.113767,-0.316892,2.576894,-0.210484,-0.653565,2.510077,-0.149696,-0.720370,2.507775
0.078127,0.830195,2.481437,-0.010729,0.687059,2.490560,-0.091707,0.529666,2.366162,0.104486,0.569930,2.631323,-0.018784,0.280600,2.487467,-0.004143,0.199516,2.477507,-0.032533,0.152424,2.438118,0.035972,0.136650,2.510864,-0.129155,0.230834,2.291455,-0.062541,0.017283,2.272488,-0.040524,-0.039247,2.267090,0.153177,0.357739,2.711362,0.086866,0.062281,2.708132,0.108076,0.005004,2.715061,0.089732,-0.319450,2.389739,-0.065802,-0.703768,2.441988,0.032567,-0.739261,2.396611,-0.125967,-0.334185,2.579095,-0.223981,-0.669790,2.502317,-0.135462,-0.712387,2.459294
0.055302,0.832214,2.484209,-0.033069,0.684361,2.492602,-0.112554,0.531487,2.369205,0.086783,0.572298,2.633052,-0.055896,0.267407,2.479737,-0.041025,0.184263,2.468380,-0.071366,0.146402,2.432685,-0.003985,0.119661,2.496082,-0.146985,0.233697,2.293783,-0.077685,0.020654,2.277355,-0.065251,-0.041797,2.275760,0.135475,0.360107,2.713090,0.078909,0.057824,2.717864,0.104621,0.002856,2.724744,0.091115,-0.321473,2.392329,0.014818,-0.722050,2.426823,0.123817,-0.752963,2.394639,-0.135694,-0.343182,2.577356,-0.256459,-0.675977,2.495835,-0.161176,-0.709354,2.450291
0.032780,0.831423,2.484692,-0.055545,0.679962,2.492578,-0.136988,0.529937,2.369105,0.065701,0.571980,2.633502,-0.073729,0.260567,2.478038,-0.059218,0.176451,2.466727,-0.091359,0.142320,2.432701,-0.023485,0.111146,2.493004,-0.166633,0.234858,2.294662,-0.102661,0.021336,2.278463,-0.087310,-0.044219,2.278431,0.114392,0.359789,2.713538,0.063985,0.058088,2.721428,0.085240,0.001620,2.721445,0.069020,-0.360953,2.405590,0.091723,-0.724687,2.410575,0.200378,-0.757122,2.389629,-0.089304,-0.362477,2.510561,-0.284328,-0.686624,2.487788,-0.176182,-0.705587,2.444038
0.007645,0.829026,2.484627,-0.081066,0.674971,2.490949,-0.160378,0.527296,2.367119,0.040119,0.569675,2.632714,-0.090042,0.259963,2.479115,-0.076106,0.177016,2.468832,-0.108092,0.143754,2.434955,-0.041501,0.111549,2.495623,-0.184618,0.232302,2.293849,-0.118757,0.019383,2.277795,-0.106414,-0.048413,2.278006,0.088810,0.357484,2.712748,0.032248,0.058484,2.706638,0.053866,-0.000235,2.705653,0.015990,-0.304727,2.420902,0.133215,-0.694342,2.403211,0.232109,-0.736268,2.396149,-0.075083,-0.373040,2.481848,-0.322005,-0.695715,2.475101,-0.232861,-0.728491,2.499926
-0.015913,0.825786,2.481748,-0.103011,0.671179,2.488004,-0.177171,0.525034,2.364590,0.015927,0.566819,2.630591,-0.101748,0.259119,2.478990,-0.086944,0.176846,2.469257,-0.123185,0.143195,2.436140,-0.051255,0.111791,2.495965,-0.206378,0.228922,2.292315,-0.133039,0.018051,2.276192,-0.126394,-0.050768,2.273777,0.064619,0.354628,2.710623,0.010134,0.054618,2.697632,0.030278,-0.005976,2.695189,-0.004976,-0.286349,2.434330,0.158188,-0.688424,2.405720,0.253984,-0.733222,2.397031,0.006736,-0.318390,2.370656,-0.253847,-0.595685,2.420770,-0.250328,-0.695971,2.492924
-0.038154,0.821783,2.479300,-0.125278,0.665021,2.485267,-0.200223,0.520828,2.358014,-0.008398,0.561369,2.628406,-0.119465,0.255708,2.477877,-0.102903,0.174566,2.468754,-0.144843,0.139991,2.434503,-0.062498,0.109715,2.496308,-0.233210,0.223591,2.288638,-0.161006,0.012495,2.268393,-0.165510,-0.041260,2.265822,0.040293,0.349178,2.708436,-0.019883,0.045032,2.687546,0.002553,-0.015611,2.682194,-0.019033,-0.273006,2.444386,0.157765,-0.675911,2.411744,0.250165,-0.726082,2.401919,-0.106463,-0.364180,2.452879,-0.377392,-0.663296,2.448379,-0.323666,-0.720457,2.520479
-0.059846,0.817065,2.474349,-0.147186,0.659171,2.479529,-0.224254,0.516376,2.350614,-0.031865,0.555582,2.623843,-0.133564,0.253386,2.476921,-0.115589,0.173096,2.468446,-0.159672,0.138707,2.433862,-0.071387,0.107824,2.496709,-0.257080,0.218643,2.284020,-0.185619,0.007232,2.263944,-0.192603,-0.039329,2.261770,0.016826,0.343391,2.703873,-0.058649,0.037810,2.677313,-0.019730,-0.018204,2.676235,-0.019738,-0.259561,2.440305,0.116722,-0.661112,2.426479,0.204937,-0.719669,2.422803,-0.127643,-0.370340,2.451957,-0.430199,-0.664119,2.444632,-0.417102,-0.751837,2.502705
-0.090497,0.810554,2.464566,-0.174918,0.652894,2.470134,-0.244155,0.512014,2.343529,-0.058803,0.549071,2.616537,-0.164794,0.250728,2.466645,-0.145934,0.171757,2.458656,-0.186661,0.139148,2.426569,-0.100960,0.107581,2.485407,-0.281406,0.213699,2.278484,-0.217759,-0.000032,2.260585,-0.227982,-0.045379,2.260107,-0.010111,0.336880,2.696567,-0.076584,0.032810,2.673720,-0.058955,-0.030165,2.674199,-0.016992,-0.245349,2.433302,0.067637,-0.644964,2.438948,0.147527,-0.714130,2.444025,-0.186189,-0.378712,2.467412,-0.499461,-0.673825,2.448962,-0.501753,-0.776067,2.482798
-0.119734,0.807234,2.453085,-0.212987,0.651116,2.452707,-0.271169,0.506519,2.333394,-0.093796,0.544962,2.602813,-0.190500,0.249218,2.456932,-0.169701,0.170792,2.450090,-0.208934,0.138680,2.418363,-0.122640,0.107511,2.477913,-0.319312,0.208126,2.268999,-0.251897,-0.005145,2.254604,-0.277046,-0.049389,2.254711,-0.045104,0.332771,2.682844,-0.117133,0.031496,2.665567,-0.093302,-0.030334,2.671784,-0.017294,-0.236858,2.426608,0.001627,-0.637016,2.449272,0.070626,-0.719518,2.458368,-0.235648,-0.387132,2.488899,-0.554442,-0.667474,2.444855,-0.574806,-0.778714,2.465020
-0.148083,0.803933,2.441641,-0.236230,0.649748,2.442986,-0.298458,0.502148,2.324224,-0.119545,0.542043,2.592833,-0.218245,0.246690,2.448239,-0.198282,0.167953,2.441705,-0.242110,0.133942,2.405420,-0.148498,0.104528,2.473271,-0.344323,0.204426,2.261607,-0.297438,-0.013381,2.241851,-0.298303,-0.050656,2.251286,-0.070854,0.329852,2.672863,-0.140209,0.030333,2.661842,-0.111627,-0.030201,2.670460,-0.021927,-0.232216,2.419324,-0.061827,-0.637345,2.451323,0.000020,-0.726827,2.462852,-0.273698,-0.387759,2.495631,-0.597740,-0.656797,2.438630,-0.600345,-0.764093,2.466410
