Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.080265,0.685464,2.755403,-0.005447,0.574919,2.724567,-0.004163,0.496834,2.722162,0.000897,0.256993,2.703528,0.171678,0.562877,2.684240,-0.096903,0.425910,2.579926,0.007902,-0.070940,2.664552,0.080954,-0.087733,2.657799,-0.063936,-0.055490,2.582610,0.063529,0.330260,2.573346,0.034376,0.065944,2.515812,-0.000443,-0.020884,2.547060,-0.003279,-0.094674,2.512449,0.060958,-0.017551,2.574592,-0.141159,0.167321,2.488809,-0.140243,-0.097712,2.429958,-0.138995,-0.153610,2.429213,-0.118563,-0.239790,2.433465,-0.104698,-0.133502,2.417044,0.030569,-0.534171,2.613203,-0.288288,-0.826000,2.625496,-0.264731,-0.911729,2.622338,0.109148,-0.480736,2.568243,0.263988,-0.854565,2.534051,0.397931,-0.852295,2.459822
0.086170,0.681702,2.749039,0.003944,0.567422,2.718125,0.004188,0.489709,2.716700,0.005849,0.251048,2.701130,0.181058,0.555390,2.677783,-0.089897,0.419463,2.577913,0.010044,-0.076608,2.665946,0.082553,-0.092177,2.661877,-0.061866,-0.060947,2.583449,0.072800,0.322717,2.566854,0.127272,0.132703,2.734372,0.093109,0.067088,2.646964,0.098887,0.039553,2.644110,0.098322,0.039327,2.629000,-0.134882,0.160521,2.488186,-0.132331,-0.104917,2.431328,-0.125886,-0.163986,2.429837,-0.103796,-0.246613,2.430818,-0.092150,-0.132988,2.419955,0.046724,-0.595192,2.639226,-0.327885,-0.813544,2.625501,-0.295108,-0.908796,2.622822,0.118527,-0.482386,2.568288,0.272303,-0.859313,2.540627,0.405622,-0.852482,2.463837
0.094973,0.678715,2.739812,0.017048,0.560417,2.708876,0.017453,0.481638,2.707215,0.018705,0.239515,2.691772,0.194148,0.548391,2.668514,-0.075948,0.409230,2.571680,0.020387,-0.092001,2.659445,0.094201,-0.106145,2.650985,-0.053931,-0.075228,2.583237,0.085748,0.315643,2.557552,0.136069,0.128696,2.729424,0.111191,0.065643,2.646834,0.120841,0.046890,2.652102,0.120153,0.046623,2.637000,-0.119808,0.148766,2.486439,-0.114423,-0.117249,2.433032,-0.106929,-0.169719,2.430033,-0.086667,-0.253650,2.431862,-0.068966,-0.149054,2.432384,0.053168,-0.608380,2.631442,-0.353114,-0.760747,2.630905,-0.310230,-0.884407,2.621330,0.128018,-0.482438,2.567466,0.268765,-0.857180,2.555410,0.400248,-0.864336,2.476568
0.111218,0.671648,2.726131,0.029141,0.556412,2.701109,0.029772,0.478626,2.699656,0.031886,0.239359,2.684809,0.206225,0.544387,2.660730,-0.062071,0.403832,2.564900,0.035320,-0.088278,2.653541,0.106396,-0.097608,2.649634,-0.034519,-0.076932,2.572372,0.097694,0.311555,2.549745,0.145091,0.125892,2.723746,0.130248,0.059202,2.642245,0.142039,0.021550,2.643594,0.141309,0.025017,2.630000,-0.103395,0.141964,2.483041,-0.094135,-0.124212,2.430825,-0.082781,-0.180843,2.428617,-0.062268,-0.260979,2.432596,-0.051440,-0.171815,2.408634,0.065282,-0.542811,2.628759,-0.301897,-0.773555,2.623625,-0.334194,-0.893626,2.627650,0.169318,-0.501557,2.585486,0.284086,-0.860656,2.557668,0.366915,-0.901862,2.493948
0.124399,0.669448,2.719709,0.043235,0.556484,2.694184,0.044509,0.479210,2.693259,0.048498,0.241574,2.680207,0.220295,0.544453,2.653787,-0.049180,0.404160,2.560167,0.054402,-0.083795,2.651943,0.127028,-0.090070,2.652304,-0.019352,-0.074914,2.568594,0.111637,0.311548,2.542804,0.160969,0.123586,2.714159,0.147030,0.049943,2.634151,0.170131,0.010709,2.633080,0.169156,0.010647,2.618000,-0.080234,0.140319,2.480060,-0.069210,-0.125863,2.427881,-0.053977,-0.191791,2.428086,-0.029401,-0.269551,2.436019,-0.024016,-0.176975,2.410250,-0.112544,-0.485284,2.711015,-0.394514,-0.808329,2.638978,-0.397110,-0.899449,2.623466,0.176336,-0.427444,2.584107,0.280244,-0.847212,2.560074,0.303542,-0.875350,2.407922
0.135444,0.671699,2.713450,0.052764,0.557682,2.688869,0.055733,0.479926,2.687944,0.065757,0.240347,2.675077,0.229809,0.545644,2.648461,-0.033474,0.405063,2.554282,0.081766,-0.089096,2.647647,0.154252,-0.083074,2.647775,0.011089,-0.094833,2.564223,0.122617,0.305960,2.553338,0.146582,0.090318,2.698592,0.169503,0.002307,2.641511,0.194084,-0.050857,2.667066,0.193061,-0.046980,2.653000,-0.058412,0.140200,2.475079,-0.042481,-0.126061,2.424326,-0.023263,-0.190353,2.422765,0.001521,-0.264270,2.428103,0.007353,-0.162829,2.412761,-0.090982,-0.492386,2.717656,-0.391622,-0.782748,2.659363,-0.403530,-0.875386,2.627900,0.172453,-0.480475,2.589780,0.214973,-0.863856,2.573231,0.312251,-0.902072,2.528136
0.147714,0.676213,2.708061,0.066334,0.562575,2.683312,0.064993,0.483522,2.685233,0.067338,0.241602,2.676370,0.243353,0.550519,2.642889,-0.020124,0.409128,2.550907,0.074813,-0.087105,2.658674,0.143410,-0.080674,2.658571,0.004718,-0.091649,2.577639,0.133246,0.311289,2.549878,0.154518,0.095356,2.695339,0.205193,-0.017354,2.661891,0.216690,-0.043768,2.677553,0.215512,-0.047153,2.663000,-0.035492,0.144222,2.468280,0.006127,-0.119601,2.419132,0.027497,-0.185673,2.437207,0.045579,-0.263189,2.435515,0.077801,-0.164208,2.475405,-0.051831,-0.504540,2.722177,-0.347051,-0.742158,2.667410,-0.388998,-0.862131,2.642446,0.171784,-0.481464,2.589765,0.205108,-0.862287,2.569658,0.275694,-0.925167,2.533802
0.159688,0.679206,2.703551,0.078215,0.568902,2.678816,0.069639,0.488410,2.684332,0.050889,0.253055,2.690384,0.255208,0.556828,2.638381,-0.008105,0.415661,2.549322,-0.003428,-0.068862,2.704447,0.058456,-0.072515,2.702045,-0.065278,-0.063102,2.624278,0.144440,0.317599,2.545830,0.165286,0.101711,2.691594,0.221909,-0.007496,2.652083,0.230170,-0.032681,2.665042,0.221564,-0.018206,2.682493,-0.013169,0.151750,2.460897,0.037121,-0.111362,2.417214,0.066636,-0.179745,2.439016,0.086707,-0.251422,2.429164,0.118467,-0.159524,2.469197,-0.074977,-0.502847,2.740469,-0.330133,-0.739088,2.675853,-0.325195,-0.849609,2.669922,0.141696,-0.509493,2.598558,0.145959,-0.866336,2.575218,0.242994,-0.907044,2.535212
0.151683,0.695287,2.703091,0.089748,0.577612,2.675550,0.080089,0.497577,2.681908,0.052663,0.255201,2.690384,0.266716,0.565516,2.635106,0.002729,0.422096,2.546603,0.004778,-0.069905,2.700024,0.068368,-0.074250,2.696522,-0.058827,-0.063540,2.620843,0.155774,0.326264,2.542673,0.176584,0.110461,2.688618,0.225507,0.026664,2.631320,0.236079,-0.010861,2.650036,0.219451,0.014518,2.693711,0.009716,0.160142,2.451443,0.071864,-0.101344,2.416817,0.099315,-0.170536,2.436509,0.134772,-0.243961,2.441665,0.152408,-0.136802,2.472529,-0.051127,-0.523089,2.729165,-0.284100,-0.763379,2.688917,-0.256274,-0.852336,2.674755,0.131828,-0.514268,2.598044,0.135302,-0.868170,2.574303,0.217962,-0.918238,2.539479
0.185204,0.690421,2.704452,0.099819,0.583327,2.674189,0.089111,0.503472,2.680362,0.056953,0.259111,2.688884,0.276761,0.571216,2.633736,0.012634,0.427361,2.544390,0.009987,-0.068812,2.694189,0.073669,-0.073016,2.687108,-0.053889,-0.062534,2.617690,0.165697,0.331956,2.541385,0.186429,0.116171,2.687392,0.231938,0.041008,2.623557,0.232691,0.031944,2.612032,0.227481,0.038728,2.601194,0.025214,0.166235,2.447175,0.107911,-0.089633,2.414585,0.121447,-0.149299,2.428986,0.173617,-0.226494,2.436390,0.166018,-0.099553,2.474909,-0.027133,-0.556574,2.740950,-0.215995,-0.810718,2.687026,-0.163208,-0.879395,2.708984,0.114806,-0.512998,2.581594,0.108294,-0.867904,2.577843,0.186867,-0.923680,2.541133
