HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.052304,0.926885,2.691448,-0.017461,0.760024,2.681708,-0.102203,0.603467,2.540809,0.072444,0.581766,2.844968,-0.023918,0.365176,2.680239,0.003077,0.290900,2.667779,-0.029143,0.234183,2.623013,0.046927,0.249435,2.715071,-0.113430,0.289109,2.441408,-0.071095,0.044368,2.409938,-0.078834,-0.028912,2.403687,0.185136,0.288101,2.935917,0.191810,0.065534,3.032956,0.197045,-0.004439,3.033886,-0.046717,-0.296692,2.602499,-0.330642,-0.598856,2.577812,-0.294355,-0.688208,2.565790,0.060856,-0.344749,2.804541,-0.071466,-0.678080,2.761882,0.023408,-0.735904,2.826707
0.044202,0.932463,2.690426,-0.026591,0.765115,2.679371,-0.116810,0.607937,2.544086,0.065169,0.588872,2.845188,-0.028733,0.371525,2.682161,-0.000454,0.296800,2.669587,-0.033071,0.237883,2.626144,0.043344,0.258272,2.712756,-0.142759,0.282222,2.445011,-0.090502,0.039427,2.406205,-0.120088,-0.032320,2.387804,0.177795,0.295310,2.936111,0.184642,0.072820,3.033065,0.189822,0.002851,3.033972,-0.021080,-0.293828,2.603760,-0.261345,-0.620020,2.585208,-0.206344,-0.698771,2.566585,-0.087880,-0.255697,2.776992,-0.123307,-0.678181,2.745982,-0.048647,-0.733290,2.806987
0.028824,0.939288,2.685364,-0.043072,0.769905,2.673137,-0.132609,0.612500,2.544821,0.053613,0.596528,2.842841,-0.042901,0.376066,2.677446,-0.014090,0.300382,2.664164,-0.051461,0.246565,2.616841,0.017866,0.245559,2.699257,-0.172205,0.283543,2.444424,-0.111946,0.040587,2.407467,-0.146441,-0.029078,2.381229,0.166147,0.303106,2.933712,0.173320,0.080732,3.030582,0.178464,0.010754,3.031482,-0.003711,-0.294220,2.605212,-0.187659,-0.642431,2.599515,-0.101894,-0.712671,2.572452,-0.139959,-0.255773,2.769867,-0.219487,-0.610143,2.728616,-0.138637,-0.679052,2.772613
0.015087,0.944401,2.679291,-0.058654,0.773407,2.666039,-0.144584,0.616129,2.543932,0.040972,0.603204,2.838618,-0.052738,0.378022,2.673036,-0.023146,0.301836,2.659673,-0.060517,0.250870,2.611912,0.006192,0.239292,2.692357,-0.210345,0.300393,2.440736,-0.168309,0.055805,2.396235,-0.183879,-0.007277,2.381851,0.153430,0.309918,2.929433,0.160912,0.087685,3.026221,0.166046,0.017690,3.027132,0.013890,-0.293994,2.607386,-0.107893,-0.674706,2.615797,0.006416,-0.720254,2.577621,-0.175577,-0.287449,2.766460,-0.266603,-0.637842,2.731469,-0.195905,-0.707699,2.758126
0.001576,0.946646,2.673072,-0.073315,0.774195,2.659011,-0.155061,0.619134,2.541778,0.027746,0.607458,2.833294,-0.075095,0.375134,2.656512,-0.046595,0.297768,2.640900,-0.077269,0.255108,2.597854,-0.013276,0.229113,2.675468,-0.226916,0.303605,2.439464,-0.198058,0.059579,2.390592,-0.204509,0.003153,2.383713,0.140152,0.314297,2.924057,0.083780,0.089247,2.983997,0.115820,0.041831,3.010799,0.027569,-0.293950,2.610334,-0.012434,-0.694438,2.617177,0.117739,-0.724552,2.580112,-0.179700,-0.300112,2.762783,-0.275043,-0.649083,2.734530,-0.220585,-0.722253,2.749352
-0.010626,0.947053,2.666615,-0.084964,0.773628,2.653350,-0.165690,0.620090,2.538042,0.015765,0.609717,2.828028,-0.087084,0.372510,2.648124,-0.058364,0.294771,2.632117,-0.087459,0.256432,2.590005,-0.023002,0.223886,2.667563,-0.240834,0.303094,2.438025,-0.214342,0.059079,2.388941,-0.219719,0.007090,2.386056,0.128138,0.316670,2.918750,0.036592,0.089586,2.961548,0.080875,0.046923,2.998729,0.038220,-0.291853,2.612376,0.090051,-0.698686,2.607884,0.210387,-0.718088,2.578772,-0.124455,-0.322345,2.709175,-0.330877,-0.665708,2.735545,-0.258356,-0.730229,2.741450
-0.021534,0.945021,2.660244,-0.095632,0.771142,2.648161,-0.176438,0.618920,2.534081,0.004283,0.609765,2.822681,-0.097796,0.369903,2.641409,-0.068930,0.292209,2.625294,-0.100751,0.256330,2.581494,-0.030860,0.220100,2.661927,-0.250878,0.301084,2.436546,-0.229281,0.055323,2.389998,-0.233963,0.007701,2.390122,0.116640,0.316828,2.913369,0.020242,0.089948,2.955497,0.067304,0.047709,2.996078,0.046103,-0.287314,2.614881,0.170800,-0.691620,2.600042,0.273100,-0.705581,2.570015,-0.118927,-0.331492,2.690272,-0.353574,-0.678407,2.737921,-0.266689,-0.730013,2.779081
-0.032996,0.939319,2.652394,-0.106508,0.765425,2.642165,-0.186932,0.615175,2.529392,-0.007359,0.606895,2.816513,-0.106406,0.366442,2.636770,-0.077175,0.289106,2.620933,-0.110259,0.254828,2.576604,-0.037083,0.216578,2.658245,-0.260267,0.296382,2.434680,-0.244132,0.048742,2.391359,-0.249875,0.002338,2.395904,0.104990,0.314076,2.907172,0.029537,0.088349,2.979603,0.064083,0.042717,3.002565,0.046125,-0.280152,2.619391,0.223651,-0.678564,2.590914,0.320704,-0.691133,2.559329,-0.097525,-0.336680,2.676239,-0.388213,-0.674444,2.735801,-0.300620,-0.725763,2.787908
-0.042599,0.933012,2.644131,-0.115176,0.759242,2.635934,-0.196388,0.609274,2.523881,-0.017423,0.602679,2.809958,-0.113903,0.363092,2.632023,-0.084494,0.286250,2.616536,-0.119538,0.250757,2.571702,-0.043358,0.214708,2.653680,-0.267890,0.289487,2.432195,-0.255856,0.041173,2.391840,-0.260367,-0.005047,2.400083,0.094912,0.309974,2.900587,0.039435,0.090069,2.998428,0.073544,0.037793,3.016733,0.045468,-0.276074,2.621710,0.232690,-0.673007,2.588061,0.325770,-0.684342,2.555065,-0.088981,-0.339178,2.668940,-0.410246,-0.665943,2.729469,-0.366886,-0.727112,2.781335
-0.051339,0.926288,2.635352,-0.122712,0.752603,2.629285,-0.204798,0.603153,2.517884,-0.026483,0.597344,2.802979,-0.121295,0.357666,2.626472,-0.091907,0.281166,2.611367,-0.127820,0.244622,2.567757,-0.049465,0.212318,2.647931,-0.273649,0.283429,2.429573,-0.264775,0.035135,2.391414,-0.266927,-0.009774,2.402079,0.085834,0.304750,2.893574,0.055853,0.092542,3.014885,0.094565,0.038617,3.033292,0.039276,-0.270324,2.623094,0.230988,-0.669815,2.588505,0.321207,-0.680927,2.553734,-0.055315,-0.340052,2.650379,-0.418696,-0.630886,2.708136,-0.416569,-0.723054,2.770587
