Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.396137,0.380202,2.691844,0.310362,0.288339,2.658405,0.309262,0.210575,2.653278,0.305095,-0.026699,2.628941,0.427965,0.164099,2.685985,0.25252,0.153801,2.518014,0.298653,-0.349565,2.587038,0.340714,-0.351142,2.580683,0.249388,-0.338659,2.524222,0.334973,-0.085313,2.559081,0.220535,-0.34262,2.497794,0.195065,-0.375399,2.28124,0.163481,-0.43071,2.27643,0.240918,-0.4058,2.285492,0.310528,-0.03887,2.389446,0.461616,-0.15532,2.290022,0.495208,-0.180774,2.283837,0.518318,-0.198825,2.25555,0.503227,-0.153851,2.25045,0.401672,-0.621877,2.598273,0.487693,-0.869568,2.587225,0.547536,-0.900221,2.557837,0.107049,-0.639182,2.474223,-0.009799,-0.837193,2.473195,-0.000278,-0.899863,2.43667
0.408356,0.38125,2.694993,0.324438,0.288472,2.665895,0.325977,0.210618,2.661381,0.330868,-0.027169,2.63877,0.442001,0.164242,2.693468,0.268081,0.15329,2.521331,0.339208,-0.351056,2.598736,0.378914,-0.351525,2.595818,0.290052,-0.341197,2.532105,0.358479,-0.07888,2.547388,0.236986,-0.334428,2.493602,0.196043,-0.379431,2.284002,0.164455,-0.434727,2.279194,0.241399,-0.407782,2.286865,0.316468,-0.03762,2.39506,0.470924,-0.148694,2.294641,0.502415,-0.174195,2.289944,0.525833,-0.190013,2.266949,0.51355,-0.150894,2.257285,0.416413,-0.618726,2.605308,0.476522,-0.873028,2.590901,0.52541,-0.912499,2.560451,0.122682,-0.629183,2.476594,-0.012655,-0.830743,2.472811,-0.00926,-0.894079,2.437862
0.420024,0.380667,2.698464,0.333547,0.290309,2.67028,0.336075,0.212911,2.666097,0.343035,-0.023415,2.644293,0.451085,0.166081,2.697851,0.274735,0.156793,2.524742,0.351818,-0.34523,2.604984,0.387593,-0.346336,2.596449,0.308784,-0.334576,2.547359,0.3646,-0.07562,2.551019,0.246082,-0.333158,2.500987,0.221464,-0.408409,2.454664,0.202533,-0.467948,2.45803,0.245831,-0.427276,2.406778,0.322271,-0.03589,2.398895,0.432671,-0.11186,2.331251,0.477094,-0.142983,2.308301,0.515907,-0.178237,2.269112,0.472673,-0.112213,2.281,0.4198,-0.619494,2.608006,0.444707,-0.857078,2.600939,0.486621,-0.905408,2.564776,0.227541,-0.562558,2.470468,0.029317,-0.788987,2.468817,0.084187,-0.809772,2.375712
0.428932,0.384871,2.703783,0.344638,0.291863,2.673776,0.346492,0.213884,2.669592,0.351387,-0.024012,2.647813,0.462146,0.167636,2.701343,0.286028,0.159728,2.529164,0.357832,-0.34749,2.608735,0.397511,-0.352178,2.601765,0.310738,-0.334656,2.548601,0.374144,-0.073333,2.554141,0.311674,-0.34845,2.49706,0.286278,-0.420915,2.436973,0.26526,-0.482754,2.436007,0.329868,-0.451527,2.417667,0.325584,-0.03519,2.402812,0.43366,-0.112975,2.332877,0.474594,-0.150569,2.311547,0.520335,-0.182072,2.273709,0.451568,-0.092758,2.302333,0.419092,-0.626629,2.609698,0.435915,-0.856157,2.600026,0.485673,-0.876949,2.50743,0.215042,-0.622503,2.472112,0.025577,-0.791754,2.474231,0.080416,-0.812687,2.38114
0.441679,0.386756,2.710373,0.355379,0.29483,2.677984,0.357454,0.218384,2.671444,0.366858,-0.010563,2.639447,0.472859,0.170603,2.70555,0.292657,0.162706,2.535341,0.378071,-0.311306,2.566009,0.424314,-0.305272,2.561213,0.321468,-0.309265,2.501736,0.384613,-0.070167,2.558117,0.308768,-0.340846,2.494659,0.294986,-0.416266,2.451577,0.293401,-0.482734,2.467599,0.32413,-0.435202,2.40575,0.327141,-0.034348,2.404935,0.459713,-0.172709,2.307251,0.44946,-0.183106,2.307807,0.482957,-0.213805,2.276924,0.46889,-0.172647,2.277652,0.351382,-0.57404,2.528756,0.3697,-0.837517,2.604657,0.419287,-0.856863,2.510181,0.333965,-0.551991,2.466571,0.114103,-0.757953,2.472727,0.166786,-0.777663,2.377846
0.445138,0.386412,2.713182,0.356827,0.296008,2.679106,0.358699,0.21996,2.671294,0.366829,-0.006714,2.633469,0.474302,0.17178,2.706672,0.29316,0.16423,2.537753,0.375194,-0.310554,2.560762,0.421481,-0.306376,2.5574,0.318374,-0.30575,2.493881,0.447289,-0.097963,2.593441,0.348491,-0.357667,2.514659,0.314073,-0.425489,2.45251,0.313944,-0.487971,2.462489,0.35426,-0.442554,2.407875,0.324794,-0.035731,2.407747,0.434927,-0.192057,2.308862,0.423104,-0.195968,2.306074,0.44829,-0.22851,2.27119,0.400373,-0.237358,2.3064,0.310225,-0.537988,2.618905,0.348581,-0.835059,2.604813,0.398065,-0.854338,2.509941,0.351004,-0.545618,2.471657,0.140684,-0.761627,2.472216,0.192653,-0.781211,2.377012
0.438285,0.392092,2.711484,0.355453,0.297592,2.681541,0.354443,0.22152,2.672167,0.342703,-0.009061,2.629241,0.472931,0.173363,2.70911,0.286862,0.168497,2.543395,0.317994,-0.32941,2.556634,0.362321,-0.335551,2.549915,0.264711,-0.314196,2.493596,0.43978,-0.094985,2.593818,0.348121,-0.357798,2.517206,0.320943,-0.418774,2.457142,0.336754,-0.483765,2.466571,0.355482,-0.438639,2.412088,0.288838,-0.045308,2.424814,0.348269,-0.224465,2.320054,0.354324,-0.247733,2.311538,0.359903,-0.275068,2.276176,0.328824,-0.276509,2.339858,0.292353,-0.554135,2.61595,0.284145,-0.84477,2.548158,0.332154,-0.905315,2.564438,0.370264,-0.538533,2.472274,0.216752,-0.797544,2.464178,0.224609,-0.86084,2.429688
0.435116,0.388038,2.714916,0.348199,0.297082,2.683795,0.339796,0.219697,2.678654,0.301891,-0.019921,2.663702,0.465694,0.172855,2.711367,0.277422,0.167332,2.547882,0.264843,-0.344059,2.627209,0.304688,-0.348906,2.607896,0.217946,-0.330077,2.576794,0.432904,-0.097081,2.60029,0.367987,-0.365779,2.51685,0.332027,-0.460587,2.474387,0.354034,-0.501503,2.460207,0.352011,-0.476167,2.438,0.262984,-0.069737,2.428151,0.341744,-0.238089,2.318116,0.332639,-0.273198,2.311546,0.324207,-0.290014,2.296199,0.341949,-0.288454,2.319,0.276864,-0.584676,2.620769,0.200689,-0.841334,2.550218,0.25415,-0.905273,2.529297,0.389896,-0.532821,2.472156,0.257612,-0.802984,2.450365,0.286377,-0.877441,2.396484
0.426068,0.382901,2.713803,0.337066,0.294926,2.685512,0.328387,0.217658,2.681863,0.298528,-0.019887,2.665343,0.454587,0.170705,2.713086,0.26151,0.165255,2.552088,0.260248,-0.342588,2.631522,0.297558,-0.345636,2.620331,0.214943,-0.329569,2.577088,0.426781,-0.099414,2.601125,0.364164,-0.368338,2.51662,0.336064,-0.472959,2.474975,0.349092,-0.506097,2.479722,0.319539,-0.445571,2.4455,0.239031,-0.077641,2.432799,0.28942,-0.272164,2.327196,0.283457,-0.301588,2.330621,0.276225,-0.306211,2.307723,0.304655,-0.315085,2.356857,0.273488,-0.583823,2.623223,0.197664,-0.859882,2.608821,0.245481,-0.882995,2.513009,0.394833,-0.533235,2.468761,0.312732,-0.82159,2.436455,0.342285,-0.887207,2.388672
0.41223,0.379612,2.711071,0.325086,0.290886,2.685508,0.314073,0.214305,2.682119,0.278222,-0.019266,2.664369,0.442638,0.166672,2.713084,0.250618,0.161911,2.553606,0.223192,-0.333797,2.629652,0.260286,-0.338874,2.623124,0.179484,-0.319594,2.566835,0.418446,-0.103569,2.600636,0.357265,-0.37255,2.515256,0.320493,-0.474888,2.472587,0.336001,-0.508064,2.461746,0.300967,-0.45322,2.463,0.210933,-0.07888,2.434232,0.239053,-0.257179,2.314337,0.233998,-0.295872,2.331281,0.234005,-0.320299,2.333909,0.263384,-0.300783,2.341222,0.256704,-0.578231,2.624264,0.162475,-0.854079,2.610512,0.18698,-0.912613,2.571384,0.399251,-0.524067,2.465837,0.364898,-0.820699,2.423244,0.405518,-0.885742,2.371094
