HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
-0.160374,0.569733,2.649249,-0.136265,0.409461,2.628368,-0.176479,0.270262,2.499194,-0.063225,0.316504,2.830426,-0.109905,0.028374,2.54732,-0.066668,-0.039093,2.522142,-0.085706,-0.072195,2.459556,-0.026118,-0.107297,2.5505,-0.225816,0.05372,2.379182,-0.244123,-0.106659,2.232694,-0.250365,-0.160124,2.206601,-0.006005,0.045755,2.824101,0.158069,-0.085151,2.860149,0.188372,-0.102523,2.855198,-0.045826,-0.405865,2.51321,0.017314,-0.715695,2.525059,0.094478,-0.776769,2.539201,0.10237,-0.440384,2.342742,-0.211487,-0.571586,2.473262,-0.135109,-0.6001,2.438332
-0.164605,0.568058,2.639212,-0.138041,0.408006,2.620323,-0.175635,0.267437,2.492854,-0.06614,0.314364,2.824447,-0.10613,0.02522,2.537847,-0.063445,-0.042957,2.512203,-0.080825,-0.073858,2.455994,-0.028655,-0.102314,2.532146,-0.226352,0.051548,2.376736,-0.248477,-0.108162,2.232281,-0.257242,-0.17319,2.19709,-0.002018,0.045409,2.816458,0.147328,-0.091265,2.852437,0.155324,-0.101047,2.845636,-0.04911,-0.405754,2.51172,-0.027054,-0.718314,2.51795,0.031934,-0.779655,2.539718,0.092519,-0.431144,2.335254,-0.224118,-0.545202,2.474596,-0.148519,-0.573826,2.441146
-0.167458,0.567897,2.630942,-0.139256,0.407896,2.612722,-0.17336,0.265909,2.485701,-0.068399,0.313181,2.818223,-0.108901,0.025332,2.523236,-0.069955,-0.043383,2.49548,-0.085395,-0.073146,2.447129,-0.042972,-0.09357,2.510418,-0.22491,0.04986,2.37299,-0.251571,-0.109324,2.231977,-0.261058,-0.180369,2.192302,0.001038,0.045941,2.809505,0.105194,-0.11505,2.836805,0.131003,-0.142804,2.848937,-0.052029,-0.405843,2.51013,-0.07215,-0.715732,2.510515,-0.036675,-0.78301,2.546796,0.057496,-0.39876,2.32145,-0.237594,-0.521105,2.473721,-0.162376,-0.551144,2.442914
-0.169198,0.569252,2.624046,-0.139831,0.409375,2.605499,-0.170799,0.265504,2.479191,-0.069962,0.313204,2.811884,-0.123916,0.031255,2.505381,-0.094165,-0.037574,2.475089,-0.109478,-0.06669,2.432011,-0.074472,-0.085437,2.489612,-0.221187,0.048249,2.3666,-0.252666,-0.110731,2.23071,-0.252215,-0.154826,2.211924,0.003514,0.047535,2.802935,0.06567,-0.131031,2.826736,0.087617,-0.142834,2.84374,-0.08395,-0.390172,2.506392,-0.102192,-0.713699,2.506371,-0.073566,-0.780163,2.541618,-0.010989,-0.398604,2.302652,-0.276529,-0.529433,2.482446,-0.190423,-0.552981,2.450768
-0.170112,0.571642,2.617835,-0.140152,0.411629,2.599795,-0.168387,0.266292,2.473676,-0.071056,0.314068,2.8063,-0.131835,0.035065,2.496484,-0.104087,-0.034562,2.466584,-0.120129,-0.063347,2.425388,-0.086898,-0.081002,2.480987,-0.216117,0.049439,2.358263,-0.242418,-0.112394,2.227452,-0.23867,-0.137272,2.223604,0.00526,0.049661,2.797463,0.02606,-0.141808,2.814608,0.055625,-0.149436,2.843042,-0.099834,-0.379403,2.500798,-0.139664,-0.714778,2.504464,-0.104455,-0.780128,2.537567,-0.031964,-0.384697,2.295896,-0.281367,-0.522526,2.484594,-0.196124,-0.550553,2.456385
-0.170986,0.575017,2.612728,-0.140725,0.41497,2.594562,-0.166753,0.268019,2.46923,-0.072105,0.315912,2.800856,-0.138092,0.038322,2.491318,-0.11087,-0.032191,2.462033,-0.128275,-0.060246,2.422243,-0.094585,-0.077742,2.476506,-0.210236,0.049921,2.348202,-0.228475,-0.117069,2.224127,-0.222603,-0.128776,2.229932,0.00617,0.052528,2.792403,-0.005909,-0.143908,2.807873,0.007216,-0.175216,2.839281,-0.114757,-0.375117,2.495815,-0.16597,-0.714871,2.504175,-0.126809,-0.780139,2.533369,-0.042548,-0.376989,2.292842,-0.280188,-0.521906,2.488281,-0.1917,-0.556441,2.465774
-0.17201,0.579269,2.608353,-0.141714,0.41917,2.589919,-0.165765,0.271169,2.465415,-0.073257,0.318621,2.795712,-0.205701,0.062965,2.503199,-0.191604,-0.010929,2.483154,-0.208998,-0.042894,2.445629,-0.187077,-0.049066,2.504676,-0.20426,0.05047,2.337875,-0.199705,-0.124455,2.221925,-0.195543,-0.129131,2.23614,0.006247,0.056068,2.787749,-0.027291,-0.143011,2.805758,-0.010152,-0.182339,2.837558,-0.140204,-0.383431,2.491748,-0.204702,-0.716298,2.511321,-0.168616,-0.781448,2.526881,-0.046625,-0.387764,2.601187,-0.282428,-0.624665,2.608014,-0.28769,-0.709503,2.622996
-0.173347,0.584415,2.605132,-0.143804,0.424323,2.585492,-0.165454,0.274664,2.462399,-0.075017,0.322266,2.790631,-0.248494,0.077708,2.512752,-0.236154,0.000084,2.495308,-0.254664,-0.033496,2.460226,-0.233192,-0.034823,2.517056,-0.199728,0.051105,2.330953,-0.158578,-0.124253,2.218081,-0.161496,-0.138194,2.23097,0.005091,0.060436,2.78319,-0.041707,-0.14538,2.806124,-0.021801,-0.188026,2.836637,-0.159373,-0.394579,2.492311,-0.246809,-0.716034,2.521998,-0.206571,-0.782156,2.529023,-0.060714,-0.38258,2.642961,-0.202485,-0.636516,2.637262,-0.185953,-0.709049,2.655191
-0.174803,0.588589,2.602942,-0.146026,0.428425,2.582325,-0.165799,0.278144,2.460137,-0.076888,0.325598,2.78654,-0.257631,0.07584,2.511706,-0.235428,-0.011976,2.489994,-0.26615,-0.032049,2.463869,-0.220054,-0.052841,2.49976,-0.189543,0.052851,2.325129,-0.129004,-0.118668,2.210797,-0.123181,-0.168889,2.204173,0.003394,0.064338,2.779528,-0.050355,-0.147048,2.805885,-0.029799,-0.192395,2.836145,-0.172013,-0.402113,2.496381,-0.267003,-0.715666,2.523806,-0.227112,-0.781219,2.529282,-0.051282,-0.38882,2.678498,-0.167136,-0.704834,2.663655,-0.16398,-0.781851,2.690588
-0.178316,0.592431,2.60179,-0.148741,0.431884,2.579982,-0.167389,0.281766,2.458199,-0.079091,0.328664,2.78321,-0.264191,0.07312,2.507887,-0.246089,-0.013937,2.485446,-0.269732,-0.033853,2.463221,-0.234701,-0.049855,2.492055,-0.181171,0.054645,2.322556,-0.091137,-0.103929,2.205659,-0.073244,-0.175762,2.180874,0.001018,0.067874,2.776546,-0.05629,-0.148443,2.806471,-0.035038,-0.195901,2.836046,-0.184717,-0.407356,2.500202,-0.291718,-0.717422,2.519437,-0.248286,-0.778579,2.530176,-0.057345,-0.399745,2.66926,-0.125025,-0.751892,2.681424,-0.075399,-0.790883,2.660685
