Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
-0.210494,0.608739,2.514845,-0.224599,0.474967,2.450685,-0.229493,0.396657,2.446781,-0.244407,0.156229,2.42566,-0.082133,0.300383,2.510031,-0.267221,0.323908,2.29981,-0.265655,-0.172978,2.386842,-0.206548,-0.193057,2.368244,-0.316756,-0.148163,2.331774,-0.162323,0.087938,2.306298,-0.137975,-0.129516,2.486807,-0.144059,-0.183564,2.573338,-0.097185,-0.231423,2.563916,-0.15793,-0.187249,2.541571,-0.28677,0.070778,2.214072,-0.285109,-0.178373,2.175732,-0.289543,-0.230018,2.164863,-0.285522,-0.28728,2.15706,-0.260929,-0.212742,2.185111,-0.172436,-0.50553,2.32542,-0.461394,-0.75188,2.31324,-0.38708,-0.778863,2.217039,-0.120524,-0.399348,2.281196,-0.019472,-0.766131,2.272044,0.067741,-0.799239,2.255217
-0.218172,0.604554,2.511922,-0.23266,0.471144,2.445929,-0.235873,0.393143,2.442461,-0.246643,0.15354,2.422534,-0.090166,0.296562,2.505283,-0.271495,0.32107,2.296401,-0.264031,-0.175558,2.384181,-0.205333,-0.194408,2.367234,-0.314692,-0.15213,2.32649,-0.168291,0.083195,2.301734,-0.137806,-0.136454,2.478935,-0.175803,-0.142696,2.557017,-0.175219,-0.149154,2.548592,-0.174151,-0.141356,2.533,-0.288937,0.072394,2.210042,-0.287269,-0.179675,2.173257,-0.276862,-0.230548,2.180437,-0.286685,-0.288743,2.153966,-0.233371,-0.251401,2.209931,-0.17215,-0.506941,2.325099,-0.477132,-0.733349,2.313214,-0.402063,-0.760365,2.217439,-0.116612,-0.435285,2.297587,-0.049324,-0.758871,2.272947,0.05198,-0.798738,2.255822
-0.219585,0.602216,2.510067,-0.238915,0.470413,2.439233,-0.24275,0.391449,2.434154,-0.254349,0.148013,2.408535,-0.094228,0.29549,2.50172,-0.275938,0.319344,2.292882,-0.269478,-0.187474,2.361959,-0.205819,-0.211464,2.353441,-0.326865,-0.157238,2.291416,-0.171559,0.08172,2.2983,-0.136956,-0.142465,2.469537,-0.129013,-0.234884,2.550693,-0.108875,-0.26649,2.538977,-0.152721,-0.189465,2.531364,-0.290764,0.056838,2.199154,-0.286111,-0.176873,2.171445,-0.273227,-0.228684,2.174704,-0.278635,-0.292913,2.152363,-0.229819,-0.245888,2.203216,-0.16958,-0.523062,2.324333,-0.479205,-0.743083,2.310602,-0.404029,-0.769487,2.214705,-0.116675,-0.435535,2.29686,-0.059669,-0.760769,2.273757,0.041148,-0.80159,2.257295
-0.223158,0.602875,2.5061,-0.242995,0.470865,2.437098,-0.245876,0.391826,2.431767,-0.255187,0.148455,2.405548,-0.096221,0.295141,2.500931,-0.27862,0.319099,2.290885,-0.266918,-0.186032,2.357193,-0.204696,-0.208219,2.34713,-0.322433,-0.157357,2.289301,-0.173193,0.0812,2.297538,-0.13741,-0.143142,2.468392,-0.126256,-0.245444,2.540969,-0.106126,-0.277004,2.529257,-0.149985,-0.199918,2.521649,-0.290196,0.065267,2.195397,-0.282461,-0.174533,2.168575,-0.274782,-0.228724,2.155236,-0.270504,-0.28801,2.148742,-0.245061,-0.214994,2.170733,-0.169384,-0.519749,2.322233,-0.478535,-0.740133,2.295378,-0.40316,-0.766221,2.199504,-0.119878,-0.40144,2.2817,-0.071269,-0.778532,2.274665,0.015779,-0.811737,2.256334
-0.226147,0.605122,2.502813,-0.248718,0.473805,2.432878,-0.251731,0.394183,2.427323,-0.260642,0.149208,2.400982,-0.100413,0.296817,2.498035,-0.281713,0.319544,2.288098,-0.271601,-0.186842,2.353765,-0.208021,-0.211507,2.344351,-0.327892,-0.155687,2.286549,-0.176875,0.082548,2.294764,-0.139491,-0.142007,2.465115,-0.127357,-0.216635,2.525935,-0.107219,-0.248309,2.514214,-0.151068,-0.171368,2.506592,-0.290684,0.067358,2.193183,-0.276197,-0.175315,2.165596,-0.263148,-0.225076,2.151803,-0.253012,-0.283531,2.144216,-0.232688,-0.213295,2.163647,-0.171604,-0.52303,2.316672,-0.48039,-0.744057,2.293528,-0.404864,-0.770112,2.197831,-0.12278,-0.397448,2.281547,-0.076954,-0.774913,2.274354,0.012118,-0.810858,2.256203
-0.230728,0.608303,2.499218,-0.253583,0.476801,2.43056,-0.256591,0.397723,2.424913,-0.265248,0.154737,2.398406,-0.104909,0.29927,2.496054,-0.287619,0.325991,2.281733,-0.276038,-0.177452,2.351662,-0.216179,-0.196571,2.34041,-0.329142,-0.151255,2.286572,-0.207406,0.124322,2.267118,-0.14904,-0.038693,2.489195,-0.129986,-0.092741,2.567262,-0.109846,-0.124928,2.555519,-0.153688,-0.048661,2.547847,-0.29131,0.070429,2.190746,-0.264238,-0.174706,2.157709,-0.245545,-0.216984,2.16946,-0.230519,-0.281893,2.15238,-0.196816,-0.220377,2.190871,-0.192676,-0.509605,2.309485,-0.497544,-0.735969,2.29008,-0.42129,-0.762169,2.194944,-0.11848,-0.387289,2.288503,-0.13149,-0.767221,2.265517,-0.052185,-0.818848,2.244141
-0.236324,0.612802,2.496965,-0.258803,0.48117,2.428175,-0.262451,0.402596,2.421623,-0.273076,0.161314,2.391938,-0.11004,0.30332,2.493837,-0.293166,0.330274,2.277111,-0.286786,-0.168802,2.340505,-0.228803,-0.186784,2.323084,-0.336063,-0.145384,2.282047,-0.218134,0.132719,2.264197,-0.1619,-0.032912,2.485051,-0.143575,-0.087815,2.562705,-0.123379,-0.120022,2.550966,-0.167148,-0.04378,2.543296,-0.290163,0.071473,2.186537,-0.24918,-0.178905,2.15495,-0.236781,-0.21792,2.169034,-0.221462,-0.271412,2.144858,-0.29784,-0.214333,2.191298,-0.206259,-0.499863,2.296924,-0.522075,-0.710851,2.279787,-0.445141,-0.737324,2.184926,-0.126233,-0.381672,2.287524,-0.149304,-0.761118,2.263366,-0.209335,-0.805708,2.219296
-0.261673,0.622368,2.493373,-0.269759,0.487996,2.426137,-0.270546,0.407369,2.42128,-0.275911,0.162401,2.394683,-0.121032,0.309977,2.491899,-0.297678,0.333547,2.274773,-0.285451,-0.172234,2.35373,-0.227262,-0.18456,2.346095,-0.3346,-0.153427,2.291246,-0.229347,0.139146,2.262553,-0.173437,-0.027318,2.482963,-0.15524,-0.082487,2.560466,-0.134996,-0.114716,2.548729,-0.178703,-0.038502,2.541062,-0.288607,0.075143,2.182601,-0.232971,-0.137951,2.15662,-0.222837,-0.201772,2.148156,-0.201129,-0.260454,2.142211,-0.253721,-0.212162,2.145765,-0.222107,-0.503858,2.281392,-0.510989,-0.748241,2.295341,-0.433349,-0.774514,2.201766,-0.166785,-0.421785,2.283176,-0.225724,-0.778443,2.251038,-0.152186,-0.803909,2.157073
-0.265117,0.625457,2.492591,-0.275074,0.491345,2.424728,-0.275808,0.410282,2.420778,-0.279711,0.163282,2.397377,-0.126365,0.31327,2.490527,-0.303741,0.338216,2.270479,-0.287448,-0.174407,2.360643,-0.231443,-0.18402,2.357386,-0.335175,-0.157594,2.294045,-0.234659,0.142292,2.261287,-0.178828,-0.024457,2.481546,-0.160667,-0.079715,2.558998,-0.1404,-0.111956,2.547262,-0.184077,-0.035756,2.539595,-0.289363,0.081027,2.179761,-0.230757,-0.134592,2.156104,-0.2277,-0.199786,2.161922,-0.185343,-0.25141,2.144219,-0.278355,-0.23008,2.175345,-0.233466,-0.558423,2.265601,-0.482623,-0.766835,2.300467,-0.506693,-0.833063,2.254231,-0.185789,-0.443491,2.275357,-0.255875,-0.783822,2.249449,-0.181665,-0.809412,2.155932
-0.273313,0.629254,2.491087,-0.280418,0.494781,2.423098,-0.281176,0.413549,2.419438,-0.283428,0.16499,2.397604,-0.131716,0.316667,2.488928,-0.311316,0.343666,2.265966,-0.288449,-0.174245,2.360965,-0.233056,-0.18243,2.358361,-0.336263,-0.15887,2.293298,-0.236067,0.154415,2.251326,-0.176335,-0.005128,2.475641,-0.15688,-0.057963,2.554443,-0.136627,-0.090292,2.542705,-0.180324,-0.014207,2.535033,-0.288402,0.084123,2.177203,-0.22132,-0.134305,2.153824,-0.215631,-0.194793,2.163664,-0.166248,-0.243439,2.144021,-0.263435,-0.231208,2.179966,-0.184913,-0.488884,2.367875,-0.417093,-0.786608,2.314366,-0.482906,-0.803542,2.246493,-0.274243,-0.506851,2.265748,-0.298669,-0.785554,2.248959,-0.223723,-0.811078,2.155575
-0.275989,0.630963,2.489253,-0.284813,0.496517,2.422199,-0.286534,0.414746,2.418253,-0.292095,0.163481,2.39597,-0.136117,0.318385,2.488047,-0.315897,0.346349,2.263427,-0.301853,-0.182454,2.356958,-0.251685,-0.197147,2.354858,-0.345172,-0.163237,2.287221,-0.257198,0.164934,2.252742,-0.198884,0.009784,2.480325,-0.179939,-0.041569,2.560211,-0.159594,-0.073965,2.54848,-0.203169,0.002031,2.540812,-0.292371,0.088377,2.177014,-0.213024,-0.130628,2.152587,-0.20015,-0.18406,2.163267,-0.150394,-0.235613,2.14639,-0.248362,-0.206297,2.193606,-0.182024,-0.494877,2.386173,-0.422005,-0.776,2.285653,-0.345211,-0.802215,2.192678,-0.285289,-0.508614,2.26387,-0.368087,-0.789713,2.256607,-0.292022,-0.815571,2.163628
-0.283991,0.633103,2.486886,-0.290367,0.498325,2.420121,-0.292456,0.416077,2.416266,-0.298398,0.163295,2.394761,-0.141665,0.320174,2.485989,-0.324875,0.348034,2.258546,-0.306999,-0.183931,2.356467,-0.255934,-0.197262,2.355588,-0.350187,-0.165841,2.284611,-0.262068,0.166025,2.2508,-0.203191,0.01178,2.478841,-0.184068,-0.039269,2.558878,-0.163706,-0.071675,2.547148,-0.207259,0.00431,2.539481,-0.293837,0.089126,2.176589,-0.20913,-0.128901,2.15267,-0.177353,-0.178936,2.149772,-0.141603,-0.230532,2.14554,-0.195971,-0.215279,2.143445,-0.189044,-0.502883,2.388746,-0.285928,-0.767594,2.344904,-0.329786,-0.811007,2.222386,-0.325677,-0.497552,2.251021,-0.361218,-0.782742,2.257515,-0.285448,-0.808699,2.164264
-0.284073,0.633034,2.485892,-0.296648,0.499083,2.418731,-0.299516,0.417126,2.415085,-0.307657,0.165398,2.394683,-0.147937,0.320922,2.484616,-0.32932,0.348512,2.256711,-0.318584,-0.179626,2.358,-0.267153,-0.192317,2.353694,-0.361195,-0.161733,2.289149,-0.268158,0.166563,2.249484,-0.208949,0.012917,2.47784,-0.189727,-0.037932,2.557981,-0.169342,-0.070343,2.546253,-0.212864,0.005635,2.538588,-0.296393,0.089491,2.176156,-0.205841,-0.125908,2.153914,-0.165291,-0.177541,2.149444,-0.131111,-0.228461,2.146879,-0.186774,-0.203745,2.139,-0.185965,-0.496316,2.392882,-0.240077,-0.77038,2.363238,-0.166017,-0.797203,2.269982,-0.342477,-0.492169,2.248082,-0.399396,-0.781933,2.221345,-0.32275,-0.80807,2.128685
