HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.63901,0.784307,2.517663,0.552496,0.596502,2.486886,0.446016,0.453335,2.377925,0.643402,0.458964,2.626418,0.46922,0.241946,2.455584,0.469139,0.169918,2.438943,0.405034,0.142136,2.398782,0.510567,0.091602,2.465093,0.477749,0.206032,2.283683,0.586526,-0.005666,2.251891,0.621637,-0.078193,2.245927,0.670033,0.145583,2.608594,0.590152,0.033595,2.783199,0.563525,-0.003733,2.845684,0.370407,-0.328457,2.454755,0.319961,-0.697285,2.517425,0.381462,-0.737715,2.452815,0.675269,-0.342077,2.523862,0.805575,-0.673189,2.427478,0.869505,-0.718294,2.391713
0.662972,0.739239,2.504397,0.578142,0.535278,2.479923,0.472437,0.446781,2.370958,0.68019,0.39928,2.617521,0.531132,0.207093,2.472512,0.538206,0.140322,2.460436,0.483495,0.095917,2.413812,0.579891,0.05764,2.499175,0.49834,0.20822,2.277707,0.617161,-0.01206,2.249999,0.645586,-0.081396,2.244196,0.70682,0.085936,2.599694,0.626975,-0.026094,2.774268,0.60036,-0.063438,2.836742,0.379803,-0.324518,2.452413,0.316578,-0.693022,2.513318,0.380048,-0.732737,2.448228,0.701874,-0.35148,2.514354,0.807238,-0.657916,2.420279,0.887236,-0.703086,2.369533
0.677705,0.65975,2.493607,0.59999,0.443911,2.471379,0.500428,0.438041,2.36348,0.708808,0.306621,2.607826,0.570184,0.150272,2.477276,0.580635,0.09163,2.46799,0.532187,0.052957,2.431292,0.614627,0.004963,2.49445,0.536202,0.189827,2.265948,0.639226,-0.023284,2.249142,0.664543,-0.084834,2.242212,0.735429,-0.006619,2.589995,0.655672,-0.118778,2.764441,0.629086,-0.156166,2.826871,0.403052,-0.324927,2.449727,0.313462,-0.689377,2.510738,0.377778,-0.728479,2.446381,0.725764,-0.364795,2.502348,0.830387,-0.658926,2.401721,0.896921,-0.70166,2.356352
0.690096,0.642399,2.486992,0.617484,0.420471,2.466811,0.519749,0.433332,2.359213,0.725184,0.285183,2.603684,0.598103,0.134786,2.477675,0.610631,0.077945,2.469221,0.574947,0.031807,2.431519,0.64678,-0.005893,2.498777,0.54924,0.183193,2.263743,0.651055,-0.026913,2.247293,0.676756,-0.087679,2.239687,0.7518,-0.028035,2.585852,0.672071,-0.140223,2.760273,0.645495,-0.177622,2.822695,0.444162,-0.322749,2.44399,0.310322,-0.686171,2.50925,0.374398,-0.724561,2.446364,0.743694,-0.369696,2.492757,0.84329,-0.659935,2.385049,0.900121,-0.707076,2.348395
0.697652,0.637606,2.482521,0.626023,0.415545,2.464257,0.536711,0.429312,2.355966,0.735894,0.271983,2.600821,0.612781,0.125734,2.477209,0.626528,0.069493,2.468823,0.587937,0.0251,2.432046,0.661716,-0.012399,2.492953,0.5627,0.17588,2.261376,0.660618,-0.033201,2.2455,0.684256,-0.089749,2.237474,0.762507,-0.041232,2.582989,0.682783,-0.153428,2.757404,0.656209,-0.190828,2.819825,0.472594,-0.325685,2.439878,0.304039,-0.685707,2.509501,0.367202,-0.724407,2.450415,0.75656,-0.370698,2.484401,0.839898,-0.66089,2.378781,0.889643,-0.713046,2.345729
0.704063,0.63408,2.478789,0.638974,0.406084,2.461576,0.552059,0.427022,2.353906,0.745928,0.265068,2.598575,0.62589,0.11899,2.474535,0.640776,0.062509,2.465682,0.608514,0.016613,2.435244,0.679237,-0.016556,2.477978,0.572142,0.170049,2.259809,0.666749,-0.039833,2.244119,0.688622,-0.093364,2.234566,0.772533,-0.048175,2.580744,0.692804,-0.160347,2.755179,0.666228,-0.197739,2.817606,0.516662,-0.335886,2.426037,0.301871,-0.68386,2.50821,0.365591,-0.723033,2.450369,0.765891,-0.372746,2.478381,0.824103,-0.661103,2.382284,0.864734,-0.719634,2.354148
0.707846,0.626417,2.476615,0.652098,0.392243,2.458573,0.563883,0.425652,2.352661,0.756194,0.254788,2.596208,0.635709,0.113381,2.471561,0.650647,0.057208,2.462389,0.619317,0.011812,2.436308,0.688183,-0.020851,2.468513,0.578318,0.166095,2.258975,0.66925,-0.046061,2.242749,0.689787,-0.102733,2.230647,0.782817,-0.058497,2.578373,0.703022,-0.170605,2.752858,0.676424,-0.207976,2.815302,0.582261,-0.352944,2.406808,0.311729,-0.671222,2.492079,0.368953,-0.717503,2.444684,0.767964,-0.39193,2.467359,0.795511,-0.692606,2.389937,0.855262,-0.758784,2.370235
0.723524,0.692822,2.475261,0.668927,0.466431,2.461395,0.57335,0.425302,2.351743,0.777336,0.315122,2.597185,0.650624,0.121116,2.471237,0.662067,0.057469,2.461793,0.632633,0.021331,2.445925,0.709005,-0.007213,2.465283,0.582534,0.163322,2.258558,0.663108,-0.057249,2.241895,0.682586,-0.11682,2.225857,0.803971,0.001702,2.57935,0.724074,-0.110242,2.754021,0.697441,-0.147557,2.816528,0.63163,-0.347359,2.378523,0.344661,-0.653093,2.458446,0.397314,-0.70119,2.417239,0.746335,-0.410956,2.453363,0.773404,-0.710976,2.399559,0.826641,-0.786109,2.386175
0.735611,0.756386,2.469525,0.675398,0.564469,2.466127,0.579723,0.425329,2.351093,0.787053,0.419231,2.601903,0.650193,0.157706,2.450333,0.660616,0.080099,2.436614,0.617325,0.058283,2.420248,0.712052,0.014536,2.445111,0.585239,0.161321,2.258516,0.646869,-0.065831,2.244595,0.660522,-0.130322,2.230787,0.813698,0.105686,2.584066,0.733709,-0.006107,2.758906,0.707046,-0.043371,2.821471,0.690847,-0.339887,2.38161,0.373034,-0.615386,2.443382,0.378477,-0.695494,2.459523,0.709317,-0.429058,2.435977,0.743719,-0.729549,2.413702,0.758201,-0.808048,2.396037
0.73963,0.793375,2.467039,0.678288,0.619841,2.46905,0.584025,0.425672,2.350668,0.789817,0.47051,2.604538,0.647976,0.17919,2.440376,0.659086,0.092954,2.426004,0.606212,0.07937,2.405884,0.713525,0.028817,2.437505,0.586351,0.159858,2.258942,0.633432,-0.070778,2.247586,0.623575,-0.139329,2.235845,0.816472,0.156826,2.586695,0.736414,0.04521,2.761657,0.709727,0.008005,2.824263,0.709505,-0.337362,2.381542,0.38564,-0.603704,2.435711,0.380096,-0.692759,2.454833,0.697415,-0.411811,2.436046,0.696391,-0.724891,2.434799,0.734999,-0.776925,2.395899
