Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.723599,0.587204,2.497720,0.615469,0.499031,2.459168,0.614358,0.422965,2.456564,0.608709,0.189185,2.439545,0.737381,0.345679,2.517831,0.529811,0.337801,2.341685,0.598600,-0.131213,2.407170,0.642749,-0.144623,2.435294,0.535315,-0.114255,2.304695,0.697639,0.069506,2.343720,0.599004,-0.099055,2.155035,0.567295,-0.155192,2.096131,0.559342,-0.176641,2.069994,0.568288,-0.137350,2.088149,0.425023,0.048106,2.263915,0.464316,-0.182432,2.234615,0.457961,-0.218324,2.248240,0.471839,-0.263521,2.257339,0.485481,-0.204355,2.225952,0.598519,-0.512401,2.386654,0.334342,-0.772981,2.457981,0.302290,-0.855420,2.434777,0.712516,-0.467711,2.277158,0.843452,-0.819978,2.243343,0.895303,-0.841336,2.171045
0.711928,0.584927,2.497537,0.597869,0.494897,2.458277,0.597127,0.418834,2.456359,0.592462,0.185067,2.441275,0.719837,0.341547,2.516935,0.513949,0.332422,2.341482,0.583445,-0.135217,2.411217,0.628501,-0.146283,2.437706,0.520034,-0.120396,2.310541,0.687463,0.064484,2.342855,0.591343,-0.101688,2.155687,0.560458,-0.157036,2.097295,0.552537,-0.178476,2.071148,0.559364,-0.138914,2.089676,0.414905,0.043350,2.262703,0.455362,-0.186982,2.233662,0.443965,-0.202322,2.245467,0.461186,-0.278830,2.258943,0.470756,-0.187584,2.229167,0.581963,-0.516967,2.392805,0.305106,-0.765895,2.459135,0.350264,-0.787265,2.362299,0.692858,-0.475508,2.282271,0.794961,-0.837376,2.286992,0.854172,-0.860590,2.195679
0.659809,0.597695,2.498550,0.581709,0.492893,2.455760,0.582770,0.416912,2.454439,0.583053,0.183447,2.440822,0.703729,0.339538,2.514418,0.500917,0.331022,2.339442,0.579141,-0.136331,2.411886,0.623836,-0.146727,2.438585,0.516295,-0.121970,2.310965,0.679150,0.060166,2.343090,0.585564,-0.103433,2.158532,0.555512,-0.157929,2.101014,0.547618,-0.179365,2.074860,0.554481,-0.139799,2.093377,0.405017,0.041037,2.259399,0.443447,-0.189801,2.232368,0.432070,-0.205582,2.240854,0.452201,-0.284112,2.257506,0.457751,-0.185084,2.219530,0.580927,-0.516223,2.393507,0.292346,-0.750951,2.462328,0.338072,-0.772339,2.365624,0.687687,-0.477397,2.283846,0.736274,-0.824468,2.320798,0.788574,-0.878418,2.251953
0.656870,0.588736,2.498102,0.567117,0.493424,2.454774,0.568982,0.417497,2.453379,0.572319,0.184138,2.439777,0.689184,0.340061,2.513435,0.487002,0.330455,2.337420,0.573382,-0.135627,2.411271,0.617692,-0.144761,2.438002,0.511002,-0.122337,2.310251,0.660497,0.053020,2.356996,0.562376,-0.153424,2.156679,0.530769,-0.222235,2.093898,0.522986,-0.243353,2.067739,0.529998,-0.203367,2.086259,0.398279,0.041944,2.256417,0.435161,-0.189249,2.230557,0.426241,-0.210865,2.235256,0.444208,-0.283931,2.247742,0.452284,-0.193896,2.214029,0.577666,-0.512139,2.394641,0.280131,-0.736067,2.462462,0.326276,-0.757443,2.365777,0.686695,-0.476944,2.283734,0.715074,-0.832095,2.323466,0.741646,-0.882728,2.261530
0.653680,0.585292,2.498099,0.553591,0.495214,2.455369,0.557463,0.419753,2.453496,0.565719,0.187378,2.438872,0.675702,0.341843,2.514037,0.475385,0.330930,2.336569,0.571130,-0.131159,2.409500,0.615528,-0.137261,2.437445,0.508588,-0.119856,2.307339,0.653933,0.054248,2.357619,0.558739,-0.152615,2.157223,0.528099,-0.221565,2.094419,0.520328,-0.242686,2.068256,0.529266,-0.203183,2.086401,0.390454,0.043871,2.251860,0.431680,-0.186645,2.227380,0.426775,-0.210009,2.229437,0.444552,-0.285231,2.246007,0.461316,-0.177037,2.228333,0.581573,-0.510331,2.387673,0.279062,-0.724023,2.464828,0.325707,-0.745245,2.368325,0.682686,-0.474233,2.282306,0.646105,-0.837856,2.340646,0.686035,-0.888672,2.279297
0.647597,0.585583,2.499072,0.542914,0.496908,2.456548,0.546409,0.421325,2.454866,0.554864,0.188696,2.440588,0.665059,0.343533,2.515222,0.461687,0.333684,2.337129,0.563535,-0.130203,2.411279,0.608535,-0.136419,2.437186,0.500486,-0.119248,2.311371,0.639603,0.058629,2.354029,0.547028,-0.091012,2.180211,0.517246,-0.140847,2.126298,0.509555,-0.162370,2.100086,0.516685,-0.122921,2.118525,0.384786,0.045720,2.247241,0.431362,-0.183736,2.222579,0.431893,-0.208302,2.222323,0.450629,-0.278381,2.239807,0.470991,-0.201987,2.221800,0.569014,-0.513516,2.390441,0.262627,-0.707789,2.494420,0.201563,-0.777282,2.460972,0.675398,-0.472541,2.283395,0.591524,-0.832037,2.353111,0.633301,-0.890625,2.298828
0.632728,0.587279,2.505076,0.522335,0.502079,2.460016,0.526399,0.426884,2.458441,0.536642,0.195589,2.444409,0.644547,0.348691,2.518704,0.448946,0.338326,2.337405,0.548059,-0.121469,2.415553,0.589669,-0.120137,2.440058,0.488218,-0.116659,2.316359,0.629639,0.063426,2.356941,0.539397,-0.088633,2.181801,0.457008,-0.150561,2.208620,0.448859,-0.185551,2.187662,0.449827,-0.097564,2.196286,0.378869,0.051491,2.241329,0.435005,-0.175650,2.214587,0.442832,-0.212272,2.212567,0.462798,-0.267418,2.223607,0.467557,-0.195038,2.188834,0.544568,-0.438723,2.355482,0.285336,-0.682147,2.477713,0.333204,-0.703923,2.382126,0.636411,-0.501666,2.320384,0.545835,-0.837438,2.362032,0.580078,-0.890625,2.304688
0.618022,0.597107,2.511477,0.508712,0.507421,2.464259,0.507495,0.433120,2.464121,0.496616,0.204726,2.455724,0.630967,0.354026,2.522960,0.437277,0.345248,2.339569,0.484677,-0.110733,2.433048,0.528283,-0.112479,2.454008,0.426054,-0.105574,2.337134,0.615691,0.068714,2.361262,0.511953,-0.125371,2.264629,0.521051,-0.161237,2.276332,0.432503,-0.248399,2.305077,0.485103,-0.184004,2.188000,0.371953,0.064740,2.235008,0.438541,-0.159459,2.206872,0.459417,-0.199166,2.218014,0.488420,-0.254061,2.219010,0.466587,-0.172336,2.171515,0.507014,-0.489823,2.371881,0.267145,-0.745974,2.503711,0.235430,-0.828764,2.479667,0.606562,-0.493484,2.325157,0.486833,-0.834429,2.370493,0.526367,-0.885254,2.310547
0.606891,0.599576,2.517572,0.497131,0.512968,2.467051,0.501678,0.436769,2.465485,0.499486,0.206426,2.454929,0.619423,0.359562,2.525765,0.425417,0.351961,2.341642,0.521213,-0.106710,2.423999,0.574576,-0.112302,2.449767,0.454306,-0.098373,2.324102,0.604326,0.074215,2.364065,0.509597,-0.123357,2.265268,0.477058,-0.189265,2.207028,0.464966,-0.226101,2.206849,0.435461,-0.171327,2.176250,0.365848,0.077147,2.231403,0.447174,-0.141445,2.196101,0.463200,-0.170984,2.197178,0.490477,-0.232620,2.207088,0.488408,-0.135865,2.184750,0.610317,-0.465703,2.481092,0.345724,-0.737013,2.503756,0.326469,-0.822465,2.452934,0.475906,-0.494593,2.368067,0.431346,-0.829988,2.378474,0.456858,-0.882969,2.339805
0.596855,0.605693,2.524788,0.482285,0.519699,2.474477,0.490356,0.442851,2.471267,0.500086,0.207984,2.455487,0.604623,0.366287,2.533206,0.415631,0.357489,2.343484,0.523362,-0.106365,2.423811,0.575148,-0.112043,2.449147,0.458085,-0.097849,2.324740,0.596520,0.080858,2.371208,0.506732,-0.118112,2.270535,0.477787,-0.182043,2.225358,0.474212,-0.212616,2.207390,0.495753,-0.164586,2.171862,0.362030,0.084552,2.230108,0.454040,-0.129829,2.196005,0.475445,-0.153226,2.193744,0.511909,-0.214641,2.204570,0.500587,-0.120577,2.183692,0.598207,-0.474316,2.482176,0.339920,-0.751740,2.502105,0.321417,-0.835187,2.442407,0.429916,-0.511979,2.370086,0.383032,-0.836348,2.388237,0.418854,-0.882324,2.334733
