HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.537026,0.656343,2.606310,0.543483,0.509392,2.506298,0.490745,0.427567,2.469261,0.609662,0.433207,2.706823,0.509683,0.126882,2.469769,0.536934,0.054757,2.445678,0.504894,0.020051,2.438924,0.572336,0.023229,2.426771,0.464828,0.156687,2.355955,0.430539,-0.127454,2.339086,0.372609,-0.156244,2.320874,0.723217,0.173698,2.735787,0.760066,-0.137149,2.765453,0.771607,-0.238874,2.781233,0.648041,-0.352480,2.456381,0.683585,-0.727059,2.479975,0.758169,-0.782776,2.463022,0.595255,-0.401393,2.511218,0.294341,-0.608374,2.622039,0.283375,-0.685308,2.658432
0.567906,0.672238,2.588311,0.556946,0.522722,2.502890,0.484206,0.512816,2.501858,0.626448,0.446088,2.700966,0.534339,0.172764,2.466626,0.558489,0.105738,2.439483,0.520887,0.061635,2.438955,0.597260,0.067215,2.418185,0.490795,0.240382,2.376256,0.501349,-0.053812,2.325417,0.438275,-0.092087,2.312261,0.739136,0.186321,2.730767,0.769836,-0.129649,2.761072,0.777700,-0.238871,2.777830,0.646024,-0.366536,2.461054,0.655116,-0.735397,2.490935,0.726049,-0.793609,2.482963,0.587640,-0.403330,2.524339,0.307146,-0.640611,2.642967,0.292092,-0.736650,2.685920
0.596487,0.686444,2.575839,0.567732,0.535270,2.501648,0.511146,0.560429,2.506368,0.640455,0.458757,2.697445,0.550129,0.194488,2.467090,0.577780,0.130256,2.442801,0.547122,0.088000,2.450461,0.613028,0.088709,2.419903,0.531022,0.284543,2.382187,0.564064,0.011652,2.314052,0.539294,-0.052985,2.296355,0.752565,0.198421,2.727289,0.785644,-0.110893,2.757580,0.795438,-0.218075,2.774093,0.643254,-0.372950,2.463018,0.619488,-0.739014,2.501709,0.698437,-0.793645,2.491711,0.603694,-0.402896,2.545077,0.354614,-0.668106,2.660735,0.369247,-0.764430,2.699310
0.611903,0.694028,2.570618,0.575852,0.544232,2.500838,0.537117,0.461219,2.461402,0.651374,0.468863,2.695115,0.558817,0.202766,2.466108,0.587973,0.138791,2.443371,0.558741,0.096249,2.454717,0.622327,0.097406,2.419741,0.539527,0.190621,2.327129,0.609105,-0.017350,2.266762,0.633412,-0.070046,2.259062,0.763178,0.208019,2.724666,0.800747,-0.093002,2.754740,0.813605,-0.195819,2.770652,0.637349,-0.375180,2.464285,0.556903,-0.739070,2.536360,0.640050,-0.779154,2.512537,0.721112,-0.355837,2.596121,0.481236,-0.660896,2.652824,0.489032,-0.756928,2.674428
0.626786,0.699509,2.568205,0.582446,0.551436,2.500950,0.548235,0.524668,2.480704,0.660157,0.477266,2.694058,0.566094,0.207759,2.467163,0.596010,0.143040,2.445580,0.566217,0.102446,2.456387,0.635000,0.099230,2.430156,0.563087,0.254804,2.342694,0.649327,0.015616,2.252926,0.689876,-0.044408,2.235498,0.771796,0.215939,2.723126,0.813593,-0.078077,2.753306,0.828716,-0.177423,2.768799,0.630724,-0.377163,2.467171,0.532461,-0.738252,2.546866,0.612366,-0.776979,2.516443,0.767231,-0.341641,2.617467,0.540813,-0.663536,2.646881,0.580042,-0.712031,2.619849
0.635412,0.703743,2.567347,0.588930,0.557373,2.501257,0.560541,0.470663,2.458221,0.668134,0.484361,2.693524,0.573345,0.208038,2.469034,0.604738,0.140093,2.449370,0.572010,0.105240,2.457268,0.645001,0.096435,2.439035,0.564968,0.204127,2.310599,0.687328,0.018387,2.221166,0.732834,-0.036431,2.204165,0.779763,0.222678,2.722011,0.825285,-0.066114,2.752202,0.841915,-0.163155,2.767316,0.602216,-0.388860,2.474910,0.519885,-0.738578,2.552643,0.598498,-0.776616,2.521626,0.781778,-0.359783,2.612459,0.658617,-0.703201,2.608403,0.707710,-0.756793,2.596752
0.643183,0.703031,2.567209,0.603255,0.521920,2.495588,0.568520,0.439460,2.446238,0.680614,0.467645,2.689698,0.568897,0.176356,2.469265,0.596835,0.108096,2.450547,0.566477,0.090769,2.455367,0.631225,0.062719,2.442912,0.573438,0.193908,2.295886,0.707371,0.026830,2.205805,0.767052,-0.021407,2.184976,0.792904,0.204814,2.716724,0.840133,-0.078876,2.747036,0.856845,-0.173903,2.761886,0.581354,-0.403039,2.485497,0.511170,-0.739359,2.556214,0.578169,-0.781636,2.528247,0.787986,-0.380991,2.608772,0.749416,-0.739173,2.584389,0.830774,-0.774426,2.568270
0.651651,0.699833,2.568282,0.611350,0.504445,2.494024,0.572570,0.427046,2.441379,0.689154,0.456126,2.688078,0.571064,0.160239,2.474007,0.597729,0.091254,2.456694,0.566659,0.076773,2.461634,0.630011,0.045320,2.448961,0.577795,0.187440,2.287825,0.722808,0.036161,2.194747,0.793944,-0.008363,2.170827,0.801723,0.192966,2.714226,0.850334,-0.088282,2.744409,0.867176,-0.182213,2.758994,0.561155,-0.404737,2.489606,0.482182,-0.740852,2.554197,0.545874,-0.782317,2.534284,0.803350,-0.387550,2.607958,0.830006,-0.755359,2.562762,0.918292,-0.774980,2.534804
0.660367,0.696280,2.570531,0.616606,0.496933,2.493834,0.575989,0.419354,2.438579,0.695668,0.448689,2.687699,0.574257,0.150375,2.477823,0.600314,0.080732,2.461311,0.568441,0.066779,2.466311,0.631492,0.035346,2.453225,0.581430,0.183672,2.282436,0.733949,0.043913,2.187156,0.810055,0.001565,2.161989,0.808361,0.185488,2.713278,0.857997,-0.094625,2.743334,0.874955,-0.187989,2.757712,0.553144,-0.404816,2.492781,0.453997,-0.743892,2.554942,0.521649,-0.783835,2.540757,0.805721,-0.394853,2.601821,0.902315,-0.751883,2.533844,0.992948,-0.761695,2.500716
0.667222,0.691606,2.572772,0.630052,0.491913,2.494829,0.578710,0.413696,2.437009,0.707022,0.441926,2.687971,0.577296,0.145290,2.480774,0.602149,0.075314,2.463994,0.569545,0.060826,2.469367,0.632653,0.029921,2.455537,0.585187,0.181257,2.278225,0.744212,0.051626,2.181777,0.820837,0.011151,2.157552,0.819800,0.178785,2.713072,0.870481,-0.100883,2.742975,0.887509,-0.193972,2.757160,0.575810,-0.399348,2.511672,0.413171,-0.737967,2.555983,0.475320,-0.787134,2.552660,0.806468,-0.400067,2.596459,0.988868,-0.745349,2.498882,1.063983,-0.740718,2.465946
