HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
-0.155643,0.739015,2.698615,-0.240666,0.604795,2.688199,-0.302383,0.463590,2.578876,-0.122212,0.459871,2.767451,-0.250758,0.249350,2.693248,-0.222078,0.182247,2.667520,-0.257553,0.133246,2.609698,-0.174848,0.100446,2.717292,-0.294505,0.210233,2.502383,-0.218239,-0.000154,2.489028,-0.207664,-0.069492,2.488267,-0.128860,0.269494,2.825183,-0.086498,0.047908,2.986931,-0.061304,-0.010251,2.996282,-0.092005,-0.276224,2.704897,0.059694,-0.597691,2.693138,0.138719,-0.658818,2.688848,-0.377767,-0.312694,2.805536,-0.552586,-0.631506,2.772314,-0.548621,-0.700678,2.772921
-0.146707,0.732600,2.695763,-0.231525,0.597876,2.687410,-0.290560,0.452739,2.576987,-0.112977,0.456522,2.764745,-0.237096,0.242930,2.688610,-0.208448,0.176410,2.662531,-0.241823,0.124852,2.601268,-0.161850,0.095694,2.711951,-0.291936,0.199772,2.501387,-0.224478,-0.012975,2.475435,-0.221637,-0.080050,2.477222,-0.123080,0.267058,2.824883,-0.073611,0.040968,2.980875,-0.048788,-0.014981,2.993116,-0.120705,-0.278649,2.692719,0.036874,-0.596649,2.695387,0.111722,-0.659913,2.692982,-0.409109,-0.313782,2.815732,-0.565458,-0.629275,2.769055,-0.565613,-0.704400,2.783546
-0.138748,0.728790,2.693060,-0.217373,0.591118,2.684031,-0.277874,0.444962,2.574220,-0.093555,0.455452,2.757670,-0.217630,0.233856,2.681141,-0.188272,0.167131,2.653410,-0.229668,0.117758,2.596674,-0.132406,0.094149,2.690475,-0.283752,0.189698,2.495945,-0.228331,-0.022974,2.462152,-0.231261,-0.088324,2.463640,-0.110127,0.265264,2.822067,-0.063288,0.033527,2.972637,-0.037782,-0.019287,2.989007,-0.128239,-0.281847,2.694330,0.019862,-0.599728,2.696069,0.073174,-0.650039,2.660774,-0.417318,-0.314414,2.816374,-0.575368,-0.628024,2.766556,-0.576854,-0.706776,2.788991
-0.127908,0.727616,2.687610,-0.201219,0.586590,2.679226,-0.266043,0.440524,2.570812,-0.081942,0.455351,2.753655,-0.195340,0.227693,2.675290,-0.164616,0.161043,2.646409,-0.210648,0.110840,2.595514,-0.106111,0.096878,2.677493,-0.269693,0.185604,2.485933,-0.228316,-0.026410,2.446724,-0.234074,-0.100584,2.445698,-0.093917,0.264412,2.817786,-0.053841,0.026886,2.962261,-0.025544,-0.022749,2.982072,-0.111134,-0.297476,2.681214,-0.003402,-0.626049,2.692755,0.041447,-0.676138,2.675540,-0.423080,-0.312350,2.814859,-0.581522,-0.627214,2.765150,-0.583561,-0.708696,2.793277
-0.117592,0.727790,2.682034,-0.188318,0.585034,2.674414,-0.253207,0.440034,2.566726,-0.062125,0.459581,2.742980,-0.180257,0.226312,2.670628,-0.148894,0.160142,2.640834,-0.195328,0.109352,2.594205,-0.090352,0.101586,2.668539,-0.255948,0.183939,2.476193,-0.217990,-0.023943,2.418447,-0.227952,-0.084936,2.410004,-0.077857,0.265826,2.811198,-0.047699,0.025134,2.953898,-0.017915,-0.023199,2.975923,-0.111306,-0.302389,2.677469,-0.038797,-0.634170,2.682555,0.003500,-0.673342,2.640161,-0.360167,-0.317884,2.796265,-0.585770,-0.626700,2.764164,-0.588864,-0.709967,2.796390
-0.108036,0.728691,2.676743,-0.178381,0.584958,2.669981,-0.241637,0.442000,2.562046,-0.053318,0.461370,2.738111,-0.169816,0.227499,2.666832,-0.137812,0.162185,2.636343,-0.183556,0.110515,2.591275,-0.081053,0.105281,2.663712,-0.233687,0.188075,2.457171,-0.200690,-0.017007,2.390699,-0.213843,-0.088729,2.382528,-0.065255,0.267637,2.805086,-0.043800,0.024336,2.949059,-0.010867,-0.022163,2.966752,-0.118599,-0.269560,2.649753,-0.066851,-0.650074,2.678638,-0.017121,-0.680829,2.627890,-0.330790,-0.317621,2.789451,-0.585491,-0.625663,2.764407,-0.590515,-0.710168,2.798351
-0.099626,0.730836,2.672715,-0.169127,0.587750,2.663513,-0.229532,0.446775,2.556230,-0.045541,0.464431,2.732214,-0.162495,0.230989,2.662560,-0.130505,0.166002,2.631813,-0.174632,0.114354,2.587190,-0.075692,0.109412,2.659930,-0.220238,0.193117,2.445812,-0.178756,-0.006479,2.372722,-0.181356,-0.085087,2.358940,-0.054120,0.271044,2.797629,-0.040470,0.025920,2.943316,-0.001967,-0.014976,2.946510,-0.130595,-0.244782,2.636461,-0.097685,-0.657705,2.676749,-0.059314,-0.705538,2.654334,-0.318721,-0.316138,2.787949,-0.533440,-0.581189,2.761058,-0.513797,-0.632812,2.718994
-0.093418,0.733131,2.669338,-0.163078,0.590692,2.658918,-0.221375,0.451300,2.551914,-0.040015,0.467272,2.727676,-0.157722,0.236926,2.657557,-0.125710,0.173143,2.625957,-0.167978,0.120768,2.580975,-0.073458,0.116452,2.655750,-0.208540,0.198342,2.436495,-0.149973,0.007655,2.353503,-0.144521,-0.075933,2.339383,-0.046407,0.274122,2.792105,-0.037951,0.028353,2.938530,0.003717,-0.008966,2.931780,-0.139778,-0.238908,2.631987,-0.117153,-0.663408,2.676168,-0.088300,-0.721574,2.676718,-0.310483,-0.312706,2.787344,-0.481530,-0.561286,2.766265,-0.466091,-0.616295,2.705311
-0.087127,0.737443,2.667178,-0.158109,0.594757,2.655148,-0.215913,0.456050,2.548617,-0.035494,0.470521,2.723867,-0.155545,0.244752,2.652904,-0.123888,0.182141,2.620306,-0.164881,0.127257,2.575393,-0.074209,0.126841,2.651333,-0.196529,0.207095,2.428592,-0.135606,0.016919,2.344239,-0.109244,-0.061556,2.327051,-0.040255,0.277534,2.787626,-0.035469,0.032025,2.934357,0.007976,-0.003355,2.920488,-0.152377,-0.240288,2.633778,-0.155600,-0.657404,2.675632,-0.113970,-0.722953,2.688456,-0.130696,-0.272773,2.782933,-0.399818,-0.549432,2.783420,-0.453481,-0.588258,2.742954
-0.082501,0.741884,2.665973,-0.154771,0.598849,2.652248,-0.212252,0.460868,2.545773,-0.032190,0.473728,2.720768,-0.155135,0.250907,2.649537,-0.123597,0.188620,2.616340,-0.163997,0.132822,2.570772,-0.075414,0.133610,2.648488,-0.186931,0.213570,2.422810,-0.105876,0.031948,2.338632,-0.076287,-0.041341,2.330053,-0.035828,0.280763,2.784108,-0.033471,0.036149,2.930896,0.010839,0.001503,2.912146,-0.174717,-0.256062,2.644607,-0.180666,-0.655592,2.679386,-0.128446,-0.723874,2.694792,-0.079993,-0.265586,2.774273,-0.334213,-0.574582,2.800798,-0.423258,-0.571999,2.742212
