Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.656188,0.609381,2.797164,0.643555,0.503456,2.710175,0.643829,0.417895,2.702675,0.651708,0.154388,2.671282,0.733762,0.294384,2.578466,0.595373,0.354277,2.567801,0.664916,-0.210303,2.622620,0.722835,-0.217391,2.578610,0.588538,-0.197679,2.591005,0.570902,0.151619,2.484318,0.609996,-0.138363,2.467223,0.631323,-0.283776,2.481342,0.636181,-0.365142,2.509295,0.559625,-0.272272,2.443143,0.577944,0.098154,2.422033,0.700642,-0.059050,2.330041,0.706706,-0.082847,2.331944,0.745870,-0.145552,2.337085,0.733630,-0.046983,2.312688,0.773967,-0.519969,2.672065,0.730818,-0.841158,2.687748,0.735018,-0.857537,2.568314,0.568333,-0.536903,2.581611,0.531063,-0.855096,2.609425,0.552246,-0.913574,2.583984
0.656796,0.609905,2.795895,0.643862,0.503776,2.709439,0.644568,0.418142,2.702278,0.652683,0.154592,2.671892,0.730973,0.296467,2.575879,0.595010,0.354116,2.567295,0.665508,-0.209122,2.624808,0.724366,-0.215614,2.580913,0.588196,-0.196831,2.593178,0.575016,0.152318,2.479536,0.611001,-0.138102,2.465157,0.630411,-0.281405,2.484452,0.628010,-0.361467,2.508193,0.557339,-0.263260,2.431834,0.586951,0.099724,2.417621,0.707698,-0.060436,2.328603,0.725669,-0.078610,2.328546,0.770648,-0.135148,2.331126,0.750346,-0.038851,2.310529,0.788761,-0.518835,2.657767,0.794672,-0.841679,2.662101,0.832031,-0.896484,2.628906,0.549069,-0.527985,2.583285,0.491689,-0.840567,2.613649,0.534693,-0.910649,2.581644
0.656966,0.609859,2.794810,0.644030,0.503780,2.708205,0.644957,0.418213,2.701904,0.653415,0.155314,2.673498,0.723109,0.297296,2.561808,0.595446,0.356571,2.557692,0.665306,-0.203856,2.634029,0.723390,-0.211559,2.586725,0.588757,-0.190301,2.606294,0.592182,0.130315,2.398486,0.622847,-0.160750,2.385844,0.578460,-0.183559,2.472275,0.534048,-0.251126,2.445400,0.533986,-0.140403,2.458272,0.600631,0.097213,2.410198,0.738342,-0.080598,2.342563,0.752893,-0.095739,2.329277,0.788142,-0.134711,2.334972,0.777101,-0.066276,2.311923,0.795382,-0.517410,2.649532,0.832360,-0.805143,2.638611,0.897451,-0.863201,2.596121,0.528977,-0.509483,2.584052,0.470999,-0.834830,2.615248,0.494612,-0.908456,2.583743
0.657397,0.609009,2.792947,0.644712,0.502711,2.706974,0.646064,0.417179,2.701363,0.654793,0.154080,2.675128,0.722838,0.297317,2.562186,0.594636,0.354044,2.558321,0.666265,-0.205295,2.637471,0.725201,-0.211927,2.590795,0.588785,-0.192728,2.609061,0.592304,0.130589,2.398325,0.529798,-0.141207,2.476839,0.483950,-0.175894,2.512411,0.429127,-0.234423,2.565547,0.446316,-0.118145,2.544833,0.607831,0.093824,2.407805,0.740502,-0.080944,2.342353,0.764418,-0.093050,2.326642,0.797681,-0.130188,2.330079,0.780511,-0.057326,2.298117,0.798186,-0.521853,2.639266,0.886317,-0.826437,2.609958,0.959665,-0.872975,2.570539,0.519665,-0.511750,2.585890,0.440257,-0.832434,2.619025,0.472846,-0.909263,2.587804
0.657978,0.607490,2.790854,0.644397,0.500872,2.705873,0.646238,0.415669,2.700979,0.655137,0.152730,2.676472,0.722053,0.297424,2.562525,0.596496,0.351653,2.559071,0.666458,-0.206397,2.640174,0.725228,-0.212604,2.592258,0.589024,-0.194230,2.612860,0.593157,0.126163,2.398959,0.534435,-0.153400,2.453549,0.526606,-0.205351,2.474808,0.481798,-0.272482,2.455088,0.471830,-0.167310,2.488613,0.612625,0.089871,2.406558,0.742683,-0.082029,2.342176,0.771089,-0.095872,2.326768,0.810447,-0.141113,2.328886,0.787047,-0.052062,2.303308,0.790007,-0.509606,2.631507,0.928111,-0.856793,2.601095,1.007427,-0.891406,2.558552,0.508751,-0.510213,2.587019,0.405703,-0.835999,2.624827,0.431207,-0.908295,2.589667
0.656344,0.599718,2.789802,0.644224,0.493409,2.704257,0.645613,0.408466,2.699434,0.650987,0.146529,2.675107,0.720544,0.297818,2.562930,0.594716,0.348772,2.559941,0.652296,-0.213505,2.634623,0.713036,-0.219901,2.587410,0.572323,-0.201065,2.605813,0.592303,0.116839,2.400454,0.540385,-0.163987,2.454815,0.523669,-0.217720,2.471658,0.476595,-0.285254,2.458019,0.468061,-0.173678,2.489021,0.614595,0.087213,2.407482,0.743361,-0.083439,2.342591,0.770543,-0.103985,2.329790,0.813037,-0.147878,2.336327,0.781051,-0.059681,2.304243,0.791611,-0.511057,2.632745,0.928591,-0.858413,2.597007,1.009810,-0.888614,2.552937,0.494208,-0.511166,2.586174,0.380043,-0.834740,2.628499,0.392549,-0.903850,2.598550
0.652089,0.598902,2.791166,0.644165,0.493150,2.704355,0.645371,0.408001,2.699553,0.648501,0.145043,2.675316,0.719242,0.295571,2.563360,0.592191,0.345385,2.560375,0.645727,-0.215878,2.633916,0.705524,-0.223068,2.586537,0.567025,-0.202601,2.605211,0.591959,0.116116,2.402499,0.539278,-0.164845,2.455719,0.519538,-0.217846,2.474220,0.470974,-0.285926,2.459858,0.461695,-0.175035,2.491955,0.614429,0.083069,2.409794,0.742787,-0.087005,2.343929,0.767066,-0.114490,2.336925,0.807832,-0.157158,2.344106,0.790055,-0.104501,2.319429,0.786898,-0.542671,2.614371,0.912301,-0.872511,2.574824,0.972366,-0.883060,2.532601,0.485854,-0.512093,2.584062,0.347313,-0.829958,2.624985,0.354760,-0.905938,2.599472
0.647390,0.584905,2.789621,0.639027,0.480896,2.698817,0.639700,0.396797,2.694569,0.640523,0.137491,2.671834,0.716984,0.294047,2.563936,0.589061,0.341169,2.561044,0.637280,-0.218542,2.631542,0.698597,-0.225571,2.584547,0.557331,-0.205229,2.602371,0.591162,0.106130,2.404217,0.533895,-0.173798,2.457963,0.513038,-0.225748,2.473935,0.465407,-0.293301,2.465694,0.458744,-0.184428,2.490666,0.609507,0.077631,2.412525,0.736358,-0.093635,2.349656,0.754380,-0.125328,2.343995,0.793344,-0.167161,2.352838,0.762096,-0.077698,2.311417,0.780949,-0.531499,2.615415,0.858260,-0.840937,2.573791,0.936982,-0.878518,2.534225,0.468552,-0.516063,2.578976,0.304255,-0.830739,2.633365,0.307663,-0.847229,2.512448
0.643480,0.580329,2.789154,0.632181,0.476264,2.698462,0.633148,0.391760,2.694257,0.634445,0.131823,2.671765,0.722152,0.257371,2.569753,0.585186,0.330586,2.557501,0.633179,-0.223678,2.631556,0.690471,-0.236101,2.583230,0.555951,-0.206847,2.602911,0.581068,0.112128,2.412695,0.512402,-0.164389,2.470319,0.490963,-0.218816,2.484096,0.445410,-0.287839,2.489784,0.439347,-0.172350,2.512500,0.596030,0.068436,2.418125,0.713646,-0.105364,2.360500,0.733023,-0.132148,2.352390,0.771947,-0.175318,2.364629,0.744542,-0.087207,2.328134,0.776384,-0.528548,2.615353,0.837698,-0.835300,2.581759,0.890137,-0.898438,2.541016,0.463136,-0.513909,2.572249,0.277658,-0.834310,2.629522,0.289079,-0.850994,2.509718
0.637462,0.581609,2.788307,0.620837,0.475576,2.703012,0.623043,0.391059,2.697797,0.627142,0.131442,2.672997,0.720377,0.260435,2.570669,0.583337,0.331413,2.559335,0.628919,-0.223651,2.630672,0.686227,-0.235863,2.582416,0.552650,-0.206476,2.602239,0.571016,0.111470,2.419148,0.504251,-0.165987,2.474713,0.486945,-0.219787,2.490461,0.441699,-0.291073,2.496838,0.437372,-0.179506,2.518000,0.573289,0.068040,2.429199,0.682476,-0.109033,2.363056,0.691766,-0.124356,2.359841,0.735271,-0.187606,2.371617,0.710525,-0.081411,2.338412,0.767287,-0.528593,2.619287,0.802670,-0.834211,2.591815,0.806731,-0.850897,2.473210,0.462144,-0.515257,2.569914,0.257022,-0.824222,2.625122,0.268356,-0.840740,2.505103
