HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.579593,0.890684,2.698745,0.564447,0.708816,2.647263,0.502958,0.549289,2.519691,0.659574,0.521233,2.555264,0.558030,0.261029,2.642954,0.567669,0.165618,2.595490,0.515022,0.146877,2.591090,0.618625,0.103379,2.596362,0.488152,0.289811,2.371058,0.604101,0.116945,2.295926,0.654178,0.076986,2.299041,0.736540,0.330023,2.605751,0.577266,0.118733,2.492973,0.558935,0.062015,2.494462,0.489950,-0.310213,2.635857,0.430282,-0.656191,2.700902,0.476339,-0.725938,2.731549,0.713068,-0.301466,2.770405,0.666963,-0.703810,2.789305,0.738392,-0.759161,2.757378
0.580670,0.893223,2.698253,0.565093,0.711129,2.645919,0.504517,0.551876,2.517603,0.638064,0.537321,2.539034,0.554530,0.256055,2.645768,0.561843,0.159548,2.597719,0.511326,0.143804,2.594727,0.609472,0.099743,2.599929,0.495448,0.293619,2.365276,0.619823,0.124741,2.292384,0.667893,0.081131,2.296845,0.706056,0.353710,2.589037,0.531288,0.111627,2.463275,0.495773,0.054074,2.435384,0.462209,-0.315333,2.636880,0.406830,-0.667387,2.700075,0.459047,-0.734913,2.738979,0.714240,-0.308690,2.764857,0.756465,-0.703547,2.747078,0.851494,-0.749111,2.721791
0.581353,0.895025,2.697926,0.565531,0.712744,2.644931,0.505518,0.553639,2.516097,0.601335,0.548700,2.518731,0.553254,0.251823,2.648497,0.558549,0.155266,2.599638,0.511724,0.140410,2.597208,0.602783,0.099408,2.603845,0.502554,0.296259,2.360620,0.633397,0.130375,2.290892,0.679304,0.083763,2.295962,0.681219,0.364097,2.576475,0.485567,0.114923,2.465093,0.458350,0.054645,2.432579,0.446322,-0.312840,2.634933,0.380687,-0.671711,2.699281,0.418745,-0.744640,2.728846,0.720404,-0.310444,2.741811,0.826112,-0.691414,2.707005,0.927049,-0.729091,2.683816
0.578006,0.866754,2.696043,0.563801,0.658679,2.630811,0.506066,0.554842,2.514765,0.587155,0.553010,2.509809,0.534126,0.225833,2.630996,0.533940,0.142282,2.578524,0.504472,0.134191,2.578485,0.560672,0.101715,2.581862,0.508482,0.297490,2.357263,0.644043,0.133793,2.290663,0.688565,0.085174,2.295760,0.534535,0.378459,2.453093,0.407815,0.093307,2.410349,0.388257,0.040566,2.374758,0.435257,-0.305778,2.631032,0.359940,-0.671504,2.697616,0.393794,-0.745220,2.719904,0.723733,-0.276577,2.703435,0.892661,-0.668267,2.662213,0.907503,-0.695004,2.583327
0.576234,0.853118,2.694918,0.562378,0.624795,2.622531,0.506649,0.554183,2.512760,0.580788,0.555766,2.506034,0.525139,0.215232,2.623413,0.524620,0.137516,2.570431,0.501209,0.131179,2.568588,0.542128,0.103380,2.571239,0.513759,0.296502,2.354584,0.653460,0.134829,2.291577,0.695267,0.085670,2.295953,0.449775,0.382881,2.380593,0.406251,0.085610,2.412163,0.375092,0.030622,2.379845,0.469552,-0.286703,2.634395,0.320912,-0.656783,2.696938,0.341319,-0.736249,2.713992,0.722266,-0.250448,2.678450,0.906393,-0.641806,2.637393,0.982294,-0.700482,2.598253
0.575152,0.842947,2.693796,0.561837,0.612579,2.619494,0.505891,0.549892,2.510545,0.634221,0.507538,2.534518,0.519311,0.209917,2.619316,0.519451,0.135039,2.566270,0.497663,0.128981,2.562845,0.533780,0.103340,2.566675,0.518581,0.293625,2.352998,0.661124,0.133731,2.293673,0.699939,0.085366,2.296704,0.418539,0.384712,2.354860,0.406250,0.075129,2.413872,0.368516,0.019254,2.385825,0.441746,-0.277012,2.620358,0.285888,-0.655483,2.699444,0.308725,-0.736174,2.710766,0.718862,-0.237443,2.665870,0.902558,-0.626221,2.625102,0.930943,-0.670329,2.548251
0.575139,0.832735,2.692541,0.561456,0.604828,2.617568,0.503571,0.542660,2.508851,0.641650,0.497407,2.537845,0.515784,0.206533,2.616935,0.516053,0.133486,2.563468,0.493880,0.126668,2.558203,0.529700,0.101856,2.563137,0.522559,0.288269,2.352635,0.666442,0.128778,2.297928,0.702967,0.082883,2.298848,0.415219,0.377200,2.352552,0.403536,0.067172,2.415358,0.373657,0.010490,2.400517,0.428797,-0.273371,2.614519,0.250907,-0.650418,2.700462,0.265178,-0.731600,2.711977,0.716191,-0.231082,2.658600,0.879382,-0.625770,2.614072,0.903102,-0.667103,2.525460
0.575217,0.825121,2.691339,0.560627,0.599180,2.616521,0.500494,0.534672,2.507926,0.652156,0.485227,2.543543,0.513130,0.204070,2.615271,0.513589,0.132356,2.561493,0.488885,0.123318,2.553294,0.529663,0.097592,2.561175,0.524481,0.280865,2.353774,0.667121,0.118958,2.304667,0.700364,0.074670,2.305319,0.412002,0.370752,2.352823,0.405030,0.062889,2.418885,0.383923,0.005005,2.416187,0.420093,-0.271120,2.610637,0.225794,-0.643729,2.698776,0.240896,-0.694238,2.639949,0.712449,-0.285767,2.667027,0.817673,-0.622993,2.633090,0.871437,-0.690311,2.583973
0.575256,0.820403,2.690622,0.558453,0.595016,2.616851,0.496385,0.527215,2.507717,0.657833,0.476586,2.547244,0.510922,0.202289,2.614149,0.511745,0.131508,2.560112,0.484213,0.120159,2.549661,0.531670,0.092405,2.560498,0.521966,0.272027,2.357289,0.655974,0.102444,2.314832,0.680040,0.054206,2.319901,0.420288,0.361796,2.365064,0.409352,0.060365,2.424094,0.391346,0.001386,2.427619,0.407044,-0.272616,2.607194,0.198730,-0.637629,2.697504,0.208483,-0.674517,2.605939,0.707348,-0.314902,2.672846,0.773384,-0.646232,2.640947,0.850603,-0.706052,2.599202
0.571718,0.814199,2.689916,0.546151,0.571320,2.621886,0.491443,0.521313,2.508397,0.676763,0.443559,2.574436,0.509074,0.200438,2.614303,0.512999,0.130654,2.561529,0.482547,0.113871,2.549868,0.552034,0.073459,2.570395,0.512015,0.263094,2.364178,0.626698,0.082161,2.326902,0.654010,0.030988,2.330479,0.456661,0.334196,2.414222,0.445703,0.040062,2.438046,0.420209,-0.015400,2.442416,0.401704,-0.272339,2.604592,0.177622,-0.626377,2.693783,0.182420,-0.708034,2.690510,0.700515,-0.326377,2.677905,0.721528,-0.661602,2.662870,0.802378,-0.725442,2.630100
