HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.162912,0.848629,2.899834,0.075344,0.651270,2.885448,-0.041292,0.511860,2.781350,0.168408,0.523658,2.993038,0.045375,0.193585,2.821954,0.047103,0.103740,2.802388,-0.009217,0.078629,2.783775,0.099107,0.045801,2.802977,-0.093417,0.253216,2.718144,-0.066791,0.059446,2.648495,-0.060199,-0.032192,2.656526,0.115304,0.375529,2.729270,0.006271,0.118898,2.682596,-0.029287,0.033173,2.670872,0.191299,-0.265777,2.802547,0.291993,-0.649587,2.817679,0.389805,-0.702794,2.807582,0.160993,-0.359362,2.807621,-0.151532,-0.652693,2.958771,-0.107747,-0.737689,3.036534
0.162606,0.845071,2.893981,0.075064,0.654171,2.877660,-0.023614,0.497973,2.772102,0.165754,0.520889,2.985754,0.043959,0.189644,2.818144,0.048227,0.099524,2.798929,0.003137,0.072542,2.783761,0.104217,0.044964,2.801804,-0.090438,0.240352,2.712401,-0.064223,0.049024,2.647683,-0.061991,-0.036034,2.657236,0.115117,0.372890,2.722412,0.010572,0.114628,2.671110,-0.023492,0.028373,2.657853,0.187848,-0.275342,2.810928,0.288668,-0.652398,2.824223,0.390777,-0.704531,2.823360,0.190111,-0.431902,2.805316,-0.169596,-0.642648,2.952480,-0.190361,-0.724741,3.009313
0.169828,0.851449,2.888058,0.082900,0.667191,2.872401,-0.009428,0.493441,2.765012,0.168068,0.525292,2.979400,0.049173,0.193378,2.816119,0.055233,0.101596,2.797431,0.013029,0.070908,2.785068,0.114624,0.057460,2.797564,-0.075321,0.231978,2.691766,-0.055651,0.033649,2.646512,-0.060485,-0.040934,2.657828,0.121002,0.382796,2.717192,0.023104,0.137579,2.660650,-0.016345,0.036485,2.648557,0.183463,-0.304379,2.820207,0.261744,-0.668949,2.836988,0.365814,-0.721431,2.835387,0.075483,-0.320349,2.905931,-0.199631,-0.631991,2.958536,-0.232635,-0.717274,2.994999
0.175703,0.850293,2.881779,0.097492,0.647253,2.857857,0.002909,0.491589,2.755948,0.175238,0.515879,2.968620,0.060199,0.193362,2.814411,0.066847,0.102771,2.797099,0.022312,0.071142,2.785934,0.124159,0.057575,2.796918,-0.063459,0.229126,2.676902,-0.048477,0.025920,2.643764,-0.049604,-0.043153,2.657223,0.127708,0.376831,2.709112,0.032155,0.126581,2.653557,-0.011587,0.030901,2.642850,0.181870,-0.314374,2.823966,0.225899,-0.679266,2.845762,0.325743,-0.732471,2.848343,0.096122,-0.341101,2.902698,-0.210155,-0.628201,2.960587,-0.224239,-0.724953,3.011134
0.179868,0.849085,2.876021,0.102064,0.638371,2.849399,0.012516,0.493423,2.748528,0.179479,0.509448,2.959974,0.068836,0.192516,2.812568,0.076756,0.102801,2.796451,0.033631,0.069697,2.785381,0.130422,0.057746,2.796863,-0.055101,0.227418,2.668645,-0.035384,0.022800,2.638718,-0.024017,-0.038452,2.646325,0.131799,0.372846,2.702312,0.035242,0.122372,2.648893,-0.009052,0.027295,2.638556,0.180225,-0.318757,2.826960,0.192652,-0.684282,2.850165,0.288741,-0.739202,2.859842,0.053722,-0.331845,2.959781,-0.230677,-0.632832,2.971309,-0.230879,-0.723559,3.015394
0.190999,0.877822,2.871958,0.105834,0.679167,2.853275,0.019445,0.499484,2.741441,0.186655,0.537535,2.957708,0.085536,0.214099,2.812398,0.093324,0.119137,2.796767,0.045481,0.081309,2.783687,0.145916,0.075132,2.799965,-0.031123,0.246869,2.649501,0.001357,0.022265,2.616304,-0.006528,-0.035812,2.637362,0.139694,0.408202,2.701121,0.037155,0.150481,2.654189,-0.004647,0.063086,2.646371,0.172954,-0.314668,2.829821,0.160567,-0.686315,2.854731,0.231011,-0.745527,2.870931,-0.003130,-0.357660,3.023555,-0.213116,-0.643327,2.994846,-0.172844,-0.729201,3.043640
0.194124,0.880938,2.868821,0.106563,0.668134,2.848572,0.011025,0.525858,2.732241,0.189523,0.535519,2.953188,0.079035,0.219959,2.813631,0.077536,0.130051,2.800703,0.017603,0.099224,2.781350,0.126808,0.074231,2.810867,-0.014025,0.260341,2.634076,0.023006,0.027355,2.602450,0.025035,-0.029957,2.620815,0.142579,0.408016,2.697146,0.037971,0.148744,2.652841,-0.003032,0.063134,2.645567,0.152726,-0.305087,2.830774,0.134614,-0.684839,2.853700,0.186303,-0.741344,2.870385,-0.024651,-0.400076,3.050471,-0.210413,-0.663507,3.009286,-0.141361,-0.731718,3.057734
0.183449,0.824089,2.862549,0.089195,0.568395,2.837934,0.004963,0.539634,2.728240,0.180430,0.452283,2.939674,0.048584,0.209435,2.818868,0.051371,0.133361,2.807094,-0.014485,0.116155,2.785810,0.086465,0.041237,2.821154,-0.005001,0.268399,2.624787,0.043746,0.052688,2.590221,0.047696,-0.023618,2.610983,0.132773,0.325433,2.683302,0.022570,0.064477,2.645085,-0.015899,-0.020101,2.638189,0.133430,-0.301793,2.829747,0.073016,-0.679089,2.858483,0.148946,-0.734135,2.872386,-0.038466,-0.418385,3.066471,-0.174129,-0.698256,3.020676,-0.075680,-0.726217,3.071127
0.139578,0.623484,2.864827,0.064746,0.360715,2.838778,0.001965,0.545338,2.725617,0.160477,0.267095,2.935510,0.025795,0.111833,2.841890,0.030053,0.060824,2.834532,-0.034251,0.014844,2.822889,0.066455,-0.062281,2.843895,-0.000048,0.279212,2.616758,0.052257,0.067539,2.585579,0.069173,-0.008977,2.603324,0.112200,0.139694,2.678650,-0.001256,-0.121591,2.643756,-0.038184,-0.206146,2.636865,0.113975,-0.363638,2.834677,0.038618,-0.679665,2.858656,0.121208,-0.733490,2.872880,0.205445,-0.355394,3.105179,-0.006772,-0.693299,3.077365,-0.035136,-0.726104,3.057129
0.150920,0.697540,2.871942,0.071691,0.437725,2.856069,-0.001908,0.548670,2.723457,0.159798,0.268388,2.945452,0.045031,0.112170,2.887345,0.051626,0.054430,2.886539,0.010639,0.032638,2.890378,0.096875,-0.056954,2.898159,0.001136,0.286674,2.612924,0.058747,0.083359,2.581206,0.083124,0.003544,2.596711,0.111169,0.138772,2.687686,-0.002774,-0.121245,2.653502,-0.039538,-0.207865,2.646017,0.058032,-0.374670,2.836777,-0.021776,-0.681314,2.872916,0.068622,-0.734518,2.863030,0.231948,-0.378806,3.100966,-0.063084,-0.621590,3.011171,-0.024800,-0.715014,3.049292
