Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.776150,0.717564,2.487986,0.787829,0.578344,2.444299,0.784817,0.522409,2.440237,0.774062,0.347270,2.420548,0.882908,0.615935,2.420858,0.698587,0.434754,2.316412,0.758021,0.100974,2.386075,0.772410,0.093634,2.391932,0.721880,0.104149,2.311908,0.855591,0.366364,2.316979,0.750350,0.126321,2.271300,0.678657,0.071450,2.270121,0.612048,-0.008971,2.284607,0.735230,0.001596,2.225769,0.731783,0.187655,2.211658,0.840501,-0.020839,2.157488,0.915570,-0.086894,2.171191,0.977304,-0.167879,2.173753,0.829146,-0.065282,2.158667,0.917477,-0.417882,2.345678,1.039159,-0.774821,2.290253,1.061115,-0.801306,2.154939,0.617699,-0.409792,2.310432,0.399055,-0.840512,2.356224,0.428772,-0.920240,2.307306
0.777050,0.711213,2.488881,0.790788,0.572744,2.449063,0.790323,0.515387,2.446969,0.790010,0.337519,2.434350,0.883651,0.621422,2.421472,0.699866,0.432327,2.318632,0.794746,0.094056,2.413128,0.796174,0.090071,2.416747,0.769641,0.095451,2.339075,0.857404,0.371060,2.320296,0.754340,0.130205,2.275972,0.684915,0.071471,2.274376,0.620732,-0.010126,2.293654,0.747359,0.006599,2.229400,0.734933,0.184936,2.216381,0.846664,-0.019906,2.164628,0.924912,-0.084066,2.180433,0.990307,-0.162822,2.183964,0.837889,-0.070088,2.173083,0.924658,-0.425355,2.348666,1.072620,-0.836129,2.301581,1.077458,-0.877965,2.189682,0.622953,-0.398376,2.311189,0.384840,-0.832745,2.358802,0.391751,-0.918622,2.312079
0.778802,0.712101,2.492038,0.792950,0.573866,2.454106,0.794109,0.516468,2.453280,0.797961,0.338742,2.443289,0.890903,0.652991,2.432102,0.702067,0.435297,2.325818,0.802993,0.095007,2.421198,0.800205,0.092768,2.422733,0.785989,0.093493,2.352683,0.819708,0.418837,2.311601,0.637163,0.227171,2.286735,0.630510,0.160081,2.332078,0.611637,0.102880,2.328267,0.648672,0.090820,2.297000,0.737551,0.187389,2.225181,0.852333,-0.021120,2.173329,0.927499,-0.087235,2.186134,0.992682,-0.157981,2.192792,0.841679,-0.068943,2.182917,0.928491,-0.422494,2.350752,1.025718,-0.789424,2.332877,1.046989,-0.816530,2.197458,0.690978,-0.334786,2.305915,0.401058,-0.761116,2.354710,0.430177,-0.787952,2.217024
0.794409,0.713653,2.500674,0.795697,0.572998,2.456254,0.798249,0.514488,2.456060,0.805859,0.332462,2.447536,0.890951,0.653032,2.432036,0.704864,0.436123,2.327568,0.816024,0.080170,2.427778,0.807801,0.087608,2.430028,0.803678,0.066073,2.356466,0.819460,0.418671,2.312219,0.636829,0.227070,2.288036,0.633133,0.158538,2.334684,0.613703,0.101821,2.336715,0.645918,0.090686,2.309250,0.740098,0.186722,2.231250,0.855701,-0.026660,2.180415,0.926530,-0.098559,2.193427,0.988420,-0.156297,2.193828,0.926010,-0.148020,2.167842,0.925010,-0.430496,2.359095,1.001666,-0.802413,2.336805,1.023641,-0.829595,2.201581,0.708789,-0.321532,2.299255,0.409514,-0.741238,2.350711,0.438893,-0.768571,2.213239
0.789663,0.711688,2.504061,0.800505,0.572808,2.463650,0.802929,0.513518,2.462393,0.809069,0.330431,2.450825,0.892750,0.656269,2.436047,0.706793,0.435013,2.332387,0.817197,0.078320,2.428428,0.809845,0.086367,2.433402,0.804006,0.064411,2.355630,0.819841,0.422292,2.316275,0.636028,0.231771,2.292513,0.633659,0.162343,2.341706,0.614061,0.104206,2.341532,0.654612,0.111079,2.314445,0.732957,0.179461,2.252598,0.855154,-0.032656,2.190510,0.917210,-0.108054,2.205047,0.968161,-0.164509,2.207227,0.903687,-0.149027,2.185353,0.913248,-0.434997,2.362546,0.945245,-0.813311,2.372488,0.960449,-0.884766,2.292969,0.760028,-0.412117,2.297503,0.392866,-0.774143,2.351915,0.420641,-0.800592,2.213803
0.788222,0.713709,2.510235,0.800550,0.575172,2.470547,0.801869,0.515106,2.466638,0.804144,0.331358,2.451171,0.898318,0.632459,2.455635,0.705223,0.437806,2.339353,0.790691,0.079282,2.415200,0.806730,0.088375,2.433127,0.744331,0.063047,2.321567,0.818250,0.406380,2.325114,0.624021,0.227083,2.296525,0.628741,0.157508,2.342750,0.613608,0.096765,2.337559,0.623004,0.090994,2.316500,0.731280,0.182716,2.258119,0.849668,-0.046989,2.215482,0.888800,-0.109430,2.211562,0.941860,-0.170869,2.212400,0.887954,-0.171439,2.185625,0.853680,-0.441458,2.347323,0.928016,-0.810783,2.382123,0.908691,-0.894531,2.312500,0.759261,-0.408599,2.300488,0.413458,-0.761060,2.362901,0.415267,-0.846679,2.307819
0.786625,0.725667,2.521355,0.793732,0.586031,2.483023,0.793182,0.524980,2.477249,0.788416,0.338790,2.454795,0.895314,0.576128,2.481784,0.702854,0.444469,2.348212,0.774243,0.083285,2.413444,0.801415,0.089285,2.432819,0.721638,0.074161,2.323117,0.814867,0.348794,2.354850,0.635362,0.157203,2.313261,0.634827,0.084713,2.346648,0.614230,0.025471,2.352083,0.653143,0.029618,2.295933,0.725053,0.190178,2.263177,0.830782,-0.045717,2.220914,0.849575,-0.114649,2.227057,0.904311,-0.177986,2.222478,0.812473,-0.121480,2.273313,0.835504,-0.439600,2.326030,0.864584,-0.805984,2.410257,0.876844,-0.894956,2.332882,0.762968,-0.409009,2.300192,0.464930,-0.775379,2.358814,0.469732,-0.858280,2.356134
0.785794,0.729585,2.523983,0.791177,0.589667,2.486518,0.788513,0.529596,2.482103,0.775021,0.345634,2.462831,0.895020,0.576470,2.481977,0.696392,0.450136,2.354527,0.747483,0.093481,2.428962,0.779242,0.094520,2.439443,0.693077,0.091478,2.353018,0.814575,0.349134,2.355042,0.635072,0.157542,2.313453,0.629713,0.090005,2.345349,0.612152,0.027605,2.350741,0.652516,0.033030,2.296567,0.692720,0.193274,2.273790,0.779157,-0.020157,2.219117,0.802627,-0.118039,2.233011,0.849110,-0.187099,2.224506,0.742715,-0.148106,2.237950,0.837897,-0.427467,2.305373,0.821335,-0.857662,2.402259,0.842831,-0.918781,2.311548,0.799978,-0.430868,2.314724,0.523387,-0.689781,2.369798,0.534996,-0.812349,2.326531
0.782571,0.734116,2.532537,0.787045,0.593834,2.492564,0.782931,0.534186,2.489351,0.766535,0.350458,2.471982,0.892922,0.578126,2.484591,0.686312,0.458875,2.365814,0.739373,0.097961,2.439533,0.765229,0.100989,2.453338,0.690648,0.093264,2.358453,0.800628,0.366034,2.338962,0.597588,0.209956,2.304558,0.602567,0.152399,2.371555,0.588561,0.097814,2.366212,0.618975,0.146652,2.315333,0.689730,0.204106,2.277829,0.768158,-0.041770,2.228394,0.775328,-0.130003,2.236385,0.813179,-0.199664,2.236344,0.730246,-0.155412,2.265917,0.772654,-0.433825,2.428138,0.762365,-0.874172,2.422154,0.747118,-0.941581,2.331002,0.780978,-0.432577,2.324449,0.552837,-0.735095,2.373986,0.638872,-0.820557,2.336396
0.768986,0.737120,2.539215,0.777958,0.597632,2.500982,0.773815,0.539910,2.501044,0.758929,0.364970,2.497608,0.868860,0.680151,2.475630,0.671928,0.462325,2.375107,0.740788,0.129220,2.489924,0.765038,0.141486,2.506934,0.696098,0.113376,2.404314,0.791305,0.446566,2.359499,0.621732,0.245745,2.321593,0.598793,0.257653,2.335857,0.570271,0.203480,2.374650,0.616899,0.181529,2.263643,0.674916,0.209991,2.280087,0.722816,-0.043388,2.228010,0.738434,-0.122919,2.250298,0.769584,-0.204132,2.238401,0.710391,-0.166109,2.217457,0.728772,-0.393694,2.456815,0.712791,-0.933900,2.447531,0.698294,-1.000594,2.356444,0.715466,-0.420460,2.398425,0.641718,-0.792398,2.341511,0.684502,-0.867120,2.324734
0.750450,0.739926,2.548498,0.762633,0.601137,2.512135,0.758895,0.543827,2.511613,0.746255,0.368209,2.503310,0.861982,0.657771,2.488539,0.657303,0.465764,2.383517,0.725726,0.130244,2.488284,0.747490,0.145550,2.501434,0.682695,0.111850,2.405745,0.783337,0.429028,2.363249,0.605911,0.235580,2.322497,0.584838,0.180193,2.325682,0.585166,0.111524,2.311289,0.606950,0.142677,2.237881,0.654905,0.215504,2.282099,0.696506,-0.038606,2.226992,0.710003,-0.117642,2.248976,0.718670,-0.201920,2.231952,0.666994,-0.131793,2.213138,0.689405,-0.388294,2.471684,0.753067,-0.741557,2.332849,0.780693,-0.770824,2.198345,0.667284,-0.416719,2.452011,0.685798,-0.787950,2.356436,0.714402,-0.816653,2.221816
0.737725,0.738650,2.557098,0.748233,0.599525,2.520706,0.744565,0.542363,2.519696,0.731169,0.366740,2.509260,0.852785,0.650895,2.495086,0.643436,0.460917,2.389116,0.710290,0.127376,2.489122,0.736058,0.142611,2.496445,0.661502,0.108499,2.414778,0.806431,0.394494,2.425740,0.738671,0.157710,2.323787,0.655387,0.016828,2.261638,0.624522,-0.053455,2.226541,0.590899,0.086913,2.231950,0.619665,0.209665,2.293010,0.658595,-0.044680,2.236611,0.678217,-0.122004,2.252384,0.680879,-0.209755,2.230970,0.631665,-0.154783,2.215849,0.835959,-0.365451,2.329104,0.787912,-0.741409,2.362554,0.813628,-0.770063,2.227248,0.623607,-0.418904,2.463588,0.586788,-0.798288,2.441895,0.623047,-0.902344,2.398438
0.734902,0.731799,2.558409,0.736748,0.592200,2.528650,0.732042,0.534674,2.526876,0.714716,0.357450,2.513577,0.841686,0.639941,2.503485,0.632579,0.454938,2.394485,0.686418,0.113968,2.487307,0.698636,0.111467,2.495783,0.650486,0.106447,2.411739,0.800513,0.383585,2.430697,0.720925,0.148380,2.334009,0.614016,-0.039382,2.245587,0.606348,-0.121802,2.226495,0.573110,-0.006479,2.223018,0.599624,0.223496,2.293437,0.609933,-0.033018,2.231805,0.615133,-0.108373,2.232731,0.616875,-0.195321,2.220817,0.584337,-0.129622,2.215588,0.828572,-0.389149,2.329584,0.853131,-0.768668,2.335961,0.878633,-0.876379,2.253675,0.596463,-0.417703,2.472152,0.529287,-0.793271,2.459686,0.559567,-0.821144,2.323828
0.734085,0.726137,2.562064,0.727165,0.585942,2.532745,0.725939,0.530802,2.527658,0.712900,0.356633,2.507293,0.829989,0.644313,2.503481,0.625147,0.449159,2.399513,0.698013,0.122434,2.448622,0.722298,0.125197,2.452110,0.656001,0.116993,2.371845,0.793857,0.386656,2.433523,0.716904,0.150811,2.336412,0.607569,-0.046799,2.255672,0.577846,-0.119307,2.223614,0.572364,-0.005912,2.219240,0.585088,0.223425,2.298897,0.588198,-0.033080,2.236140,0.585867,-0.110517,2.233989,0.592491,-0.195192,2.218307,0.553398,-0.116555,2.213143,0.815964,-0.393010,2.326332,0.929404,-0.823992,2.304209,0.973769,-0.887653,2.242327,0.568919,-0.393620,2.474171,0.486964,-0.766281,2.448378,0.504273,-0.790207,2.307060
0.727151,0.719166,2.571269,0.717602,0.578383,2.536914,0.715632,0.522346,2.530320,0.705472,0.349133,2.503783,0.804102,0.574074,2.529312,0.617569,0.441564,2.404282,0.690617,0.112755,2.447993,0.715071,0.114390,2.454110,0.646982,0.107458,2.370705,0.777805,0.320308,2.441661,0.663440,0.107304,2.328275,0.555348,-0.004751,2.266538,0.531680,-0.077340,2.240248,0.499028,0.057404,2.268533,0.582231,0.222212,2.301899,0.566501,-0.034452,2.241326,0.557268,-0.109801,2.238555,0.560760,-0.189503,2.219111,0.527321,-0.098452,2.213750,0.804520,-0.403841,2.332253,0.943405,-0.820542,2.303116,0.996183,-0.878473,2.245401,0.555826,-0.400936,2.477803,0.433022,-0.762734,2.460345,0.472181,-0.788136,2.326428
