HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.356350,1.002090,2.515948,0.358835,0.785161,2.484653,0.277049,0.632600,2.367384,0.313418,0.679758,2.386457,0.336346,0.343020,2.456398,0.349084,0.262158,2.400646,0.347903,0.271202,2.394407,0.360268,0.244144,2.413204,0.296384,0.390591,2.266828,0.410491,0.160704,2.229068,0.460114,0.069144,2.226550,0.305263,0.439170,2.250328,0.231422,0.225705,2.364443,0.250641,0.131671,2.371818,0.272960,-0.322561,2.454594,0.191914,-0.669012,2.519887,0.258088,-0.723876,2.483333,0.569051,-0.317529,2.554390,0.537599,-0.690713,2.566406,0.491328,-0.755881,2.583287
0.366638,1.001853,2.515378,0.373458,0.784447,2.485767,0.288123,0.634068,2.366830,0.328492,0.680139,2.385008,0.353017,0.343765,2.462422,0.360037,0.263442,2.403945,0.352389,0.269746,2.394630,0.374045,0.242349,2.414610,0.318653,0.393767,2.264192,0.447303,0.168969,2.227417,0.504781,0.095366,2.230142,0.312138,0.440471,2.252543,0.239136,0.227590,2.367602,0.258359,0.133507,2.374979,0.259042,-0.322563,2.450603,0.178576,-0.686541,2.517684,0.238004,-0.743168,2.499170,0.597285,-0.320056,2.553866,0.646003,-0.689757,2.543425,0.700841,-0.750923,2.551500
0.386711,0.997580,2.513545,0.389432,0.781175,2.486526,0.308287,0.632723,2.367283,0.338699,0.679400,2.383388,0.381416,0.354734,2.472921,0.387272,0.281420,2.415173,0.375068,0.280192,2.413549,0.396128,0.250459,2.413840,0.334963,0.393252,2.263730,0.474534,0.173586,2.223081,0.537966,0.112164,2.233750,0.319676,0.441211,2.254308,0.247805,0.229171,2.370121,0.267037,0.135051,2.377503,0.250652,-0.311963,2.446745,0.162906,-0.690292,2.516339,0.203137,-0.755866,2.515426,0.608324,-0.306991,2.547572,0.739587,-0.682372,2.528229,0.817602,-0.713256,2.518244
0.413613,0.989052,2.513870,0.408747,0.774045,2.487780,0.325795,0.627658,2.367091,0.354652,0.678969,2.384281,0.390377,0.357121,2.475449,0.397621,0.286416,2.417934,0.382554,0.281579,2.416353,0.406669,0.253851,2.413289,0.364177,0.387206,2.262814,0.504221,0.171905,2.222900,0.589966,0.081534,2.238549,0.330506,0.442018,2.258133,0.259759,0.231014,2.374436,0.279011,0.136836,2.381829,0.246115,-0.308027,2.444852,0.144556,-0.692573,2.516039,0.184855,-0.760158,2.523129,0.629844,-0.302313,2.538865,0.842331,-0.696396,2.503662,0.921306,-0.706093,2.478907
0.434006,0.979612,2.514850,0.427879,0.763909,2.488475,0.351243,0.614288,2.365289,0.365188,0.678502,2.387349,0.389357,0.361361,2.462975,0.407173,0.289131,2.418619,0.391543,0.281646,2.417934,0.417850,0.255102,2.409939,0.384143,0.375954,2.261200,0.525254,0.163947,2.223431,0.609003,0.084181,2.242009,0.339808,0.442440,2.263114,0.269585,0.232240,2.379591,0.288855,0.138012,2.386995,0.244286,-0.304707,2.443770,0.118635,-0.698351,2.517625,0.144256,-0.775445,2.529189,0.640629,-0.301313,2.535414,0.847897,-0.693405,2.497096,0.927099,-0.706398,2.474644
0.446971,0.972463,2.515443,0.441594,0.755649,2.489834,0.367663,0.604583,2.365284,0.389526,0.649833,2.380635,0.415160,0.345606,2.460136,0.423277,0.275249,2.409868,0.405106,0.273601,2.411318,0.429264,0.250143,2.405017,0.400555,0.365843,2.261113,0.542923,0.154817,2.226844,0.622687,0.083523,2.245353,0.359608,0.425191,2.261973,0.289381,0.216346,2.378390,0.308701,0.122010,2.385800,0.259472,-0.303485,2.447397,0.097606,-0.701702,2.519060,0.119590,-0.782585,2.531471,0.643920,-0.301519,2.533628,0.844328,-0.693183,2.493412,0.918211,-0.720596,2.474874
0.457656,0.966460,2.516217,0.450898,0.749588,2.491361,0.377498,0.598324,2.366131,0.397741,0.641687,2.378918,0.433914,0.332403,2.450363,0.428927,0.262694,2.391582,0.410953,0.264579,2.382674,0.436010,0.240788,2.392094,0.412619,0.358846,2.261746,0.557983,0.148625,2.231038,0.632969,0.081479,2.249567,0.371276,0.414324,2.261136,0.301092,0.206082,2.377572,0.320459,0.111624,2.384985,0.274567,-0.302471,2.449207,0.057787,-0.693832,2.514802,0.077239,-0.777064,2.530845,0.644008,-0.301887,2.532356,0.787925,-0.695067,2.502221,0.863112,-0.721963,2.478570
0.463854,0.963030,2.516903,0.458048,0.745455,2.492572,0.385668,0.593994,2.368104,0.443318,0.616901,2.369258,0.442920,0.326721,2.445505,0.431944,0.257322,2.382514,0.413092,0.261030,2.371204,0.443347,0.234017,2.380925,0.421286,0.354374,2.263153,0.567701,0.144113,2.235161,0.639439,0.078430,2.253454,0.420037,0.387515,2.252361,0.349646,0.179495,2.368767,0.369098,0.084816,2.376190,0.374639,-0.202960,2.426659,0.128831,-0.583063,2.484050,0.120853,-0.624158,2.410105,0.645226,-0.302136,2.531765,0.741421,-0.655526,2.507014,0.815463,-0.724347,2.492854
0.468533,0.961067,2.517698,0.464567,0.743266,2.494508,0.392728,0.591579,2.370560,0.441091,0.626481,2.378533,0.448825,0.324215,2.442727,0.435059,0.255618,2.377311,0.416686,0.260508,2.365703,0.447631,0.231287,2.374804,0.428166,0.351553,2.265410,0.573751,0.140497,2.239036,0.643604,0.052969,2.261071,0.429213,0.384534,2.253870,0.358788,0.176577,2.370337,0.378256,0.081814,2.377762,0.428970,-0.178071,2.421783,0.132662,-0.547686,2.474741,0.111696,-0.589160,2.385294,0.645371,-0.301503,2.533452,0.684479,-0.659378,2.529526,0.755559,-0.726813,2.507422
0.471930,0.961800,2.519405,0.470200,0.744655,2.497926,0.397502,0.590504,2.372617,0.453100,0.626064,2.380437,0.452053,0.325633,2.440640,0.436264,0.259088,2.373312,0.417930,0.263544,2.363276,0.450432,0.231343,2.369948,0.433375,0.349797,2.269701,0.574481,0.135561,2.246010,0.627370,0.059144,2.267735,0.438434,0.383451,2.255576,0.367884,0.175389,2.372113,0.387354,0.080558,2.379539,0.488763,-0.176441,2.420795,0.162489,-0.521702,2.464733,0.145966,-0.562829,2.359507,0.640496,-0.299512,2.535752,0.618588,-0.668567,2.548801,0.680223,-0.738496,2.531840
