Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.510931,0.601046,2.627504,0.436748,0.505218,2.591295,0.437670,0.424174,2.588263,0.432342,0.178628,2.571370,0.573047,0.400353,2.638402,0.373498,0.346174,2.416881,0.454893,-0.155517,2.535414,0.491491,-0.155857,2.523669,0.404969,-0.151055,2.475825,0.501241,0.205825,2.474378,0.409590,-0.006958,2.361170,0.391676,-0.192688,2.356290,0.394458,-0.201309,2.352635,0.342949,-0.177096,2.327000,0.408521,0.107870,2.317145,0.527531,-0.096624,2.267025,0.573303,-0.141613,2.270535,0.612091,-0.188057,2.266588,0.603095,-0.110242,2.262866,0.559301,-0.506282,2.569308,0.450417,-0.833556,2.544697,0.517200,-0.860937,2.438206,0.347640,-0.515936,2.455650,0.329843,-0.851364,2.454583,0.378709,-0.914836,2.439366
0.509767,0.599973,2.627802,0.433996,0.505644,2.592906,0.435907,0.424770,2.589581,0.433394,0.179197,2.572135,0.570303,0.400779,2.640014,0.371262,0.346565,2.417304,0.454047,-0.155013,2.536448,0.490291,-0.154950,2.526204,0.404487,-0.150792,2.476076,0.498526,0.206209,2.476034,0.412573,-0.027075,2.415541,0.400538,-0.237889,2.391213,0.395024,-0.283902,2.392498,0.337824,-0.217437,2.359156,0.412810,0.108160,2.321006,0.540106,-0.088955,2.274751,0.585326,-0.129189,2.282488,0.628336,-0.176626,2.286513,0.604391,-0.101593,2.255286,0.570535,-0.506099,2.571640,0.519935,-0.824178,2.528930,0.586064,-0.851597,2.422791,0.340175,-0.514140,2.457988,0.292238,-0.828538,2.462336,0.361185,-0.855506,2.355891
0.508727,0.598186,2.628530,0.432600,0.504245,2.593912,0.434847,0.423665,2.590573,0.434178,0.178252,2.573010,0.568910,0.399385,2.641019,0.369419,0.345791,2.418025,0.452354,-0.156459,2.538258,0.488897,-0.156740,2.529725,0.402660,-0.152020,2.476666,0.497153,0.204795,2.477065,0.411963,-0.028627,2.415983,0.395884,-0.238605,2.390398,0.384019,-0.284303,2.392422,0.337109,-0.204137,2.352631,0.417569,0.107458,2.325418,0.547563,-0.086254,2.281883,0.593795,-0.127113,2.291950,0.638291,-0.174381,2.288733,0.623289,-0.094948,2.283167,0.578911,-0.509368,2.572704,0.594596,-0.825113,2.526785,0.659790,-0.852615,2.420856,0.325360,-0.477524,2.461251,0.265984,-0.807811,2.454807,0.288475,-0.886804,2.420868
0.508084,0.595676,2.629808,0.431605,0.502095,2.595249,0.434099,0.421724,2.591698,0.435279,0.176154,2.573483,0.567917,0.397241,2.642354,0.369103,0.345072,2.418706,0.451499,-0.158922,2.538216,0.488666,-0.159532,2.531799,0.400779,-0.155320,2.473913,0.496167,0.202607,2.478400,0.409065,-0.029652,2.415076,0.390892,-0.232336,2.388692,0.380955,-0.278047,2.389567,0.331692,-0.201710,2.352500,0.420427,0.107012,2.327286,0.554713,-0.086351,2.286998,0.596649,-0.127200,2.296241,0.640152,-0.175377,2.296539,0.620990,-0.088817,2.288938,0.586324,-0.518198,2.570557,0.653443,-0.824595,2.518799,0.718144,-0.852105,2.413280,0.322835,-0.472656,2.461410,0.247035,-0.820719,2.461728,0.316825,-0.847780,2.355446
0.510367,0.587777,2.632137,0.433228,0.494756,2.596987,0.434914,0.416173,2.593480,0.435717,0.174034,2.574886,0.569534,0.389920,2.644081,0.369610,0.340593,2.421259,0.446573,-0.158997,2.541223,0.484425,-0.160267,2.534300,0.395695,-0.154151,2.477309,0.497789,0.195265,2.480125,0.405158,-0.034649,2.415730,0.386306,-0.233419,2.385615,0.376772,-0.280448,2.390315,0.323940,-0.200828,2.351682,0.427116,0.102291,2.335330,0.558934,-0.090885,2.291257,0.598555,-0.136817,2.298784,0.639734,-0.187449,2.297824,0.623617,-0.100160,2.293278,0.586268,-0.517762,2.571278,0.704818,-0.851717,2.518550,0.776913,-0.884804,2.470334,0.315148,-0.474821,2.462306,0.220832,-0.821386,2.462615,0.290784,-0.848669,2.356239
0.515078,0.579301,2.635783,0.434996,0.488819,2.600169,0.436384,0.410271,2.596503,0.437258,0.168936,2.577059,0.571294,0.384001,2.647255,0.371648,0.334016,2.425823,0.445064,-0.161966,2.542094,0.483265,-0.163732,2.536411,0.394045,-0.156475,2.477151,0.499545,0.189336,2.483288,0.404300,-0.039286,2.417840,0.385908,-0.234985,2.383125,0.378027,-0.283171,2.389359,0.324756,-0.187214,2.334308,0.430997,0.096285,2.339619,0.561730,-0.098400,2.294895,0.597257,-0.148004,2.298269,0.642053,-0.195779,2.297076,0.629842,-0.121867,2.293800,0.582093,-0.496821,2.577132,0.718812,-0.849126,2.512187,0.789382,-0.885729,2.467685,0.312377,-0.474067,2.462171,0.204426,-0.821815,2.463936,0.274416,-0.849088,2.357350
0.516046,0.572960,2.637899,0.443186,0.477533,2.606347,0.443171,0.399647,2.601601,0.441425,0.160250,2.579332,0.579458,0.372748,2.653415,0.376031,0.327172,2.430389,0.443846,-0.167911,2.541545,0.482566,-0.170628,2.534447,0.392554,-0.161153,2.477689,0.507681,0.178142,2.489447,0.408770,-0.048553,2.422587,0.388642,-0.240847,2.385795,0.377219,-0.288746,2.393012,0.324639,-0.205412,2.350682,0.433610,0.089490,2.342716,0.560874,-0.104230,2.294626,0.590175,-0.159157,2.294153,0.631989,-0.212102,2.292142,0.614267,-0.136636,2.269958,0.595419,-0.530629,2.572866,0.719001,-0.844990,2.511444,0.787191,-0.885317,2.466486,0.307058,-0.475837,2.463332,0.190538,-0.816304,2.466652,0.260481,-0.843705,2.359811
0.527721,0.562342,2.642448,0.447425,0.472787,2.609744,0.447634,0.394466,2.604608,0.446683,0.153978,2.580727,0.583683,0.368018,2.656804,0.381933,0.321350,2.433758,0.447141,-0.174389,2.540081,0.486791,-0.177839,2.536526,0.395517,-0.167718,2.472354,0.511879,0.173418,2.492815,0.412227,-0.053016,2.426119,0.391837,-0.245536,2.385773,0.384497,-0.292519,2.391073,0.325082,-0.216282,2.360000,0.436367,0.083736,2.343447,0.559711,-0.118983,2.292210,0.582621,-0.174734,2.287477,0.615826,-0.227120,2.280582,0.614895,-0.169941,2.264428,0.599018,-0.487794,2.572312,0.710843,-0.849369,2.508618,0.774471,-0.876796,2.403076,0.302754,-0.480645,2.464143,0.161683,-0.809425,2.466904,0.232246,-0.836801,2.360183
0.536051,0.559689,2.646811,0.457081,0.468951,2.614219,0.456892,0.390364,2.608454,0.454880,0.149362,2.582654,0.593309,0.364197,2.661271,0.389509,0.318101,2.439270,0.452395,-0.179247,2.539519,0.492333,-0.182688,2.536756,0.399826,-0.171562,2.471288,0.521457,0.169615,2.497276,0.421099,-0.056557,2.430723,0.400321,-0.251348,2.392654,0.390219,-0.297114,2.397895,0.335011,-0.227691,2.371323,0.438114,0.079488,2.348010,0.546043,-0.131245,2.292198,0.566333,-0.184394,2.282739,0.599636,-0.237899,2.272058,0.593114,-0.170150,2.263489,0.610235,-0.496592,2.573249,0.698679,-0.849383,2.507713,0.761961,-0.876709,2.401610,0.305198,-0.478794,2.464507,0.145911,-0.818533,2.466916,0.148835,-0.900880,2.428807
0.555120,0.549093,2.651139,0.464942,0.469445,2.618817,0.464692,0.390534,2.613395,0.462417,0.148642,2.588461,0.601146,0.364696,2.665865,0.399733,0.317069,2.445487,0.458402,-0.181277,2.545800,0.494860,-0.184250,2.539237,0.410735,-0.173365,2.483341,0.529265,0.170133,2.501888,0.428740,-0.055994,2.435501,0.408431,-0.248956,2.395595,0.392338,-0.297796,2.399284,0.341559,-0.217960,2.375893,0.438725,0.077929,2.350317,0.529228,-0.143291,2.290961,0.543914,-0.191540,2.276772,0.575928,-0.244035,2.264372,0.572819,-0.178187,2.254704,0.625929,-0.508189,2.572492,0.672131,-0.825488,2.513758,0.735833,-0.853278,2.407696,0.310619,-0.480557,2.464860,0.139096,-0.818771,2.466929,0.209581,-0.846133,2.359921
