HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.417579,0.804625,2.528777,0.323424,0.599126,2.492214,0.296783,0.525796,2.360194,0.442816,0.578735,2.573305,0.268456,0.241693,2.467253,0.303892,0.171810,2.432501,0.270188,0.148954,2.401962,0.335406,0.118035,2.449520,0.322918,0.267368,2.250271,0.467603,0.053970,2.231822,0.517175,0.004555,2.226498,0.467238,0.309521,2.596182,0.467194,0.074092,2.612236,0.474011,0.011036,2.614612,0.256526,-0.320087,2.501472,0.223933,-0.645727,2.540856,0.254701,-0.722545,2.555417,0.500931,-0.287082,2.621589,0.432221,-0.659889,2.619551,0.470389,-0.728928,2.598535
0.408923,0.796251,2.530311,0.318992,0.578517,2.494257,0.290083,0.527484,2.362159,0.436523,0.559911,2.573446,0.291912,0.230735,2.523128,0.334641,0.163361,2.498710,0.305165,0.132743,2.483778,0.371719,0.114650,2.513382,0.328439,0.267228,2.254494,0.484630,0.059469,2.238671,0.533741,0.014521,2.239233,0.460798,0.290650,2.596340,0.503434,0.027139,2.639183,0.509614,-0.035846,2.641082,0.243295,-0.313825,2.497734,0.205576,-0.645638,2.540748,0.257894,-0.701914,2.502716,0.512712,-0.282411,2.622739,0.522174,-0.662650,2.608645,0.584740,-0.711369,2.561344
0.404259,0.791836,2.531247,0.317042,0.568093,2.496096,0.284228,0.528468,2.363951,0.433161,0.548938,2.574221,0.305286,0.225195,2.552874,0.347581,0.159205,2.529937,0.316951,0.126345,2.518945,0.384047,0.112402,2.541070,0.333984,0.267444,2.259534,0.494728,0.063607,2.243753,0.543427,0.021246,2.247672,0.457354,0.279631,2.597128,0.530593,0.003255,2.662317,0.526443,-0.054388,2.655656,0.235415,-0.305166,2.494379,0.184021,-0.647190,2.540316,0.213988,-0.715120,2.523260,0.517591,-0.281349,2.617744,0.581798,-0.640269,2.599573,0.664573,-0.704751,2.571015
0.401349,0.789116,2.531855,0.317681,0.563146,2.499200,0.280517,0.528941,2.365288,0.431252,0.541906,2.575178,0.311050,0.223173,2.565340,0.354269,0.157607,2.544127,0.323777,0.123215,2.535540,0.391728,0.111781,2.555224,0.338818,0.267553,2.264424,0.501526,0.066571,2.248042,0.551395,0.025426,2.254548,0.455383,0.272561,2.598077,0.538981,-0.006241,2.669988,0.536307,-0.063611,2.664539,0.239354,-0.293497,2.494965,0.163309,-0.648053,2.539687,0.209025,-0.701435,2.493828,0.519634,-0.281243,2.611957,0.637621,-0.613403,2.592172,0.713759,-0.690573,2.570868
0.400697,0.787720,2.532902,0.322285,0.565762,2.504659,0.277801,0.528877,2.366677,0.431204,0.537823,2.577227,0.314794,0.222465,2.572865,0.358128,0.156865,2.552671,0.327674,0.121416,2.545290,0.396150,0.111614,2.564137,0.343648,0.267242,2.270446,0.505985,0.068242,2.251313,0.556339,0.027661,2.258701,0.455252,0.268416,2.600066,0.545574,-0.006585,2.677781,0.542835,-0.067600,2.671449,0.248198,-0.285007,2.497227,0.142663,-0.648384,2.539321,0.200850,-0.695953,2.482981,0.526007,-0.317501,2.602191,0.661093,-0.624028,2.590576,0.739509,-0.691744,2.569491
0.401418,0.754046,2.538942,0.335648,0.537344,2.514101,0.277563,0.526722,2.369794,0.439076,0.514350,2.584722,0.317146,0.212339,2.568284,0.359401,0.147498,2.546085,0.330341,0.112810,2.535486,0.391463,0.093109,2.552470,0.347882,0.265110,2.275938,0.508253,0.068232,2.254639,0.558749,0.027134,2.262264,0.463120,0.244660,2.607515,0.548921,-0.020481,2.683578,0.548144,-0.083665,2.679217,0.256159,-0.280164,2.499418,0.117449,-0.647518,2.539228,0.147212,-0.713196,2.524243,0.528349,-0.334241,2.597758,0.686426,-0.630298,2.584523,0.755059,-0.695615,2.565103
0.403769,0.739650,2.542433,0.341288,0.526383,2.518352,0.282457,0.519129,2.375271,0.444520,0.500684,2.589798,0.318368,0.205330,2.562149,0.359782,0.141117,2.538092,0.333749,0.102408,2.512960,0.389719,0.083827,2.547362,0.352418,0.259063,2.281645,0.507363,0.063901,2.258306,0.547620,0.012702,2.265074,0.468568,0.230804,2.612566,0.550915,-0.029258,2.687318,0.551407,-0.093336,2.684144,0.262828,-0.278010,2.501545,0.095978,-0.646419,2.539306,0.100509,-0.723805,2.551163,0.528206,-0.332383,2.592794,0.654972,-0.607710,2.582700,0.736770,-0.684607,2.568755
0.408483,0.729244,2.547616,0.349368,0.517364,2.523017,0.290520,0.509317,2.380985,0.452490,0.489075,2.595416,0.323285,0.197171,2.556002,0.363877,0.133703,2.530227,0.338242,0.095849,2.503810,0.391556,0.076679,2.541961,0.357524,0.250024,2.288288,0.499894,0.049106,2.260989,0.538450,-0.002728,2.264997,0.476558,0.219023,2.618167,0.553490,-0.036627,2.690492,0.555384,-0.101568,2.688560,0.246682,-0.282704,2.497755,0.083305,-0.646131,2.539726,0.130220,-0.700878,2.508932,0.527482,-0.326416,2.589025,0.649774,-0.620616,2.577372,0.733531,-0.695688,2.567855
0.413980,0.722839,2.552531,0.356213,0.511873,2.526799,0.299721,0.500936,2.387162,0.459757,0.481148,2.600199,0.327585,0.192083,2.551958,0.367601,0.129210,2.525039,0.343370,0.090398,2.494870,0.395197,0.070768,2.540244,0.360448,0.243179,2.292637,0.485596,0.032684,2.261206,0.522650,-0.019738,2.261242,0.483820,0.211007,2.622922,0.601622,0.044465,2.729988,0.607249,-0.020099,2.731272,0.236841,-0.286899,2.495363,0.069856,-0.645883,2.540744,0.117986,-0.695412,2.501669,0.528104,-0.316268,2.586874,0.617139,-0.613185,2.587068,0.687706,-0.701395,2.572667
0.421391,0.719378,2.557342,0.364427,0.508720,2.530677,0.310468,0.495112,2.392915,0.467902,0.475627,2.604839,0.333748,0.187814,2.549305,0.373242,0.125399,2.521606,0.348122,0.086970,2.489999,0.401418,0.065733,2.539603,0.362026,0.238387,2.295692,0.466673,0.019965,2.259825,0.486731,-0.044114,2.252120,0.491950,0.205443,2.627531,0.619690,0.059910,2.718535,0.645981,0.001383,2.729789,0.234601,-0.287799,2.494315,0.058941,-0.646256,2.541291,0.117402,-0.691047,2.492946,0.530826,-0.308901,2.586545,0.595755,-0.606603,2.595325,0.650393,-0.703429,2.579915
