Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.724605,0.622097,2.275794,0.679635,0.505848,2.224988,0.679221,0.428557,2.232418,0.676949,0.191186,2.246469,0.719228,0.324597,2.134975,0.610517,0.361148,2.107678,0.674708,-0.134675,2.256094,0.717109,-0.131803,2.253792,0.613007,-0.134244,2.191024,0.694127,0.103751,2.247943,0.850837,-0.023225,2.385062,0.881590,-0.081449,2.395068,0.914104,-0.134167,2.407645,0.904463,-0.086751,2.388518,0.706238,0.137053,2.013903,0.836763,0.004473,1.943935,0.889838,-0.028255,1.929935,0.938165,-0.068731,1.916700,0.913611,-0.016759,1.889739,0.815543,-0.483120,2.281338,0.953955,-0.752469,2.280086,1.005522,-0.766245,2.249249,0.515186,-0.464562,2.175100,0.429801,-0.734891,2.178590,0.449229,-0.790502,2.160726
0.731978,0.619200,2.282750,0.678957,0.506359,2.224422,0.679003,0.428748,2.232279,0.677132,0.191038,2.246971,0.714782,0.327954,2.127271,0.613201,0.357719,2.111837,0.675907,-0.136276,2.260052,0.719984,-0.134108,2.257738,0.612478,-0.135043,2.194926,0.689696,0.107058,2.240247,0.846428,-0.019948,2.377353,0.877138,-0.078106,2.387384,0.910547,-0.132150,2.398469,0.899973,-0.084405,2.380986,0.714106,0.134298,2.023177,0.847001,0.000910,1.953355,0.900468,-0.031940,1.944066,0.951513,-0.069180,1.931149,0.919294,-0.015704,1.905950,0.819426,-0.486682,2.283872,0.975331,-0.745976,2.283918,1.023745,-0.766065,2.247600,0.507370,-0.462999,2.178302,0.405798,-0.728364,2.183007,0.413952,-0.785574,2.158595
0.734278,0.609436,2.288271,0.690909,0.492929,2.241994,0.690906,0.415825,2.249259,0.688538,0.179030,2.262712,0.723710,0.317567,2.138000,0.634689,0.335508,2.140426,0.682682,-0.144188,2.270548,0.729587,-0.142402,2.268710,0.615972,-0.141797,2.204316,0.698579,0.096787,2.250958,0.855279,-0.030155,2.388056,0.885979,-0.088311,2.398105,0.919237,-0.142060,2.409257,0.908826,-0.093553,2.391567,0.728150,0.115780,2.033710,0.855744,-0.006443,1.966612,0.911250,-0.045657,1.959999,0.962616,-0.086485,1.959056,0.930869,-0.031826,1.925179,0.828559,-0.494369,2.289328,0.976464,-0.758446,2.287112,1.028669,-0.766035,2.244478,0.504093,-0.462590,2.182264,0.381154,-0.722585,2.185756,0.383458,-0.782571,2.158288
0.737441,0.604834,2.299338,0.698736,0.487319,2.251999,0.698196,0.409655,2.258116,0.694367,0.171186,2.268622,0.785612,0.252090,2.183532,0.640103,0.330809,2.149114,0.687290,-0.155739,2.273900,0.732633,-0.156409,2.274579,0.621497,-0.151026,2.205627,0.760114,0.031976,2.296448,0.916538,-0.094565,2.433571,0.947220,-0.152701,2.443631,0.980457,-0.206456,2.454785,0.969734,-0.157398,2.437246,0.730351,0.107571,2.047694,0.854256,-0.019365,1.982633,0.912393,-0.063245,1.974179,0.965308,-0.100631,1.979156,0.926739,-0.044431,1.942000,0.830129,-0.495791,2.291000,0.941273,-0.746203,2.295338,1.012059,-0.769067,2.239880,0.499903,-0.467398,2.187182,0.361344,-0.721086,2.188962,0.356580,-0.779803,2.156789
0.739268,0.603109,2.305189,0.700969,0.485578,2.257090,0.701804,0.407470,2.264042,0.703433,0.167300,2.277174,0.785596,0.252090,2.183705,0.641364,0.330355,2.150411,0.706331,-0.162019,2.286041,0.745704,-0.159772,2.285146,0.646854,-0.160196,2.219038,0.760099,0.031976,2.296621,0.916523,-0.094565,2.433744,0.947205,-0.152701,2.443804,0.980443,-0.206456,2.454957,0.969734,-0.157398,2.437249,0.727751,0.101461,2.060198,0.845869,-0.031251,1.995607,0.889395,-0.072246,1.990161,0.943803,-0.118597,1.996891,0.916676,-0.065242,1.956214,0.832355,-0.496531,2.292271,0.920059,-0.740751,2.298757,0.985333,-0.775979,2.243844,0.510198,-0.468925,2.191559,0.351841,-0.720693,2.191525,0.365189,-0.741661,2.086861
0.744599,0.603326,2.319280,0.704533,0.486345,2.268700,0.706731,0.408293,2.275042,0.711681,0.168496,2.286107,0.786510,0.253808,2.189412,0.659239,0.329502,2.172990,0.717390,-0.159776,2.291912,0.757258,-0.158711,2.293378,0.656751,-0.156654,2.222860,0.761023,0.033694,2.302326,0.917451,-0.092854,2.439449,0.948132,-0.150988,2.449510,0.982232,-0.205349,2.462022,0.970305,-0.156351,2.440878,0.722601,0.094630,2.077344,0.830516,-0.046889,2.012970,0.875510,-0.098488,2.008235,0.915967,-0.146456,2.027251,0.894398,-0.082298,1.978552,0.833388,-0.501661,2.300027,0.896668,-0.743738,2.311468,0.956313,-0.789152,2.259418,0.566007,-0.466856,2.196268,0.365670,-0.700418,2.194093,0.372576,-0.721217,2.087829
0.748789,0.608476,2.328237,0.708903,0.491389,2.278167,0.713167,0.413849,2.285892,0.725470,0.175800,2.301342,0.789875,0.259915,2.198143,0.661932,0.332868,2.178643,0.742913,-0.149496,2.313567,0.779309,-0.152109,2.311416,0.684863,-0.142136,2.248276,0.764394,0.039774,2.311068,0.920817,-0.086803,2.448196,0.951498,-0.144936,2.458258,0.984844,-0.199840,2.469218,0.974022,-0.149709,2.451865,0.714883,0.093236,2.088969,0.810641,-0.057274,2.024983,0.832334,-0.103006,2.025300,0.878233,-0.157392,2.041299,0.847201,-0.082140,1.979833,0.822121,-0.536021,2.317822,0.872680,-0.753392,2.319352,0.938928,-0.788281,2.264840,0.635789,-0.438981,2.193677,0.416657,-0.654768,2.206721,0.423800,-0.676703,2.100724
0.748953,0.614283,2.333704,0.712575,0.496299,2.286278,0.716615,0.418057,2.292225,0.727406,0.178050,2.303278,0.789964,0.260051,2.198233,0.663494,0.336239,2.183669,0.743233,-0.148598,2.312893,0.780232,-0.150683,2.309751,0.684838,-0.141663,2.248127,0.764483,0.039909,2.311158,0.920905,-0.086668,2.448287,0.951587,-0.144802,2.458348,0.985338,-0.200319,2.470155,0.974110,-0.149576,2.451955,0.704339,0.093478,2.100729,0.782898,-0.067001,2.036324,0.792657,-0.117459,2.038676,0.826020,-0.176724,2.050836,0.827762,-0.110927,2.020000,0.797450,-0.545903,2.318075,0.820566,-0.765788,2.341838,0.888976,-0.798942,2.288764,0.721585,-0.436311,2.185115,0.486369,-0.634525,2.204593,0.490519,-0.656406,2.098165
0.751470,0.618113,2.338096,0.714631,0.500173,2.290359,0.715425,0.421134,2.296237,0.702950,0.181205,2.312566,0.790445,0.261288,2.198794,0.664782,0.347586,2.194913,0.663103,-0.152698,2.322640,0.706006,-0.162309,2.307700,0.600625,-0.138579,2.269190,0.764966,0.041173,2.311701,0.921346,-0.085406,2.448811,0.952010,-0.143509,2.458867,0.985572,-0.198284,2.470622,0.974512,-0.148332,2.452417,0.693143,0.102523,2.107906,0.745869,-0.094051,2.059715,0.752948,-0.138294,2.069071,0.775414,-0.186047,2.057614,0.769594,-0.111809,2.010684,0.635863,-0.559116,2.327485,0.824776,-0.675864,2.333777,0.835969,-0.757036,2.302551,0.731022,-0.399795,2.186338,0.492372,-0.589579,2.227391,0.489886,-0.612680,2.120281
0.756470,0.621778,2.342825,0.715811,0.504665,2.294435,0.712227,0.427105,2.302204,0.683084,0.191932,2.322762,0.790935,0.264373,2.200572,0.666427,0.350373,2.198110,0.628932,-0.131559,2.339308,0.675215,-0.138633,2.326443,0.563709,-0.120381,2.283635,0.765464,0.044285,2.313456,0.921789,-0.082305,2.450540,0.952437,-0.140374,2.460592,0.985678,-0.194180,2.471743,0.974959,-0.145188,2.454197,0.684464,0.103877,2.113843,0.712918,-0.093175,2.072064,0.714596,-0.136545,2.079643,0.727854,-0.187544,2.069019,0.734085,-0.109010,2.027818,0.721429,-0.425256,2.350483,0.756403,-0.727145,2.360524,0.808469,-0.783127,2.307317,0.744372,-0.390475,2.192518,0.541320,-0.617574,2.231246,0.536484,-0.640932,2.124541
0.759755,0.624026,2.345462,0.717742,0.507220,2.297184,0.712261,0.429586,2.306059,0.681533,0.193145,2.328835,0.792399,0.266635,2.202288,0.668599,0.352298,2.201483,0.629498,-0.132093,2.351560,0.675181,-0.139522,2.335938,0.565331,-0.120578,2.298849,0.766924,0.046534,2.315179,0.923245,-0.080067,2.452266,0.953865,-0.138086,2.462310,0.987104,-0.191900,2.473461,0.976382,-0.142920,2.455916,0.671233,0.104163,2.119781,0.704136,-0.093311,2.073940,0.700876,-0.139758,2.091405,0.709189,-0.186915,2.095007,0.761967,-0.115719,2.120750,0.718173,-0.428423,2.352211,0.737817,-0.732168,2.358066,0.729389,-0.755077,2.252301,0.763673,-0.397899,2.200934,0.580553,-0.640459,2.241618,0.611710,-0.712859,2.229823
0.765215,0.624883,2.346906,0.719665,0.509027,2.298856,0.713467,0.431128,2.308156,0.683719,0.193705,2.331652,0.794113,0.268439,2.203476,0.670952,0.353033,2.204933,0.638282,-0.132882,2.356687,0.681019,-0.139079,2.341843,0.577952,-0.123052,2.303039,0.768632,0.048328,2.316374,0.924945,-0.078282,2.453463,0.955566,-0.136301,2.463507,0.988800,-0.190122,2.474660,0.978072,-0.141151,2.457116,0.656577,0.104467,2.123481,0.701628,-0.092620,2.076461,0.691705,-0.134959,2.096081,0.674571,-0.186211,2.081717,0.746395,-0.140397,2.121638,0.705911,-0.430665,2.358907,0.683151,-0.686616,2.355385,0.718932,-0.758193,2.314726,0.804772,-0.386375,2.208321,0.668895,-0.659060,2.239560,0.683988,-0.737593,2.225201
0.772331,0.625268,2.349663,0.724004,0.510265,2.301048,0.717718,0.432226,2.311078,0.692250,0.193723,2.336679,0.798253,0.269784,2.205245,0.674041,0.354403,2.208059,0.656786,-0.134358,2.364059,0.695452,-0.137350,2.347985,0.599666,-0.128232,2.311695,0.772749,0.049670,2.318154,0.904965,-0.037941,2.499843,0.908439,-0.039397,2.508916,0.926204,-0.057617,2.504221,0.895299,-0.017914,2.498572,0.653345,0.105953,2.127442,0.681028,-0.074731,2.074364,0.678950,-0.125132,2.090181,0.664862,-0.187522,2.081536,0.733236,-0.117278,2.121289,0.703839,-0.431421,2.360537,0.644070,-0.730035,2.377549,0.634315,-0.753254,2.271554,0.860092,-0.346378,2.177373,0.743286,-0.625321,2.222311,0.750979,-0.707513,2.194192
0.778264,0.624761,2.351171,0.733006,0.508794,2.304863,0.725604,0.430866,2.314754,0.699044,0.192176,2.338787,0.807122,0.268504,2.208678,0.679695,0.353332,2.212219,0.660985,-0.135244,2.363801,0.700221,-0.137783,2.349001,0.603229,-0.129324,2.310281,0.781568,0.048442,2.321588,0.937331,-0.059538,2.472881,0.965445,-0.080211,2.502186,1.002971,-0.133832,2.489449,0.962708,-0.064252,2.476636,0.648963,0.106127,2.130461,0.679501,-0.079142,2.081847,0.675165,-0.125927,2.089616,0.659655,-0.187487,2.080769,0.730342,-0.114067,2.124400,0.696205,-0.431199,2.368032,0.641346,-0.731211,2.379026,0.676229,-0.796036,2.312504,0.874396,-0.351740,2.180526,0.804631,-0.647783,2.209198,0.825406,-0.725836,2.178851
0.790591,0.620863,2.349345,0.742512,0.505762,2.303509,0.734758,0.427908,2.314273,0.708438,0.188959,2.339697,0.816724,0.265542,2.207145,0.683798,0.351113,2.213136,0.669758,-0.138085,2.365673,0.710256,-0.139610,2.353492,0.610600,-0.132790,2.309944,0.791104,0.045573,2.320039,0.952229,-0.061063,2.466683,1.002234,-0.088690,2.505933,1.031439,-0.142650,2.496134,1.010440,-0.071000,2.466679,0.643609,0.105100,2.131794,0.645835,-0.081770,2.072650,0.659707,-0.127543,2.078537,0.661314,-0.193343,2.077558,0.714217,-0.110377,2.122607,0.684875,-0.433562,2.368813,0.623264,-0.732337,2.379751,0.657078,-0.805087,2.341180,0.880597,-0.350347,2.181418,0.875776,-0.655804,2.182740,0.916287,-0.722936,2.154037
