HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.604568,0.720016,2.229541,0.607585,0.565995,2.171094,0.551498,0.410968,2.070371,0.708823,0.502425,2.276558,0.591577,0.191785,2.216290,0.622773,0.117270,2.203150,0.589527,0.065260,2.183561,0.658191,0.073990,2.227508,0.650637,0.185373,1.962218,0.791541,0.054408,1.893527,0.848610,0.014585,1.872636,0.766228,0.273214,2.376769,0.823018,0.097189,2.420779,0.859661,0.053691,2.427031,0.519313,-0.348374,2.187859,0.376623,-0.688391,2.207578,0.396075,-0.737267,2.188484,0.770475,-0.354853,2.302450,0.939902,-0.696882,2.278535,1.031374,-0.680813,2.272164
0.611155,0.712896,2.244652,0.609817,0.565813,2.175911,0.554332,0.407128,2.080687,0.711234,0.503343,2.282280,0.598448,0.190951,2.225389,0.630457,0.116027,2.213264,0.597955,0.063783,2.194861,0.665309,0.073840,2.236549,0.663020,0.183305,1.971558,0.803797,0.053534,1.903127,0.859418,0.013244,1.883355,0.768751,0.274115,2.382604,0.826365,0.097725,2.426808,0.863374,0.053885,2.432968,0.515829,-0.348399,2.193544,0.348754,-0.681317,2.207387,0.365842,-0.736110,2.194505,0.772562,-0.361787,2.300027,0.992927,-0.682602,2.273767,1.083696,-0.658894,2.260906
0.617352,0.706546,2.254836,0.613181,0.562662,2.181326,0.561865,0.398670,2.094741,0.714181,0.502282,2.288297,0.602939,0.188703,2.231099,0.635151,0.113280,2.219109,0.602130,0.060707,2.199893,0.669808,0.071399,2.241608,0.677980,0.175455,1.986003,0.818232,0.046602,1.918054,0.868036,0.009031,1.899567,0.771991,0.273010,2.388676,0.830613,0.095896,2.433129,0.867808,0.051566,2.439163,0.520332,-0.369213,2.221101,0.323833,-0.679910,2.207418,0.347321,-0.735936,2.199600,0.791563,-0.393625,2.298821,0.982445,-0.640118,2.264881,1.040163,-0.658717,2.225239
0.623054,0.700759,2.261569,0.618783,0.555718,2.189335,0.570583,0.390436,2.107931,0.718531,0.498506,2.296165,0.607916,0.180985,2.235967,0.640067,0.105315,2.223221,0.607492,0.052258,2.202257,0.675181,0.062044,2.246724,0.691435,0.162285,2.002627,0.830843,0.034054,1.934253,0.873029,0.003378,1.916988,0.776793,0.269202,2.396516,0.836468,0.091194,2.441165,0.873641,0.046307,2.447005,0.472814,-0.396564,2.223329,0.304436,-0.676867,2.206964,0.327002,-0.735853,2.206034,0.795626,-0.401207,2.299919,0.936457,-0.667517,2.276474,1.006557,-0.692177,2.256866
0.629279,0.693422,2.269025,0.624797,0.546628,2.198828,0.579537,0.383514,2.120210,0.723520,0.492341,2.305398,0.611609,0.173410,2.238961,0.643520,0.097978,2.225168,0.610791,0.044962,2.201660,0.679180,0.053395,2.250136,0.697733,0.150451,2.018245,0.836453,0.021329,1.950918,0.872585,-0.008520,1.938742,0.782238,0.263078,2.405613,0.842719,0.084322,2.450276,0.879732,0.038933,2.455903,0.482197,-0.375218,2.219549,0.291367,-0.667294,2.206766,0.298045,-0.728656,2.214920,0.797137,-0.405406,2.301805,0.912622,-0.664376,2.284728,0.981895,-0.699772,2.261278
0.634546,0.687804,2.274633,0.634113,0.537209,2.211834,0.588169,0.377925,2.131807,0.731179,0.484713,2.317530,0.617730,0.161530,2.243779,0.649051,0.086211,2.228217,0.615350,0.036332,2.203235,0.684475,0.042277,2.253186,0.698652,0.140045,2.032437,0.828202,-0.002603,1.977895,0.873889,-0.044862,1.964056,0.790340,0.255536,2.417555,0.851360,0.076288,2.462038,0.888070,0.030525,2.467393,0.510391,-0.362691,2.218388,0.286099,-0.651541,2.207727,0.317005,-0.693794,2.190263,0.796459,-0.407180,2.305756,0.869369,-0.668848,2.297013,0.916331,-0.722852,2.279002
0.639812,0.684699,2.279490,0.641772,0.532662,2.222974,0.595480,0.375755,2.142017,0.738415,0.479587,2.328943,0.620737,0.155449,2.246302,0.651603,0.080105,2.229680,0.617124,0.032514,2.203817,0.687093,0.035633,2.254641,0.690241,0.133383,2.048799,0.803462,-0.022209,2.003737,0.840403,-0.067400,1.993676,0.797882,0.250516,2.428780,0.859136,0.071031,2.472987,0.895556,0.025022,2.478111,0.574480,-0.344334,2.210455,0.311888,-0.609120,2.209200,0.362444,-0.641937,2.170478,0.792626,-0.409510,2.313207,0.812674,-0.671920,2.318796,0.868817,-0.729164,2.293853
0.643207,0.681144,2.285935,0.648570,0.511297,2.236965,0.600722,0.376069,2.150309,0.745489,0.462767,2.342537,0.612239,0.149803,2.243912,0.627931,0.076160,2.218805,0.587141,0.042466,2.192050,0.658255,0.029434,2.237000,0.675061,0.133532,2.064957,0.768125,-0.034345,2.025232,0.792540,-0.086046,2.021888,0.805189,0.233961,2.442106,0.866514,0.054470,2.486015,0.902664,0.008247,2.491039,0.617816,-0.334710,2.203382,0.335890,-0.584363,2.219479,0.398623,-0.613240,2.169981,0.786288,-0.377112,2.330119,0.779388,-0.676039,2.334052,0.846808,-0.732544,2.301244
0.646356,0.681328,2.295101,0.651535,0.501505,2.243388,0.604985,0.379961,2.158857,0.749620,0.452020,2.350815,0.605879,0.146888,2.241862,0.617594,0.075199,2.213967,0.575189,0.049649,2.189216,0.645691,0.027949,2.227860,0.659694,0.139392,2.076650,0.727551,-0.039696,2.041099,0.742697,-0.097181,2.041051,0.809446,0.223406,2.450218,0.870770,0.043985,2.493944,0.906749,-0.002327,2.498910,0.671308,-0.320302,2.198292,0.389640,-0.565984,2.235143,0.397495,-0.639126,2.221210,0.784255,-0.367484,2.335604,0.724308,-0.672100,2.359350,0.794922,-0.727206,2.322342
0.664099,0.689728,2.297083,0.653327,0.496369,2.247185,0.607247,0.386292,2.166423,0.752159,0.445492,2.356039,0.601272,0.145936,2.240368,0.611954,0.075486,2.211304,0.568837,0.054964,2.188105,0.639686,0.027624,2.223087,0.641690,0.149304,2.085938,0.690382,-0.037202,2.047579,0.692659,-0.111172,2.049335,0.812057,0.217005,2.455337,0.873372,0.037647,2.498954,0.909243,-0.008706,2.503884,0.706415,-0.310581,2.198627,0.457719,-0.573051,2.254255,0.453490,-0.659559,2.244149,0.783148,-0.361212,2.338893,0.695574,-0.667021,2.371377,0.764938,-0.723126,2.335209
0.673003,0.693516,2.297788,0.654480,0.492734,2.249843,0.608571,0.391566,2.171886,0.753833,0.440765,2.359723,0.586274,0.143228,2.244004,0.596829,0.072069,2.216776,0.552093,0.054999,2.200591,0.625290,0.024359,2.225111,0.619099,0.159228,2.094157,0.656732,-0.031114,2.046653,0.649262,-0.113815,2.045744,0.813775,0.212378,2.458946,0.875072,0.033087,2.502493,0.910870,-0.013281,2.507400,0.758176,-0.293684,2.202163,0.539292,-0.577879,2.265214,0.550612,-0.673043,2.273525,0.693104,-0.328141,2.358724,0.665086,-0.670627,2.377771,0.706217,-0.731355,2.356517
0.687885,0.717616,2.298302,0.659217,0.532335,2.258541,0.609545,0.395880,2.175847,0.758826,0.460221,2.368490,0.564662,0.174117,2.276092,0.576781,0.097416,2.256742,0.537106,0.076033,2.249115,0.599768,0.048796,2.262631,0.605902,0.164779,2.097595,0.639801,-0.028343,2.047368,0.626444,-0.113846,2.043356,0.818718,0.232012,2.467659,0.879803,0.053066,2.511253,0.915544,0.006908,2.516255,0.778145,-0.288700,2.203520,0.612252,-0.604359,2.267528,0.650096,-0.693053,2.287770,0.651548,-0.319918,2.371190,0.638613,-0.677530,2.380455,0.677705,-0.733914,2.366096
0.695688,0.729854,2.298377,0.661831,0.554401,2.262064,0.610690,0.399519,2.178995,0.762118,0.474081,2.373480,0.610802,0.189589,2.303569,0.641551,0.112382,2.289901,0.606581,0.081152,2.280181,0.680293,0.065181,2.304451,0.596653,0.167046,2.099788,0.628908,-0.027813,2.049052,0.612627,-0.114601,2.042046,0.821954,0.245994,2.472605,0.888341,0.043907,2.516810,0.924275,-0.001902,2.522091,0.810832,-0.286595,2.198691,0.692296,-0.628804,2.256773,0.750426,-0.708733,2.270797,0.629469,-0.323634,2.379753,0.588325,-0.687879,2.395475,0.615140,-0.746388,2.383147
0.700504,0.736573,2.298506,0.663977,0.563989,2.263827,0.611670,0.402035,2.181205,0.765020,0.483422,2.376528,0.601433,0.201117,2.314556,0.621692,0.123134,2.304054,0.587918,0.090508,2.299629,0.643152,0.075823,2.314925,0.590011,0.168172,2.100680,0.613445,-0.029477,2.052704,0.602117,-0.104632,2.036702,0.824807,0.255396,2.475620,0.913660,0.034730,2.510807,0.942942,-0.014319,2.511861,0.832571,-0.290760,2.194558,0.762294,-0.659567,2.232211,0.836167,-0.715856,2.227599,0.618335,-0.322921,2.383617,0.571007,-0.690900,2.400526,0.592175,-0.750596,2.389441
