Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
-0.101323,0.478161,2.637537,-0.198345,0.423946,2.536928,-0.202748,0.326216,2.523663,-0.215686,0.026381,2.472596,-0.052892,0.173976,2.508246,-0.270299,0.278536,2.340414,-0.233756,-0.383339,2.391562,-0.162464,-0.374779,2.407135,-0.298178,-0.376910,2.288526,-0.024017,-0.133207,2.407319,-0.178257,-0.081851,2.125145,-0.123211,-0.037099,2.107919,-0.148654,-0.019503,2.088964,-0.079384,-0.119617,2.056389,-0.165972,0.023941,2.158388,-0.033260,-0.166859,2.113543,-0.012058,-0.243910,2.131622,-0.007319,-0.326759,2.135847,-0.037610,-0.242108,2.158643,-0.226228,-0.859299,2.277264,-0.169756,-1.161936,2.165892,-0.270196,-1.195153,2.073582,-0.402339,-0.951167,2.367522,-0.353205,-1.198835,2.237763,-0.425207,-1.221058,2.154636
-0.114322,0.497057,2.637751,-0.202758,0.427098,2.536986,-0.206419,0.330681,2.523967,-0.216877,0.037138,2.473995,-0.057298,0.177125,2.508320,-0.280537,0.283790,2.341596,-0.226668,-0.358707,2.395493,-0.152662,-0.353833,2.418774,-0.292496,-0.347646,2.284828,-0.028284,-0.130128,2.407610,-0.182602,-0.078736,2.125494,-0.125352,-0.027784,2.114262,-0.145969,-0.012947,2.096268,-0.082172,-0.108509,2.066344,-0.166058,0.031380,2.162775,-0.028706,-0.156230,2.118304,0.000829,-0.232303,2.136920,0.014227,-0.317209,2.144770,-0.021393,-0.238921,2.171786,-0.238518,-0.847427,2.263691,-0.178276,-1.163761,2.160018,-0.282175,-1.194210,2.066725,-0.371952,-0.877092,2.306927,-0.322896,-1.125187,2.177058,-0.204717,-1.161372,2.089967
-0.116137,0.495608,2.635374,-0.208456,0.430040,2.537714,-0.210359,0.334171,2.526420,-0.215906,0.044232,2.485793,-0.062987,0.180066,2.509064,-0.291853,0.288350,2.343168,-0.211303,-0.348894,2.433367,-0.143975,-0.346956,2.438752,-0.272409,-0.339787,2.338704,-0.033863,-0.127242,2.408515,-0.188224,-0.075827,2.126439,-0.127369,-0.017915,2.119804,-0.171805,0.034472,2.111964,-0.089762,0.011466,2.105500,-0.166809,0.038626,2.167825,-0.024431,-0.145685,2.126007,0.008542,-0.200672,2.141472,0.035131,-0.290979,2.156247,-0.012955,-0.224167,2.182615,-0.250186,-0.839597,2.276039,-0.127157,-1.180279,2.153002,-0.213247,-1.180720,2.074110,-0.375641,-0.874524,2.308117,-0.248615,-1.128149,2.170817,-0.166951,-1.119183,2.045249
-0.121540,0.495288,2.635267,-0.214748,0.430687,2.538875,-0.216700,0.335708,2.527589,-0.221695,0.046568,2.485330,-0.069269,0.180718,2.510236,-0.297006,0.288504,2.344321,-0.229281,-0.345556,2.418245,-0.151927,-0.343514,2.434554,-0.301873,-0.336835,2.309008,-0.040045,-0.126612,2.409787,-0.194422,-0.075187,2.127733,-0.132247,-0.013592,2.124061,-0.169960,0.029797,2.115840,-0.093918,0.010274,2.108195,-0.166892,0.040844,2.169761,-0.021255,-0.141255,2.130158,0.011415,-0.198480,2.148400,0.034907,-0.289877,2.162066,-0.015163,-0.211552,2.182700,-0.255762,-0.847272,2.295333,-0.142769,-1.184640,2.152910,-0.266287,-1.189952,2.074748,-0.391127,-0.872039,2.309604,-0.268259,-1.130103,2.163181,-0.186636,-1.120443,2.037270
-0.124265,0.491275,2.636285,-0.219515,0.430583,2.540138,-0.224057,0.335156,2.528870,-0.241113,0.041639,2.484271,-0.074029,0.180619,2.511504,-0.301380,0.287402,2.345049,-0.274531,-0.367119,2.407255,-0.200843,-0.368299,2.412687,-0.332744,-0.350287,2.313529,-0.044747,-0.126719,2.411113,-0.199119,-0.075286,2.129066,-0.135480,-0.012032,2.130111,-0.179909,0.030062,2.119227,-0.096549,0.007330,2.113193,-0.167862,0.040791,2.171644,-0.018307,-0.138796,2.137283,0.011205,-0.194925,2.157184,0.036389,-0.284490,2.169648,-0.015328,-0.205625,2.181889,-0.306257,-0.877019,2.262049,-0.192681,-1.193606,2.160615,-0.309414,-1.193135,2.065019,-0.395871,-0.906132,2.349749,-0.307267,-1.137159,2.159366,-0.230000,-1.125879,2.029278
-0.131754,0.486019,2.639010,-0.227890,0.426818,2.543969,-0.232450,0.331097,2.532008,-0.246999,0.037269,2.485050,-0.082393,0.176873,2.515335,-0.309723,0.283512,2.346607,-0.274475,-0.368742,2.407141,-0.200490,-0.369268,2.410628,-0.335360,-0.356580,2.317394,-0.053028,-0.130437,2.414992,-0.207375,-0.078985,2.132951,-0.146199,-0.011357,2.135251,-0.188578,0.039346,2.127978,-0.106373,0.003262,2.116034,-0.170720,0.038906,2.174775,-0.019707,-0.139665,2.142307,0.005031,-0.196378,2.164474,0.032200,-0.286553,2.178986,-0.036353,-0.189223,2.171600,-0.255803,-0.903303,2.348187,-0.145069,-1.209237,2.191928,-0.264063,-1.188737,2.095647,-0.397044,-0.907084,2.350080,-0.315658,-1.132374,2.159174,-0.238100,-1.120364,2.029108
-0.135016,0.482320,2.641996,-0.231499,0.424775,2.546020,-0.235637,0.329013,2.533962,-0.248615,0.034987,2.486625,-0.085998,0.174840,2.517384,-0.314604,0.281276,2.349340,-0.272105,-0.371362,2.409270,-0.199246,-0.369382,2.410574,-0.333068,-0.363615,2.323992,-0.056598,-0.132453,2.417058,-0.317731,-0.230769,2.256991,-0.386387,-0.268078,2.257259,-0.447975,-0.295532,2.285216,-0.434478,-0.195668,2.250381,-0.175541,0.036092,2.178470,-0.023951,-0.142162,2.147748,-0.004427,-0.196406,2.169230,0.022250,-0.285639,2.190007,-0.019566,-0.223614,2.144333,-0.236836,-0.899149,2.361584,-0.195760,-1.208349,2.174232,-0.315328,-1.187500,2.081195,-0.293453,-0.812869,2.307627,-0.345240,-1.122051,2.158973,-0.275966,-1.178747,2.074695
-0.138713,0.478766,2.649152,-0.234281,0.421762,2.550337,-0.237901,0.324444,2.538951,-0.247750,0.022525,2.494848,-0.088780,0.171844,2.521694,-0.319219,0.280028,2.356265,-0.256086,-0.401281,2.424872,-0.183644,-0.396992,2.427312,-0.320700,-0.388677,2.334765,-0.059356,-0.135419,2.421383,-0.319160,-0.232145,2.258012,-0.388205,-0.269536,2.261034,-0.449357,-0.287836,2.285128,-0.434486,-0.195647,2.250533,-0.183813,0.033632,2.184160,-0.032748,-0.145198,2.154787,-0.019726,-0.195322,2.174849,0.008390,-0.288103,2.199229,-0.064894,-0.182072,2.161111,-0.204369,-0.912856,2.406984,-0.216256,-1.191985,2.139102,-0.342024,-1.180511,2.065234,-0.353967,-0.827891,2.252154,-0.348478,-1.123386,2.158941,-0.304297,-1.174646,2.062307
-0.142051,0.477908,2.653908,-0.236408,0.418341,2.555399,-0.239178,0.321305,2.543344,-0.247226,0.021023,2.496938,-0.090910,0.168443,2.526746,-0.320609,0.278176,2.358242,-0.254874,-0.400084,2.425127,-0.180790,-0.391487,2.424119,-0.318734,-0.389966,2.338376,-0.061466,-0.138782,2.426438,-0.320425,-0.234606,2.261101,-0.391445,-0.269443,2.264580,-0.451859,-0.291616,2.288347,-0.436262,-0.196599,2.255310,-0.190307,0.028219,2.187489,-0.041570,-0.152695,2.160258,-0.037332,-0.197916,2.178186,-0.010579,-0.288370,2.203132,-0.042676,-0.236324,2.162150,-0.125255,-0.943653,2.489127,-0.213722,-1.171153,2.187454,-0.330561,-1.168783,2.091756,-0.362002,-0.827644,2.249091,-0.387999,-1.116130,2.155370,-0.320829,-1.171935,2.065115
-0.145523,0.474925,2.657431,-0.240520,0.414177,2.562665,-0.242556,0.317402,2.549596,-0.248443,0.018796,2.499870,-0.095024,0.164306,2.534002,-0.324797,0.275535,2.368647,-0.254943,-0.399890,2.425148,-0.180894,-0.390850,2.424134,-0.318971,-0.390357,2.338530,-0.065546,-0.142868,2.433690,-0.323868,-0.238334,2.267126,-0.393341,-0.272099,2.270236,-0.454460,-0.292172,2.296588,-0.429491,-0.195449,2.257093,-0.203561,0.023769,2.193724,-0.058868,-0.160240,2.164499,-0.062880,-0.195276,2.172723,-0.036942,-0.288744,2.196004,-0.117694,-0.161029,2.125417,-0.124446,-0.943389,2.491996,-0.214862,-1.170954,2.190973,-0.336962,-1.166970,2.107245,-0.371315,-0.826808,2.248074,-0.400187,-1.118286,2.148934,-0.339558,-1.167064,2.062356
