HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.490107,0.896283,2.256623,0.275697,0.822914,2.178607,0.151661,0.654860,2.023799,0.294529,0.731259,2.040455,0.258690,0.340428,2.184863,0.259808,0.252354,2.123093,0.224938,0.216386,2.120136,0.295911,0.210854,2.111639,0.195878,0.410520,1.883226,0.310087,0.197380,1.820955,0.339078,0.116595,1.833922,0.128882,0.547405,1.883601,0.049634,0.371027,1.934168,0.021428,0.311823,1.962121,0.398521,-0.268884,2.073605,0.285752,-0.675108,2.176442,0.377357,-0.723586,2.157048,0.234709,-0.340913,2.256362,-0.012658,-0.570993,2.375550,0.036664,-0.674247,2.429897
0.490441,0.885346,2.259021,0.272841,0.827678,2.173652,0.154861,0.662540,2.021447,0.293633,0.738229,2.036793,0.285572,0.353105,2.179875,0.296183,0.268356,2.119695,0.265777,0.230075,2.111347,0.331891,0.239064,2.117667,0.211085,0.421853,1.879805,0.348513,0.201933,1.825214,0.380173,0.107142,1.843845,0.130197,0.552980,1.880401,0.051348,0.376490,1.929749,0.025037,0.317622,1.954017,0.314097,-0.277520,2.119748,0.267298,-0.674105,2.178237,0.346156,-0.719795,2.163875,0.199108,-0.331433,2.315814,0.060281,-0.597600,2.376484,0.119699,-0.696070,2.424323
0.451754,0.871970,2.256836,0.261205,0.780372,2.143930,0.157722,0.668998,2.019411,0.284742,0.708109,2.011673,0.279406,0.321537,2.152713,0.274594,0.236167,2.092475,0.251727,0.217012,2.080875,0.299231,0.197487,2.096226,0.222864,0.430097,1.877700,0.371081,0.206788,1.824085,0.415190,0.125237,1.845458,0.131124,0.513737,1.850967,0.052639,0.333900,1.896137,0.027784,0.273104,1.914925,0.279936,-0.281143,2.136320,0.254597,-0.673995,2.179396,0.332332,-0.718721,2.167432,0.112365,-0.376217,2.295446,0.175893,-0.606905,2.421810,0.176064,-0.685190,2.399047
0.431238,0.865601,2.254437,0.254469,0.748301,2.124201,0.160852,0.673742,2.017300,0.280239,0.691265,1.997574,0.276668,0.308723,2.140346,0.268556,0.227880,2.081986,0.245987,0.213162,2.069847,0.296568,0.197908,2.089309,0.232052,0.435217,1.875841,0.384256,0.210632,1.823651,0.432114,0.132960,1.846654,0.131843,0.494129,1.835912,0.053470,0.313814,1.879950,0.029112,0.253257,1.897273,0.254113,-0.283603,2.149221,0.234940,-0.676565,2.179460,0.303204,-0.717330,2.172676,0.399624,-0.283449,2.368170,0.172905,-0.594952,2.363062,0.205144,-0.687755,2.388488
0.430234,0.883331,2.254726,0.289792,0.725390,2.135534,0.164393,0.677038,2.015324,0.265439,0.639906,1.959099,0.285326,0.295903,2.133533,0.266137,0.221248,2.077129,0.245402,0.209670,2.065106,0.291573,0.192973,2.084742,0.241531,0.438600,1.874138,0.393796,0.213886,1.823242,0.445160,0.139233,1.848040,0.123354,0.444440,1.799309,0.045004,0.264550,1.843119,0.020507,0.204885,1.860541,0.238673,-0.285929,2.156299,0.205164,-0.680390,2.179581,0.287386,-0.716799,2.175657,0.406201,-0.304380,2.374709,0.334654,-0.644112,2.370408,0.350769,-0.717797,2.360193
0.426616,0.882879,2.253840,0.287922,0.719777,2.132524,0.168456,0.677916,2.013107,0.230868,0.618599,1.927087,0.307947,0.289331,2.115355,0.264614,0.216079,2.074587,0.245998,0.206313,2.063591,0.288107,0.189914,2.082062,0.250231,0.438764,1.872140,0.401048,0.217327,1.822858,0.453400,0.144183,1.848742,0.091007,0.422297,1.766869,0.012645,0.242532,1.810757,-0.012337,0.182960,1.828452,0.225695,-0.290243,2.162030,0.184647,-0.681439,2.180318,0.148585,-0.718408,2.160418,0.462054,-0.311429,2.368700,0.405127,-0.678214,2.354551,0.328236,-0.721070,2.325908
0.424686,0.881737,2.252722,0.282940,0.719809,2.131193,0.172871,0.676827,2.010995,0.216462,0.609238,1.913685,0.317311,0.286604,2.107656,0.263704,0.212130,2.073798,0.247643,0.203311,2.065414,0.285636,0.187934,2.080508,0.257728,0.436929,1.870389,0.406406,0.220672,1.822697,0.458901,0.148581,1.849113,0.077149,0.412576,1.753102,-0.001294,0.232808,1.796994,-0.026575,0.173269,1.814789,0.216192,-0.295408,2.166585,0.158879,-0.682958,2.181573,0.067911,-0.720399,2.156914,0.467587,-0.317323,2.359392,0.460436,-0.691818,2.333962,0.383980,-0.727684,2.306537
0.426031,0.879294,2.253755,0.279456,0.747724,2.108614,0.177149,0.674350,2.009277,0.208082,0.616884,1.893113,0.322927,0.285595,2.102739,0.263131,0.209401,2.074128,0.249225,0.201696,2.068394,0.283427,0.187148,2.080022,0.264833,0.433812,1.869334,0.410395,0.223749,1.822797,0.462327,0.152161,1.849281,0.068523,0.420476,1.732126,-0.010047,0.240595,1.776384,-0.035597,0.180684,1.794963,0.213355,-0.302244,2.175277,0.130966,-0.684397,2.184038,0.013893,-0.723360,2.157722,0.477212,-0.320755,2.349499,0.525392,-0.692726,2.322790,0.433628,-0.727089,2.291514
0.428792,0.876624,2.255159,0.277298,0.762961,2.099151,0.181167,0.671055,2.008056,0.203972,0.624831,1.881856,0.326366,0.285463,2.099483,0.262547,0.207441,2.075350,0.250287,0.200713,2.071446,0.280663,0.187289,2.080799,0.269973,0.430287,1.868618,0.412959,0.226082,1.822964,0.463725,0.154985,1.849267,0.063983,0.428585,1.720767,-0.014719,0.248661,1.765262,-0.040526,0.188615,1.784278,0.218281,-0.306749,2.187395,0.101783,-0.684791,2.187358,-0.014018,-0.723952,2.159742,0.488808,-0.329911,2.338424,0.557257,-0.689583,2.315640,0.463098,-0.722534,2.283809
0.443268,0.891330,2.253220,0.305811,0.747526,2.149647,0.184704,0.667591,2.007486,0.234613,0.619163,1.926762,0.305083,0.285142,2.127155,0.261861,0.206482,2.078326,0.248595,0.199865,2.080314,0.278590,0.187551,2.081727,0.273585,0.426740,1.868296,0.414695,0.227538,1.823214,0.463931,0.156564,1.849295,0.092100,0.423328,1.764885,0.013284,0.243364,1.810137,-0.012760,0.183277,1.830276,0.221864,-0.308719,2.194671,0.070311,-0.680662,2.190150,0.118264,-0.726244,2.175629,0.483525,-0.336379,2.326582,0.606439,-0.686571,2.306376,0.641007,-0.692364,2.321177
