Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.305044,0.646689,2.375077,0.287702,0.539798,2.326614,0.294320,0.466274,2.323779,0.315538,0.240894,2.307237,0.411951,0.405890,2.167557,0.233599,0.379936,2.144284,0.346171,-0.067861,2.275386,0.400838,-0.058634,2.304040,0.279841,-0.074630,2.169570,0.311391,0.301754,1.951098,0.274948,0.061315,1.982547,0.269038,-0.009356,1.992207,0.280677,-0.082287,1.960383,0.244613,0.012990,1.972786,0.238670,0.146399,2.041046,0.302963,-0.058338,1.987419,0.297135,-0.134992,1.973100,0.308204,-0.194447,1.988111,0.322361,-0.132639,1.978693,0.334999,-0.485489,2.199433,0.319547,-0.771602,2.283909,0.300251,-0.846625,2.227805,0.339199,-0.431279,2.123155,0.063921,-0.710000,2.144099,0.056319,-0.788250,2.103165
0.312243,0.648038,2.373385,0.291966,0.541543,2.326077,0.297745,0.467423,2.323451,0.316459,0.240691,2.307090,0.416210,0.407633,2.167017,0.240352,0.383579,2.145596,0.345211,-0.070152,2.275109,0.398272,-0.069830,2.304444,0.279460,-0.074308,2.169192,0.314609,0.301451,1.952080,0.341418,0.060388,1.983972,0.293898,-0.039190,1.998149,0.298440,-0.046071,2.005128,0.285378,-0.045156,1.953600,0.232158,0.148439,2.046615,0.286177,-0.055388,1.984839,0.278865,-0.132567,1.972094,0.286501,-0.193196,1.986252,0.306970,-0.131503,1.974823,0.283957,-0.433422,2.295614,0.299830,-0.809049,2.267633,0.304943,-0.829277,2.131147,0.348750,-0.439051,2.124151,0.124029,-0.738466,2.143389,0.143775,-0.813991,2.107422
0.320458,0.649228,2.372056,0.299459,0.542907,2.326338,0.303665,0.468440,2.323667,0.317883,0.240600,2.307002,0.423692,0.408997,2.167270,0.245006,0.386822,2.149178,0.343708,-0.071352,2.274704,0.396224,-0.073582,2.306388,0.277176,-0.072403,2.165878,0.320691,0.301268,1.953809,0.347472,0.059991,1.984510,0.370938,-0.019993,1.997523,0.375068,-0.026980,2.004570,0.361482,-0.026200,1.953130,0.227216,0.151869,2.050963,0.276755,-0.058683,1.988956,0.265337,-0.131498,1.977257,0.272881,-0.193131,1.988558,0.305442,-0.088439,2.045600,0.281504,-0.462055,2.296967,0.308525,-0.821992,2.268857,0.311816,-0.842101,2.132317,0.399583,-0.445814,2.121116,0.208293,-0.775573,2.148964,0.246670,-0.840329,2.133983
0.324059,0.648837,2.372493,0.304827,0.542304,2.327110,0.308092,0.468192,2.324162,0.319157,0.240677,2.306812,0.429051,0.408394,2.168034,0.247375,0.386609,2.151227,0.341897,-0.071143,2.273682,0.394578,-0.074492,2.306150,0.274877,-0.068275,2.162925,0.278988,0.226421,2.067799,0.326745,-0.014613,2.063090,0.354011,-0.090479,2.103467,0.381981,-0.156912,2.083828,0.274963,-0.074912,1.976714,0.222557,0.151968,2.053823,0.266125,-0.060211,1.991194,0.255320,-0.137171,1.979398,0.262866,-0.196643,1.984758,0.282582,-0.136175,1.974103,0.280040,-0.477546,2.301592,0.180694,-0.812070,2.277963,0.191035,-0.884975,2.215831,0.430152,-0.443472,2.119475,0.268837,-0.799311,2.150692,0.319071,-0.858307,2.112376
0.322905,0.648785,2.372254,0.312733,0.538475,2.326963,0.316031,0.465058,2.324733,0.326034,0.239220,2.308953,0.436946,0.404567,2.167872,0.251086,0.384070,2.152503,0.343942,-0.070998,2.276698,0.397499,-0.074182,2.314740,0.277303,-0.067547,2.163702,0.283244,0.225453,2.068012,0.331753,-0.015428,2.062790,0.354954,-0.094309,2.105309,0.388222,-0.162291,2.085238,0.290575,-0.099013,2.052834,0.218818,0.150053,2.055832,0.255020,-0.059788,1.991489,0.249945,-0.140457,1.982020,0.260052,-0.204701,1.991613,0.282585,-0.131601,2.000000,0.268011,-0.474720,2.306459,0.189103,-0.814783,2.266366,0.246874,-0.856571,2.191521,0.477023,-0.411554,2.116992,0.354749,-0.790924,2.130975,0.385942,-0.857175,2.118869
0.322405,0.647184,2.371604,0.321453,0.532236,2.324139,0.324025,0.459621,2.322173,0.331403,0.235813,2.307017,0.445657,0.398327,2.165028,0.254488,0.380013,2.152824,0.344797,-0.071973,2.276038,0.398185,-0.075157,2.314275,0.278728,-0.068195,2.162276,0.290366,0.220446,2.065429,0.337527,-0.020667,2.060542,0.359513,-0.099637,2.104364,0.393245,-0.168678,2.082275,0.293222,-0.116217,2.066909,0.216614,0.146599,2.056812,0.249337,-0.068858,1.990736,0.245111,-0.149878,1.982797,0.256192,-0.211603,1.993732,0.284506,-0.104954,2.049333,0.254711,-0.471648,2.304842,0.171701,-0.817009,2.253393,0.228675,-0.862119,2.182027,0.482563,-0.420500,2.116916,0.449074,-0.798353,2.113054,0.507448,-0.847251,2.082682
0.324228,0.643069,2.369184,0.330469,0.525766,2.318685,0.332884,0.453309,2.317363,0.339283,0.230014,2.303926,0.454669,0.391853,2.159554,0.261943,0.372282,2.151340,0.348860,-0.076256,2.275228,0.401323,-0.078855,2.314374,0.284092,-0.072354,2.159811,0.299086,0.214239,2.059887,0.405050,0.059896,2.202926,0.427302,0.023460,2.189438,0.458995,-0.036403,2.232478,0.397090,-0.023359,2.145600,0.216002,0.139636,2.057273,0.247134,-0.075450,1.991491,0.243493,-0.149981,1.980832,0.254602,-0.212097,1.984606,0.273830,-0.148970,1.978000,0.236798,-0.473824,2.302780,0.151813,-0.832222,2.248528,0.209571,-0.877917,2.179450,0.483662,-0.420412,2.117908,0.528744,-0.785917,2.103061,0.606445,-0.846191,2.066406
0.327297,0.632677,2.365868,0.337381,0.519768,2.316259,0.339047,0.447773,2.314854,0.343299,0.225727,2.301260,0.461574,0.385854,2.157112,0.259491,0.370796,2.149641,0.350028,-0.079335,2.272715,0.401552,-0.081604,2.313202,0.286720,-0.075426,2.155030,0.305862,0.208373,2.057401,0.412057,0.065103,2.210141,0.417027,0.017754,2.171817,0.458536,-0.042672,2.212769,0.374626,-0.016375,2.120333,0.216036,0.136610,2.058813,0.245992,-0.081543,1.992626,0.243398,-0.156801,1.982037,0.252718,-0.217391,1.985387,0.270935,-0.155278,1.973118,0.228450,-0.473303,2.299745,0.111385,-0.836924,2.252021,0.169700,-0.883097,2.183738,0.487606,-0.426245,2.120471,0.622465,-0.806127,2.096724,0.695801,-0.827637,2.039063
0.334042,0.629774,2.360513,0.345786,0.514258,2.312054,0.347829,0.442056,2.310331,0.352828,0.219510,2.295750,0.469972,0.380341,2.152889,0.272394,0.360344,2.143875,0.358793,-0.085892,2.266284,0.409204,-0.088500,2.308717,0.296168,-0.080755,2.146673,0.314155,0.202943,2.053162,0.418960,0.062396,2.208955,0.428172,0.015276,2.165509,0.461927,-0.048774,2.198622,0.395975,-0.024606,2.120952,0.217748,0.127399,2.056427,0.246101,-0.090616,1.992674,0.244027,-0.165101,1.981973,0.253392,-0.227314,1.986926,0.273155,-0.151689,1.976612,0.220000,-0.477180,2.296130,0.083471,-0.834765,2.247957,0.120348,-0.901625,2.230531,0.497080,-0.425973,2.117064,0.635036,-0.802023,2.093647,0.738892,-0.811389,2.021142
0.337562,0.624662,2.357468,0.352215,0.509863,2.306535,0.354360,0.437538,2.304697,0.359557,0.214609,2.289736,0.476400,0.375941,2.147356,0.279151,0.356685,2.138804,0.365480,-0.091531,2.259643,0.415759,-0.094703,2.303224,0.302664,-0.085421,2.139036,0.344314,0.170761,2.073870,0.447218,0.034420,2.233777,0.455783,-0.011034,2.170759,0.471788,-0.064078,2.180265,0.416771,-0.024051,2.122334,0.221098,0.123409,2.055080,0.247097,-0.095650,1.992066,0.246568,-0.170988,1.980788,0.254664,-0.233397,1.987990,0.274737,-0.166491,1.968769,0.219844,-0.473230,2.294835,0.076872,-0.817628,2.248382,0.100575,-0.890902,2.224633,0.497918,-0.427833,2.121062,0.646609,-0.800349,2.097009,0.747314,-0.813666,2.018673
