HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.454794,0.852300,2.154880,0.361347,0.708610,2.152670,0.299336,0.513225,2.000419,0.476160,0.562693,2.294526,0.371010,0.255682,2.168836,0.424746,0.170444,2.146508,0.384757,0.138102,2.128731,0.476599,0.121723,2.163081,0.258278,0.257765,1.905131,0.297087,0.023797,1.871408,0.275133,-0.018415,1.868905,0.532692,0.274276,2.350137,0.654583,0.019172,2.342314,0.695126,-0.066174,2.344528,0.408041,-0.261126,2.028834,0.156946,-0.561787,2.078139,0.190063,-0.667635,2.088561,0.515918,-0.333067,2.308647,0.314935,-0.668092,2.262853,0.382090,-0.725336,2.292983
0.444950,0.851948,2.158062,0.350362,0.707590,2.154721,0.286481,0.517585,2.006764,0.468363,0.566085,2.297578,0.352479,0.261731,2.169725,0.398280,0.180766,2.144203,0.363784,0.146190,2.121463,0.442866,0.128802,2.164065,0.237318,0.257197,1.910535,0.270914,0.021842,1.879779,0.255033,-0.014197,1.873138,0.524903,0.277668,2.353186,0.646694,0.022574,2.345446,0.687253,-0.062740,2.347676,0.419692,-0.258779,2.030329,0.215938,-0.593093,2.083384,0.283745,-0.684361,2.086654,0.344774,-0.287451,2.265215,0.304057,-0.669238,2.266647,0.361347,-0.727908,2.297741
0.432309,0.849458,2.160551,0.337093,0.704390,2.155715,0.272348,0.520697,2.011171,0.458315,0.567672,2.299804,0.338146,0.264751,2.169078,0.383861,0.185423,2.142534,0.350085,0.149922,2.115788,0.425776,0.131724,2.164466,0.212949,0.259225,1.914850,0.246720,0.023583,1.884408,0.238890,-0.011687,1.877519,0.514864,0.279253,2.355411,0.636596,0.024184,2.347779,0.677181,-0.061071,2.350024,0.428434,-0.257724,2.031337,0.287356,-0.631707,2.087409,0.384284,-0.703203,2.084358,0.289379,-0.289623,2.267301,0.203465,-0.670789,2.268239,0.251383,-0.733999,2.296616
0.417158,0.844985,2.162008,0.322683,0.699134,2.155788,0.256318,0.522140,2.014323,0.446138,0.566916,2.301141,0.309655,0.262896,2.160866,0.354466,0.183844,2.132169,0.314184,0.142933,2.085076,0.391241,0.116567,2.165036,0.194959,0.256063,1.918478,0.227889,0.020806,1.887153,0.224474,-0.010765,1.881275,0.502696,0.278496,2.356748,0.624412,0.023466,2.349232,0.665027,-0.061714,2.351492,0.437105,-0.258780,2.033033,0.358489,-0.664220,2.092482,0.472305,-0.713820,2.069283,0.245481,-0.291417,2.259269,0.145686,-0.670635,2.268672,0.202773,-0.735801,2.295181
0.402305,0.839582,2.162712,0.309190,0.692976,2.155588,0.238960,0.520042,2.015343,0.433091,0.564042,2.301862,0.295433,0.262481,2.157691,0.340495,0.184082,2.128362,0.297220,0.139157,2.070646,0.377191,0.112318,2.166659,0.175320,0.250539,1.920821,0.213234,0.017529,1.889217,0.209243,-0.013681,1.885442,0.489654,0.275620,2.357470,0.556690,0.028642,2.372324,0.582749,-0.051762,2.382534,0.442668,-0.260058,2.034752,0.434018,-0.689781,2.074094,0.550702,-0.717990,2.035128,0.199807,-0.288041,2.256946,0.087825,-0.673012,2.268054,0.177537,-0.733656,2.293753
0.384587,0.832177,2.162278,0.292404,0.684729,2.154135,0.222547,0.516279,2.015386,0.416575,0.558416,2.301354,0.264406,0.258246,2.148308,0.307735,0.179617,2.117609,0.272420,0.134981,2.058438,0.348406,0.104889,2.161198,0.159270,0.245570,1.922561,0.196423,0.012835,1.889269,0.194698,-0.018850,1.888256,0.473141,0.269993,2.356963,0.506890,0.035111,2.395248,0.528709,-0.029813,2.396859,0.445441,-0.261917,2.037329,0.507500,-0.699696,2.052711,0.616721,-0.710205,2.001359,0.225241,-0.292537,2.194753,0.073901,-0.658871,2.261486,0.142933,-0.717328,2.313531
0.368089,0.825308,2.160945,0.277771,0.676643,2.151557,0.204604,0.510596,2.013448,0.400733,0.551485,2.299547,0.250444,0.255579,2.144386,0.293905,0.177323,2.113336,0.259707,0.132547,2.052904,0.335540,0.101022,2.158896,0.145163,0.240787,1.923596,0.183172,0.008713,1.888445,0.181253,-0.026441,1.889507,0.457300,0.263060,2.355156,0.489797,0.037201,2.403460,0.495870,0.006839,2.395935,0.434252,-0.262441,2.049756,0.558740,-0.679734,2.031161,0.648610,-0.697216,1.977898,0.259849,-0.299006,2.152414,0.035304,-0.635006,2.248879,0.107405,-0.698721,2.314561
0.352875,0.818692,2.158426,0.264894,0.668568,2.147947,0.190586,0.504363,2.010834,0.386092,0.543698,2.296572,0.240415,0.253289,2.141607,0.284324,0.175577,2.110570,0.249555,0.129844,2.048493,0.325748,0.096982,2.157859,0.132064,0.236350,1.923150,0.172049,0.005069,1.886791,0.169388,-0.034695,1.888629,0.442659,0.255271,2.352179,0.480754,0.038360,2.408710,0.488659,0.019368,2.391171,0.413589,-0.250614,2.058713,0.562325,-0.645254,2.021749,0.654139,-0.683282,1.968680,0.280223,-0.304458,2.129398,0.016942,-0.615425,2.238274,0.070124,-0.680808,2.316710
0.340149,0.813142,2.155749,0.253684,0.661772,2.144321,0.180227,0.499032,2.008196,0.373011,0.536420,2.293264,0.232392,0.251607,2.139505,0.276879,0.174461,2.108676,0.241055,0.127039,2.044504,0.318296,0.093879,2.157951,0.121348,0.232655,1.921408,0.162832,0.001843,1.884349,0.158266,-0.070751,1.879075,0.429577,0.247992,2.348869,0.482968,0.037227,2.406434,0.489611,0.023965,2.381552,0.402394,-0.312050,2.078139,0.579476,-0.667491,2.017251,0.661454,-0.679293,1.960687,0.287802,-0.307680,2.119290,0.000446,-0.599052,2.229026,0.033246,-0.666934,2.313738
0.329664,0.808529,2.152096,0.244700,0.656249,2.140492,0.171351,0.493570,2.004229,0.362235,0.530070,2.289622,0.220821,0.242720,2.133300,0.264952,0.164067,2.102160,0.230323,0.119523,2.039631,0.308901,0.085158,2.153218,0.112196,0.228953,1.917665,0.151005,-0.002660,1.876190,0.151468,-0.089014,1.871225,0.418800,0.241641,2.345225,0.489764,0.034667,2.399468,0.492001,0.025021,2.373070,0.396688,-0.351781,2.088232,0.539523,-0.673642,2.026814,0.630807,-0.683621,1.971410,0.289696,-0.311621,2.114752,-0.017520,-0.586360,2.222152,-0.003315,-0.662030,2.304020
