Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.280388,0.488826,2.349683,0.240865,0.413513,2.281147,0.232342,0.345927,2.278733,0.204179,0.137913,2.26364,0.357105,0.332704,2.403069,0.204277,0.294628,2.177955,0.162816,-0.148355,2.234502,0.189489,-0.1565,2.243116,0.131157,-0.135843,2.160778,0.345967,0.135915,2.272477,0.373838,-0.063613,2.364576,0.394169,-0.116807,2.36453,0.36879,-0.183009,2.304617,0.358616,-0.106703,2.29825,0.182762,0.083366,2.076554,0.210575,-0.129434,2.011341,0.200499,-0.193053,1.999784,0.201187,-0.251665,1.989624,0.234794,-0.218515,2.037111,0.285865,-0.534854,2.177348,0.055862,-0.832087,2.230272,0.092064,-0.886177,2.206736,0.33308,-0.426129,2.144897,0.395013,-0.801334,2.129414,0.464806,-0.857491,2.086247
0.27308,0.485563,2.350856,0.23567,0.409017,2.283175,0.227082,0.340999,2.280664,0.199578,0.132243,2.265033,0.351927,0.328224,2.405093,0.198718,0.289017,2.179657,0.160218,-0.153693,2.235188,0.187148,-0.160699,2.244041,0.128441,-0.142306,2.161092,0.336588,0.132227,2.273255,0.370406,-0.065375,2.367522,0.368188,-0.15528,2.430935,0.342943,-0.221344,2.371002,0.337805,-0.17364,2.285943,0.175126,0.079353,2.074629,0.200312,-0.135385,2.005298,0.186915,-0.191784,1.989417,0.188764,-0.25064,1.977694,0.2178,-0.202293,2.019385,0.280163,-0.487617,2.177678,0.052205,-0.788635,2.220979,0.037068,-0.876411,2.21245,0.330931,-0.433666,2.144874,0.443284,-0.796728,2.131222,0.512314,-0.852528,2.085485
0.269553,0.485789,2.351783,0.234159,0.408573,2.283425,0.226987,0.340778,2.280807,0.208661,0.130428,2.266457,0.350421,0.327781,2.405343,0.194427,0.287725,2.181029,0.213539,-0.159047,2.240615,0.243338,-0.163642,2.253594,0.175361,-0.149494,2.16238,0.350311,0.108384,2.323869,0.388279,-0.087365,2.419707,0.395154,-0.185937,2.456732,0.41246,-0.220851,2.460525,0.367964,-0.19195,2.4384,0.169212,0.078724,2.074951,0.190582,-0.138042,2.000663,0.173685,-0.204497,1.983162,0.167631,-0.260586,1.974187,0.197932,-0.232103,1.982286,0.27761,-0.500801,2.176894,0.040553,-0.795123,2.218152,0.019903,-0.876991,2.210607,0.34245,-0.550011,2.148276,0.459586,-0.843818,2.132214,0.549176,-0.855111,2.077563
0.260684,0.48135,2.3499,0.227866,0.403812,2.278981,0.224583,0.337163,2.278184,0.211508,0.127784,2.265515,0.344152,0.323029,2.400897,0.188546,0.284526,2.179323,0.214011,-0.159627,2.240736,0.243929,-0.164095,2.25365,0.176126,-0.150431,2.16263,0.34825,0.102906,2.322088,0.390054,-0.090188,2.421099,0.397231,-0.186874,2.456936,0.408676,-0.223313,2.467808,0.395169,-0.202143,2.423727,0.164289,0.075266,2.073609,0.178741,-0.141706,1.998062,0.16707,-0.192628,1.977964,0.162423,-0.248727,1.964965,0.19241,-0.220774,1.980643,0.240086,-0.504776,2.19523,-0.009358,-0.790835,2.223159,-0.026722,-0.873649,2.209038,0.339849,-0.54409,2.149721,0.434971,-0.845779,2.142591,0.508301,-0.861816,2.087891
0.253795,0.480188,2.349416,0.222205,0.402097,2.279582,0.221403,0.335449,2.2785,0.21215,0.126946,2.265732,0.33851,0.321319,2.401498,0.183339,0.282963,2.180291,0.214757,-0.160097,2.24086,0.244635,-0.164214,2.25347,0.1775,-0.151635,2.163296,0.345436,0.101318,2.322096,0.389766,-0.090754,2.422137,0.399139,-0.192687,2.456669,0.412838,-0.223362,2.473594,0.362707,-0.18269,2.423889,0.161765,0.073756,2.073488,0.177467,-0.14306,1.997223,0.163444,-0.191885,1.979395,0.156651,-0.248824,1.96401,0.18684,-0.228631,1.978727,0.320799,-0.504966,2.162221,0.02618,-0.742013,2.209919,0.090105,-0.76606,2.129249,0.322494,-0.458403,2.152833,0.408847,-0.828625,2.147724,0.486357,-0.866655,2.098949
0.24846,0.47852,2.346944,0.217189,0.400537,2.276616,0.217986,0.33368,2.276094,0.212866,0.125887,2.264839,0.333513,0.319759,2.398534,0.178924,0.280823,2.178418,0.216586,-0.16091,2.240417,0.24642,-0.164249,2.252723,0.179976,-0.1535,2.163093,0.342521,0.099623,2.319448,0.388236,-0.091441,2.420863,0.395132,-0.197627,2.453087,0.41377,-0.224301,2.469666,0.36598,-0.201124,2.440546,0.159978,0.071087,2.07195,0.17733,-0.145888,1.996231,0.16325,-0.214928,1.976594,0.148578,-0.270564,1.96323,0.185734,-0.248472,1.9787,0.246573,-0.50708,2.201494,-0.034507,-0.764627,2.217943,-0.046313,-0.848643,2.223046,0.316981,-0.462907,2.161793,0.371768,-0.839244,2.154219,0.42493,-0.87517,2.125023
0.242111,0.47764,2.346386,0.211824,0.400123,2.274016,0.213421,0.333034,2.273688,0.212399,0.12564,2.264009,0.328169,0.319343,2.395936,0.174015,0.280089,2.17651,0.216593,-0.160807,2.240188,0.246456,-0.163985,2.252634,0.179987,-0.153509,2.162499,0.339557,0.099019,2.317512,0.384809,-0.092301,2.41891,0.386527,-0.198277,2.449484,0.42649,-0.220816,2.451452,0.363974,-0.195166,2.427213,0.159123,0.069541,2.070893,0.179053,-0.147541,1.995923,0.169377,-0.221021,1.983519,0.15195,-0.276666,1.972625,0.190704,-0.238212,1.982104,0.246825,-0.508644,2.202212,-0.038418,-0.761556,2.219385,0.02622,-0.784933,2.138551,0.318788,-0.461976,2.162202,0.345257,-0.841474,2.155426,0.395723,-0.880277,2.133752
0.23682,0.482426,2.347306,0.202579,0.40711,2.273484,0.204059,0.340142,2.273363,0.205922,0.13305,2.264497,0.318957,0.326309,2.395419,0.160898,0.285491,2.174388,0.208732,-0.148595,2.2432,0.238495,-0.151046,2.255228,0.172576,-0.141926,2.165926,0.332793,0.105828,2.316864,0.37287,-0.092353,2.408883,0.371659,-0.199959,2.444829,0.407921,-0.223196,2.452799,0.346192,-0.189759,2.4156,0.157286,0.073017,2.071332,0.183821,-0.144334,1.998625,0.182347,-0.227276,1.99395,0.164957,-0.283002,1.98463,0.198324,-0.221647,2.033091,0.260201,-0.553822,2.189811,-0.057073,-0.762018,2.227171,0.007408,-0.785361,2.145778,0.317202,-0.452702,2.161246,0.304688,-0.833105,2.157696,0.348466,-0.879054,2.13489
0.231718,0.486429,2.34625,0.193917,0.412848,2.272334,0.196631,0.346253,2.271921,0.202171,0.141552,2.262215,0.310325,0.332028,2.394282,0.157083,0.287061,2.172673,0.209587,-0.134965,2.239437,0.23853,-0.13486,2.248177,0.1742,-0.130524,2.164765,0.323904,0.111755,2.314839,0.364197,-0.087203,2.40537,0.354614,-0.201669,2.444836,0.385777,-0.223879,2.459816,0.333514,-0.188209,2.405143,0.15762,0.07395,2.07106,0.195357,-0.143464,2.00473,0.201433,-0.190707,2.007822,0.200463,-0.25257,1.992628,0.174442,-0.190719,2.058286,0.231235,-0.59407,2.201144,-0.095118,-0.787338,2.238983,-0.108731,-0.849426,2.220293,0.31513,-0.449192,2.161602,0.277601,-0.828076,2.15929,0.332233,-0.899178,2.119451
0.222771,0.4872,2.344501,0.185869,0.414215,2.268466,0.189282,0.347385,2.268148,0.197896,0.142135,2.259141,0.302308,0.333385,2.390421,0.150782,0.290728,2.172607,0.20794,-0.135614,2.237417,0.235915,-0.138959,2.245213,0.172807,-0.129101,2.162905,0.313016,0.112966,2.310789,0.284346,-0.097406,2.218257,0.300706,-0.11554,2.169569,0.289897,-0.132514,2.165881,0.304515,-0.099132,2.1445,0.157848,0.077422,2.071754,0.205837,-0.140004,2.013999,0.211575,-0.184707,2.028478,0.226112,-0.248882,2.005896,0.181415,-0.191374,2.070244,0.219855,-0.601681,2.195754,-0.071729,-0.777234,2.247353,-0.048465,-0.83552,2.237206,0.293237,-0.445678,2.163565,0.246651,-0.823639,2.160483,0.303152,-0.892937,2.116226
0.213997,0.488585,2.343689,0.179519,0.414988,2.26656,0.177162,0.349091,2.264964,0.158913,0.148835,2.250342,0.295982,0.334153,2.388519,0.139357,0.294778,2.171618,0.138118,-0.12528,2.22377,0.168194,-0.128928,2.235713,0.103931,-0.11794,2.14638,0.294944,0.136047,2.257892,0.272282,-0.058623,2.132022,0.241506,-0.26832,2.041348,0.233573,-0.308504,2.052554,0.234186,-0.254947,1.995,0.156915,0.081432,2.07236,0.225973,-0.132354,2.025573,0.225497,-0.180228,2.040868,0.24684,-0.244918,2.014837,0.19543,-0.190912,2.071125,0.184472,-0.591725,2.193897,-0.029928,-0.756243,2.262592,0.003102,-0.841231,2.245804,0.281463,-0.441112,2.160746,0.204028,-0.814043,2.161927,0.262104,-0.882542,2.116773
0.204173,0.492356,2.343414,0.166288,0.419225,2.268883,0.16615,0.352417,2.266434,0.158068,0.149064,2.250438,0.282795,0.33838,2.390856,0.134111,0.297882,2.171926,0.141071,-0.126591,2.222735,0.171263,-0.129342,2.232034,0.10795,-0.120684,2.147581,0.280919,0.140386,2.260009,0.265793,-0.052499,2.130108,0.270243,-0.246397,2.045394,0.263868,-0.283503,2.045469,0.257443,-0.213444,2.0075,0.156226,0.084421,2.074001,0.230359,-0.125297,2.031094,0.258763,-0.18674,2.0347,0.276679,-0.252009,2.032121,0.226187,-0.166299,2.042222,0.154288,-0.592064,2.176427,0.019079,-0.812,2.274987,0.035379,-0.873701,2.234725,0.270961,-0.459578,2.161885,0.154186,-0.822475,2.164113,0.205068,-0.897623,2.131385
0.196998,0.495169,2.345481,0.163941,0.420448,2.269364,0.162966,0.35331,2.266965,0.155019,0.148125,2.251063,0.280456,0.339601,2.391339,0.125086,0.298681,2.171359,0.138972,-0.13187,2.222938,0.169344,-0.133699,2.232066,0.105285,-0.126607,2.148134,0.272242,0.139605,2.264054,0.259759,-0.05018,2.129125,0.247163,-0.109745,2.07957,0.242105,-0.17098,2.116096,0.208234,-0.115483,2.0506,0.155232,0.085546,2.075145,0.243671,-0.121042,2.041214,0.273696,-0.18426,2.048825,0.30219,-0.249154,2.047698,0.265257,-0.220201,2.014333,0.232762,-0.549578,2.261973,0.041418,-0.854416,2.224508,0.029678,-0.936035,2.201172,0.258734,-0.466651,2.164303,0.128428,-0.825057,2.163487,0.170683,-0.904212,2.120995
