HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
-0.498949,0.810399,2.334644,-0.587086,0.647298,2.238291,-0.618806,0.493846,2.157543,-0.42812,0.519778,2.329083,-0.562342,0.301493,2.25664,-0.55802,0.236585,2.258603,-0.587604,0.188827,2.245588,-0.524016,0.198102,2.268793,-0.647523,0.2572,2.059525,-0.610571,0.052588,2.031892,-0.608721,-0.010223,2.032123,-0.574077,0.360682,2.11991,-0.548431,0.219998,2.3469,-0.495403,0.146456,2.35245,-0.510219,-0.244744,2.286821,-0.792602,-0.544205,2.345457,-0.805116,-0.626724,2.373793,-0.741377,-0.140201,2.347246,-0.76539,-0.556144,2.347804,-0.699278,-0.61005,2.292846
-0.50857,0.808516,2.328398,-0.595097,0.64517,2.234032,-0.627561,0.491532,2.152996,-0.436796,0.519196,2.325999,-0.56661,0.303457,2.252645,-0.561926,0.238706,2.254867,-0.59139,0.190935,2.241287,-0.527605,0.200646,2.263949,-0.653748,0.255252,2.050659,-0.62297,0.048209,2.015874,-0.618603,-0.013704,2.023312,-0.582746,0.360059,2.116513,-0.543579,0.218624,2.339643,-0.490758,0.144574,2.347451,-0.500618,-0.260062,2.277968,-0.840647,-0.526692,2.327417,-0.792461,-0.583126,2.27958,-0.750852,-0.134887,2.343986,-0.752166,-0.558834,2.346109,-0.689483,-0.608181,2.280684
-0.521067,0.802278,2.31847,-0.604784,0.63771,2.224417,-0.634661,0.485189,2.145543,-0.446407,0.515563,2.319548,-0.570629,0.302151,2.246493,-0.565053,0.237605,2.249779,-0.594029,0.191493,2.237494,-0.529803,0.198973,2.258567,-0.658275,0.25137,2.042088,-0.630776,0.043704,2.00541,-0.627534,-0.019149,2.01499,-0.592305,0.35631,2.109803,-0.539218,0.215147,2.329939,-0.438076,0.047697,2.490269,-0.499231,-0.265855,2.271969,-0.865929,-0.515866,2.312328,-0.840817,-0.570671,2.264224,-0.757399,-0.131506,2.341885,-0.743366,-0.560814,2.344368,-0.683205,-0.607031,2.273311
-0.531679,0.79624,2.308393,-0.6128,0.630133,2.214252,-0.639249,0.47957,2.138523,-0.455213,0.510765,2.311574,-0.577126,0.285909,2.231413,-0.570314,0.215327,2.23425,-0.600245,0.178562,2.223518,-0.530597,0.169432,2.246304,-0.661525,0.245289,2.033421,-0.635526,0.038324,1.998205,-0.636185,-0.043355,2.003143,-0.488388,0.298651,2.318933,-0.473268,0.119499,2.456185,-0.427848,0.027266,2.514939,-0.501602,-0.26886,2.266688,-0.880941,-0.506584,2.294954,-0.84341,-0.554245,2.233407,-0.753761,-0.152672,2.331222,-0.737046,-0.571835,2.34184,-0.679099,-0.613231,2.268542
-0.538776,0.792446,2.301023,-0.617981,0.625073,2.206113,-0.643088,0.473963,2.130743,-0.461913,0.506652,2.30394,-0.581668,0.272805,2.218174,-0.573889,0.199886,2.221558,-0.604103,0.167878,2.212136,-0.533408,0.148828,2.232349,-0.663178,0.240535,2.027094,-0.638342,0.033705,1.992612,-0.640554,-0.054958,1.996473,-0.457749,0.276779,2.387108,-0.460855,0.093153,2.480027,-0.426286,0.016907,2.526545,-0.505199,-0.270055,2.262801,-0.893582,-0.489411,2.281358,-0.847419,-0.536308,2.215222,-0.751297,-0.16175,2.321981,-0.735852,-0.574069,2.339485,-0.678235,-0.613888,2.264484
-0.544584,0.790457,2.291625,-0.622016,0.621969,2.196637,-0.645789,0.468951,2.12249,-0.467506,0.503518,2.294902,-0.584799,0.264696,2.208355,-0.576449,0.190879,2.212637,-0.606715,0.160344,2.203188,-0.535726,0.138834,2.22397,-0.663011,0.23464,2.021322,-0.637951,0.027417,1.990207,-0.642521,-0.063735,1.993061,-0.44222,0.266214,2.420643,-0.460186,0.077342,2.489662,-0.442608,0.009127,2.515224,-0.508034,-0.270973,2.259977,-0.895247,-0.484635,2.269588,-0.846272,-0.528328,2.202106,-0.751458,-0.164368,2.317466,-0.74086,-0.576604,2.333815,-0.683547,-0.615059,2.260248
-0.548761,0.790341,2.281797,-0.624866,0.620893,2.187088,-0.648596,0.466262,2.113941,-0.47182,0.501658,2.285628,-0.586982,0.26039,2.201568,-0.578297,0.186127,2.206723,-0.609018,0.155963,2.196573,-0.537158,0.133573,2.21891,-0.661287,0.229011,2.017058,-0.634292,0.020604,1.990166,-0.642941,-0.062893,1.991597,-0.443144,0.263303,2.42183,-0.480046,0.070371,2.475569,-0.465561,-0.006127,2.505185,-0.53367,-0.260127,2.243733,-0.906344,-0.470064,2.258562,-0.929538,-0.538253,2.246045,-0.751244,-0.165726,2.3136,-0.745487,-0.57747,2.329021,-0.796243,-0.60561,2.284815
-0.551466,0.790841,2.27134,-0.626709,0.621056,2.175292,-0.650317,0.464728,2.106343,-0.475105,0.500503,2.274645,-0.589045,0.2586,2.19459,-0.580283,0.184213,2.200564,-0.611801,0.153727,2.18809,-0.538664,0.131065,2.214633,-0.656644,0.222287,2.01379,-0.620763,0.011963,1.994608,-0.637865,-0.058684,1.99309,-0.460585,0.26346,2.404701,-0.507897,0.062024,2.461972,-0.510672,-0.005702,2.476455,-0.571497,-0.242932,2.23286,-0.913307,-0.466888,2.254298,-0.897315,-0.523523,2.216032,-0.757728,-0.153871,2.299999,-0.765175,-0.562714,2.312075,-0.79801,-0.593456,2.268751
-0.554267,0.792085,2.25939,-0.629024,0.621981,2.163048,-0.653153,0.464089,2.097369,-0.478308,0.499995,2.262899,-0.591209,0.258656,2.187571,-0.582464,0.184485,2.194336,-0.613866,0.15273,2.18253,-0.54164,0.133876,2.206379,-0.650806,0.21812,2.011428,-0.596526,0.009229,1.999927,-0.605435,-0.067429,2.000355,-0.485766,0.269498,2.371942,-0.543495,0.054556,2.441963,-0.551521,-0.004494,2.453814,-0.591366,-0.236959,2.226381,-0.916107,-0.477848,2.258674,-0.934235,-0.569324,2.276563,-0.761163,-0.144316,2.291109,-0.775315,-0.553035,2.302623,-0.787602,-0.58266,2.253913
-0.55616,0.793137,2.249382,-0.631528,0.623463,2.152007,-0.655877,0.464676,2.089665,-0.481298,0.50018,2.251687,-0.593795,0.259186,2.180705,-0.585176,0.185246,2.188203,-0.616504,0.152073,2.177888,-0.544652,0.137092,2.198521,-0.640893,0.216466,2.008735,-0.571941,0.01205,2.005973,-0.565137,-0.068124,2.014146,-0.506094,0.276029,2.347142,-0.568958,0.055227,2.428109,-0.578913,-0.002973,2.444353,-0.608136,-0.235399,2.21875,-0.900696,-0.514672,2.278026,-0.913814,-0.615012,2.318532,-0.763228,-0.138074,2.285815,-0.722498,-0.534455,2.267192,-0.670705,-0.570697,2.207152
