Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.357184,0.718565,2.841828,0.258869,0.630160,2.782438,0.239120,0.541241,2.786621,0.181236,0.272034,2.788243,0.354031,0.554224,2.910815,0.153416,0.493626,2.599756,0.080008,-0.095125,2.785010,0.116665,-0.098109,2.766324,0.041488,-0.089113,2.717761,0.367612,0.281887,2.969934,0.408164,0.017239,3.037794,0.420748,-0.050802,3.059109,0.458696,-0.108308,3.070673,0.395378,-0.063254,3.051400,0.094071,0.230231,2.490584,0.095966,-0.021000,2.441835,0.073476,-0.102542,2.445130,0.059282,-0.169779,2.457379,0.122037,-0.081690,2.511778,0.209528,-0.451193,2.679736,-0.011076,-0.810836,2.720737,0.008581,-0.909012,2.711887,0.328679,-0.421430,2.590430,0.325332,-0.828209,2.580839,0.395508,-0.884277,2.525391
0.364161,0.719334,2.841040,0.265320,0.627117,2.780367,0.243219,0.539849,2.785585,0.181326,0.272091,2.788410,0.360460,0.551186,2.908738,0.161036,0.489419,2.598675,0.081145,-0.093753,2.786004,0.118058,-0.097563,2.766835,0.042159,-0.086528,2.719436,0.378766,0.281059,2.973762,0.439379,0.020690,3.042314,0.491893,-0.064140,3.064679,0.530357,-0.114159,3.044152,0.483409,-0.080679,3.066957,0.090624,0.229043,2.488734,0.079025,-0.024420,2.437261,0.052294,-0.105985,2.439283,0.040437,-0.176790,2.457369,0.081814,-0.113403,2.453500,0.213767,-0.449611,2.677861,-0.028623,-0.795646,2.716090,0.045975,-0.833422,2.628142,0.337583,-0.448674,2.596006,0.404423,-0.821739,2.576800,0.500876,-0.860518,2.518956
0.369157,0.716258,2.837760,0.270172,0.622600,2.775947,0.262905,0.533519,2.771490,0.251325,0.269504,2.743649,0.365297,0.546677,2.904312,0.167710,0.483206,2.598041,0.222978,-0.088965,2.703363,0.274069,-0.100024,2.692165,0.164731,-0.075062,2.628511,0.386233,0.278367,2.973983,0.465780,0.023912,3.044215,0.523834,-0.039689,3.059820,0.570507,-0.090949,3.043369,0.522099,-0.071782,3.068158,0.084372,0.226756,2.487920,0.068847,-0.026243,2.434009,0.035850,-0.111250,2.432180,0.021414,-0.183722,2.453818,0.065929,-0.121039,2.426250,0.472614,-0.385426,2.532157,0.149517,-0.642361,2.631027,0.223374,-0.671572,2.536357,0.338436,-0.451432,2.594477,0.467367,-0.836549,2.576591,0.570397,-0.854782,2.516408
0.374188,0.711329,2.834793,0.274158,0.616366,2.773319,0.267052,0.525597,2.769946,0.249341,0.241092,2.750623,0.369269,0.540457,2.901675,0.171858,0.475925,2.597705,0.214729,-0.156332,2.721518,0.272232,-0.171962,2.702024,0.150390,-0.135748,2.655018,0.390904,0.273418,2.974622,0.481335,0.023889,3.048031,0.546089,-0.027100,3.064126,0.596940,-0.075740,3.042096,0.546553,-0.054983,3.077357,0.077463,0.223364,2.487588,0.060842,-0.028122,2.434066,0.022777,-0.113788,2.429115,0.009471,-0.183870,2.441857,0.053696,-0.114056,2.425400,0.546718,-0.394035,2.565960,0.222256,-0.649844,2.664472,0.294769,-0.680423,2.570497,0.318092,-0.511195,2.599604,0.494329,-0.849868,2.587359,0.590777,-0.859748,2.521427
0.377170,0.705179,2.828079,0.275917,0.605340,2.766284,0.267234,0.514553,2.763192,0.242171,0.232232,2.743713,0.371024,0.529454,2.894627,0.176104,0.462331,2.590927,0.199035,-0.158812,2.707312,0.246692,-0.176649,2.677842,0.142488,-0.136620,2.648125,0.393787,0.264507,2.972697,0.491184,0.018498,3.048168,0.556276,-0.019629,3.056821,0.598590,-0.059368,3.048581,0.542032,-0.042619,3.059476,0.071103,0.213293,2.482793,0.048756,-0.028972,2.426885,0.011130,-0.113776,2.414975,-0.004526,-0.183035,2.419513,0.038547,-0.134259,2.409286,0.470566,-0.443979,2.524050,0.113217,-0.653959,2.618192,0.187583,-0.684973,2.524955,0.318020,-0.511716,2.599143,0.451257,-0.860799,2.603337,0.555676,-0.879076,2.550325
0.377424,0.698328,2.822412,0.276250,0.599861,2.763231,0.268083,0.508902,2.761101,0.243619,0.227284,2.744144,0.371356,0.523987,2.891567,0.175450,0.456120,2.587447,0.205325,-0.163164,2.711421,0.260187,-0.179298,2.686846,0.145855,-0.142444,2.650703,0.396160,0.260056,2.971616,0.493499,0.014752,3.048943,0.553155,-0.018287,3.055693,0.589644,-0.053888,3.050416,0.520422,-0.034493,3.050300,0.068791,0.207361,2.480536,0.041167,-0.031378,2.422509,0.002588,-0.119376,2.411713,-0.013932,-0.188729,2.416272,0.029728,-0.136111,2.407900,0.537137,-0.398298,2.550403,0.175141,-0.611762,2.622357,0.248422,-0.643322,2.528880,0.313604,-0.524548,2.600351,0.396164,-0.840919,2.608038,0.482828,-0.897400,2.580068
0.373809,0.691094,2.818786,0.272492,0.596296,2.760685,0.265543,0.505731,2.759813,0.242915,0.224947,2.745217,0.367612,0.520429,2.889018,0.172027,0.454052,2.585757,0.208410,-0.164904,2.717015,0.264322,-0.179878,2.694693,0.147315,-0.144626,2.654061,0.393412,0.256919,2.969810,0.470856,0.010185,3.044056,0.520109,-0.020902,3.054798,0.562318,-0.051586,3.053319,0.495546,-0.039897,3.048615,0.067033,0.204589,2.478873,0.037387,-0.034066,2.419953,-0.001018,-0.119903,2.405663,-0.020198,-0.188030,2.405052,0.025543,-0.140447,2.404667,0.539998,-0.399300,2.555617,0.175465,-0.609374,2.625411,0.248729,-0.640899,2.531837,0.325161,-0.472531,2.621238,0.363369,-0.838529,2.611269,0.433837,-0.866790,2.518883
0.366815,0.689847,2.816080,0.265303,0.594528,2.757952,0.259231,0.503930,2.758261,0.238570,0.223701,2.746754,0.360449,0.518662,2.886285,0.163654,0.452786,2.582375,0.205943,-0.164185,2.721809,0.258747,-0.178212,2.701662,0.146560,-0.144558,2.657050,0.373007,0.251225,2.959932,0.434819,-0.005088,3.038156,0.470323,-0.030147,3.047268,0.510940,-0.065005,3.042646,0.427522,-0.037676,3.021231,0.064336,0.200463,2.476795,0.036616,-0.033974,2.418706,0.002175,-0.120444,2.403818,-0.020207,-0.188076,2.405617,0.027329,-0.138870,2.399150,0.260626,-0.540645,2.601101,-0.077403,-0.787145,2.669859,-0.000317,-0.816247,2.576706,0.319800,-0.473023,2.620613,0.304935,-0.855305,2.614010,0.341259,-0.915488,2.593023
0.338110,0.697134,2.809410,0.246711,0.596234,2.754196,0.241897,0.505914,2.754096,0.225877,0.227136,2.742683,0.341923,0.520356,2.882538,0.144984,0.455287,2.577103,0.199224,-0.157355,2.716774,0.247751,-0.168688,2.696441,0.143061,-0.139960,2.651671,0.358072,0.253310,2.956899,0.383959,-0.013739,3.023398,0.411803,-0.050659,3.038247,0.457529,-0.088646,3.036378,0.396212,-0.074693,3.028312,0.061320,0.196467,2.473896,0.038793,-0.033610,2.416118,0.012841,-0.121752,2.402789,-0.014531,-0.188402,2.402574,0.037140,-0.138709,2.401287,0.233584,-0.528848,2.581366,-0.109212,-0.768771,2.649925,-0.031466,-0.797433,2.556496,0.268090,-0.482875,2.629314,0.231671,-0.855780,2.625848,0.274089,-0.914003,2.600303
0.326540,0.698431,2.812440,0.227519,0.600962,2.757590,0.218210,0.510122,2.755495,0.184229,0.229686,2.735860,0.322798,0.525076,2.885944,0.127052,0.459810,2.577496,0.141188,-0.156858,2.695425,0.188205,-0.168344,2.664471,0.089635,-0.140354,2.640253,0.178617,0.298497,2.960121,0.285308,0.045033,3.000087,0.327534,-0.050560,3.017622,0.367093,-0.076369,3.006342,0.302233,-0.057120,2.992812,0.059261,0.197071,2.472137,0.045352,-0.033922,2.414125,0.033516,-0.122677,2.409444,0.009903,-0.189379,2.410112,0.058007,-0.154532,2.415417,0.189605,-0.534619,2.610508,-0.137945,-0.775922,2.721632,-0.059543,-0.805961,2.629376,0.263761,-0.508876,2.626139,0.164866,-0.860772,2.621982,0.215505,-0.909120,2.610244
