HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.367355,0.977494,2.653413,0.245926,0.800520,2.623459,0.146828,0.643174,2.474180,0.328772,0.705687,2.739676,0.212505,0.376155,2.588933,0.205798,0.290570,2.585107,0.162986,0.257348,2.542313,0.241230,0.224288,2.615097,0.015088,0.354803,2.347852,-0.027591,0.118375,2.295772,-0.055588,0.032953,2.299379,0.524047,0.486246,2.869673,0.562953,0.315459,3.008740,0.627659,0.297164,3.042021,0.321869,-0.259849,2.595553,0.376738,-0.642801,2.615095,0.430911,-0.717796,2.625211,0.224777,-0.280370,2.619367,-0.165547,-0.525246,2.707856,-0.230790,-0.644104,2.756498
0.361585,0.967362,2.646202,0.239349,0.791415,2.617085,0.138569,0.633431,2.468268,0.320101,0.695431,2.732839,0.207510,0.371659,2.583909,0.201148,0.286780,2.580275,0.155706,0.249806,2.540049,0.237565,0.222889,2.609378,0.012416,0.343884,2.341944,-0.025914,0.105820,2.289941,-0.053296,0.027773,2.293492,0.463151,0.476510,2.868283,0.505896,0.302941,3.006042,0.554426,0.281476,3.037842,0.311484,-0.255652,2.598564,0.287569,-0.627267,2.618077,0.347845,-0.714710,2.635763,0.230606,-0.280662,2.618538,-0.159958,-0.510057,2.703892,-0.230523,-0.625482,2.751836
0.351266,0.957511,2.639629,0.227384,0.782617,2.610738,0.126123,0.625478,2.460877,0.308314,0.685450,2.726286,0.202827,0.368251,2.580975,0.197174,0.284043,2.577535,0.150052,0.244122,2.539578,0.234656,0.222059,2.606179,0.010916,0.335738,2.337687,-0.020704,0.094912,2.287032,-0.043394,0.022810,2.290031,0.305531,0.389583,2.649451,0.375770,0.294353,2.909479,0.459421,0.253766,3.022596,0.272732,-0.269807,2.595446,0.224510,-0.628938,2.615275,0.253103,-0.717696,2.643229,0.234674,-0.280636,2.619304,-0.158356,-0.501490,2.702584,-0.226091,-0.606682,2.747073
0.342120,0.951635,2.635178,0.211701,0.779569,2.606420,0.106910,0.622252,2.454457,0.295142,0.679695,2.721436,0.185486,0.367087,2.583562,0.179163,0.283593,2.582289,0.129065,0.238808,2.549109,0.219703,0.227688,2.609535,0.009837,0.331996,2.335072,-0.001803,0.088383,2.288546,-0.011343,0.005799,2.295892,0.296977,0.424647,2.782951,0.320446,0.253594,2.954810,0.367250,0.202958,3.020260,0.209799,-0.282293,2.589636,0.118376,-0.654427,2.628170,0.162313,-0.722415,2.654060,0.095997,-0.267392,2.710358,-0.207290,-0.533956,2.725955,-0.231571,-0.614884,2.748536
0.311548,0.953623,2.635700,0.173718,0.787281,2.601820,0.070917,0.629353,2.447312,0.266448,0.680095,2.715916,0.149430,0.370488,2.590123,0.143975,0.286756,2.591285,0.096606,0.238782,2.559489,0.184325,0.235394,2.619363,0.009091,0.331132,2.332779,0.016165,0.090683,2.292207,0.018604,0.002276,2.304348,0.199031,0.381369,2.625358,0.224315,0.226495,2.877349,0.206833,0.171080,2.900032,0.135357,-0.289139,2.586789,0.015696,-0.670732,2.632689,0.084885,-0.724358,2.663802,0.050252,-0.273805,2.736463,-0.216161,-0.560502,2.737580,-0.197661,-0.638521,2.747477
0.275976,0.963342,2.636201,0.141395,0.796466,2.600088,0.031536,0.638195,2.441151,0.237855,0.684022,2.712545,0.101363,0.376471,2.591863,0.093084,0.292154,2.593644,0.045093,0.247383,2.557885,0.133207,0.234782,2.625914,0.006229,0.336361,2.330367,0.038470,0.102276,2.303627,0.055675,0.011556,2.324783,0.150859,0.371031,2.560496,0.183756,0.215449,2.849614,0.118609,0.156251,2.851405,0.053627,-0.298153,2.585320,-0.110524,-0.664772,2.653586,-0.013932,-0.710451,2.671170,0.157001,-0.225927,2.781543,-0.136773,-0.575135,2.743307,-0.145248,-0.671253,2.742928
0.224521,0.978795,2.629978,0.092332,0.811108,2.600441,-0.007130,0.648033,2.435333,0.185300,0.696882,2.711078,0.056198,0.385792,2.593047,0.049061,0.300562,2.595006,-0.001974,0.265302,2.575286,0.082058,0.248944,2.611621,-0.005421,0.352165,2.328326,0.057436,0.123173,2.318932,0.086084,0.033098,2.346530,0.116484,0.370547,2.533324,0.150070,0.213607,2.833993,0.068112,0.155877,2.826138,-0.029618,-0.310592,2.581091,-0.155956,-0.658379,2.638640,-0.098556,-0.717465,2.648777,0.119779,-0.222148,2.781071,-0.145625,-0.584433,2.740704,-0.078281,-0.672358,2.735035
0.174070,0.990635,2.630197,0.046757,0.819167,2.596756,-0.047777,0.660145,2.432575,0.141801,0.704624,2.707486,0.019256,0.392216,2.592058,0.013779,0.306782,2.594542,-0.029419,0.274828,2.583072,0.051272,0.257421,2.603412,-0.019853,0.364510,2.327291,0.066898,0.137663,2.330058,0.112132,0.059291,2.369238,0.088510,0.372752,2.518763,0.123412,0.214527,2.823884,0.036240,0.157284,2.812368,-0.104770,-0.313086,2.578292,-0.237116,-0.658955,2.622371,-0.141195,-0.712165,2.653762,0.098975,-0.230538,2.783924,-0.075393,-0.643445,2.743000,0.027482,-0.699287,2.777069
0.129862,0.999814,2.630582,0.010250,0.824388,2.592233,-0.074062,0.667092,2.429175,0.104033,0.710939,2.703444,-0.022875,0.400893,2.590772,-0.029679,0.316482,2.594123,-0.073514,0.288463,2.588165,0.006267,0.270799,2.598572,-0.045136,0.376481,2.327358,0.074036,0.161989,2.350630,0.130928,0.092225,2.395839,0.061428,0.379548,2.515182,0.099034,0.219430,2.818083,0.011214,0.162729,2.805442,-0.166461,-0.295746,2.577198,-0.320253,-0.655481,2.610198,-0.236558,-0.709640,2.642646,0.085064,-0.237766,2.777863,0.017357,-0.672252,2.762721,0.136181,-0.715135,2.817602
0.069721,0.957056,2.625913,-0.040628,0.766258,2.579934,-0.119724,0.668034,2.421706,0.040987,0.658651,2.690856,-0.083138,0.379150,2.570877,-0.091580,0.301499,2.572640,-0.129932,0.271719,2.552526,-0.063610,0.245086,2.588286,-0.084762,0.391672,2.330137,0.070221,0.199019,2.374536,0.135585,0.136388,2.421139,0.011885,0.338164,2.520876,0.051918,0.180977,2.812060,-0.017817,0.136549,2.804799,-0.224674,-0.278425,2.581943,-0.400089,-0.652058,2.598639,-0.356378,-0.725798,2.611265,0.060908,-0.249126,2.767193,0.099025,-0.682180,2.781260,0.221315,-0.713698,2.835662
