Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.303018,0.723798,2.506220,0.201315,0.626305,2.466055,0.205143,0.536765,2.475209,0.216239,0.261065,2.493643,0.298434,0.491615,2.585514,0.123380,0.477039,2.322978,0.230597,-0.117941,2.508193,0.266677,-0.120968,2.488963,0.187855,-0.111684,2.449282,0.217540,0.273994,2.445077,0.180983,0.025303,2.365963,0.167514,-0.045725,2.304886,0.151451,-0.116960,2.285983,0.105159,-0.012485,2.296400,0.161007,0.225646,2.235746,0.290573,0.011341,2.200683,0.335915,-0.034963,2.208083,0.380448,-0.086979,2.218632,0.313306,-0.067587,2.204616,0.361101,-0.494659,2.507570,0.410739,-0.765352,2.481038,0.500977,-0.795898,2.455078,0.120363,-0.439749,2.349977,0.037203,-0.754814,2.345681,0.086420,-0.824673,2.301587
0.313651,0.722682,2.506965,0.212257,0.625074,2.469234,0.216165,0.535729,2.478720,0.227188,0.260678,2.497782,0.309336,0.490394,2.588683,0.137033,0.475450,2.327035,0.241204,-0.116899,2.512736,0.274695,-0.120793,2.494617,0.200682,-0.109434,2.451838,0.228377,0.272791,2.448253,0.191769,0.024112,2.369143,0.174308,-0.051839,2.308410,0.159876,-0.122402,2.290899,0.111342,-0.019172,2.306060,0.178253,0.224596,2.240096,0.303457,0.013745,2.203032,0.349158,-0.037549,2.212649,0.394819,-0.092693,2.226567,0.324620,-0.069076,2.207500,0.364011,-0.439255,2.519425,0.457205,-0.737971,2.487988,0.567098,-0.783999,2.456272,0.123627,-0.436423,2.354956,0.024134,-0.752176,2.344706,0.076004,-0.820553,2.300904
0.320812,0.724187,2.508768,0.222805,0.623005,2.472735,0.226779,0.533766,2.482280,0.237938,0.259068,2.501363,0.319845,0.488338,2.592173,0.147140,0.473202,2.329574,0.252023,-0.117720,2.516136,0.283872,-0.122156,2.497964,0.212325,-0.109545,2.454990,0.238824,0.270758,2.451747,0.202168,0.022097,2.372639,0.187528,-0.051626,2.310270,0.169949,-0.122791,2.289876,0.124341,-0.018710,2.307500,0.190621,0.222543,2.243458,0.317788,0.006183,2.207694,0.356298,-0.042686,2.215965,0.397116,-0.097093,2.224194,0.331502,-0.068864,2.200269,0.364504,-0.444587,2.521370,0.503890,-0.750037,2.484000,0.585341,-0.789751,2.455542,0.122686,-0.436151,2.355062,0.006021,-0.752160,2.344146,0.052874,-0.823518,2.297584
0.329819,0.723600,2.515017,0.233029,0.620501,2.476401,0.236913,0.531270,2.485751,0.247792,0.256611,2.504191,0.330031,0.485849,2.595827,0.159011,0.468385,2.333115,0.261505,-0.119971,2.518070,0.296022,-0.124735,2.504572,0.220111,-0.111647,2.453484,0.248950,0.268295,2.455404,0.212246,0.019653,2.376298,0.198568,-0.051587,2.314987,0.181181,-0.123073,2.297109,0.137206,-0.015772,2.312129,0.199835,0.217544,2.246210,0.322199,0.002764,2.209520,0.362604,-0.056481,2.220364,0.403649,-0.106921,2.234429,0.336887,-0.086572,2.207250,0.405543,-0.517142,2.522936,0.505923,-0.771866,2.481889,0.589333,-0.790436,2.454395,0.122620,-0.433366,2.355224,-0.005089,-0.752168,2.341173,0.041761,-0.823983,2.298252
0.345686,0.713351,2.522984,0.241854,0.617386,2.480943,0.245943,0.528080,2.490146,0.257430,0.253213,2.508085,0.338823,0.482752,2.600356,0.168166,0.464570,2.339454,0.271973,-0.123548,2.521194,0.303973,-0.127132,2.505686,0.231716,-0.116147,2.458208,0.257692,0.265230,2.459933,0.220947,0.016611,2.380826,0.204034,-0.059714,2.320753,0.189377,-0.129316,2.304014,0.143887,-0.026676,2.322143,0.207818,0.213727,2.252065,0.325479,-0.002412,2.213035,0.362262,-0.067015,2.225318,0.399538,-0.117698,2.235750,0.338134,-0.095848,2.216150,0.406382,-0.516181,2.523251,0.488379,-0.777570,2.482954,0.573326,-0.793304,2.449697,0.133037,-0.431523,2.364833,-0.015360,-0.751274,2.339694,0.016699,-0.829461,2.292161
0.346765,0.718266,2.523420,0.250042,0.615595,2.488060,0.254154,0.525646,2.496470,0.266046,0.248790,2.512345,0.346980,0.480980,2.607461,0.176106,0.463250,2.346099,0.282070,-0.131314,2.522870,0.315915,-0.136913,2.505864,0.239681,-0.121866,2.460706,0.265806,0.263487,2.467038,0.229026,0.014889,2.387932,0.209743,-0.060989,2.331661,0.197230,-0.129989,2.316205,0.149244,-0.031233,2.339567,0.213391,0.211925,2.259203,0.325773,-0.014954,2.222956,0.357083,-0.080528,2.233525,0.397518,-0.138365,2.255124,0.327115,-0.107213,2.215000,0.406836,-0.514263,2.524438,0.470666,-0.780672,2.483034,0.557174,-0.791647,2.447982,0.135099,-0.433596,2.366833,-0.034783,-0.750301,2.337369,-0.000360,-0.827360,2.286976
0.354603,0.716837,2.529886,0.255915,0.615959,2.493679,0.259954,0.525756,2.501742,0.271365,0.248231,2.516417,0.352830,0.481355,2.613076,0.181655,0.463209,2.350557,0.286269,-0.132322,2.525372,0.318439,-0.137646,2.506637,0.245727,-0.123025,2.465681,0.271626,0.263874,2.472656,0.234822,0.015284,2.393552,0.214142,-0.062336,2.339278,0.206744,-0.130227,2.323423,0.158521,-0.057537,2.347000,0.217758,0.210782,2.267043,0.318790,-0.022644,2.229673,0.342164,-0.086217,2.241723,0.386316,-0.142455,2.259785,0.304527,-0.096032,2.243867,0.406878,-0.512084,2.525390,0.452369,-0.782647,2.487092,0.530968,-0.815280,2.455520,0.146354,-0.435662,2.367560,-0.042154,-0.745358,2.334249,-0.007294,-0.822939,2.288266
0.360301,0.717798,2.535392,0.260391,0.618399,2.500263,0.265076,0.527886,2.508772,0.278631,0.249245,2.524839,0.357287,0.483803,2.619659,0.189586,0.465272,2.360125,0.296695,-0.133076,2.535743,0.330161,-0.139164,2.518230,0.253981,-0.123002,2.474107,0.331753,0.236539,2.516205,0.267854,-0.007277,2.439760,0.219607,-0.052579,2.348613,0.181559,-0.136953,2.377223,0.175645,-0.034777,2.351000,0.218785,0.211269,2.278846,0.307755,-0.025206,2.237314,0.321131,-0.089366,2.254124,0.362360,-0.141833,2.260911,0.280256,-0.100541,2.286750,0.405113,-0.513633,2.527785,0.431464,-0.787178,2.493613,0.409021,-0.861865,2.496247,0.203348,-0.440699,2.349097,-0.009395,-0.750008,2.317268,0.076335,-0.783203,2.221585
0.362619,0.719728,2.546424,0.262301,0.619478,2.504385,0.267947,0.530044,2.514617,0.285422,0.256639,2.537554,0.359189,0.484887,2.623780,0.192849,0.466555,2.363770,0.310722,-0.113449,2.561526,0.341827,-0.120361,2.546019,0.270042,-0.102937,2.497942,0.333078,0.238048,2.519318,0.274246,-0.010306,2.456825,0.214394,-0.072086,2.363853,0.188322,-0.144217,2.408552,0.179231,-0.064281,2.360167,0.216538,0.210489,2.288414,0.295671,-0.024120,2.245294,0.300848,-0.089937,2.264296,0.333299,-0.144690,2.272362,0.258454,-0.091933,2.298800,0.399022,-0.513632,2.529546,0.400111,-0.788730,2.497296,0.472186,-0.833401,2.463293,0.228309,-0.428921,2.361438,-0.031340,-0.701156,2.337654,-0.037374,-0.785466,2.290931
0.356957,0.729853,2.550271,0.265058,0.622151,2.513969,0.270897,0.531425,2.524674,0.288371,0.253024,2.548269,0.361933,0.487573,2.633363,0.195565,0.466830,2.370478,0.312547,-0.129650,2.572928,0.344730,-0.135028,2.555923,0.270619,-0.120346,2.510869,0.335156,0.241256,2.527683,0.279614,-0.007616,2.464113,0.211137,-0.063684,2.375453,0.210410,-0.080420,2.363223,0.190022,-0.078983,2.368250,0.212990,0.209712,2.297443,0.281118,-0.027168,2.258151,0.285411,-0.091827,2.276189,0.314820,-0.151239,2.282787,0.242214,-0.094755,2.293050,0.381281,-0.549625,2.523590,0.363685,-0.824583,2.501675,0.363894,-0.718456,2.445335,0.278450,-0.430310,2.351664,0.012776,-0.697098,2.329040,0.098653,-0.731387,2.233904
