HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.534802,0.802944,2.468561,0.447961,0.604883,2.468588,0.363235,0.532349,2.351276,0.50703,0.500226,2.647191,0.400427,0.23452,2.427417,0.416133,0.160636,2.409733,0.381198,0.138963,2.36846,0.447386,0.097475,2.431979,0.382295,0.252632,2.254436,0.459102,0.046293,2.225538,0.489085,-0.015034,2.231101,0.513537,0.261538,2.662454,0.564317,-0.035649,2.655621,0.604892,-0.089249,2.662844,0.427702,-0.329787,2.380502,0.128343,-0.606874,2.386144,0.122083,-0.716249,2.397735,0.589201,-0.37835,2.549774,0.571307,-0.69262,2.523747,0.626644,-0.741549,2.513649
0.57005,0.837571,2.476979,0.483041,0.664755,2.481477,0.380536,0.535772,2.356648,0.550982,0.563666,2.66164,0.468114,0.264921,2.459627,0.492011,0.187836,2.448903,0.454614,0.155467,2.412743,0.53805,0.13216,2.479329,0.395151,0.25243,2.259015,0.466662,0.044363,2.228153,0.495149,-0.016278,2.233446,0.55749,0.324978,2.676889,0.608291,0.027708,2.670064,0.648876,-0.02593,2.677285,0.486337,-0.330804,2.372405,0.198795,-0.582425,2.390035,0.17587,-0.698232,2.385602,0.614088,-0.402114,2.515811,0.564831,-0.696841,2.526111,0.621627,-0.743796,2.514879
0.593508,0.858603,2.480801,0.508357,0.705784,2.489399,0.398344,0.540917,2.362439,0.574388,0.593789,2.668275,0.52094,0.291,2.480445,0.546404,0.211033,2.468913,0.503204,0.169968,2.435245,0.598492,0.160257,2.494951,0.40745,0.252433,2.263623,0.475831,0.042698,2.232235,0.50116,-0.017856,2.235986,0.580897,0.355101,2.683517,0.63169,0.057724,2.676689,0.672283,0.004054,2.683908,0.536777,-0.331074,2.370368,0.264496,-0.573897,2.396125,0.257184,-0.689328,2.383924,0.53337,-0.276125,2.555382,0.556914,-0.677895,2.528737,0.617578,-0.745007,2.517174
0.607975,0.867654,2.482492,0.523446,0.720731,2.493101,0.410701,0.543807,2.366176,0.590626,0.609082,2.672215,0.53948,0.300739,2.484906,0.56538,0.220462,2.472342,0.519839,0.175684,2.441952,0.609915,0.177265,2.473239,0.418906,0.251995,2.268599,0.484345,0.04077,2.236593,0.510746,-0.019547,2.239802,0.597135,0.370394,2.687453,0.647932,0.072952,2.680628,0.688538,0.019266,2.687848,0.602247,-0.310175,2.368053,0.342016,-0.569269,2.40427,0.343115,-0.68137,2.380278,0.533511,-0.258488,2.5533,0.552051,-0.673532,2.53019,0.616226,-0.746935,2.540072
0.624443,0.871918,2.48246,0.537956,0.727758,2.49527,0.425526,0.546466,2.370025,0.604591,0.618214,2.674802,0.570792,0.321632,2.488397,0.598814,0.246941,2.47606,0.551763,0.194123,2.444061,0.653322,0.202698,2.491112,0.42757,0.251988,2.272175,0.491436,0.039358,2.240237,0.517487,-0.021069,2.242206,0.6111,0.379526,2.69004,0.661923,0.082022,2.683218,0.70255,0.028318,2.690439,0.654999,-0.299561,2.368686,0.414222,-0.581803,2.414867,0.44453,-0.684726,2.39476,0.52982,-0.26843,2.557579,0.548254,-0.67568,2.531276,0.590972,-0.75703,2.522492
0.636837,0.873303,2.481374,0.551045,0.727983,2.495733,0.438753,0.54806,2.372682,0.616413,0.622927,2.676206,0.583455,0.32904,2.490421,0.611852,0.25534,2.478095,0.565297,0.201232,2.444826,0.66662,0.210214,2.494169,0.434937,0.251966,2.275007,0.497109,0.038387,2.243345,0.523868,-0.022012,2.243876,0.622921,0.384239,2.691445,0.673788,0.086656,2.684624,0.714439,0.032929,2.691847,0.689064,-0.30038,2.364713,0.491006,-0.621625,2.42534,0.555642,-0.707263,2.417247,0.533855,-0.278059,2.560931,0.57152,-0.699984,2.512666,0.618601,-0.767826,2.516897
0.650052,0.870286,2.478478,0.566471,0.720162,2.494948,0.453449,0.548253,2.374327,0.62963,0.622223,2.676647,0.586768,0.303905,2.472126,0.607001,0.222613,2.454673,0.568339,0.196609,2.437544,0.654105,0.166448,2.465263,0.442714,0.251426,2.277843,0.529037,0.018333,2.254696,0.529395,-0.035267,2.23805,0.636138,0.383536,2.691889,0.741505,0.090384,2.66116,0.775687,0.032325,2.665234,0.724135,-0.31911,2.356933,0.574021,-0.664473,2.417012,0.658947,-0.731976,2.396089,0.554558,-0.308155,2.562977,0.52242,-0.704159,2.509739,0.559158,-0.773339,2.518774
0.663767,0.866703,2.474421,0.57956,0.713574,2.492713,0.469304,0.547386,2.374988,0.642392,0.619437,2.675608,0.59253,0.30094,2.465099,0.614947,0.223735,2.448339,0.573283,0.195308,2.425602,0.660093,0.163915,2.460037,0.449725,0.250639,2.280412,0.53942,0.019938,2.25879,0.536639,-0.035977,2.239893,0.648901,0.380749,2.690852,0.790141,0.090893,2.64197,0.814571,0.027859,2.646287,0.743072,-0.326277,2.353115,0.656384,-0.696332,2.394216,0.707955,-0.74336,2.332273,0.576375,-0.337919,2.564925,0.504513,-0.704676,2.511267,0.519312,-0.777172,2.521305
0.674925,0.863222,2.470321,0.590465,0.707898,2.489581,0.482849,0.545603,2.374716,0.654148,0.615378,2.673347,0.594964,0.296153,2.458268,0.616112,0.217695,2.440017,0.57498,0.190197,2.415154,0.657624,0.154185,2.452642,0.456552,0.249269,2.282539,0.54628,0.020935,2.261433,0.540956,-0.036848,2.240901,0.660657,0.37669,2.68859,0.813303,0.090829,2.63232,0.84166,0.027337,2.631433,0.756546,-0.329094,2.350294,0.711422,-0.714509,2.361631,0.804719,-0.748093,2.313201,0.584864,-0.349232,2.566039,0.493954,-0.706037,2.514789,0.508344,-0.779097,2.521765
0.687669,0.858954,2.46466,0.60185,0.702462,2.484775,0.49599,0.543252,2.37344,0.666401,0.61032,2.669449,0.608712,0.286993,2.454672,0.633248,0.205536,2.437891,0.599911,0.170547,2.409678,0.676202,0.140649,2.456204,0.462593,0.247769,2.283901,0.550409,0.021377,2.26286,0.543912,-0.037719,2.241627,0.672911,0.371631,2.684687,0.826759,0.090829,2.627019,0.854972,0.026696,2.624027,0.765484,-0.329893,2.348051,0.801233,-0.72276,2.315284,0.89947,-0.746107,2.263768,0.589292,-0.355102,2.566787,0.485217,-0.706937,2.519241,0.514982,-0.768662,2.531084
