Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.145230,0.677486,2.833334,0.059770,0.569632,2.782975,0.058172,0.483782,2.776261,0.052136,0.221962,2.745531,0.176063,0.416981,2.949309,-0.014495,0.419326,2.626511,0.044842,-0.134643,2.691831,0.089098,-0.132110,2.692074,-0.000757,-0.131373,2.613965,0.240412,0.165736,3.099148,0.264710,-0.119679,3.062546,0.243449,-0.176130,3.011849,0.251427,-0.203995,2.991480,0.244589,-0.189798,2.995591,-0.015942,0.124554,2.508381,0.029010,-0.123423,2.460855,0.039206,-0.174273,2.488485,0.046968,-0.239749,2.488489,-0.000677,-0.167626,2.426315,0.087330,-0.660355,2.726949,0.042322,-0.976106,2.700991,0.124866,-0.889250,2.691905,0.107076,-0.565708,2.577960,-0.181409,-0.889918,2.540643,-0.226298,-0.861622,2.401961
0.130599,0.684449,2.833833,0.048678,0.574850,2.783737,0.048791,0.488216,2.777344,0.047603,0.223808,2.747407,0.165006,0.422187,2.950088,-0.033010,0.427731,2.629029,0.043038,-0.134969,2.695498,0.085854,-0.139213,2.700840,-0.002331,-0.128470,2.615959,0.229315,0.171355,3.099631,0.253775,-0.114528,3.063336,0.232513,-0.170979,3.012638,0.240531,-0.198862,2.992266,0.233745,-0.184689,2.996371,-0.056597,0.133395,2.514012,-0.022972,-0.089296,2.450952,-0.019975,-0.144157,2.457343,-0.002297,-0.224728,2.470199,-0.045897,-0.164807,2.428548,-0.047118,-0.547015,2.781665,-0.035205,-0.978402,2.728166,0.065288,-0.912195,2.677794,0.066643,-0.570704,2.577581,-0.173601,-0.820707,2.549787,-0.106176,-0.895906,2.477495
0.110501,0.689712,2.824706,0.031840,0.582660,2.781837,0.033552,0.495568,2.775120,0.038161,0.228760,2.745183,0.148224,0.429974,2.948214,-0.044861,0.431615,2.629742,0.040772,-0.133752,2.694439,0.083867,-0.140416,2.700849,-0.006337,-0.120303,2.610030,0.212551,0.179463,3.097514,0.237178,-0.106832,3.061479,0.215914,-0.163282,3.010783,0.223990,-0.191193,2.990405,0.217281,-0.177055,2.994502,-0.073819,0.138796,2.513161,-0.035854,-0.087468,2.455010,-0.054284,-0.143393,2.453593,-0.035877,-0.222693,2.462289,-0.077363,-0.147142,2.421053,-0.054593,-0.553574,2.756552,0.005516,-0.903186,2.700885,0.075749,-0.964343,2.717267,0.080164,-0.559424,2.579382,-0.095278,-0.855833,2.551649,-0.014579,-0.920997,2.487535
0.097331,0.715096,2.819168,0.024787,0.583474,2.779884,0.027095,0.496890,2.773394,0.033441,0.231269,2.744095,0.141194,0.430783,2.946268,-0.058350,0.432641,2.628099,0.039146,-0.131074,2.694185,0.082776,-0.138892,2.700294,-0.007416,-0.117823,2.610234,0.205470,0.180644,3.095312,0.230226,-0.106039,3.059535,0.208960,-0.162489,3.008838,0.217061,-0.190402,2.988459,0.210384,-0.176267,2.992553,-0.096482,0.141571,2.511038,-0.086089,-0.088803,2.448984,-0.087382,-0.142246,2.446098,-0.068569,-0.220807,2.455013,-0.122100,-0.153114,2.433944,-0.052676,-0.554749,2.748999,-0.138461,-0.871598,2.682600,-0.033084,-0.908203,2.575814,0.105282,-0.550975,2.581405,-0.041508,-0.877078,2.557444,0.059845,-0.900843,2.481726
0.079484,0.695767,2.809671,0.003234,0.578927,2.772813,0.007433,0.493905,2.767621,0.018352,0.231679,2.741572,0.119716,0.426237,2.939208,-0.082932,0.429006,2.620060,0.028725,-0.127982,2.695479,0.074171,-0.138146,2.696887,-0.019563,-0.113372,2.616419,0.184064,0.176408,3.088042,0.143716,-0.113166,2.985896,0.161573,-0.159537,2.990223,0.180231,-0.225633,2.978524,0.197958,-0.186008,2.971000,-0.129583,0.138574,2.505987,-0.125266,-0.101651,2.445554,-0.127168,-0.153926,2.459033,-0.109910,-0.234913,2.456815,-0.160289,-0.135929,2.413527,-0.114174,-0.541614,2.752365,-0.208733,-0.894819,2.680497,-0.125171,-0.952778,2.684628,0.134714,-0.534042,2.577498,0.147354,-0.870258,2.530039,0.243623,-0.910025,2.468942
0.071257,0.689477,2.804688,-0.007119,0.571981,2.767822,-0.003881,0.486568,2.763438,0.005635,0.224229,2.740562,0.109402,0.419302,2.934214,-0.092193,0.421884,2.616570,0.017226,-0.134551,2.699137,0.066303,-0.141438,2.700618,-0.033562,-0.124137,2.619533,0.173821,0.169508,3.083036,0.148044,-0.125239,2.993220,0.172249,-0.161823,3.005749,0.193133,-0.216368,2.991114,0.215869,-0.174245,2.967154,-0.142567,0.131941,2.503031,-0.137351,-0.108219,2.444263,-0.143303,-0.161633,2.459082,-0.127412,-0.248001,2.463417,-0.180462,-0.152863,2.409580,-0.143656,-0.543860,2.745105,-0.258349,-0.905212,2.672579,-0.170881,-0.947831,2.691215,0.135592,-0.539052,2.572258,0.224502,-0.867300,2.522155,0.332520,-0.883789,2.455078
0.061179,0.678879,2.795893,-0.017138,0.565152,2.758854,-0.016247,0.478922,2.753268,-0.014844,0.214121,2.726465,0.099423,0.412477,2.925247,-0.101359,0.416167,2.612009,-0.015259,-0.148073,2.679717,0.035337,-0.160332,2.678193,-0.065290,-0.131871,2.603281,0.163912,0.162710,3.074058,0.166875,-0.139612,3.022403,0.193196,-0.158255,3.010422,0.218568,-0.204563,2.986520,0.229514,-0.171172,2.964643,-0.151762,0.125742,2.499990,-0.152191,-0.112169,2.441429,-0.165836,-0.169832,2.437969,-0.145449,-0.247309,2.445760,-0.204550,-0.190552,2.425632,-0.159373,-0.547827,2.740875,-0.298523,-0.900784,2.667284,-0.217920,-0.952782,2.686695,0.137213,-0.531782,2.566518,0.254281,-0.875057,2.517488,0.393311,-0.860352,2.445313
0.053399,0.676319,2.787671,-0.024724,0.560197,2.752661,-0.023900,0.474416,2.747612,-0.021710,0.211130,2.722650,0.091867,0.407525,2.919054,-0.110290,0.409000,2.603095,-0.019798,-0.149269,2.678208,0.031462,-0.161389,2.677789,-0.070656,-0.133091,2.600408,0.156409,0.157778,3.067858,0.183240,-0.138530,3.013329,0.210073,-0.158682,3.015737,0.230096,-0.195643,2.995186,0.228748,-0.144649,2.969956,-0.162466,0.117524,2.495334,-0.161304,-0.120573,2.439320,-0.175140,-0.176350,2.436529,-0.154289,-0.259816,2.448950,-0.214678,-0.182051,2.422962,-0.173878,-0.545199,2.733963,-0.333391,-0.903220,2.666722,-0.264111,-0.959682,2.695171,0.141122,-0.525996,2.596988,0.299857,-0.926473,2.532945,0.401392,-0.854454,2.445313
0.041281,0.672484,2.773077,-0.031704,0.558013,2.740609,-0.032086,0.471989,2.735883,-0.033732,0.207898,2.711816,0.084920,0.405326,2.907011,-0.115913,0.404511,2.594980,-0.037144,-0.153571,2.669111,0.015297,-0.164996,2.670099,-0.088468,-0.137757,2.590152,0.149511,0.155569,3.055814,0.181490,-0.136974,3.014455,0.209551,-0.145810,3.013682,0.231448,-0.187528,3.005045,0.236084,-0.140338,2.976363,-0.167728,0.112084,2.490074,-0.167768,-0.124448,2.437727,-0.181055,-0.183942,2.431131,-0.161457,-0.267335,2.446810,-0.221544,-0.192744,2.420333,-0.203312,-0.538318,2.736308,-0.369608,-0.886003,2.661399,-0.304428,-0.954718,2.679485,0.141451,-0.519222,2.597373,0.324759,-0.908881,2.531348,0.405973,-0.850286,2.436096
0.027314,0.669707,2.753784,-0.048799,0.553477,2.719460,-0.048041,0.467692,2.715955,-0.045732,0.204285,2.695544,0.067899,0.400766,2.885879,-0.125704,0.398633,2.577998,-0.043143,-0.156246,2.657603,0.008575,-0.165368,2.658080,-0.093827,-0.142675,2.578883,0.132614,0.150996,3.034680,0.159186,-0.124696,3.012138,0.182465,-0.135556,3.012537,0.212254,-0.177662,3.007597,0.220176,-0.139101,2.976556,-0.175044,0.104483,2.477383,-0.174377,-0.130591,2.429767,-0.183229,-0.193583,2.417783,-0.166227,-0.278568,2.431445,-0.221072,-0.218083,2.400500,-0.227699,-0.525700,2.730735,-0.462230,-0.885706,2.659664,-0.412437,-0.963979,2.678851,0.137368,-0.523250,2.587004,0.259412,-0.938478,2.546195,0.337608,-0.878973,2.446053
